year,id,name,works_count,country,fetch_date
2005,1910,Oceanography,7,FO,2025-12-01 19:10:45
2005,2307,"Health, Toxicology and Mutagenesis",7,FO,2025-12-01 19:10:45
2005,1902,Atmospheric Science,5,FO,2025-12-01 19:10:45
2005,2306,Global and Planetary Change,4,FO,2025-12-01 19:10:45
2005,1311,Genetics,3,FO,2025-12-01 19:10:45
2005,1306,Cancer Research,2,FO,2025-12-01 19:10:45
2005,1312,Molecular Biology,2,FO,2025-12-01 19:10:45
2005,2304,Environmental Chemistry,2,FO,2025-12-01 19:10:45
2005,1104,Aquatic Science,1,FO,2025-12-01 19:10:45
2005,2303,Ecology,1,FO,2025-12-01 19:10:45
2005,2309,Nature and Landscape Conservation,1,FO,2025-12-01 19:10:45
2005,2713,Epidemiology,1,FO,2025-12-01 19:10:45
2005,2731,Ophthalmology,1,FO,2025-12-01 19:10:45
2005,2734,Pathology and Forensic Medicine,1,FO,2025-12-01 19:10:45
2005,2746,Surgery,1,FO,2025-12-01 19:10:45
2005,2805,Cognitive Neuroscience,1,FO,2025-12-01 19:10:45
2005,2916,Nutrition and Dietetics,1,FO,2025-12-01 19:10:45
2005,3312,Sociology and Political Science,1,FO,2025-12-01 19:10:45
2006,2307,"Health, Toxicology and Mutagenesis",9,FO,2025-12-01 19:10:45
2006,2306,Global and Planetary Change,4,FO,2025-12-01 19:10:45
2006,1311,Genetics,3,FO,2025-12-01 19:10:45
2006,1312,Molecular Biology,3,FO,2025-12-01 19:10:45
2006,1902,Atmospheric Science,3,FO,2025-12-01 19:10:45
2006,1910,Oceanography,2,FO,2025-12-01 19:10:45
2006,2303,Ecology,2,FO,2025-12-01 19:10:45
2006,1106,Food Science,1,FO,2025-12-01 19:10:45
2006,1204,Archeology,1,FO,2025-12-01 19:10:45
2006,1306,Cancer Research,1,FO,2025-12-01 19:10:45
2006,1911,Paleontology,1,FO,2025-12-01 19:10:45
2006,2212,Ocean Engineering,1,FO,2025-12-01 19:10:45
2006,2309,Nature and Landscape Conservation,1,FO,2025-12-01 19:10:45
2006,2403,Immunology,1,FO,2025-12-01 19:10:45
2006,2803,Biological Psychiatry,1,FO,2025-12-01 19:10:45
2006,2804,Cellular and Molecular Neuroscience,1,FO,2025-12-01 19:10:45
2007,1910,Oceanography,8,FO,2025-12-01 19:10:45
2007,2306,Global and Planetary Change,5,FO,2025-12-01 19:10:45
2007,2307,"Health, Toxicology and Mutagenesis",5,FO,2025-12-01 19:10:45
2007,1902,Atmospheric Science,4,FO,2025-12-01 19:10:45
2007,1312,Molecular Biology,3,FO,2025-12-01 19:10:45
2007,2303,Ecology,3,FO,2025-12-01 19:10:45
2007,2309,Nature and Landscape Conservation,3,FO,2025-12-01 19:10:45
2007,1308,Clinical Biochemistry,2,FO,2025-12-01 19:10:45
2007,1311,Genetics,2,FO,2025-12-01 19:10:45
2007,1104,Aquatic Science,1,FO,2025-12-01 19:10:45
2007,1106,Food Science,1,FO,2025-12-01 19:10:45
2007,1303,Biochemistry,1,FO,2025-12-01 19:10:45
2007,1904,Earth-Surface Processes,1,FO,2025-12-01 19:10:45
2007,1908,Geophysics,1,FO,2025-12-01 19:10:45
2007,2308,"Management, Monitoring, Policy and Law",1,FO,2025-12-01 19:10:45
2007,2916,Nutrition and Dietetics,1,FO,2025-12-01 19:10:45
2007,3004,Pharmacology,1,FO,2025-12-01 19:10:45
2008,1910,Oceanography,9,FO,2025-12-01 19:10:45
2008,1902,Atmospheric Science,8,FO,2025-12-01 19:10:45
2008,2306,Global and Planetary Change,7,FO,2025-12-01 19:10:45
2008,2307,"Health, Toxicology and Mutagenesis",6,FO,2025-12-01 19:10:45
2008,2303,Ecology,5,FO,2025-12-01 19:10:45
2008,1908,Geophysics,2,FO,2025-12-01 19:10:45
2008,2304,Environmental Chemistry,2,FO,2025-12-01 19:10:45
2008,1103,Animal Science and Zoology,1,FO,2025-12-01 19:10:45
2008,1104,Aquatic Science,1,FO,2025-12-01 19:10:45
2008,1312,Molecular Biology,1,FO,2025-12-01 19:10:45
2008,1907,Geology,1,FO,2025-12-01 19:10:45
2008,1911,Paleontology,1,FO,2025-12-01 19:10:45
2008,2405,Parasitology,1,FO,2025-12-01 19:10:45
2009,2306,Global and Planetary Change,13,FO,2025-12-01 19:10:45
2009,2309,Nature and Landscape Conservation,7,FO,2025-12-01 19:10:45
2009,1902,Atmospheric Science,6,FO,2025-12-01 19:10:45
2009,1910,Oceanography,6,FO,2025-12-01 19:10:45
2009,2303,Ecology,5,FO,2025-12-01 19:10:45
2009,2307,"Health, Toxicology and Mutagenesis",5,FO,2025-12-01 19:10:45
2009,1312,Molecular Biology,4,FO,2025-12-01 19:10:45
2009,2304,Environmental Chemistry,4,FO,2025-12-01 19:10:45
2009,1110,Plant Science,2,FO,2025-12-01 19:10:45
2009,1308,Clinical Biochemistry,1,FO,2025-12-01 19:10:45
2009,1311,Genetics,1,FO,2025-12-01 19:10:45
2009,1907,Geology,1,FO,2025-12-01 19:10:45
2009,1908,Geophysics,1,FO,2025-12-01 19:10:45
2009,1911,Paleontology,1,FO,2025-12-01 19:10:45
2009,2002,Economics and Econometrics,1,FO,2025-12-01 19:10:45
2009,2310,Pollution,1,FO,2025-12-01 19:10:45
2009,2403,Immunology,1,FO,2025-12-01 19:10:45
2009,2705,Cardiology and Cardiovascular Medicine,1,FO,2025-12-01 19:10:45
2009,2730,Oncology,1,FO,2025-12-01 19:10:45
2009,2734,Pathology and Forensic Medicine,1,FO,2025-12-01 19:10:45
2009,2735,"Pediatrics, Perinatology and Child Health",1,FO,2025-12-01 19:10:45
2009,3312,Sociology and Political Science,1,FO,2025-12-01 19:10:45
2009,3600,General Health Professions,1,FO,2025-12-01 19:10:45
2009,3614,Radiological and Ultrasound Technology,1,FO,2025-12-01 19:10:45
2010,2307,"Health, Toxicology and Mutagenesis",8,FO,2025-12-01 19:10:45
2010,1902,Atmospheric Science,7,FO,2025-12-01 19:10:45
2010,2303,Ecology,6,FO,2025-12-01 19:10:45
2010,2306,Global and Planetary Change,5,FO,2025-12-01 19:10:45
2010,1910,Oceanography,4,FO,2025-12-01 19:10:45
2010,2213,"Safety, Risk, Reliability and Quality",3,FO,2025-12-01 19:10:45
2010,2309,Nature and Landscape Conservation,3,FO,2025-12-01 19:10:45
2010,1105,"Ecology, Evolution, Behavior and Systematics",2,FO,2025-12-01 19:10:45
2010,1312,Molecular Biology,2,FO,2025-12-01 19:10:45
2010,1904,Earth-Surface Processes,2,FO,2025-12-01 19:10:45
2010,2304,Environmental Chemistry,2,FO,2025-12-01 19:10:45
2010,2734,Pathology and Forensic Medicine,2,FO,2025-12-01 19:10:45
2010,2916,Nutrition and Dietetics,2,FO,2025-12-01 19:10:45
2010,3614,Radiological and Ultrasound Technology,2,FO,2025-12-01 19:10:45
2010,1103,Animal Science and Zoology,1,FO,2025-12-01 19:10:45
2010,1104,Aquatic Science,1,FO,2025-12-01 19:10:45
2010,1311,Genetics,1,FO,2025-12-01 19:10:45
2010,1907,Geology,1,FO,2025-12-01 19:10:45
2010,2305,Environmental Engineering,1,FO,2025-12-01 19:10:45
2010,2308,"Management, Monitoring, Policy and Law",1,FO,2025-12-01 19:10:45
2010,2310,Pollution,1,FO,2025-12-01 19:10:45
2010,2403,Immunology,1,FO,2025-12-01 19:10:45
2010,2713,Epidemiology,1,FO,2025-12-01 19:10:45
2010,2731,Ophthalmology,1,FO,2025-12-01 19:10:45
