subfield_id,subfield_name,title,doi,year,cited_by_count,id
1312,Molecular Biology,Fiji: an open-source platform for biological-image analysis,https://doi.org/10.1038/nmeth.2019,2012,65479,https://openalex.org/W2167279371
1312,Molecular Biology,Naive Bayesian Classifier for Rapid Assignment of rRNA Sequences into the New Bacterial Taxonomy,https://doi.org/10.1128/aem.00062-07,2007,19711,https://openalex.org/W2152885278
1312,Molecular Biology,An integrated encyclopedia of DNA elements in the human genome,https://doi.org/10.1038/nature11247,2012,18598,https://openalex.org/W2259938310
1312,Molecular Biology,New Algorithms and Methods to Estimate Maximum-Likelihood Phylogenies: Assessing the Performance of PhyML 3.0,https://doi.org/10.1093/sysbio/syq010,2010,18087,https://openalex.org/W2111211467
1312,Molecular Biology,Scalable molecular dynamics with NAMD,https://doi.org/10.1002/jcc.20289,2005,17007,https://openalex.org/W2150981663
1312,Molecular Biology,"Fast, scalable generation of high‐quality protein multiple sequence alignments using Clustal Omega",https://doi.org/10.1038/msb.2011.75,2011,15469,https://openalex.org/W2127322768
1312,Molecular Biology,Improved Survival with Ipilimumab in Patients with Metastatic Melanoma,https://doi.org/10.1056/nejmoa1003466,2010,14788,https://openalex.org/W2097995306
1312,Molecular Biology,Metascape provides a biologist-oriented resource for the analysis of systems-level datasets,https://doi.org/10.1038/s41467-019-09234-6,2019,14350,https://openalex.org/W2928665623
1312,Molecular Biology,The Hallmarks of Aging,https://doi.org/10.1016/j.cell.2013.05.039,2013,13907,https://openalex.org/W2126525177
1312,Molecular Biology,The 2007 WHO Classification of Tumours of the Central Nervous System,,2010,13790,https://openalex.org/W2160382843
3312,Sociology and Political Science,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,https://doi.org/10.1136/bmj.n71,2021,76049,https://openalex.org/W3118615836
3312,Sociology and Political Science,RoB 2: a revised tool for assessing risk of bias in randomised trials,https://doi.org/10.1136/bmj.l4898,2019,25866,https://openalex.org/W2970684805
3312,Sociology and Political Science,"Users of the world, unite! The challenges and opportunities of Social Media",https://doi.org/10.1016/j.bushor.2009.09.003,2009,17042,https://openalex.org/W2121001699
3312,Sociology and Political Science,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,https://doi.org/10.1186/s13643-021-01626-4,2021,12400,https://openalex.org/W3144543375
3312,Sociology and Political Science,The PRISMA 2020 statement: An updated guideline for reporting systematic reviews,https://doi.org/10.1016/j.ijsu.2021.105906,2021,10606,https://openalex.org/W3146142859
3312,Sociology and Political Science,PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews,https://doi.org/10.1136/bmj.n160,2021,9394,https://openalex.org/W3123893780
3312,Sociology and Political Science,Better reporting of interventions: template for intervention description and replication (TIDieR) checklist and guide,https://doi.org/10.1136/bmj.g1687,2014,9278,https://openalex.org/W2145555293
