year,id,name,works_count,country,fetch_date
2005,2746,Surgery,5,GD,2025-12-01 19:06:56
2005,2734,Pathology and Forensic Medicine,4,GD,2025-12-01 19:06:56
2005,2739,"Public Health, Environmental and Occupational Health",4,GD,2025-12-01 19:06:56
2005,2405,Parasitology,2,GD,2025-12-01 19:06:56
2005,2712,"Endocrinology, Diabetes and Metabolism",2,GD,2025-12-01 19:06:56
2005,2737,Physiology,2,GD,2025-12-01 19:06:56
2005,2740,Pulmonary and Respiratory Medicine,2,GD,2025-12-01 19:06:56
2005,1312,Molecular Biology,1,GD,2025-12-01 19:06:56
2005,2307,"Health, Toxicology and Mutagenesis",1,GD,2025-12-01 19:06:56
2005,2403,Immunology,1,GD,2025-12-01 19:06:56
2005,2705,Cardiology and Cardiovascular Medicine,1,GD,2025-12-01 19:06:56
2005,2708,Dermatology,1,GD,2025-12-01 19:06:56
2005,2713,Epidemiology,1,GD,2025-12-01 19:06:56
2005,2715,Gastroenterology,1,GD,2025-12-01 19:06:56
2005,2720,Hematology,1,GD,2025-12-01 19:06:56
2005,2725,Infectious Diseases,1,GD,2025-12-01 19:06:56
2005,2730,Oncology,1,GD,2025-12-01 19:06:56
2005,2735,"Pediatrics, Perinatology and Child Health",1,GD,2025-12-01 19:06:56
2005,2745,Rheumatology,1,GD,2025-12-01 19:06:56
2005,3312,Sociology and Political Science,1,GD,2025-12-01 19:06:56
2005,3504,Oral Surgery,1,GD,2025-12-01 19:06:56
2006,2746,Surgery,23,GD,2025-12-01 19:06:56
2006,2740,Pulmonary and Respiratory Medicine,9,GD,2025-12-01 19:06:56
2006,2728,Neurology,8,GD,2025-12-01 19:06:56
2006,2705,Cardiology and Cardiovascular Medicine,7,GD,2025-12-01 19:06:56
2006,2713,Epidemiology,7,GD,2025-12-01 19:06:56
2006,2741,"Radiology, Nuclear Medicine and Imaging",7,GD,2025-12-01 19:06:56
2006,2734,Pathology and Forensic Medicine,5,GD,2025-12-01 19:06:56
2006,2405,Parasitology,3,GD,2025-12-01 19:06:56
2006,2725,Infectious Diseases,3,GD,2025-12-01 19:06:56
2006,1307,Cell Biology,2,GD,2025-12-01 19:06:56
2006,1311,Genetics,2,GD,2025-12-01 19:06:56
2006,1312,Molecular Biology,2,GD,2025-12-01 19:06:56
2006,2404,Microbiology,2,GD,2025-12-01 19:06:56
2006,2406,Virology,2,GD,2025-12-01 19:06:56
2006,2703,Anesthesiology and Pain Medicine,2,GD,2025-12-01 19:06:56
2006,2708,Dermatology,2,GD,2025-12-01 19:06:56
2006,2716,Genetics,2,GD,2025-12-01 19:06:56
2006,2721,Hepatology,2,GD,2025-12-01 19:06:56
2006,2738,Psychiatry and Mental health,2,GD,2025-12-01 19:06:56
2006,2808,Neurology,2,GD,2025-12-01 19:06:56
2006,1106,Food Science,1,GD,2025-12-01 19:06:56
2006,1202,History,1,GD,2025-12-01 19:06:56
2006,1305,Biotechnology,1,GD,2025-12-01 19:06:56
2006,2204,Biomedical Engineering,1,GD,2025-12-01 19:06:56
2006,2711,Emergency Medicine,1,GD,2025-12-01 19:06:56
2006,2732,Orthopedics and Sports Medicine,1,GD,2025-12-01 19:06:56
2006,2735,"Pediatrics, Perinatology and Child Health",1,GD,2025-12-01 19:06:56
2006,2736,Pharmacology,1,GD,2025-12-01 19:06:56
2006,2737,Physiology,1,GD,2025-12-01 19:06:56
2006,2739,"Public Health, Environmental and Occupational Health",1,GD,2025-12-01 19:06:56
2006,2742,Rehabilitation,1,GD,2025-12-01 19:06:56
2006,2804,Cellular and Molecular Neuroscience,1,GD,2025-12-01 19:06:56
2006,3304,Education,1,GD,2025-12-01 19:06:56
2006,3311,Safety Research,1,GD,2025-12-01 19:06:56
2006,3600,General Health Professions,1,GD,2025-12-01 19:06:56
2006,3616,Speech and Hearing,1,GD,2025-12-01 19:06:56
2007,2746,Surgery,40,GD,2025-12-01 19:06:56
2007,2734,Pathology and Forensic Medicine,14,GD,2025-12-01 19:06:56
2007,2728,Neurology,13,GD,2025-12-01 19:06:56
2007,2741,"Radiology, Nuclear Medicine and Imaging",10,GD,2025-12-01 19:06:56
2007,2713,Epidemiology,9,GD,2025-12-01 19:06:56
2007,2739,"Public Health, Environmental and Occupational Health",8,GD,2025-12-01 19:06:56
2007,2804,Cellular and Molecular Neuroscience,7,GD,2025-12-01 19:06:56
2007,2740,Pulmonary and Respiratory Medicine,6,GD,2025-12-01 19:06:56
2007,1202,History,4,GD,2025-12-01 19:06:56
2007,2715,Gastroenterology,4,GD,2025-12-01 19:06:56
2007,3616,Speech and Hearing,4,GD,2025-12-01 19:06:56
2007,2705,Cardiology and Cardiovascular Medicine,3,GD,2025-12-01 19:06:56
2007,2732,Orthopedics and Sports Medicine,3,GD,2025-12-01 19:06:56
2007,2735,"Pediatrics, Perinatology and Child Health",3,GD,2025-12-01 19:06:56
2007,2737,Physiology,3,GD,2025-12-01 19:06:56
2007,1307,Cell Biology,2,GD,2025-12-01 19:06:56
2007,2725,Infectious Diseases,2,GD,2025-12-01 19:06:56
2007,3604,Emergency Medical Services,2,GD,2025-12-01 19:06:56
2007,1312,Molecular Biology,1,GD,2025-12-01 19:06:56
2007,2211,Mechanics of Materials,1,GD,2025-12-01 19:06:56
2007,2405,Parasitology,1,GD,2025-12-01 19:06:56
2007,2702,Anatomy,1,GD,2025-12-01 19:06:56
2007,2703,Anesthesiology and Pain Medicine,1,GD,2025-12-01 19:06:56
2007,2708,Dermatology,1,GD,2025-12-01 19:06:56
2007,2711,Emergency Medicine,1,GD,2025-12-01 19:06:56
2007,2716,Genetics,1,GD,2025-12-01 19:06:56
2007,2729,Obstetrics and Gynecology,1,GD,2025-12-01 19:06:56
2007,2733,Otorhinolaryngology,1,GD,2025-12-01 19:06:56
2007,2736,Pharmacology,1,GD,2025-12-01 19:06:56
2007,2738,Psychiatry and Mental health,1,GD,2025-12-01 19:06:56
2007,2743,Reproductive Medicine,1,GD,2025-12-01 19:06:56
2007,2748,Urology,1,GD,2025-12-01 19:06:56
2007,2805,Cognitive Neuroscience,1,GD,2025-12-01 19:06:56
2007,2808,Neurology,1,GD,2025-12-01 19:06:56
2007,3103,Astronomy and Astrophysics,1,GD,2025-12-01 19:06:56
2007,3203,Clinical Psychology,1,GD,2025-12-01 19:06:56
2007,3311,Safety Research,1,GD,2025-12-01 19:06:56
2007,3600,General Health Professions,1,GD,2025-12-01 19:06:56
2008,2746,Surgery,49,GD,2025-12-01 19:06:56
2008,2728,Neurology,13,GD,2025-12-01 19:06:56
2008,2739,"Public Health, Environmental and Occupational Health",11,GD,2025-12-01 19:06:56
