subfield_id,subfield_name,title,doi,year,cited_by_count,id
3600,General Health Professions,Ready for What? An Exploration of the Meaning of New Graduate Nurses' Readiness for Practice,https://doi.org/10.2202/1548-923x.1827,2010,115,https://openalex.org/W1986497388
3600,General Health Professions,Health promotion,https://doi.org/10.1136/bmj.330.7490.527,2005,98,https://openalex.org/W127102900
3600,General Health Professions,To meat or not to meat? New perspectives on<scp>N</scp>eanderthal ecology,https://doi.org/10.1002/ajpa.22659,2014,94,https://openalex.org/W1788137409
2713,Epidemiology,Pediatric Pulmonary Hypertension,https://doi.org/10.1161/cir.0000000000000329,2015,1070,https://openalex.org/W2178108213
2713,Epidemiology,Management of Stroke in Neonates and Children: A Scientific Statement From the American Heart Association/American Stroke Association,https://doi.org/10.1161/str.0000000000000183,2019,673,https://openalex.org/W2911497402
2713,Epidemiology,Hemicraniectomy and Durotomy Upon Deterioration From Infarction-Related Swelling Trial,https://doi.org/10.1161/strokeaha.113.003200,2014,137,https://openalex.org/W2107367362
3203,Clinical Psychology,Why do people watch pornography? The motivational basis of pornography use.,https://doi.org/10.1037/adb0000603,2020,152,https://openalex.org/W3046771307
3203,Clinical Psychology,Engaging the vulnerable: A rapid review of public health communication aimed at migrants during the COVID-19 pandemic in Europe,https://doi.org/10.1016/j.jmh.2020.100004,2020,104,https://openalex.org/W3101251808
3203,Clinical Psychology,Gambling in Canada During the COVID Lockdown: Prospective National Survey,https://doi.org/10.1007/s10899-021-10073-8,2021,27,https://openalex.org/W3199739820
2746,Surgery,Renal impairment after ileostomy formation: a frequent event with long‐term consequences,https://doi.org/10.1111/codi.14866,2019,80,https://openalex.org/W2977066913
2746,Surgery,High-Resolution Sonography of the Palmar Cutaneous Branch of the Median Nerve,https://doi.org/10.2214/ajr.07.3383,2008,78,https://openalex.org/W2119368792
2746,Surgery,"Practical Experience with Sonographically Guided Phenol Instillation of Stump Neuroma: Predictors of Effects, Success, and Outcome",https://doi.org/10.2214/ajr.07.2050,2008,75,https://openalex.org/W2053632054
2739,"Public Health, Environmental and Occupational Health","Health Care Response to CCHF in US Soldier and Nosocomial Transmission to Health Care Providers, Germany, 2009",https://doi.org/10.3201/eid2101.141413,2014,93,https://openalex.org/W2090061125
2739,"Public Health, Environmental and Occupational Health",Horizon Scanning to Predict and Prioritize Invasive Alien Species With the Potential to Threaten Human Health and Economies on Cyprus,https://doi.org/10.3389/fevo.2020.566281,2020,45,https://openalex.org/W3093662191
2739,"Public Health, Environmental and Occupational Health",Gene Expression Profiling and Functional Characterization of Macrophages in Response to Circulatory Microparticles Produced during &lt;b&gt;&lt;i&gt;Trypanosoma cruzi&lt;/i&gt;&lt;/b&gt; Infection and Chagas Disease,https://doi.org/10.1159/000451055,2016,33,https://openalex.org/W2558742480
3314,Anthropology,Late survival of Neanderthals at the southernmost extreme of Europe,https://doi.org/10.1038/nature05195,2006,454,https://openalex.org/W2048313731
3314,Anthropology,A rock engraving made by Neanderthals in Gibraltar,https://doi.org/10.1073/pnas.1411529111,2014,351,https://openalex.org/W2111876746
3314,Anthropology,Neanderthal exploitation of marine mammals in Gibraltar,https://doi.org/10.1073/pnas.0805474105,2008,331,https://openalex.org/W2032414506
1911,Paleontology,The genomic history of the Iberian Peninsula over the past 8000 years,https://doi.org/10.1126/science.aav4040,2019,527,https://openalex.org/W2922043930
1911,Paleontology,Late survival of Neanderthals at the southernmost extreme of Europe,https://doi.org/10.1038/nature05195,2006,454,https://openalex.org/W2048313731
1911,Paleontology,A rock engraving made by Neanderthals in Gibraltar,https://doi.org/10.1073/pnas.1411529111,2014,351,https://openalex.org/W2111876746
2740,Pulmonary and Respiratory Medicine,Pediatric Pulmonary Hypertension,https://doi.org/10.1161/cir.0000000000000329,2015,1070,https://openalex.org/W2178108213
2740,Pulmonary and Respiratory Medicine,Oxygen and Mortality in COVID-19 Pneumonia: A Comparative Analysis of Supplemental Oxygen Policies and Health Outcomes Across 26 Countries,https://doi.org/10.3389/fpubh.2021.580585,2021,33,https://openalex.org/W3177571953
2740,Pulmonary and Respiratory Medicine,Automatic stent reconstruction in optical coherence tomography based on a deep convolutional model,https://doi.org/10.1364/boe.390113,2020,32,https://openalex.org/W3028248625
3312,Sociology and Political Science,Why do people watch pornography? The motivational basis of pornography use.,https://doi.org/10.1037/adb0000603,2020,152,https://openalex.org/W3046771307
3312,Sociology and Political Science,The appropriation of new organizational forms within networks of practice: Founder and founder-related ideological power,https://doi.org/10.1177/0018726707079200,2007,44,https://openalex.org/W2123560829
3312,Sociology and Political Science,Internet Addiction and Mental and Physical Fatigue,https://doi.org/10.2991/itmr.7.1.3,2018,25,https://openalex.org/W2892830033
1204,Archeology,The genomic history of the Iberian Peninsula over the past 8000 years,https://doi.org/10.1126/science.aav4040,2019,527,https://openalex.org/W2922043930
1204,Archeology,Late survival of Neanderthals at the southernmost extreme of Europe,https://doi.org/10.1038/nature05195,2006,454,https://openalex.org/W2048313731
1204,Archeology,Marine mollusc exploitation in Mediterranean prehistory: An overview,https://doi.org/10.1016/j.quaint.2010.09.001,2010,224,https://openalex.org/W2085801852
