year,id,name,works_count,country,fetch_date
2005,3600,General Health Professions,16,GL,2025-12-01 19:08:47
2005,1902,Atmospheric Science,9,GL,2025-12-01 19:08:47
2005,2307,"Health, Toxicology and Mutagenesis",9,GL,2025-12-01 19:08:47
2005,2303,Ecology,8,GL,2025-12-01 19:08:47
2005,2306,Global and Planetary Change,7,GL,2025-12-01 19:08:47
2005,1911,Paleontology,4,GL,2025-12-01 19:08:47
2005,3314,Anthropology,4,GL,2025-12-01 19:08:47
2005,1910,Oceanography,3,GL,2025-12-01 19:08:47
2005,2304,Environmental Chemistry,3,GL,2025-12-01 19:08:47
2005,1105,"Ecology, Evolution, Behavior and Systematics",2,GL,2025-12-01 19:08:47
2005,2309,Nature and Landscape Conservation,2,GL,2025-12-01 19:08:47
2005,2739,"Public Health, Environmental and Occupational Health",2,GL,2025-12-01 19:08:47
2005,2916,Nutrition and Dietetics,2,GL,2025-12-01 19:08:47
2005,1311,Genetics,1,GL,2025-12-01 19:08:47
2005,1314,Physiology,1,GL,2025-12-01 19:08:47
2005,1702,Artificial Intelligence,1,GL,2025-12-01 19:08:47
2005,2405,Parasitology,1,GL,2025-12-01 19:08:47
2005,2712,"Endocrinology, Diabetes and Metabolism",1,GL,2025-12-01 19:08:47
2005,2713,Epidemiology,1,GL,2025-12-01 19:08:47
2005,2717,Geriatrics and Gerontology,1,GL,2025-12-01 19:08:47
2005,2735,"Pediatrics, Perinatology and Child Health",1,GL,2025-12-01 19:08:47
2005,3312,Sociology and Political Science,1,GL,2025-12-01 19:08:47
2005,3318,Gender Studies,1,GL,2025-12-01 19:08:47
2005,3611,Pharmacy,1,GL,2025-12-01 19:08:47
2006,2303,Ecology,22,GL,2025-12-01 19:08:47
2006,2307,"Health, Toxicology and Mutagenesis",17,GL,2025-12-01 19:08:47
2006,1902,Atmospheric Science,13,GL,2025-12-01 19:08:47
2006,1910,Oceanography,12,GL,2025-12-01 19:08:47
2006,2306,Global and Planetary Change,10,GL,2025-12-01 19:08:47
2006,2304,Environmental Chemistry,5,GL,2025-12-01 19:08:47
2006,3600,General Health Professions,5,GL,2025-12-01 19:08:47
2006,2309,Nature and Landscape Conservation,4,GL,2025-12-01 19:08:47
2006,1103,Animal Science and Zoology,3,GL,2025-12-01 19:08:47
2006,2310,Pollution,3,GL,2025-12-01 19:08:47
2006,1105,"Ecology, Evolution, Behavior and Systematics",2,GL,2025-12-01 19:08:47
2006,2405,Parasitology,2,GL,2025-12-01 19:08:47
2006,3312,Sociology and Political Science,2,GL,2025-12-01 19:08:47
2006,1104,Aquatic Science,1,GL,2025-12-01 19:08:47
2006,1109,Insect Science,1,GL,2025-12-01 19:08:47
2006,1306,Cancer Research,1,GL,2025-12-01 19:08:47
2006,1309,Developmental Biology,1,GL,2025-12-01 19:08:47
2006,1312,Molecular Biology,1,GL,2025-12-01 19:08:47
2006,1314,Physiology,1,GL,2025-12-01 19:08:47
2006,1906,Geochemistry and Petrology,1,GL,2025-12-01 19:08:47
2006,1907,Geology,1,GL,2025-12-01 19:08:47
2006,2211,Mechanics of Materials,1,GL,2025-12-01 19:08:47
2006,2735,"Pediatrics, Perinatology and Child Health",1,GL,2025-12-01 19:08:47
2006,2739,"Public Health, Environmental and Occupational Health",1,GL,2025-12-01 19:08:47
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,GL,2025-12-01 19:08:47
2006,3203,Clinical Psychology,1,GL,2025-12-01 19:08:47
2006,3304,Education,1,GL,2025-12-01 19:08:47
2006,3306,Health,1,GL,2025-12-01 19:08:47
2006,3614,Radiological and Ultrasound Technology,1,GL,2025-12-01 19:08:47
2006,3616,Speech and Hearing,1,GL,2025-12-01 19:08:47
2007,1902,Atmospheric Science,20,GL,2025-12-01 19:08:47
2007,2303,Ecology,17,GL,2025-12-01 19:08:47
2007,2307,"Health, Toxicology and Mutagenesis",11,GL,2025-12-01 19:08:47
2007,2304,Environmental Chemistry,10,GL,2025-12-01 19:08:47
2007,2306,Global and Planetary Change,10,GL,2025-12-01 19:08:47
2007,1910,Oceanography,9,GL,2025-12-01 19:08:47
2007,3600,General Health Professions,5,GL,2025-12-01 19:08:47
2007,2310,Pollution,4,GL,2025-12-01 19:08:47
