year,id,name,works_count,country,fetch_date
2005,2713,Epidemiology,25,GM,2025-12-01 19:06:38
2005,2725,Infectious Diseases,16,GM,2025-12-01 19:06:38
2005,2739,"Public Health, Environmental and Occupational Health",12,GM,2025-12-01 19:06:38
2005,2735,"Pediatrics, Perinatology and Child Health",11,GM,2025-12-01 19:06:38
2005,2403,Immunology,10,GM,2025-12-01 19:06:38
2005,2404,Microbiology,9,GM,2025-12-01 19:06:38
2005,1312,Molecular Biology,6,GM,2025-12-01 19:06:38
2005,2721,Hepatology,6,GM,2025-12-01 19:06:38
2005,2737,Physiology,6,GM,2025-12-01 19:06:38
2005,2916,Nutrition and Dietetics,6,GM,2025-12-01 19:06:38
2005,2406,Virology,5,GM,2025-12-01 19:06:38
2005,2746,Surgery,5,GM,2025-12-01 19:06:38
2005,1105,"Ecology, Evolution, Behavior and Systematics",4,GM,2025-12-01 19:06:38
2005,1311,Genetics,4,GM,2025-12-01 19:06:38
2005,2002,Economics and Econometrics,4,GM,2025-12-01 19:06:38
2005,2711,Emergency Medicine,4,GM,2025-12-01 19:06:38
2005,2745,Rheumatology,3,GM,2025-12-01 19:06:38
2005,3600,General Health Professions,3,GM,2025-12-01 19:06:38
2005,2405,Parasitology,2,GM,2025-12-01 19:06:38
2005,2716,Genetics,2,GM,2025-12-01 19:06:38
2005,2740,Pulmonary and Respiratory Medicine,2,GM,2025-12-01 19:06:38
2005,3318,Gender Studies,2,GM,2025-12-01 19:06:38
2005,3404,Small Animals,2,GM,2025-12-01 19:06:38
2005,3605,Health Information Management,2,GM,2025-12-01 19:06:38
2005,1102,Agronomy and Crop Science,1,GM,2025-12-01 19:06:38
2005,1103,Animal Science and Zoology,1,GM,2025-12-01 19:06:38
2005,1302,Aging,1,GM,2025-12-01 19:06:38
2005,1306,Cancer Research,1,GM,2025-12-01 19:06:38
2005,1308,Clinical Biochemistry,1,GM,2025-12-01 19:06:38
2005,1313,Molecular Medicine,1,GM,2025-12-01 19:06:38
2005,1407,Organizational Behavior and Human Resource Management,1,GM,2025-12-01 19:06:38
2005,1703,Computational Theory and Mathematics,1,GM,2025-12-01 19:06:38
2005,2303,Ecology,1,GM,2025-12-01 19:06:38
2005,2708,Dermatology,1,GM,2025-12-01 19:06:38
2005,2712,"Endocrinology, Diabetes and Metabolism",1,GM,2025-12-01 19:06:38
2005,2720,Hematology,1,GM,2025-12-01 19:06:38
2005,2728,Neurology,1,GM,2025-12-01 19:06:38
2005,2729,Obstetrics and Gynecology,1,GM,2025-12-01 19:06:38
2005,2730,Oncology,1,GM,2025-12-01 19:06:38
2005,3004,Pharmacology,1,GM,2025-12-01 19:06:38
2005,3306,Health,1,GM,2025-12-01 19:06:38
2005,3604,Emergency Medical Services,1,GM,2025-12-01 19:06:38
2006,2713,Epidemiology,35,GM,2025-12-01 19:06:38
2006,2403,Immunology,26,GM,2025-12-01 19:06:38
2006,2739,"Public Health, Environmental and Occupational Health",26,GM,2025-12-01 19:06:38
2006,2725,Infectious Diseases,22,GM,2025-12-01 19:06:38
2006,2404,Microbiology,12,GM,2025-12-01 19:06:38
2006,2406,Virology,12,GM,2025-12-01 19:06:38
2006,2735,"Pediatrics, Perinatology and Child Health",12,GM,2025-12-01 19:06:38
2006,2916,Nutrition and Dietetics,9,GM,2025-12-01 19:06:38
2006,1312,Molecular Biology,6,GM,2025-12-01 19:06:38
2006,2746,Surgery,5,GM,2025-12-01 19:06:38
2006,3306,Health,5,GM,2025-12-01 19:06:38
2006,1311,Genetics,4,GM,2025-12-01 19:06:38
2006,2732,Orthopedics and Sports Medicine,4,GM,2025-12-01 19:06:38
2006,2737,Physiology,4,GM,2025-12-01 19:06:38
2006,2716,Genetics,3,GM,2025-12-01 19:06:38
2006,2721,Hepatology,3,GM,2025-12-01 19:06:38
2006,2730,Oncology,3,GM,2025-12-01 19:06:38
2006,2745,Rheumatology,3,GM,2025-12-01 19:06:38
2006,3004,Pharmacology,3,GM,2025-12-01 19:06:38
2006,2307,"Health, Toxicology and Mutagenesis",2,GM,2025-12-01 19:06:38
2006,2729,Obstetrics and Gynecology,2,GM,2025-12-01 19:06:38
2006,2738,Psychiatry and Mental health,2,GM,2025-12-01 19:06:38
2006,1103,Animal Science and Zoology,1,GM,2025-12-01 19:06:38
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,GM,2025-12-01 19:06:38
2006,1306,Cancer Research,1,GM,2025-12-01 19:06:38
2006,1307,Cell Biology,1,GM,2025-12-01 19:06:38
2006,2303,Ecology,1,GM,2025-12-01 19:06:38
2006,2405,Parasitology,1,GM,2025-12-01 19:06:38
2006,2611,Modeling and Simulation,1,GM,2025-12-01 19:06:38
2006,2705,Cardiology and Cardiovascular Medicine,1,GM,2025-12-01 19:06:38
2006,2708,Dermatology,1,GM,2025-12-01 19:06:38
2006,2711,Emergency Medicine,1,GM,2025-12-01 19:06:38
2006,2720,Hematology,1,GM,2025-12-01 19:06:38
2006,2728,Neurology,1,GM,2025-12-01 19:06:38
2006,2734,Pathology and Forensic Medicine,1,GM,2025-12-01 19:06:38
2006,3203,Clinical Psychology,1,GM,2025-12-01 19:06:38
2006,3311,Safety Research,1,GM,2025-12-01 19:06:38
2006,3312,Sociology and Political Science,1,GM,2025-12-01 19:06:38
2006,3600,General Health Professions,1,GM,2025-12-01 19:06:38
2006,3603,Complementary and Manual Therapy,1,GM,2025-12-01 19:06:38
2006,3611,Pharmacy,1,GM,2025-12-01 19:06:38
2007,2403,Immunology,23,GM,2025-12-01 19:06:38
2007,2713,Epidemiology,18,GM,2025-12-01 19:06:38
2007,2725,Infectious Diseases,17,GM,2025-12-01 19:06:38
2007,2739,"Public Health, Environmental and Occupational Health",17,GM,2025-12-01 19:06:38
2007,1312,Molecular Biology,9,GM,2025-12-01 19:06:38
2007,2735,"Pediatrics, Perinatology and Child Health",7,GM,2025-12-01 19:06:38
2007,2404,Microbiology,6,GM,2025-12-01 19:06:38
2007,2916,Nutrition and Dietetics,6,GM,2025-12-01 19:06:38
2007,2405,Parasitology,5,GM,2025-12-01 19:06:38
2007,2406,Virology,5,GM,2025-12-01 19:06:38
2007,2737,Physiology,4,GM,2025-12-01 19:06:38
2007,1311,Genetics,3,GM,2025-12-01 19:06:38
2007,2720,Hematology,3,GM,2025-12-01 19:06:38
2007,2746,Surgery,3,GM,2025-12-01 19:06:38
2007,2804,Cellular and Molecular Neuroscience,3,GM,2025-12-01 19:06:38
2007,1105,"Ecology, Evolution, Behavior and Systematics",2,GM,2025-12-01 19:06:38
2007,1110,Plant Science,2,GM,2025-12-01 19:06:38
2007,2003,Finance,2,GM,2025-12-01 19:06:38
2007,2716,Genetics,2,GM,2025-12-01 19:06:38
2007,3600,General Health Professions,2,GM,2025-12-01 19:06:38
2007,1109,Insect Science,1,GM,2025-12-01 19:06:38
2007,1306,Cancer Research,1,GM,2025-12-01 19:06:38
2007,1307,Cell Biology,1,GM,2025-12-01 19:06:38
2007,1604,Inorganic Chemistry,1,GM,2025-12-01 19:06:38
2007,2303,Ecology,1,GM,2025-12-01 19:06:38
2007,2708,Dermatology,1,GM,2025-12-01 19:06:38
2007,2721,Hepatology,1,GM,2025-12-01 19:06:38
2007,2729,Obstetrics and Gynecology,1,GM,2025-12-01 19:06:38
2007,2731,Ophthalmology,1,GM,2025-12-01 19:06:38
2007,2740,Pulmonary and Respiratory Medicine,1,GM,2025-12-01 19:06:38
2007,2745,Rheumatology,1,GM,2025-12-01 19:06:38
2007,3306,Health,1,GM,2025-12-01 19:06:38
2007,3318,Gender Studies,1,GM,2025-12-01 19:06:38
2007,3604,Emergency Medical Services,1,GM,2025-12-01 19:06:38
2007,3605,Health Information Management,1,GM,2025-12-01 19:06:38
2008,2713,Epidemiology,35,GM,2025-12-01 19:06:38
2008,2739,"Public Health, Environmental and Occupational Health",29,GM,2025-12-01 19:06:38
2008,2725,Infectious Diseases,25,GM,2025-12-01 19:06:38
2008,2403,Immunology,21,GM,2025-12-01 19:06:38
2008,2406,Virology,13,GM,2025-12-01 19:06:38
2008,2735,"Pediatrics, Perinatology and Child Health",11,GM,2025-12-01 19:06:38
2008,2916,Nutrition and Dietetics,10,GM,2025-12-01 19:06:38
2008,1312,Molecular Biology,8,GM,2025-12-01 19:06:38
