year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,2,GN,2025-12-01 19:08:55
2005,2713,Epidemiology,2,GN,2025-12-01 19:08:55
2005,2739,"Public Health, Environmental and Occupational Health",2,GN,2025-12-01 19:08:55
2005,2740,Pulmonary and Respiratory Medicine,2,GN,2025-12-01 19:08:55
2005,2746,Surgery,2,GN,2025-12-01 19:08:55
2005,1102,Agronomy and Crop Science,1,GN,2025-12-01 19:08:55
2005,1109,Insect Science,1,GN,2025-12-01 19:08:55
2005,2303,Ecology,1,GN,2025-12-01 19:08:55
2005,2309,Nature and Landscape Conservation,1,GN,2025-12-01 19:08:55
2005,2725,Infectious Diseases,1,GN,2025-12-01 19:08:55
2005,2729,Obstetrics and Gynecology,1,GN,2025-12-01 19:08:55
2005,2733,Otorhinolaryngology,1,GN,2025-12-01 19:08:55
2005,2735,"Pediatrics, Perinatology and Child Health",1,GN,2025-12-01 19:08:55
2006,2713,Epidemiology,7,GN,2025-12-01 19:08:55
2006,2746,Surgery,6,GN,2025-12-01 19:08:55
2006,2725,Infectious Diseases,5,GN,2025-12-01 19:08:55
2006,3600,General Health Professions,5,GN,2025-12-01 19:08:55
2006,1110,Plant Science,4,GN,2025-12-01 19:08:55
2006,2404,Microbiology,3,GN,2025-12-01 19:08:55
2006,2712,"Endocrinology, Diabetes and Metabolism",3,GN,2025-12-01 19:08:55
2006,1106,Food Science,2,GN,2025-12-01 19:08:55
2006,2739,"Public Health, Environmental and Occupational Health",2,GN,2025-12-01 19:08:55
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,GN,2025-12-01 19:08:55
2006,1202,History,1,GN,2025-12-01 19:08:55
2006,1211,Philosophy,1,GN,2025-12-01 19:08:55
2006,1306,Cancer Research,1,GN,2025-12-01 19:08:55
2006,1311,Genetics,1,GN,2025-12-01 19:08:55
2006,1803,Management Science and Operations Research,1,GN,2025-12-01 19:08:55
2006,2406,Virology,1,GN,2025-12-01 19:08:55
2006,2705,Cardiology and Cardiovascular Medicine,1,GN,2025-12-01 19:08:55
2006,2707,Complementary and alternative medicine,1,GN,2025-12-01 19:08:55
2006,2708,Dermatology,1,GN,2025-12-01 19:08:55
2006,2714,Family Practice,1,GN,2025-12-01 19:08:55
2006,2733,Otorhinolaryngology,1,GN,2025-12-01 19:08:55
2006,2735,"Pediatrics, Perinatology and Child Health",1,GN,2025-12-01 19:08:55
2006,2740,Pulmonary and Respiratory Medicine,1,GN,2025-12-01 19:08:55
2006,2743,Reproductive Medicine,1,GN,2025-12-01 19:08:55
2007,1110,Plant Science,8,GN,2025-12-01 19:08:55
2007,2713,Epidemiology,4,GN,2025-12-01 19:08:55
2007,2725,Infectious Diseases,4,GN,2025-12-01 19:08:55
2007,1311,Genetics,3,GN,2025-12-01 19:08:55
2007,2712,"Endocrinology, Diabetes and Metabolism",3,GN,2025-12-01 19:08:55
2007,2739,"Public Health, Environmental and Occupational Health",3,GN,2025-12-01 19:08:55
2007,2740,Pulmonary and Respiratory Medicine,3,GN,2025-12-01 19:08:55
2007,1105,"Ecology, Evolution, Behavior and Systematics",2,GN,2025-12-01 19:08:55
2007,1107,Forestry,2,GN,2025-12-01 19:08:55
2007,2746,Surgery,2,GN,2025-12-01 19:08:55
2007,3600,General Health Professions,2,GN,2025-12-01 19:08:55
2007,1109,Insect Science,1,GN,2025-12-01 19:08:55
2007,1303,Biochemistry,1,GN,2025-12-01 19:08:55
2007,1306,Cancer Research,1,GN,2025-12-01 19:08:55
2007,1308,Clinical Biochemistry,1,GN,2025-12-01 19:08:55
2007,2403,Immunology,1,GN,2025-12-01 19:08:55
2007,2404,Microbiology,1,GN,2025-12-01 19:08:55
2007,2406,Virology,1,GN,2025-12-01 19:08:55
2007,2711,Emergency Medicine,1,GN,2025-12-01 19:08:55
2007,2726,Microbiology,1,GN,2025-12-01 19:08:55
2007,2729,Obstetrics and Gynecology,1,GN,2025-12-01 19:08:55
2007,2735,"Pediatrics, Perinatology and Child Health",1,GN,2025-12-01 19:08:55
2007,2743,Reproductive Medicine,1,GN,2025-12-01 19:08:55
2007,2748,Urology,1,GN,2025-12-01 19:08:55
2007,3305,"Geography, Planning and Development",1,GN,2025-12-01 19:08:55
2007,3404,Small Animals,1,GN,2025-12-01 19:08:55
2007,3604,Emergency Medical Services,1,GN,2025-12-01 19:08:55
2008,2746,Surgery,5,GN,2025-12-01 19:08:55
2008,1105,"Ecology, Evolution, Behavior and Systematics",3,GN,2025-12-01 19:08:55
2008,2713,Epidemiology,3,GN,2025-12-01 19:08:55
2008,2725,Infectious Diseases,3,GN,2025-12-01 19:08:55
2008,2745,Rheumatology,3,GN,2025-12-01 19:08:55
2008,2748,Urology,3,GN,2025-12-01 19:08:55
2008,1110,Plant Science,2,GN,2025-12-01 19:08:55
2008,2712,"Endocrinology, Diabetes and Metabolism",2,GN,2025-12-01 19:08:55
2008,1100,General Agricultural and Biological Sciences,1,GN,2025-12-01 19:08:55
2008,1103,Animal Science and Zoology,1,GN,2025-12-01 19:08:55
2008,1107,Forestry,1,GN,2025-12-01 19:08:55
2008,1311,Genetics,1,GN,2025-12-01 19:08:55
2008,2303,Ecology,1,GN,2025-12-01 19:08:55
2008,2403,Immunology,1,GN,2025-12-01 19:08:55
2008,2728,Neurology,1,GN,2025-12-01 19:08:55
2008,2730,Oncology,1,GN,2025-12-01 19:08:55
2008,2734,Pathology and Forensic Medicine,1,GN,2025-12-01 19:08:55
2008,2735,"Pediatrics, Perinatology and Child Health",1,GN,2025-12-01 19:08:55
2008,2739,"Public Health, Environmental and Occupational Health",1,GN,2025-12-01 19:08:55
2008,2808,Neurology,1,GN,2025-12-01 19:08:55
2008,2916,Nutrition and Dietetics,1,GN,2025-12-01 19:08:55
2008,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2008,3311,Safety Research,1,GN,2025-12-01 19:08:55
2008,3600,General Health Professions,1,GN,2025-12-01 19:08:55
2009,1105,"Ecology, Evolution, Behavior and Systematics",6,GN,2025-12-01 19:08:55
2009,2713,Epidemiology,4,GN,2025-12-01 19:08:55
2009,2739,"Public Health, Environmental and Occupational Health",4,GN,2025-12-01 19:08:55
2009,1311,Genetics,3,GN,2025-12-01 19:08:55
2009,2746,Surgery,3,GN,2025-12-01 19:08:55
2009,3312,Sociology and Political Science,3,GN,2025-12-01 19:08:55
2009,1107,Forestry,2,GN,2025-12-01 19:08:55
2009,1110,Plant Science,2,GN,2025-12-01 19:08:55
2009,2725,Infectious Diseases,2,GN,2025-12-01 19:08:55
2009,2729,Obstetrics and Gynecology,2,GN,2025-12-01 19:08:55
2009,2735,"Pediatrics, Perinatology and Child Health",2,GN,2025-12-01 19:08:55
2009,3600,General Health Professions,2,GN,2025-12-01 19:08:55
2009,1109,Insect Science,1,GN,2025-12-01 19:08:55
2009,1312,Molecular Biology,1,GN,2025-12-01 19:08:55
2009,1906,Geochemistry and Petrology,1,GN,2025-12-01 19:08:55
2009,2002,Economics and Econometrics,1,GN,2025-12-01 19:08:55
2009,2303,Ecology,1,GN,2025-12-01 19:08:55
2009,2708,Dermatology,1,GN,2025-12-01 19:08:55
2009,2730,Oncology,1,GN,2025-12-01 19:08:55
2009,2740,Pulmonary and Respiratory Medicine,1,GN,2025-12-01 19:08:55
2009,2748,Urology,1,GN,2025-12-01 19:08:55
2009,2916,Nutrition and Dietetics,1,GN,2025-12-01 19:08:55
2009,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2009,3207,Social Psychology,1,GN,2025-12-01 19:08:55
2009,3505,Orthodontics,1,GN,2025-12-01 19:08:55
2010,2406,Virology,3,GN,2025-12-01 19:08:55
2010,2725,Infectious Diseases,3,GN,2025-12-01 19:08:55
2010,2735,"Pediatrics, Perinatology and Child Health",3,GN,2025-12-01 19:08:55
2010,2739,"Public Health, Environmental and Occupational Health",3,GN,2025-12-01 19:08:55
2010,3600,General Health Professions,3,GN,2025-12-01 19:08:55
2010,1105,"Ecology, Evolution, Behavior and Systematics",2,GN,2025-12-01 19:08:55
2010,1110,Plant Science,2,GN,2025-12-01 19:08:55
2010,2306,Global and Planetary Change,2,GN,2025-12-01 19:08:55
2010,1109,Insect Science,1,GN,2025-12-01 19:08:55
2010,2302,Ecological Modeling,1,GN,2025-12-01 19:08:55
2010,2713,Epidemiology,1,GN,2025-12-01 19:08:55
2010,2740,Pulmonary and Respiratory Medicine,1,GN,2025-12-01 19:08:55
2010,2746,Surgery,1,GN,2025-12-01 19:08:55
2010,2916,Nutrition and Dietetics,1,GN,2025-12-01 19:08:55
2010,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2010,3312,Sociology and Political Science,1,GN,2025-12-01 19:08:55
2011,2725,Infectious Diseases,4,GN,2025-12-01 19:08:55
2011,1105,"Ecology, Evolution, Behavior and Systematics",3,GN,2025-12-01 19:08:55
2011,1110,Plant Science,3,GN,2025-12-01 19:08:55
2011,2739,"Public Health, Environmental and Occupational Health",3,GN,2025-12-01 19:08:55
2011,1307,Cell Biology,2,GN,2025-12-01 19:08:55
2011,1312,Molecular Biology,2,GN,2025-12-01 19:08:55
2011,2405,Parasitology,2,GN,2025-12-01 19:08:55
2011,2713,Epidemiology,2,GN,2025-12-01 19:08:55
2011,2735,"Pediatrics, Perinatology and Child Health",2,GN,2025-12-01 19:08:55
2011,2746,Surgery,2,GN,2025-12-01 19:08:55
2011,1106,Food Science,1,GN,2025-12-01 19:08:55
2011,1109,Insect Science,1,GN,2025-12-01 19:08:55
2011,1311,Genetics,1,GN,2025-12-01 19:08:55
2011,2002,Economics and Econometrics,1,GN,2025-12-01 19:08:55
2011,2403,Immunology,1,GN,2025-12-01 19:08:55
2011,2716,Genetics,1,GN,2025-12-01 19:08:55
2011,2720,Hematology,1,GN,2025-12-01 19:08:55
2011,2740,Pulmonary and Respiratory Medicine,1,GN,2025-12-01 19:08:55
2011,3312,Sociology and Political Science,1,GN,2025-12-01 19:08:55
2011,3600,General Health Professions,1,GN,2025-12-01 19:08:55
2012,1110,Plant Science,32,GN,2025-12-01 19:08:55
2012,2725,Infectious Diseases,11,GN,2025-12-01 19:08:55
2012,1105,"Ecology, Evolution, Behavior and Systematics",6,GN,2025-12-01 19:08:55
2012,2712,"Endocrinology, Diabetes and Metabolism",5,GN,2025-12-01 19:08:55
2012,2713,Epidemiology,5,GN,2025-12-01 19:08:55
2012,2739,"Public Health, Environmental and Occupational Health",5,GN,2025-12-01 19:08:55
2012,2735,"Pediatrics, Perinatology and Child Health",4,GN,2025-12-01 19:08:55
2012,2746,Surgery,4,GN,2025-12-01 19:08:55
2012,1107,Forestry,3,GN,2025-12-01 19:08:55
2012,2737,Physiology,3,GN,2025-12-01 19:08:55
2012,3312,Sociology and Political Science,3,GN,2025-12-01 19:08:55
2012,3600,General Health Professions,3,GN,2025-12-01 19:08:55
2012,2406,Virology,2,GN,2025-12-01 19:08:55
2012,2730,Oncology,2,GN,2025-12-01 19:08:55
2012,3604,Emergency Medical Services,2,GN,2025-12-01 19:08:55
2012,1100,General Agricultural and Biological Sciences,1,GN,2025-12-01 19:08:55
2012,1108,Horticulture,1,GN,2025-12-01 19:08:55
2012,1111,Soil Science,1,GN,2025-12-01 19:08:55
2012,1404,Management Information Systems,1,GN,2025-12-01 19:08:55
2012,1405,Management of Technology and Innovation,1,GN,2025-12-01 19:08:55
2012,1407,Organizational Behavior and Human Resource Management,1,GN,2025-12-01 19:08:55
2012,2002,Economics and Econometrics,1,GN,2025-12-01 19:08:55
2012,2303,Ecology,1,GN,2025-12-01 19:08:55
2012,2306,Global and Planetary Change,1,GN,2025-12-01 19:08:55
2012,2403,Immunology,1,GN,2025-12-01 19:08:55
2012,2405,Parasitology,1,GN,2025-12-01 19:08:55
2012,2611,Modeling and Simulation,1,GN,2025-12-01 19:08:55
2012,2708,Dermatology,1,GN,2025-12-01 19:08:55
2012,2711,Emergency Medicine,1,GN,2025-12-01 19:08:55
2012,2716,Genetics,1,GN,2025-12-01 19:08:55
2012,2720,Hematology,1,GN,2025-12-01 19:08:55
2012,2727,Nephrology,1,GN,2025-12-01 19:08:55
2012,2728,Neurology,1,GN,2025-12-01 19:08:55
2012,2729,Obstetrics and Gynecology,1,GN,2025-12-01 19:08:55
2012,2733,Otorhinolaryngology,1,GN,2025-12-01 19:08:55
2012,2738,Psychiatry and Mental health,1,GN,2025-12-01 19:08:55
2012,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2013,2713,Epidemiology,10,GN,2025-12-01 19:08:55
2013,2725,Infectious Diseases,9,GN,2025-12-01 19:08:55
2013,2739,"Public Health, Environmental and Occupational Health",9,GN,2025-12-01 19:08:55
2013,3600,General Health Professions,6,GN,2025-12-01 19:08:55
2013,2712,"Endocrinology, Diabetes and Metabolism",5,GN,2025-12-01 19:08:55
2013,1310,Endocrinology,4,GN,2025-12-01 19:08:55
2013,2734,Pathology and Forensic Medicine,4,GN,2025-12-01 19:08:55
2013,1110,Plant Science,3,GN,2025-12-01 19:08:55
2013,1311,Genetics,3,GN,2025-12-01 19:08:55
2013,2405,Parasitology,3,GN,2025-12-01 19:08:55
2013,2736,Pharmacology,3,GN,2025-12-01 19:08:55
2013,1107,Forestry,2,GN,2025-12-01 19:08:55
2013,2708,Dermatology,2,GN,2025-12-01 19:08:55
2013,2737,Physiology,2,GN,2025-12-01 19:08:55
2013,2916,Nutrition and Dietetics,2,GN,2025-12-01 19:08:55
2013,3306,Health,2,GN,2025-12-01 19:08:55
2013,3605,Health Information Management,2,GN,2025-12-01 19:08:55
2013,1102,Agronomy and Crop Science,1,GN,2025-12-01 19:08:55
2013,1105,"Ecology, Evolution, Behavior and Systematics",1,GN,2025-12-01 19:08:55
2013,1303,Biochemistry,1,GN,2025-12-01 19:08:55
2013,1312,Molecular Biology,1,GN,2025-12-01 19:08:55
2013,2003,Finance,1,GN,2025-12-01 19:08:55
2013,2403,Immunology,1,GN,2025-12-01 19:08:55
2013,2406,Virology,1,GN,2025-12-01 19:08:55
2013,2611,Modeling and Simulation,1,GN,2025-12-01 19:08:55
2013,2721,Hepatology,1,GN,2025-12-01 19:08:55
2013,2728,Neurology,1,GN,2025-12-01 19:08:55
2013,2735,"Pediatrics, Perinatology and Child Health",1,GN,2025-12-01 19:08:55
2013,2741,"Radiology, Nuclear Medicine and Imaging",1,GN,2025-12-01 19:08:55
2013,2745,Rheumatology,1,GN,2025-12-01 19:08:55
2013,2746,Surgery,1,GN,2025-12-01 19:08:55
2013,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2013,3300,General Social Sciences,1,GN,2025-12-01 19:08:55
2014,2713,Epidemiology,24,GN,2025-12-01 19:08:55
2014,2725,Infectious Diseases,23,GN,2025-12-01 19:08:55
2014,2739,"Public Health, Environmental and Occupational Health",10,GN,2025-12-01 19:08:55
2014,2746,Surgery,8,GN,2025-12-01 19:08:55
2014,3604,Emergency Medical Services,7,GN,2025-12-01 19:08:55
2014,2712,"Endocrinology, Diabetes and Metabolism",5,GN,2025-12-01 19:08:55
2014,3600,General Health Professions,5,GN,2025-12-01 19:08:55
2014,2405,Parasitology,3,GN,2025-12-01 19:08:55
2014,2711,Emergency Medicine,3,GN,2025-12-01 19:08:55
2014,2745,Rheumatology,3,GN,2025-12-01 19:08:55
2014,1105,"Ecology, Evolution, Behavior and Systematics",2,GN,2025-12-01 19:08:55
2014,1110,Plant Science,2,GN,2025-12-01 19:08:55
2014,1407,Organizational Behavior and Human Resource Management,2,GN,2025-12-01 19:08:55
2014,2404,Microbiology,2,GN,2025-12-01 19:08:55
2014,2406,Virology,2,GN,2025-12-01 19:08:55
2014,2611,Modeling and Simulation,2,GN,2025-12-01 19:08:55
2014,2737,Physiology,2,GN,2025-12-01 19:08:55
2014,2742,Rehabilitation,2,GN,2025-12-01 19:08:55
2014,3312,Sociology and Political Science,2,GN,2025-12-01 19:08:55
2014,3505,Orthodontics,2,GN,2025-12-01 19:08:55
2014,1102,Agronomy and Crop Science,1,GN,2025-12-01 19:08:55
2014,1103,Animal Science and Zoology,1,GN,2025-12-01 19:08:55
2014,1106,Food Science,1,GN,2025-12-01 19:08:55
2014,1109,Insect Science,1,GN,2025-12-01 19:08:55
2014,1306,Cancer Research,1,GN,2025-12-01 19:08:55
2014,1311,Genetics,1,GN,2025-12-01 19:08:55
2014,1312,Molecular Biology,1,GN,2025-12-01 19:08:55
2014,2003,Finance,1,GN,2025-12-01 19:08:55
2014,2306,Global and Planetary Change,1,GN,2025-12-01 19:08:55
2014,2403,Immunology,1,GN,2025-12-01 19:08:55
2014,2702,Anatomy,1,GN,2025-12-01 19:08:55
2014,2705,Cardiology and Cardiovascular Medicine,1,GN,2025-12-01 19:08:55
2014,2716,Genetics,1,GN,2025-12-01 19:08:55
2014,2721,Hepatology,1,GN,2025-12-01 19:08:55
2014,2728,Neurology,1,GN,2025-12-01 19:08:55
2014,2729,Obstetrics and Gynecology,1,GN,2025-12-01 19:08:55
2014,2730,Oncology,1,GN,2025-12-01 19:08:55
2014,2733,Otorhinolaryngology,1,GN,2025-12-01 19:08:55
2014,2734,Pathology and Forensic Medicine,1,GN,2025-12-01 19:08:55
2014,2738,Psychiatry and Mental health,1,GN,2025-12-01 19:08:55
2014,2740,Pulmonary and Respiratory Medicine,1,GN,2025-12-01 19:08:55
2014,2748,Urology,1,GN,2025-12-01 19:08:55
2014,2916,Nutrition and Dietetics,1,GN,2025-12-01 19:08:55
2014,3204,Developmental and Educational Psychology,1,GN,2025-12-01 19:08:55
2014,3306,Health,1,GN,2025-12-01 19:08:55
2014,3404,Small Animals,1,GN,2025-12-01 19:08:55
2015,2725,Infectious Diseases,40,GN,2025-12-01 19:08:55
2015,2713,Epidemiology,24,GN,2025-12-01 19:08:55
2015,3604,Emergency Medical Services,17,GN,2025-12-01 19:08:55
2015,2739,"Public Health, Environmental and Occupational Health",14,GN,2025-12-01 19:08:55
2015,2746,Surgery,12,GN,2025-12-01 19:08:55
2015,3600,General Health Professions,9,GN,2025-12-01 19:08:55
2015,1105,"Ecology, Evolution, Behavior and Systematics",7,GN,2025-12-01 19:08:55
2015,2735,"Pediatrics, Perinatology and Child Health",7,GN,2025-12-01 19:08:55
2015,3312,Sociology and Political Science,7,GN,2025-12-01 19:08:55
2015,2611,Modeling and Simulation,6,GN,2025-12-01 19:08:55
2015,2729,Obstetrics and Gynecology,6,GN,2025-12-01 19:08:55
2015,2730,Oncology,6,GN,2025-12-01 19:08:55
2015,1110,Plant Science,5,GN,2025-12-01 19:08:55
2015,1107,Forestry,4,GN,2025-12-01 19:08:55
2015,1312,Molecular Biology,4,GN,2025-12-01 19:08:55
2015,3306,Health,4,GN,2025-12-01 19:08:55
2015,2406,Virology,3,GN,2025-12-01 19:08:55
2015,2712,"Endocrinology, Diabetes and Metabolism",3,GN,2025-12-01 19:08:55
2015,1109,Insect Science,2,GN,2025-12-01 19:08:55
2015,1310,Endocrinology,2,GN,2025-12-01 19:08:55
2015,1407,Organizational Behavior and Human Resource Management,2,GN,2025-12-01 19:08:55
2015,2003,Finance,2,GN,2025-12-01 19:08:55
2015,2303,Ecology,2,GN,2025-12-01 19:08:55
2015,2403,Immunology,2,GN,2025-12-01 19:08:55
2015,2708,Dermatology,2,GN,2025-12-01 19:08:55
2015,2711,Emergency Medicine,2,GN,2025-12-01 19:08:55
2015,2734,Pathology and Forensic Medicine,2,GN,2025-12-01 19:08:55
2015,2916,Nutrition and Dietetics,2,GN,2025-12-01 19:08:55
2015,1106,Food Science,1,GN,2025-12-01 19:08:55
2015,1303,Biochemistry,1,GN,2025-12-01 19:08:55
2015,1311,Genetics,1,GN,2025-12-01 19:08:55
2015,1405,Management of Technology and Innovation,1,GN,2025-12-01 19:08:55
2015,1605,Organic Chemistry,1,GN,2025-12-01 19:08:55
2015,1908,Geophysics,1,GN,2025-12-01 19:08:55
2015,2002,Economics and Econometrics,1,GN,2025-12-01 19:08:55
2015,2213,"Safety, Risk, Reliability and Quality",1,GN,2025-12-01 19:08:55
2015,2305,Environmental Engineering,1,GN,2025-12-01 19:08:55
2015,2306,Global and Planetary Change,1,GN,2025-12-01 19:08:55
2015,2404,Microbiology,1,GN,2025-12-01 19:08:55
2015,2405,Parasitology,1,GN,2025-12-01 19:08:55
2015,2502,Biomaterials,1,GN,2025-12-01 19:08:55
2015,2716,Genetics,1,GN,2025-12-01 19:08:55
2015,2728,Neurology,1,GN,2025-12-01 19:08:55
2015,2737,Physiology,1,GN,2025-12-01 19:08:55
2015,2738,Psychiatry and Mental health,1,GN,2025-12-01 19:08:55
2015,2743,Reproductive Medicine,1,GN,2025-12-01 19:08:55
2015,2748,Urology,1,GN,2025-12-01 19:08:55
2015,3004,Pharmacology,1,GN,2025-12-01 19:08:55
2015,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2015,3605,Health Information Management,1,GN,2025-12-01 19:08:55
2015,3616,Speech and Hearing,1,GN,2025-12-01 19:08:55
2016,2725,Infectious Diseases,49,GN,2025-12-01 19:08:55
2016,3604,Emergency Medical Services,22,GN,2025-12-01 19:08:55
2016,2735,"Pediatrics, Perinatology and Child Health",18,GN,2025-12-01 19:08:55
2016,2713,Epidemiology,15,GN,2025-12-01 19:08:55
2016,2611,Modeling and Simulation,13,GN,2025-12-01 19:08:55
2016,2739,"Public Health, Environmental and Occupational Health",12,GN,2025-12-01 19:08:55
2016,3600,General Health Professions,10,GN,2025-12-01 19:08:55
2016,2746,Surgery,9,GN,2025-12-01 19:08:55
2016,2729,Obstetrics and Gynecology,7,GN,2025-12-01 19:08:55
2016,3312,Sociology and Political Science,7,GN,2025-12-01 19:08:55
2016,1105,"Ecology, Evolution, Behavior and Systematics",5,GN,2025-12-01 19:08:55
2016,1110,Plant Science,5,GN,2025-12-01 19:08:55
2016,2712,"Endocrinology, Diabetes and Metabolism",5,GN,2025-12-01 19:08:55
2016,1312,Molecular Biology,4,GN,2025-12-01 19:08:55
2016,3306,Health,4,GN,2025-12-01 19:08:55
2016,1310,Endocrinology,3,GN,2025-12-01 19:08:55
2016,2711,Emergency Medicine,3,GN,2025-12-01 19:08:55
2016,2740,Pulmonary and Respiratory Medicine,3,GN,2025-12-01 19:08:55
2016,2748,Urology,3,GN,2025-12-01 19:08:55
2016,1107,Forestry,2,GN,2025-12-01 19:08:55
2016,2002,Economics and Econometrics,2,GN,2025-12-01 19:08:55
2016,2003,Finance,2,GN,2025-12-01 19:08:55
2016,2403,Immunology,2,GN,2025-12-01 19:08:55
2016,2730,Oncology,2,GN,2025-12-01 19:08:55
2016,2743,Reproductive Medicine,2,GN,2025-12-01 19:08:55
2016,2745,Rheumatology,2,GN,2025-12-01 19:08:55
2016,2804,Cellular and Molecular Neuroscience,2,GN,2025-12-01 19:08:55
2016,1106,Food Science,1,GN,2025-12-01 19:08:55
2016,1109,Insect Science,1,GN,2025-12-01 19:08:55
2016,2303,Ecology,1,GN,2025-12-01 19:08:55
2016,2402,Applied Microbiology and Biotechnology,1,GN,2025-12-01 19:08:55
2016,2404,Microbiology,1,GN,2025-12-01 19:08:55
2016,2405,Parasitology,1,GN,2025-12-01 19:08:55
2016,2406,Virology,1,GN,2025-12-01 19:08:55
2016,2705,Cardiology and Cardiovascular Medicine,1,GN,2025-12-01 19:08:55
2016,2708,Dermatology,1,GN,2025-12-01 19:08:55
2016,2714,Family Practice,1,GN,2025-12-01 19:08:55
2016,2721,Hepatology,1,GN,2025-12-01 19:08:55
2016,2728,Neurology,1,GN,2025-12-01 19:08:55
2016,2731,Ophthalmology,1,GN,2025-12-01 19:08:55
2016,2741,"Radiology, Nuclear Medicine and Imaging",1,GN,2025-12-01 19:08:55
2016,3004,Pharmacology,1,GN,2025-12-01 19:08:55
2016,3203,Clinical Psychology,1,GN,2025-12-01 19:08:55
2016,3318,Gender Studies,1,GN,2025-12-01 19:08:55
2017,2725,Infectious Diseases,53,GN,2025-12-01 19:08:55
2017,2713,Epidemiology,31,GN,2025-12-01 19:08:55
2017,2739,"Public Health, Environmental and Occupational Health",21,GN,2025-12-01 19:08:55
2017,2746,Surgery,18,GN,2025-12-01 19:08:55
2017,2735,"Pediatrics, Perinatology and Child Health",17,GN,2025-12-01 19:08:55
2017,3604,Emergency Medical Services,16,GN,2025-12-01 19:08:55
2017,2611,Modeling and Simulation,13,GN,2025-12-01 19:08:55
2017,2729,Obstetrics and Gynecology,10,GN,2025-12-01 19:08:55
2017,3306,Health,8,GN,2025-12-01 19:08:55
2017,3600,General Health Professions,8,GN,2025-12-01 19:08:55
2017,3312,Sociology and Political Science,6,GN,2025-12-01 19:08:55
2017,1105,"Ecology, Evolution, Behavior and Systematics",5,GN,2025-12-01 19:08:55
2017,1110,Plant Science,5,GN,2025-12-01 19:08:55
2017,2002,Economics and Econometrics,4,GN,2025-12-01 19:08:55
2017,2406,Virology,4,GN,2025-12-01 19:08:55
