year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,27,GP,2025-12-01 19:05:50
2005,1105,"Ecology, Evolution, Behavior and Systematics",18,GP,2025-12-01 19:05:50
2005,2713,Epidemiology,16,GP,2025-12-01 19:05:50
2005,3312,Sociology and Political Science,16,GP,2025-12-01 19:05:50
2005,2746,Surgery,13,GP,2025-12-01 19:05:50
2005,2725,Infectious Diseases,11,GP,2025-12-01 19:05:50
2005,1312,Molecular Biology,8,GP,2025-12-01 19:05:50
2005,2303,Ecology,5,GP,2025-12-01 19:05:50
2005,1111,Soil Science,4,GP,2025-12-01 19:05:50
2005,1311,Genetics,4,GP,2025-12-01 19:05:50
2005,3322,Urban Studies,4,GP,2025-12-01 19:05:50
2005,1102,Agronomy and Crop Science,3,GP,2025-12-01 19:05:50
2005,1107,Forestry,3,GP,2025-12-01 19:05:50
2005,2740,Pulmonary and Respiratory Medicine,3,GP,2025-12-01 19:05:50
2005,3600,General Health Professions,3,GP,2025-12-01 19:05:50
2005,1106,Food Science,2,GP,2025-12-01 19:05:50
2005,1212,Religious studies,2,GP,2025-12-01 19:05:50
2005,1303,Biochemistry,2,GP,2025-12-01 19:05:50
2005,2308,"Management, Monitoring, Policy and Law",2,GP,2025-12-01 19:05:50
2005,2309,Nature and Landscape Conservation,2,GP,2025-12-01 19:05:50
2005,2729,Obstetrics and Gynecology,2,GP,2025-12-01 19:05:50
2005,2739,"Public Health, Environmental and Occupational Health",2,GP,2025-12-01 19:05:50
2005,3314,Anthropology,2,GP,2025-12-01 19:05:50
2005,3317,Demography,2,GP,2025-12-01 19:05:50
2005,3320,Political Science and International Relations,2,GP,2025-12-01 19:05:50
2005,1100,General Agricultural and Biological Sciences,1,GP,2025-12-01 19:05:50
2005,1103,Animal Science and Zoology,1,GP,2025-12-01 19:05:50
2005,1109,Insect Science,1,GP,2025-12-01 19:05:50
2005,1202,History,1,GP,2025-12-01 19:05:50
2005,1207,History and Philosophy of Science,1,GP,2025-12-01 19:05:50
2005,1211,Philosophy,1,GP,2025-12-01 19:05:50
2005,1306,Cancer Research,1,GP,2025-12-01 19:05:50
2005,1313,Molecular Medicine,1,GP,2025-12-01 19:05:50
2005,1408,Strategy and Management,1,GP,2025-12-01 19:05:50
2005,1409,"Tourism, Leisure and Hospitality Management",1,GP,2025-12-01 19:05:50
2005,2000,"General Economics, Econometrics and Finance",1,GP,2025-12-01 19:05:50
2005,2204,Biomedical Engineering,1,GP,2025-12-01 19:05:50
2005,2205,Civil and Structural Engineering,1,GP,2025-12-01 19:05:50
2005,2210,Mechanical Engineering,1,GP,2025-12-01 19:05:50
2005,2304,Environmental Chemistry,1,GP,2025-12-01 19:05:50
2005,2502,Biomaterials,1,GP,2025-12-01 19:05:50
2005,2704,Biochemistry,1,GP,2025-12-01 19:05:50
2005,2705,Cardiology and Cardiovascular Medicine,1,GP,2025-12-01 19:05:50
2005,2721,Hepatology,1,GP,2025-12-01 19:05:50
2005,2731,Ophthalmology,1,GP,2025-12-01 19:05:50
2005,2734,Pathology and Forensic Medicine,1,GP,2025-12-01 19:05:50
2005,2735,"Pediatrics, Perinatology and Child Health",1,GP,2025-12-01 19:05:50
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,GP,2025-12-01 19:05:50
2005,2742,Rehabilitation,1,GP,2025-12-01 19:05:50
2005,2806,Developmental Neuroscience,1,GP,2025-12-01 19:05:50
2005,2916,Nutrition and Dietetics,1,GP,2025-12-01 19:05:50
2005,3306,Health,1,GP,2025-12-01 19:05:50
2005,3310,Linguistics and Language,1,GP,2025-12-01 19:05:50
2005,3311,Safety Research,1,GP,2025-12-01 19:05:50
2005,3313,Transportation,1,GP,2025-12-01 19:05:50
2005,3316,Cultural Studies,1,GP,2025-12-01 19:05:50
2005,3404,Small Animals,1,GP,2025-12-01 19:05:50
2006,1105,"Ecology, Evolution, Behavior and Systematics",29,GP,2025-12-01 19:05:50
2006,1110,Plant Science,25,GP,2025-12-01 19:05:50
2006,3312,Sociology and Political Science,23,GP,2025-12-01 19:05:50
2006,2713,Epidemiology,16,GP,2025-12-01 19:05:50
2006,2725,Infectious Diseases,13,GP,2025-12-01 19:05:50
2006,2746,Surgery,12,GP,2025-12-01 19:05:50
2006,2739,"Public Health, Environmental and Occupational Health",9,GP,2025-12-01 19:05:50
2006,1312,Molecular Biology,7,GP,2025-12-01 19:05:50
2006,2303,Ecology,7,GP,2025-12-01 19:05:50
2006,2740,Pulmonary and Respiratory Medicine,5,GP,2025-12-01 19:05:50
2006,1204,Archeology,4,GP,2025-12-01 19:05:50
2006,3314,Anthropology,4,GP,2025-12-01 19:05:50
2006,3600,General Health Professions,4,GP,2025-12-01 19:05:50
2006,1102,Agronomy and Crop Science,3,GP,2025-12-01 19:05:50
2006,1111,Soil Science,3,GP,2025-12-01 19:05:50
2006,1311,Genetics,3,GP,2025-12-01 19:05:50
2006,2306,Global and Planetary Change,3,GP,2025-12-01 19:05:50
2006,2308,"Management, Monitoring, Policy and Law",3,GP,2025-12-01 19:05:50
2006,2309,Nature and Landscape Conservation,3,GP,2025-12-01 19:05:50
2006,2405,Parasitology,3,GP,2025-12-01 19:05:50
2006,2716,Genetics,3,GP,2025-12-01 19:05:50
2006,1106,Food Science,2,GP,2025-12-01 19:05:50
2006,1107,Forestry,2,GP,2025-12-01 19:05:50
2006,1109,Insect Science,2,GP,2025-12-01 19:05:50
2006,1212,Religious studies,2,GP,2025-12-01 19:05:50
2006,1408,Strategy and Management,2,GP,2025-12-01 19:05:50
2006,2403,Immunology,2,GP,2025-12-01 19:05:50
2006,2712,"Endocrinology, Diabetes and Metabolism",2,GP,2025-12-01 19:05:50
2006,2916,Nutrition and Dietetics,2,GP,2025-12-01 19:05:50
2006,3317,Demography,2,GP,2025-12-01 19:05:50
2006,1100,General Agricultural and Biological Sciences,1,GP,2025-12-01 19:05:50
2006,1103,Animal Science and Zoology,1,GP,2025-12-01 19:05:50
2006,1108,Horticulture,1,GP,2025-12-01 19:05:50
2006,1200,General Arts and Humanities,1,GP,2025-12-01 19:05:50
2006,1207,History and Philosophy of Science,1,GP,2025-12-01 19:05:50
2006,1303,Biochemistry,1,GP,2025-12-01 19:05:50
2006,1305,Biotechnology,1,GP,2025-12-01 19:05:50
2006,1306,Cancer Research,1,GP,2025-12-01 19:05:50
2006,1310,Endocrinology,1,GP,2025-12-01 19:05:50
2006,1313,Molecular Medicine,1,GP,2025-12-01 19:05:50
2006,1407,Organizational Behavior and Human Resource Management,1,GP,2025-12-01 19:05:50
2006,1607,Spectroscopy,1,GP,2025-12-01 19:05:50
2006,1702,Artificial Intelligence,1,GP,2025-12-01 19:05:50
2006,1707,Computer Vision and Pattern Recognition,1,GP,2025-12-01 19:05:50
2006,1803,Management Science and Operations Research,1,GP,2025-12-01 19:05:50
2006,1904,Earth-Surface Processes,1,GP,2025-12-01 19:05:50
2006,1910,Oceanography,1,GP,2025-12-01 19:05:50
2006,2002,Economics and Econometrics,1,GP,2025-12-01 19:05:50
2006,2205,Civil and Structural Engineering,1,GP,2025-12-01 19:05:50
2006,2206,Computational Mechanics,1,GP,2025-12-01 19:05:50
2006,2211,Mechanics of Materials,1,GP,2025-12-01 19:05:50
2006,2212,Ocean Engineering,1,GP,2025-12-01 19:05:50
2006,2404,Microbiology,1,GP,2025-12-01 19:05:50
2006,2705,Cardiology and Cardiovascular Medicine,1,GP,2025-12-01 19:05:50
2006,2728,Neurology,1,GP,2025-12-01 19:05:50
2006,2732,Orthopedics and Sports Medicine,1,GP,2025-12-01 19:05:50
2006,2734,Pathology and Forensic Medicine,1,GP,2025-12-01 19:05:50
2006,2735,"Pediatrics, Perinatology and Child Health",1,GP,2025-12-01 19:05:50
2006,2737,Physiology,1,GP,2025-12-01 19:05:50
2006,2747,Transplantation,1,GP,2025-12-01 19:05:50
2006,3108,Radiation,1,GP,2025-12-01 19:05:50
2006,3322,Urban Studies,1,GP,2025-12-01 19:05:50
2006,3611,Pharmacy,1,GP,2025-12-01 19:05:50
2007,1110,Plant Science,24,GP,2025-12-01 19:05:50
2007,3312,Sociology and Political Science,24,GP,2025-12-01 19:05:50
2007,2713,Epidemiology,17,GP,2025-12-01 19:05:50
2007,2725,Infectious Diseases,16,GP,2025-12-01 19:05:50
2007,2746,Surgery,14,GP,2025-12-01 19:05:50
2007,1105,"Ecology, Evolution, Behavior and Systematics",9,GP,2025-12-01 19:05:50
2007,2303,Ecology,9,GP,2025-12-01 19:05:50
2007,2740,Pulmonary and Respiratory Medicine,8,GP,2025-12-01 19:05:50
2007,1312,Molecular Biology,6,GP,2025-12-01 19:05:50
2007,2205,Civil and Structural Engineering,6,GP,2025-12-01 19:05:50
2007,3314,Anthropology,6,GP,2025-12-01 19:05:50
2007,3600,General Health Professions,5,GP,2025-12-01 19:05:50
2007,1212,Religious studies,4,GP,2025-12-01 19:05:50
2007,2210,Mechanical Engineering,4,GP,2025-12-01 19:05:50
2007,2737,Physiology,4,GP,2025-12-01 19:05:50
2007,2739,"Public Health, Environmental and Occupational Health",4,GP,2025-12-01 19:05:50
