year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,136,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,108,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,100,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,95,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,71,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,62,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T11158,Wireless Networks and Protocols,61,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,56,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10651,"IPv6, Mobility, Handover, Networks, Security",56,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10148,Advanced MIMO Systems Optimization,47,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10138,Network Traffic and Congestion Control,44,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10767,Advanced Photonic Communication Systems,43,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,41,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10623,Thin-Film Transistor Technologies,37,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T11263,Electromagnetic Simulation and Numerical Methods,35,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,35,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T12146,Power Line Communications and Noise,35,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,34,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T10624,Silicon and Solar Cell Technologies,33,GR,2025-11-25 22:50:37
2005,2208,Electrical and Electronic Engineering,T11169,Silicon Nanostructures and Photoluminescence,33,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10575,Wireless Communication Networks Research,152,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10317,Advanced Database Systems and Queries,112,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T11409,Advanced Wireless Network Optimization,100,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10246,Mobile Ad Hoc Networks,99,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T11158,Wireless Networks and Protocols,98,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10125,Advanced Wireless Communication Techniques,82,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10138,Network Traffic and Congestion Control,80,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10715,Distributed and Parallel Computing Systems,79,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10742,Peer-to-Peer Network Technologies,75,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10829,Interconnection Networks and Systems,73,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T11106,Data Management and Algorithms,65,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T11478,Caching and Content Delivery,65,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T12203,Mobile Agent-Based Network Management,64,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10679,Service-Oriented Architecture and Web Services,56,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10796,Cooperative Communication and Network Coding,56,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T11896,Opportunistic and Delay-Tolerant Networks,54,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T11181,Advanced Data Storage Technologies,51,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10651,"IPv6, Mobility, Handover, Networks, Security",50,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10054,Parallel Computing and Optimization Techniques,48,GR,2025-11-25 22:50:37
2005,1705,Computer Networks and Communications,T10215,Semantic Web and Ontologies,44,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,137,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,93,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,64,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10317,Advanced Database Systems and Queries,51,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,50,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11106,Data Management and Algorithms,42,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11130,Coding theory and cryptography,41,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10820,Fuzzy Logic and Control Systems,39,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11010,"Logic, Reasoning, and Knowledge",33,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,32,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,30,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10951,Cryptographic Implementations and Security,30,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,29,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10100,Metaheuristic Optimization Algorithms Research,27,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11902,Intelligent Tutoring Systems and Adaptive Learning,25,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T12157,Geochemistry and Geologic Mapping,25,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10538,Data Mining Algorithms and Applications,24,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11017,Chaos-based Image/Signal Encryption,24,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,23,GR,2025-11-25 22:50:37
2005,1702,Artificial Intelligence,T10237,Cryptography and Data Security,22,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,40,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,34,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,33,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11739,Microwave Imaging and Scattering Analysis,24,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,23,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11366,Elasticity and Material Modeling,21,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11196,Non-Invasive Vital Sign Monitoring,19,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,18,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,18,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T10171,Biofuel production and bioconversion,17,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,17,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,17,GR,2025-11-25 22:50:37
2005,2204,Biomedical Engineering,T11018,Lower Extremity Biomechanics and Pathologies,17,GR,2025-11-25 22:50:37
