subfield_id,subfield_name,title,doi,year,cited_by_count,id
2739,"Public Health, Environmental and Occupational Health",Fruit and Vegetable Consumption and Risk of Coronary Heart Disease: A Meta-Analysis of Cohort Studies,https://doi.org/10.1093/jn/136.10.2588,2006,1192,https://openalex.org/W2165979928
2739,"Public Health, Environmental and Occupational Health",Associations of linear growth and relative weight gain during early life with adult health and human capital in countries of low and middle income: findings from five birth cohort studies,https://doi.org/10.1016/s0140-6736(13)60103-8,2013,875,https://openalex.org/W1986493788
2739,"Public Health, Environmental and Occupational Health","What is the best measure of adiposity change in growing children: BMI, BMI %, BMI z-score or BMI centile?",https://doi.org/10.1038/sj.ejcn.1602090,2005,688,https://openalex.org/W2068919076
3600,General Health Professions,Reconstructing Native American population history,https://doi.org/10.1038/nature11258,2012,903,https://openalex.org/W2100751001
3600,General Health Professions,Adverse maternal and perinatal outcomes in adolescent pregnancies: The Global Network’s Maternal Newborn Health Registry study,https://doi.org/10.1186/1742-4755-12-s2-s8,2015,259,https://openalex.org/W1500757970
3600,General Health Professions,Nutrition status of children in Latin America,https://doi.org/10.1111/obr.12571,2017,234,https://openalex.org/W2737361428
2713,Epidemiology,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
2713,Epidemiology,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in young children in 2015: a systematic review and modelling study",https://doi.org/10.1016/s0140-6736(17)30938-8,2017,2264,https://openalex.org/W2727509207
2713,Epidemiology,A distinct lineage of influenza A virus from bats,https://doi.org/10.1073/pnas.1116200109,2012,1100,https://openalex.org/W2069831575
3312,Sociology and Political Science,Measuring vaccine hesitancy: Field testing the WHO SAGE Working Group on Vaccine Hesitancy survey tool in Guatemala,https://doi.org/10.1016/j.vaccine.2018.07.046,2018,174,https://openalex.org/W2885001961
3312,Sociology and Political Science,Loss and Damage and limits to adaptation: recent IPCC insights and implications for climate science and policy,https://doi.org/10.1007/s11625-020-00807-9,2020,139,https://openalex.org/W3022674365
3312,Sociology and Political Science,Sentinel Surveillance of Sexually Transmitted Infections/HIV and Risk Behaviors in Vulnerable Populations in 5 Central American Countries,https://doi.org/10.1097/qai.0b013e318141f913,2007,120,https://openalex.org/W1994159880
2746,Surgery,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
2746,Surgery,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in young children in 2015: a systematic review and modelling study",https://doi.org/10.1016/s0140-6736(17)30938-8,2017,2264,https://openalex.org/W2727509207
2746,Surgery,Prevention of Diabetes in Women with a History of Gestational Diabetes: Effects of Metformin and Lifestyle Interventions,https://doi.org/10.1210/jc.2008-0772,2008,842,https://openalex.org/W2166996912
3304,Education,Attrition in MOOC: Lessons Learned from Drop-Out Students,https://doi.org/10.1007/978-3-319-10671-7_4,2014,175,https://openalex.org/W2170364046
3304,Education,Development of a Brief Multicultural Version of the Test of Mobile Phone Dependence (TMDbrief) Questionnaire,https://doi.org/10.3389/fpsyg.2016.00650,2016,88,https://openalex.org/W2394874853
3304,Education,Mapping sustainability initiatives in higher education institutions in Latin America,https://doi.org/10.1016/j.jclepro.2021.128093,2021,85,https://openalex.org/W3174122773
2725,Infectious Diseases,A distinct lineage of influenza A virus from bats,https://doi.org/10.1073/pnas.1116200109,2012,1100,https://openalex.org/W2069831575
2725,Infectious Diseases,Evaluation of diagnostic tests: dengue,https://doi.org/10.1038/nrmicro2459,2010,567,https://openalex.org/W2043352558
2725,Infectious Diseases,HIV-1 drug resistance before initiation or re-initiation of first-line antiretroviral therapy in low-income and middle-income countries: a systematic review and meta-regression analysis,https://doi.org/10.1016/s1473-3099(17)30702-8,2017,397,https://openalex.org/W2773554166
2002,Economics and Econometrics,Sustainable care for children with cancer: a Lancet Oncology Commission,https://doi.org/10.1016/s1470-2045(20)30022-x,2020,300,https://openalex.org/W3013503990
2002,Economics and Econometrics,Microlending in emerging economies: Building a new line of inquiry from the ground up,https://doi.org/10.1057/jibs.2010.58,2011,260,https://openalex.org/W2149648377
2002,Economics and Econometrics,When institutional change outruns the change agent: The contested terrain of entrepreneurial microfinance for those in poverty,https://doi.org/10.1016/j.jbusvent.2012.02.005,2012,200,https://openalex.org/W2056975119
2735,"Pediatrics, Perinatology and Child Health",Associations of linear growth and relative weight gain during early life with adult health and human capital in countries of low and middle income: findings from five birth cohort studies,https://doi.org/10.1016/s0140-6736(13)60103-8,2013,875,https://openalex.org/W1986493788
2735,"Pediatrics, Perinatology and Child Health","What is the best measure of adiposity change in growing children: BMI, BMI %, BMI z-score or BMI centile?",https://doi.org/10.1038/sj.ejcn.1602090,2005,688,https://openalex.org/W2068919076
2735,"Pediatrics, Perinatology and Child Health",Clinical Pharmacogenetics Implementation Consortium Guideline for Thiopurine Dosing Based on <i><scp>TPMT</scp></i> and <i><scp>NUDT</scp>15</i> Genotypes: 2018 Update,https://doi.org/10.1002/cpt.1304,2018,584,https://openalex.org/W2900673338
2916,Nutrition and Dietetics,Associations of linear growth and relative weight gain during early life with adult health and human capital in countries of low and middle income: findings from five birth cohort studies,https://doi.org/10.1016/s0140-6736(13)60103-8,2013,875,https://openalex.org/W1986493788
2916,Nutrition and Dietetics,Oleic acid content is responsible for the reduction in blood pressure induced by olive oil,https://doi.org/10.1073/pnas.0807500105,2008,506,https://openalex.org/W1978334998
2916,Nutrition and Dietetics,Specific metabolic rates of major organs and tissues across adulthood: evaluation by mechanistic model of resting energy expenditure,https://doi.org/10.3945/ajcn.2010.29885,2010,485,https://openalex.org/W2123746079
