year,id,name,works_count,country,fetch_date
2005,2739,"Public Health, Environmental and Occupational Health",28,GT,2025-12-03 12:32:50
2005,2713,Epidemiology,25,GT,2025-12-03 12:32:50
2005,2746,Surgery,21,GT,2025-12-03 12:32:50
2005,3600,General Health Professions,17,GT,2025-12-03 12:32:50
2005,2725,Infectious Diseases,13,GT,2025-12-03 12:32:50
2005,2735,"Pediatrics, Perinatology and Child Health",13,GT,2025-12-03 12:32:50
2005,3312,Sociology and Political Science,9,GT,2025-12-03 12:32:50
2005,2002,Economics and Econometrics,8,GT,2025-12-03 12:32:50
2005,2737,Physiology,6,GT,2025-12-03 12:32:50
2005,2740,Pulmonary and Respiratory Medicine,5,GT,2025-12-03 12:32:50
2005,2743,Reproductive Medicine,5,GT,2025-12-03 12:32:50
2005,2916,Nutrition and Dietetics,4,GT,2025-12-03 12:32:50
2005,3304,Education,4,GT,2025-12-03 12:32:50
2005,1106,Food Science,3,GT,2025-12-03 12:32:50
2005,1211,Philosophy,3,GT,2025-12-03 12:32:50
2005,2711,Emergency Medicine,3,GT,2025-12-03 12:32:50
2005,2730,Oncology,3,GT,2025-12-03 12:32:50
2005,2738,Psychiatry and Mental health,3,GT,2025-12-03 12:32:50
2005,2741,"Radiology, Nuclear Medicine and Imaging",3,GT,2025-12-03 12:32:50
2005,3203,Clinical Psychology,3,GT,2025-12-03 12:32:50
2005,3303,Development,3,GT,2025-12-03 12:32:50
2005,1109,Insect Science,2,GT,2025-12-03 12:32:50
2005,1110,Plant Science,2,GT,2025-12-03 12:32:50
2005,1311,Genetics,2,GT,2025-12-03 12:32:50
2005,1312,Molecular Biology,2,GT,2025-12-03 12:32:50
2005,1407,Organizational Behavior and Human Resource Management,2,GT,2025-12-03 12:32:50
2005,1408,Strategy and Management,2,GT,2025-12-03 12:32:50
2005,1710,Information Systems,2,GT,2025-12-03 12:32:50
2005,2204,Biomedical Engineering,2,GT,2025-12-03 12:32:50
2005,2705,Cardiology and Cardiovascular Medicine,2,GT,2025-12-03 12:32:50
2005,2712,"Endocrinology, Diabetes and Metabolism",2,GT,2025-12-03 12:32:50
2005,2721,Hepatology,2,GT,2025-12-03 12:32:50
2005,3306,Health,2,GT,2025-12-03 12:32:50
2005,3314,Anthropology,2,GT,2025-12-03 12:32:50
2005,3320,Political Science and International Relations,2,GT,2025-12-03 12:32:50
2005,3404,Small Animals,2,GT,2025-12-03 12:32:50
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,GT,2025-12-03 12:32:50
2005,1200,General Arts and Humanities,1,GT,2025-12-03 12:32:50
2005,1202,History,1,GT,2025-12-03 12:32:50
2005,1213,Visual Arts and Performing Arts,1,GT,2025-12-03 12:32:50
2005,1305,Biotechnology,1,GT,2025-12-03 12:32:50
2005,1307,Cell Biology,1,GT,2025-12-03 12:32:50
