subfield_id,subfield_name,title,doi,year,cited_by_count,id
2303,Ecology,Local-scale projections of coral reef futures and implications of the Paris Agreement,https://doi.org/10.1038/srep39666,2016,435,https://openalex.org/W2566943586
2303,Ecology,Social–environmental drivers inform strategic management of coral reefs in the Anthropocene,https://doi.org/10.1038/s41559-019-0953-8,2019,253,https://openalex.org/W2955185753
2303,Ecology,Major Conservation Policy Issues for Biodiversity in Oceania,https://doi.org/10.1111/j.1523-1739.2009.01287.x,2009,203,https://openalex.org/W2031816071
2306,Global and Planetary Change,Revisiting metazoan phylogeny with genomic sampling of all phyla,https://doi.org/10.1098/rspb.2019.0831,2019,377,https://openalex.org/W2957892651
2306,Global and Planetary Change,Social–environmental drivers inform strategic management of coral reefs in the Anthropocene,https://doi.org/10.1038/s41559-019-0953-8,2019,253,https://openalex.org/W2955185753
2306,Global and Planetary Change,Shelter from the storm? Use and misuse of coastal vegetation bioshields for managing natural disasters,https://doi.org/10.1111/j.1755-263x.2009.00087.x,2009,196,https://openalex.org/W2027060165
1910,Oceanography,Seaweed Ecology and Physiology,https://doi.org/10.1017/cbo9781139192637,2014,1537,https://openalex.org/W2079755478
1910,Oceanography,Social–environmental drivers inform strategic management of coral reefs in the Anthropocene,https://doi.org/10.1038/s41559-019-0953-8,2019,253,https://openalex.org/W2955185753
1910,Oceanography,Shelter from the storm? Use and misuse of coastal vegetation bioshields for managing natural disasters,https://doi.org/10.1111/j.1755-263x.2009.00087.x,2009,196,https://openalex.org/W2027060165
1110,Plant Science,Classical biological control for the protection of natural ecosystems,https://doi.org/10.1016/j.biocontrol.2010.03.003,2010,348,https://openalex.org/W2104256261
1110,Plant Science,Validating earliest rice farming in the Indonesian Archipelago,https://doi.org/10.1038/s41598-020-67747-3,2020,143,https://openalex.org/W3039489953
1110,Plant Science,<i>Chromolaena odorata</i> (L.) King and Robinson (Asteraceae),https://doi.org/10.1017/cbo9780511576348.008,2009,100,https://openalex.org/W119353706
1105,"Ecology, Evolution, Behavior and Systematics",Effects of an invasive predator cascade to plants via mutualism disruption,https://doi.org/10.1038/ncomms14557,2017,136,https://openalex.org/W2594684357
1105,"Ecology, Evolution, Behavior and Systematics",Intraspecific preen oil odor preferences in dark-eyed juncos (Junco hyemalis),https://doi.org/10.1093/beheco/arr122,2011,99,https://openalex.org/W2165725718
1105,"Ecology, Evolution, Behavior and Systematics",‘Natural experiment’ Demonstrates Top-Down Control of Spiders by Birds on a Landscape Level,https://doi.org/10.1371/journal.pone.0043446,2012,85,https://openalex.org/W2038042543
3312,Sociology and Political Science,Value co-creation and purchase intention in social network sites: The role of electronic Word-of-Mouth and trust – A theoretical analysis,https://doi.org/10.1016/j.chb.2013.10.013,2013,566,https://openalex.org/W2029260103
3312,Sociology and Political Science,Local-scale projections of coral reef futures and implications of the Paris Agreement,https://doi.org/10.1038/srep39666,2016,435,https://openalex.org/W2566943586
3312,Sociology and Political Science,Exploring undergraduate students’ usage pattern of mobile apps for education,https://doi.org/10.1177/0961000616662699,2016,124,https://openalex.org/W2515896338
1312,Molecular Biology,"Assessing the complex sponge microbiota: core, variable and species-specific bacterial communities in marine sponges",https://doi.org/10.1038/ismej.2011.116,2011,537,https://openalex.org/W1995517172
1312,Molecular Biology,Revisiting metazoan phylogeny with genomic sampling of all phyla,https://doi.org/10.1098/rspb.2019.0831,2019,377,https://openalex.org/W2957892651
1312,Molecular Biology,Marine Biofilm Bacteria Evade Eukaryotic Predation by Targeted Chemical Defense,https://doi.org/10.1371/journal.pone.0002744,2008,219,https://openalex.org/W2135369641
3304,Education,Impacts of flipped classrooms on learner attitudes towards technology-enhanced language learning,https://doi.org/10.1080/09588221.2018.1557692,2019,110,https://openalex.org/W2913441291
3304,Education,The Flipped Experience for Chinese University Students Studying English as a Foreign Language,https://doi.org/10.1002/tesj.264,2016,71,https://openalex.org/W2510206101
3304,Education,"A Community Engagement Process Identifies Environmental Priorities to Prevent Early Childhood Obesity: The Children’s Healthy Living (CHL) Program for Remote Underserved Populations in the US Affiliated Pacific Islands, Hawaii and Alaska",https://doi.org/10.1007/s10995-013-1353-3,2013,58,https://openalex.org/W2023028340
3305,"Geography, Planning and Development",The first settlement of Remote Oceania: the Philippines to the Marianas,https://doi.org/10.1017/s0003598x00068393,2011,218,https://openalex.org/W2165758375
3305,"Geography, Planning and Development",Major Conservation Policy Issues for Biodiversity in Oceania,https://doi.org/10.1111/j.1523-1739.2009.01287.x,2009,203,https://openalex.org/W2031816071
3305,"Geography, Planning and Development","The Liang Bua faunal remains: a 95k.yr. sequence from Flores, East Indonesia",https://doi.org/10.1016/j.jhevol.2008.08.015,2008,168,https://openalex.org/W1989877430
1305,Biotechnology,"Assessing the complex sponge microbiota: core, variable and species-specific bacterial communities in marine sponges",https://doi.org/10.1038/ismej.2011.116,2011,537,https://openalex.org/W1995517172
1305,Biotechnology,Marine Biofilm Bacteria Evade Eukaryotic Predation by Targeted Chemical Defense,https://doi.org/10.1371/journal.pone.0002744,2008,219,https://openalex.org/W2135369641
1305,Biotechnology,Metagenomic discovery of polybrominated diphenyl ether biosynthesis by marine sponges,https://doi.org/10.1038/nchembio.2330,2017,180,https://openalex.org/W2603886489
