subfield_id,subfield_name,title,doi,year,cited_by_count,id
2403,Immunology,Randomized Trial of BCG Vaccination at Birth to Low-Birth-Weight Children: Beneficial Nonspecific Effects in the Neonatal Period?,https://doi.org/10.1093/infdis/jir240,2011,563,https://openalex.org/W2103753861
2403,Immunology,"Trained immunity, tolerance, priming and differentiation: distinct immunological processes",https://doi.org/10.1038/s41590-020-00845-6,2020,515,https://openalex.org/W3112419967
2403,Immunology,A small jab – a big effect: nonspecific immunomodulation by vaccines,https://doi.org/10.1016/j.it.2013.04.004,2013,512,https://openalex.org/W1994063461
2403,Immunology,"A Mal functional variant is associated with protection against invasive pneumococcal disease, bacteremia, malaria and tuberculosis",https://doi.org/10.1038/ng1976,2007,430,https://openalex.org/W1998055077
2403,Immunology,Non-specific effects of standard measles vaccine at 4.5 and 9 months of age on childhood mortality: randomised controlled trial,https://doi.org/10.1136/bmj.c6495,2010,278,https://openalex.org/W2142085660
2403,Immunology,Early BCG-Denmark and Neonatal Mortality Among Infants Weighing &lt;2500 g: A Randomized Controlled Trial,https://doi.org/10.1093/cid/cix525,2017,273,https://openalex.org/W2745104623
2403,Immunology,Small Randomized Trial Among Low–birth-weight Children Receiving Bacillus Calmette-Guérin Vaccination at First Health Center Contact,https://doi.org/10.1097/inf.0b013e3182458289,2011,227,https://openalex.org/W2031164321
2403,Immunology,BCG vaccination scar associated with better childhood survival in Guinea-Bissau,https://doi.org/10.1093/ije/dyh392,2005,203,https://openalex.org/W2096215627
2403,Immunology,100 years of Mycobacterium bovis bacille Calmette-Guérin,https://doi.org/10.1016/s1473-3099(21)00403-5,2021,196,https://openalex.org/W3198857396
2403,Immunology,Vaccinology: time to change the paradigm?,https://doi.org/10.1016/s1473-3099(19)30742-x,2020,185,https://openalex.org/W3038518616
2725,Infectious Diseases,The global prevalence of latent tuberculosis: a systematic review and meta-analysis,https://doi.org/10.1183/13993003.00655-2019,2019,494,https://openalex.org/W2950875755
2725,Infectious Diseases,Incidence of invasive salmonella disease in sub-Saharan Africa: a multicentre population-based surveillance study,https://doi.org/10.1016/s2214-109x(17)30022-0,2017,295,https://openalex.org/W2587454028
2725,Infectious Diseases,Investigation of the risk factors for tuberculosis: a case–control study in three countries in West Africa,https://doi.org/10.1093/ije/dyi100,2005,265,https://openalex.org/W2166764837
2725,Infectious Diseases,The COVID-19 pandemic: diverse contexts; different epidemics—how and why?,https://doi.org/10.1136/bmjgh-2020-003098,2020,205,https://openalex.org/W3039078974
