year,id,name,works_count,country,fetch_date
2005,2725,Infectious Diseases,9,GW,2025-12-01 19:11:17
2005,2403,Immunology,7,GW,2025-12-01 19:11:17
2005,2916,Nutrition and Dietetics,6,GW,2025-12-01 19:11:17
2005,2713,Epidemiology,4,GW,2025-12-01 19:11:17
2005,3306,Health,3,GW,2025-12-01 19:11:17
2005,2406,Virology,2,GW,2025-12-01 19:11:17
2005,2611,Modeling and Simulation,2,GW,2025-12-01 19:11:17
2005,2711,Emergency Medicine,2,GW,2025-12-01 19:11:17
2005,2729,Obstetrics and Gynecology,2,GW,2025-12-01 19:11:17
2005,2735,"Pediatrics, Perinatology and Child Health",2,GW,2025-12-01 19:11:17
2005,3320,Political Science and International Relations,2,GW,2025-12-01 19:11:17
2005,1106,Food Science,1,GW,2025-12-01 19:11:17
2005,2002,Economics and Econometrics,1,GW,2025-12-01 19:11:17
2005,2212,Ocean Engineering,1,GW,2025-12-01 19:11:17
2005,2308,"Management, Monitoring, Policy and Law",1,GW,2025-12-01 19:11:17
2005,2739,"Public Health, Environmental and Occupational Health",1,GW,2025-12-01 19:11:17
2005,2740,Pulmonary and Respiratory Medicine,1,GW,2025-12-01 19:11:17
2005,2746,Surgery,1,GW,2025-12-01 19:11:17
2005,3312,Sociology and Political Science,1,GW,2025-12-01 19:11:17
2005,3600,General Health Professions,1,GW,2025-12-01 19:11:17
2005,3614,Radiological and Ultrasound Technology,1,GW,2025-12-01 19:11:17
2006,2403,Immunology,13,GW,2025-12-01 19:11:17
2006,2916,Nutrition and Dietetics,9,GW,2025-12-01 19:11:17
2006,3306,Health,8,GW,2025-12-01 19:11:17
2006,2713,Epidemiology,6,GW,2025-12-01 19:11:17
2006,2725,Infectious Diseases,6,GW,2025-12-01 19:11:17
2006,3312,Sociology and Political Science,5,GW,2025-12-01 19:11:17
2006,2739,"Public Health, Environmental and Occupational Health",3,GW,2025-12-01 19:11:17
2006,1105,"Ecology, Evolution, Behavior and Systematics",2,GW,2025-12-01 19:11:17
2006,1710,Information Systems,2,GW,2025-12-01 19:11:17
2006,2729,Obstetrics and Gynecology,2,GW,2025-12-01 19:11:17
2006,2735,"Pediatrics, Perinatology and Child Health",2,GW,2025-12-01 19:11:17
2006,2740,Pulmonary and Respiratory Medicine,2,GW,2025-12-01 19:11:17
2006,3600,General Health Professions,2,GW,2025-12-01 19:11:17
2006,1107,Forestry,1,GW,2025-12-01 19:11:17
2006,1308,Clinical Biochemistry,1,GW,2025-12-01 19:11:17
2006,1310,Endocrinology,1,GW,2025-12-01 19:11:17
2006,1311,Genetics,1,GW,2025-12-01 19:11:17
2006,1802,Information Systems and Management,1,GW,2025-12-01 19:11:17
2006,2002,Economics and Econometrics,1,GW,2025-12-01 19:11:17
2006,2308,"Management, Monitoring, Policy and Law",1,GW,2025-12-01 19:11:17
2006,2611,Modeling and Simulation,1,GW,2025-12-01 19:11:17
2006,2737,Physiology,1,GW,2025-12-01 19:11:17
2006,2745,Rheumatology,1,GW,2025-12-01 19:11:17
2006,2746,Surgery,1,GW,2025-12-01 19:11:17
2006,3205,Experimental and Cognitive Psychology,1,GW,2025-12-01 19:11:17
2006,3304,Education,1,GW,2025-12-01 19:11:17
2007,2403,Immunology,10,GW,2025-12-01 19:11:17
2007,2713,Epidemiology,6,GW,2025-12-01 19:11:17
2007,2725,Infectious Diseases,6,GW,2025-12-01 19:11:17
2007,2735,"Pediatrics, Perinatology and Child Health",5,GW,2025-12-01 19:11:17
2007,2916,Nutrition and Dietetics,4,GW,2025-12-01 19:11:17
2007,2740,Pulmonary and Respiratory Medicine,3,GW,2025-12-01 19:11:17
2007,1102,Agronomy and Crop Science,2,GW,2025-12-01 19:11:17
2007,2002,Economics and Econometrics,2,GW,2025-12-01 19:11:17
2007,2711,Emergency Medicine,2,GW,2025-12-01 19:11:17
2007,2737,Physiology,2,GW,2025-12-01 19:11:17
2007,2746,Surgery,2,GW,2025-12-01 19:11:17
2007,3306,Health,2,GW,2025-12-01 19:11:17
2007,3312,Sociology and Political Science,2,GW,2025-12-01 19:11:17
2007,3320,Political Science and International Relations,2,GW,2025-12-01 19:11:17
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,GW,2025-12-01 19:11:17
2007,1311,Genetics,1,GW,2025-12-01 19:11:17
2007,1407,Organizational Behavior and Human Resource Management,1,GW,2025-12-01 19:11:17
2007,2003,Finance,1,GW,2025-12-01 19:11:17
2007,2308,"Management, Monitoring, Policy and Law",1,GW,2025-12-01 19:11:17
2007,2406,Virology,1,GW,2025-12-01 19:11:17
2007,2712,"Endocrinology, Diabetes and Metabolism",1,GW,2025-12-01 19:11:17
2007,2729,Obstetrics and Gynecology,1,GW,2025-12-01 19:11:17
2007,2734,Pathology and Forensic Medicine,1,GW,2025-12-01 19:11:17
2007,2738,Psychiatry and Mental health,1,GW,2025-12-01 19:11:17
2007,2739,"Public Health, Environmental and Occupational Health",1,GW,2025-12-01 19:11:17
2007,3004,Pharmacology,1,GW,2025-12-01 19:11:17
2007,3304,Education,1,GW,2025-12-01 19:11:17
2007,3314,Anthropology,1,GW,2025-12-01 19:11:17
2007,3600,General Health Professions,1,GW,2025-12-01 19:11:17
2008,2403,Immunology,8,GW,2025-12-01 19:11:17
2008,2739,"Public Health, Environmental and Occupational Health",7,GW,2025-12-01 19:11:17
2008,2713,Epidemiology,6,GW,2025-12-01 19:11:17
2008,2735,"Pediatrics, Perinatology and Child Health",6,GW,2025-12-01 19:11:17
2008,2916,Nutrition and Dietetics,6,GW,2025-12-01 19:11:17
2008,2725,Infectious Diseases,5,GW,2025-12-01 19:11:17
2008,1802,Information Systems and Management,4,GW,2025-12-01 19:11:17
2008,2740,Pulmonary and Respiratory Medicine,3,GW,2025-12-01 19:11:17
2008,3320,Political Science and International Relations,3,GW,2025-12-01 19:11:17
2008,2002,Economics and Econometrics,2,GW,2025-12-01 19:11:17
2008,2746,Surgery,2,GW,2025-12-01 19:11:17
2008,3304,Education,2,GW,2025-12-01 19:11:17
2008,3306,Health,2,GW,2025-12-01 19:11:17
2008,3311,Safety Research,2,GW,2025-12-01 19:11:17
2008,3312,Sociology and Political Science,2,GW,2025-12-01 19:11:17
2008,3600,General Health Professions,2,GW,2025-12-01 19:11:17
2008,1102,Agronomy and Crop Science,1,GW,2025-12-01 19:11:17
2008,1312,Molecular Biology,1,GW,2025-12-01 19:11:17
2008,2303,Ecology,1,GW,2025-12-01 19:11:17
2008,2312,Water Science and Technology,1,GW,2025-12-01 19:11:17
2008,2404,Microbiology,1,GW,2025-12-01 19:11:17
2008,2405,Parasitology,1,GW,2025-12-01 19:11:17
