subfield_id,subfield_name,title,doi,year,cited_by_count,id
3600,General Health Professions,"Ethnic group inequalities in coverage with reproductive, maternal and child health interventions: cross-sectional analyses of national surveys in 16 Latin American and Caribbean countries",https://doi.org/10.1016/s2214-109x(18)30300-0,2018,103,https://openalex.org/W2884297047
3600,General Health Professions,Protecting the confidentiality and security of personal health information in low- and middle-income countries in the era of SDGs and Big Data,https://doi.org/10.3402/gha.v9.32089,2016,47,https://openalex.org/W2552863042
3600,General Health Professions,"Developing and implementing national health identifiers in resource limited countries: why, what, who, when and how?",https://doi.org/10.1080/16549716.2018.1440782,2018,46,https://openalex.org/W2791996169
3312,Sociology and Political Science,"Response Styles in Survey Research: A Literature Review of Antecedents, Consequences, and Remedies",https://doi.org/10.1093/ijpor/eds021,2012,441,https://openalex.org/W2128355832
3312,Sociology and Political Science,The utility of the UTAUT model in explaining mobile learning adoption in higher education in Guyana,,2013,273,https://openalex.org/W2147814282
3312,Sociology and Political Science,Assessing the impacts of climate change in cities and their adaptive capacity: Towards transformative approaches to climate change adaptation and poverty reduction in urban areas in a set of developing countries,https://doi.org/10.1016/j.scitotenv.2019.07.227,2019,252,https://openalex.org/W2957615000
2713,Epidemiology,Local emergence in Amazonia of Plasmodium falciparum k13 C580Y mutants associated with in vitro artemisinin resistance,https://doi.org/10.7554/elife.51015,2020,174,https://openalex.org/W3025920658
2713,Epidemiology,Independent Emergence of the<i>Plasmodium falciparum</i>Kelch Propeller Domain Mutant Allele C580Y in Guyana,https://doi.org/10.1093/infdis/jiv752,2015,132,https://openalex.org/W2329894730
2713,Epidemiology,Sepsis Severe or Septic Shock,https://doi.org/10.1378/chest.13-2618,2014,110,https://openalex.org/W2101748726
1110,Plant Science,"Pectin: An overview of sources, extraction and applications in food products, biomedical, pharmaceutical and environmental issues",https://doi.org/10.1016/j.focha.2023.100192,2023,168,https://openalex.org/W4317491750
1110,Plant Science,The response of contrasting tomato genotypes to combined heat and drought stress,https://doi.org/10.1016/j.jplph.2016.07.006,2016,132,https://openalex.org/W2465110752
1110,Plant Science,Dual mycorrhizal colonization of forest-dominating tropical trees and the mycorrhizal status of non-dominant tree and liana species,https://doi.org/10.1007/s00572-008-0170-9,2008,82,https://openalex.org/W2018006292
2725,Infectious Diseases,Global disparities in SARS-CoV-2 genomic surveillance,https://doi.org/10.1038/s41467-022-33713-y,2022,256,https://openalex.org/W4309338001
2725,Infectious Diseases,Understanding the role of disease knowledge and risk perception in shaping preventive behavior for selected vector-borne diseases in Guyana,https://doi.org/10.1371/journal.pntd.0008149,2020,132,https://openalex.org/W3014887388
2725,Infectious Diseases,Independent Emergence of the<i>Plasmodium falciparum</i>Kelch Propeller Domain Mutant Allele C580Y in Guyana,https://doi.org/10.1093/infdis/jiv752,2015,132,https://openalex.org/W2329894730
2739,"Public Health, Environmental and Occupational Health",Local emergence in Amazonia of Plasmodium falciparum k13 C580Y mutants associated with in vitro artemisinin resistance,https://doi.org/10.7554/elife.51015,2020,174,https://openalex.org/W3025920658
2739,"Public Health, Environmental and Occupational Health",Understanding the role of disease knowledge and risk perception in shaping preventive behavior for selected vector-borne diseases in Guyana,https://doi.org/10.1371/journal.pntd.0008149,2020,132,https://openalex.org/W3014887388
2739,"Public Health, Environmental and Occupational Health",Independent Emergence of the<i>Plasmodium falciparum</i>Kelch Propeller Domain Mutant Allele C580Y in Guyana,https://doi.org/10.1093/infdis/jiv752,2015,132,https://openalex.org/W2329894730
2002,Economics and Econometrics,The uncertain future of protected lands and waters,https://doi.org/10.1126/science.aau5525,2019,267,https://openalex.org/W2946846360
2002,Economics and Econometrics,Demything “wilderness”: implications for protected area designation and management,https://doi.org/10.1007/s10531-006-9122-x,2006,70,https://openalex.org/W2039068903
2002,Economics and Econometrics,Raising the priority of chronic noncommunicable diseases in the Caribbean.,,2011,43,https://openalex.org/W2165492319
2306,Global and Planetary Change,Long-term decline of the Amazon carbon sink,https://doi.org/10.1038/nature14283,2015,1136,https://openalex.org/W2048605790
2306,Global and Planetary Change,Hyperdominance in Amazonian forest carbon cycling,https://doi.org/10.1038/ncomms7857,2015,327,https://openalex.org/W2113310925
2306,Global and Planetary Change,The global forest above-ground biomass pool for 2010 estimated from high-resolution satellite observations,https://doi.org/10.5194/essd-13-3927-2021,2021,323,https://openalex.org/W3047165924
2303,Ecology,Global trait–environment relationships of plant communities,https://doi.org/10.1038/s41559-018-0699-8,2018,668,https://openalex.org/W2898973103
2303,Ecology,The global forest above-ground biomass pool for 2010 estimated from high-resolution satellite observations,https://doi.org/10.5194/essd-13-3927-2021,2021,323,https://openalex.org/W3047165924
2303,Ecology,Markedly divergent estimates of <scp>A</scp> mazon forest carbon density from ground plots and satellites,https://doi.org/10.1111/geb.12168,2014,308,https://openalex.org/W2136830425
3304,Education,Sudden change of pedagogy in education driven by COVID-19: Perspectives and evaluation from a developing country,https://doi.org/10.1016/j.resglo.2020.100029,2020,304,https://openalex.org/W3095800081
3304,Education,On lurking: Multiple perspectives on lurking within an educational community,https://doi.org/10.1016/j.iheduc.2019.100709,2019,58,https://openalex.org/W2982865947
3304,Education,Integrating computer technology in the teaching of Biology,https://doi.org/10.20876/ijobed.93986,2014,24,https://openalex.org/W1629182114
