year,id,name,works_count,country,fetch_date
2005,2306,Global and Planetary Change,4,GY,2025-12-03 12:47:12
2005,2309,Nature and Landscape Conservation,3,GY,2025-12-03 12:47:12
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,GY,2025-12-03 12:47:12
2005,1107,Forestry,1,GY,2025-12-03 12:47:12
2005,1202,History,1,GY,2025-12-03 12:47:12
2005,2002,Economics and Econometrics,1,GY,2025-12-03 12:47:12
2005,2302,Ecological Modeling,1,GY,2025-12-03 12:47:12
2005,2303,Ecology,1,GY,2025-12-03 12:47:12
2005,2713,Epidemiology,1,GY,2025-12-03 12:47:12
2005,2725,Infectious Diseases,1,GY,2025-12-03 12:47:12
2005,2746,Surgery,1,GY,2025-12-03 12:47:12
2005,3312,Sociology and Political Science,1,GY,2025-12-03 12:47:12
2005,3316,Cultural Studies,1,GY,2025-12-03 12:47:12
2005,3321,Public Administration,1,GY,2025-12-03 12:47:12
2006,3207,Social Psychology,4,GY,2025-12-03 12:47:12
2006,2303,Ecology,3,GY,2025-12-03 12:47:12
2006,2306,Global and Planetary Change,3,GY,2025-12-03 12:47:12
2006,2002,Economics and Econometrics,2,GY,2025-12-03 12:47:12
2006,3312,Sociology and Political Science,2,GY,2025-12-03 12:47:12
2006,1309,Developmental Biology,1,GY,2025-12-03 12:47:12
2006,2302,Ecological Modeling,1,GY,2025-12-03 12:47:12
2006,2713,Epidemiology,1,GY,2025-12-03 12:47:12
2006,2739,"Public Health, Environmental and Occupational Health",1,GY,2025-12-03 12:47:12
2006,3303,Development,1,GY,2025-12-03 12:47:12
2007,3600,General Health Professions,4,GY,2025-12-03 12:47:12
2007,3312,Sociology and Political Science,3,GY,2025-12-03 12:47:12
2007,2306,Global and Planetary Change,2,GY,2025-12-03 12:47:12
2007,2713,Epidemiology,2,GY,2025-12-03 12:47:12
2007,3317,Demography,2,GY,2025-12-03 12:47:12
2007,3604,Emergency Medical Services,2,GY,2025-12-03 12:47:12
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,GY,2025-12-03 12:47:12
