year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,176,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,174,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,133,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,122,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,116,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,110,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,97,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,94,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,93,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,89,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,81,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10069,Antenna Design and Analysis,79,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10767,Advanced Photonic Communication Systems,75,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10611,Organic Light-Emitting Diodes Research,74,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,72,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10045,Organic Electronics and Photovoltaics,67,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10460,Electronic Packaging and Soldering Technologies,64,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10796,Cooperative Communication and Network Coding,62,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T11263,Electromagnetic Simulation and Numerical Methods,60,HK,2025-11-25 22:41:29
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,53,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10742,Peer-to-Peer Network Technologies,128,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10575,Wireless Communication Networks Research,127,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10138,Network Traffic and Congestion Control,120,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10246,Mobile Ad Hoc Networks,117,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10796,Cooperative Communication and Network Coding,117,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11478,Caching and Content Delivery,108,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10125,Advanced Wireless Communication Techniques,107,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11158,Wireless Networks and Protocols,91,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11409,Advanced Wireless Network Optimization,87,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11187,Nonlinear Dynamics and Pattern Formation,85,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10317,Advanced Database Systems and Queries,81,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10715,Distributed and Parallel Computing Systems,79,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11106,Data Management and Algorithms,76,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T12288,Optimization and Search Problems,74,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11347,Neural Networks Stability and Synchronization,69,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T12203,Mobile Agent-Based Network Management,69,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10244,Chaos control and synchronization,60,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10829,Interconnection Networks and Systems,57,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T10772,Distributed systems and fault tolerance,56,HK,2025-11-25 22:41:29
2005,1705,Computer Networks and Communications,T11896,Opportunistic and Delay-Tolerant Networks,51,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,161,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,97,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,90,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,65,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10028,Topic Modeling,62,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10237,Cryptography and Data Security,59,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10820,Fuzzy Logic and Control Systems,52,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,51,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10100,Metaheuristic Optimization Algorithms Research,48,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10057,Face and Expression Recognition,47,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10201,Speech Recognition and Synthesis,46,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,46,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T11901,Bayesian Methods and Mixture Models,46,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T11106,Data Management and Algorithms,40,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T13734,Advanced Computational Techniques and Applications,40,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T11598,Internet Traffic Analysis and Secure E-voting,37,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10317,Advanced Database Systems and Queries,35,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10538,Data Mining Algorithms and Applications,34,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T10860,Speech and Audio Processing,34,HK,2025-11-25 22:41:29
2005,1702,Artificial Intelligence,T11550,Text and Document Classification Technologies,34,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10107,Ferroelectric and Piezoelectric Materials,116,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,97,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,78,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,76,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,72,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10321,Quantum Dots Synthesis And Properties,69,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T11272,Nanowire Synthesis and Applications,65,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,63,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,54,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10083,Graphene research and applications,50,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T11160,Acoustic Wave Resonator Technologies,50,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,44,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T12155,Microwave Dielectric Ceramics Synthesis,40,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,39,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T11240,Luminescence and Fluorescent Materials,39,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10590,Chalcogenide Semiconductor Thin Films,38,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T11279,Lanthanide and Transition Metal Complexes,38,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,37,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T12529,Ga2O3 and related materials,37,HK,2025-11-25 22:41:29
2005,2505,Materials Chemistry,T10865,Shape Memory Alloy Transformations,36,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10531,Advanced Vision and Imaging,154,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10057,Face and Expression Recognition,148,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10824,Image Retrieval and Classification Techniques,141,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10627,Advanced Image and Video Retrieval Techniques,117,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10688,Image and Signal Denoising Methods,96,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10052,Medical Image Segmentation Techniques,95,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10741,Video Coding and Compression Technologies,94,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10901,Advanced Data Compression Techniques,80,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T11439,Video Analysis and Summarization,71,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T11017,Chaos-based Image/Signal Encryption,62,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10481,Computer Graphics and Visualization Techniques,60,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T11165,Image and Video Quality Assessment,55,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T11105,Advanced Image Processing Techniques,52,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10638,Optical measurement and interference techniques,51,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T11448,Face recognition and analysis,50,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10191,Robotics and Sensor-Based Localization,48,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10586,Robotic Path Planning Algorithms,46,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10388,Advanced Steganography and Watermarking Techniques,43,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10828,Biometric Identification and Security,40,HK,2025-11-25 22:41:29
2005,1707,Computer Vision and Pattern Recognition,T10320,Neural Networks and Applications,39,HK,2025-11-25 22:41:29
