subfield_id,subfield_name,title,doi,year,cited_by_count,id
2739,"Public Health, Environmental and Occupational Health",Field-deployable viral diagnostics using CRISPR-Cas13,https://doi.org/10.1126/science.aas8836,2018,1369,https://openalex.org/W2800905921
2739,"Public Health, Environmental and Occupational Health",COVID-19 in Latin America: The implications of the first confirmed case in Brazil,https://doi.org/10.1016/j.tmaid.2020.101613,2020,613,https://openalex.org/W3007546470
2739,"Public Health, Environmental and Occupational Health",The Epidemiology of Dengue in the Americas Over the Last Three Decades: A Worrisome Reality,https://doi.org/10.4269/ajtmh.2010.09-0346,2010,529,https://openalex.org/W2111934369
2739,"Public Health, Environmental and Occupational Health",Zika virus evolution and spread in the Americas,https://doi.org/10.1038/nature22402,2017,409,https://openalex.org/W2620298867
2739,"Public Health, Environmental and Occupational Health",Zika Virus and the Guillain–Barré Syndrome — Case Series from Seven Countries,https://doi.org/10.1056/nejmc1609015,2016,310,https://openalex.org/W2509270368
2739,"Public Health, Environmental and Occupational Health","Phylogeography and Genetic Variation of Triatoma dimidiata, the Main Chagas Disease Vector in Central America, and Its Position within the Genus Triatoma",https://doi.org/10.1371/journal.pntd.0000233,2008,169,https://openalex.org/W2140214243
2739,"Public Health, Environmental and Occupational Health",WHO comparative evaluation of serologic assays for Chagas disease,https://doi.org/10.1111/j.1537-2995.2009.02107.x,2009,148,https://openalex.org/W2081167480
2739,"Public Health, Environmental and Occupational Health",Diabetes and hypertension increases in a society with abdominal obesity: results of the Mexican National Health Survey 2000,https://doi.org/10.1079/phn2005659,2005,139,https://openalex.org/W2058087466
2739,"Public Health, Environmental and Occupational Health",The My Child Matters programme: effect of public–private partnerships on paediatric cancer care in low-income and middle-income countries,https://doi.org/10.1016/s1470-2045(18)30123-2,2018,137,https://openalex.org/W2801275798
2739,"Public Health, Environmental and Occupational Health",A pregnant woman with COVID-19 in Central America,https://doi.org/10.1016/j.tmaid.2020.101639,2020,110,https://openalex.org/W3012707218
1110,Plant Science,Root architectural tradeoffs for water and phosphorus acquisition,https://doi.org/10.1071/fp05043,2005,456,https://openalex.org/W2027063907
1110,Plant Science,Assembly of a pan-genome from deep sequencing of 910 humans of African descent,https://doi.org/10.1038/s41588-018-0273-y,2018,399,https://openalex.org/W2901214479
1110,Plant Science,The intensity of a coffee rust epidemic is dependent on production situations,https://doi.org/10.1016/j.ecolmodel.2006.03.013,2006,148,https://openalex.org/W2089787702
1110,Plant Science,Humic substances from vermicompost enhance urban lettuce production,https://doi.org/10.1007/s13593-014-0221-x,2014,110,https://openalex.org/W1976581238
1110,Plant Science,Seedling root architecture and its relationship with seed yield across diverse environments in Phaseolus vulgaris,https://doi.org/10.1016/j.fcr.2019.04.012,2019,90,https://openalex.org/W2942787512
1110,Plant Science,Fresh Mushroom Preservation Techniques,https://doi.org/10.3390/foods10092126,2021,88,https://openalex.org/W3198390942
1110,Plant Science,Immediate impact of COVID-19 pandemic on farming systems in Central America and Mexico,https://doi.org/10.1016/j.agsy.2021.103178,2021,88,https://openalex.org/W3162619036
1110,Plant Science,Bioactive compounds and antioxidant capacity of grape pomace flours,https://doi.org/10.1016/j.lwt.2020.110053,2020,84,https://openalex.org/W3049220477
1110,Plant Science,Performance of Coffea arabica F1 hybrids in agroforestry and full-sun cropping systems in comparison with American pure line cultivars,https://doi.org/10.1007/s10681-011-0372-7,2011,79,https://openalex.org/W2010075139
1110,Plant Science,Cadmium accumulation and allocation in different cacao cultivars,https://doi.org/10.1016/j.scitotenv.2019.05.001,2019,76,https://openalex.org/W2942692274
3600,General Health Professions,Conceptualizing community resilience: Revisiting conceptual distinctions,https://doi.org/10.1080/15575330.2016.1248458,2016,154,https://openalex.org/W2533384351
3600,General Health Professions,Age at menopause in Latin America,https://doi.org/10.1097/01.gme.0000227338.73738.2d,2006,151,https://openalex.org/W1977229710
3600,General Health Professions,"Ethnic group inequalities in coverage with reproductive, maternal and child health interventions: cross-sectional analyses of national surveys in 16 Latin American and Caribbean countries",https://doi.org/10.1016/s2214-109x(18)30300-0,2018,103,https://openalex.org/W2884297047
3600,General Health Professions,Asociación de Hemato-Oncología Pediátrica de Centro América (AHOPCA): A model for sustainable development in pediatric oncology,https://doi.org/10.1002/pbc.24802,2013,90,https://openalex.org/W1593134016
3600,General Health Professions,A Preliminary Study of a Cloud-Computing Model for Chronic Illness Self-Care Support in an Underdeveloped Country,https://doi.org/10.1016/j.amepre.2011.02.014,2011,83,https://openalex.org/W2147782465
3600,General Health Professions,Community capacity building and health promotion in a globalized world,https://doi.org/10.1093/heapro/dal055,2006,60,https://openalex.org/W2151087978
3600,General Health Professions,Cost-effectiveness of pneumococcal conjugate vaccination in Latin America and the Caribbean: a regional analysis,https://doi.org/10.1590/s1020-49892008001100002,2008,53,https://openalex.org/W2112339404
3600,General Health Professions,Motivation towards medical career choice and academic performance in Latin American medical students: A cross-sectional study,https://doi.org/10.1371/journal.pone.0205674,2018,49,https://openalex.org/W2897340341
