subfield_id,subfield_name,title,doi,year,cited_by_count,id
2725,Infectious Diseases,Treatment correlates of successful outcomes in pulmonary multidrug-resistant tuberculosis: an individual patient data meta-analysis,https://doi.org/10.1016/s0140-6736(18)31644-1,2018,610,https://openalex.org/W2891690058
2725,Infectious Diseases,Early versus Standard Antiretroviral Therapy for HIV-Infected Adults in Haiti,https://doi.org/10.1056/nejmoa0910370,2010,374,https://openalex.org/W2105213363
2725,Infectious Diseases,One Month of Rifapentine plus Isoniazid to Prevent HIV-Related Tuberculosis,https://doi.org/10.1056/nejmoa1806808,2019,332,https://openalex.org/W2921307586
2725,Infectious Diseases,The Role of Fear-Related Behaviors in the 2013–2016 West Africa Ebola Virus Disease Outbreak,https://doi.org/10.1007/s11920-016-0741-y,2016,330,https://openalex.org/W2530428060
2725,Infectious Diseases,Evaluation of Tuberculosis Diagnostics in Children: 1. Proposed Clinical Case Definitions for Classification of Intrathoracic Tuberculosis Disease. Consensus From an Expert Panel,https://doi.org/10.1093/infdis/jis008,2012,320,https://openalex.org/W2152900977
2725,Infectious Diseases,Antiretroviral Therapy in a Thousand Patients with AIDS in Haiti,https://doi.org/10.1056/nejmoa051908,2005,295,https://openalex.org/W2071988525
2725,Infectious Diseases,Same-day HIV testing with initiation of antiretroviral therapy versus standard care for persons living with HIV: A randomized unblinded trial,https://doi.org/10.1371/journal.pmed.1002357,2017,283,https://openalex.org/W2737303094
2725,Infectious Diseases,Antibiotic treatment for Tuberculosis induces a profound dysbiosis of the microbiome that persists long after therapy is completed,https://doi.org/10.1038/s41598-017-10346-6,2017,188,https://openalex.org/W2753247826
2725,Infectious Diseases,Time from HIV seroconversion to death: a collaborative analysis of eight studies in six low and middle-income countries before highly active antiretroviral therapy,https://doi.org/10.1097/01.aids.0000299411.75269.e8,2007,172,https://openalex.org/W2094690867
2725,Infectious Diseases,The epidemiology of adolescents living with perinatally acquired HIV: A cross-region global cohort analysis,https://doi.org/10.1371/journal.pmed.1002514,2018,163,https://openalex.org/W2792621062
2713,Epidemiology,Treatment correlates of successful outcomes in pulmonary multidrug-resistant tuberculosis: an individual patient data meta-analysis,https://doi.org/10.1016/s0140-6736(18)31644-1,2018,610,https://openalex.org/W2891690058
2713,Epidemiology,One Month of Rifapentine plus Isoniazid to Prevent HIV-Related Tuberculosis,https://doi.org/10.1056/nejmoa1806808,2019,332,https://openalex.org/W2921307586
2713,Epidemiology,Same-day HIV testing with initiation of antiretroviral therapy versus standard care for persons living with HIV: A randomized unblinded trial,https://doi.org/10.1371/journal.pmed.1002357,2017,283,https://openalex.org/W2737303094
2713,Epidemiology,Antibiotic treatment for Tuberculosis induces a profound dysbiosis of the microbiome that persists long after therapy is completed,https://doi.org/10.1038/s41598-017-10346-6,2017,188,https://openalex.org/W2753247826
2713,Epidemiology,"Microorganisms Associated With Pneumonia in Children &amp;lt;5 Years of Age in Developing and Emerging Countries: The GABRIEL Pneumonia Multicenter, Prospective, Case-Control Study",https://doi.org/10.1093/cid/cix378,2017,162,https://openalex.org/W2625496552
2713,Epidemiology,Domestic Returns from Investment in the Control of Tuberculosis in Other Countries,https://doi.org/10.1056/nejmsa043194,2005,141,https://openalex.org/W2032088683
2713,Epidemiology,"Cohort Profile: Caribbean, Central and South America Network for HIV research (CCASAnet) collaboration within the International Epidemiologic Databases to Evaluate AIDS (IeDEA) programme",https://doi.org/10.1093/ije/dym073,2007,134,https://openalex.org/W2131002918
2713,Epidemiology,Slave Trade and Hepatitis B Virus Genotypes and Subgenotypes in Haiti and Africa,https://doi.org/10.3201/eid1508.081642,2009,112,https://openalex.org/W2149575098
2713,Epidemiology,Correlation between Genotypic and Phenotypic Testing for Resistance to Rifampin in Mycobacterium tuberculosis Clinical Isolates in Haiti: Investigation of Cases with Discrepant Susceptibility Results,https://doi.org/10.1371/journal.pone.0090569,2014,105,https://openalex.org/W2063477045
2713,Epidemiology,Application of Sensitive and Specific Molecular Methods To Uncover Global Dissemination of the Major RD <sup>Rio</sup> Sublineage of the Latin American-Mediterranean <i>Mycobacterium tuberculosis</i> Spoligotype Family,https://doi.org/10.1128/jcm.02231-07,2008,92,https://openalex.org/W2164343297
3312,Sociology and Political Science,Conference equity in global health: a systematic review of factors impacting LMIC representation at global health conferences,https://doi.org/10.1136/bmjgh-2020-003455,2021,127,https://openalex.org/W3121927719
3312,Sociology and Political Science,A realist systematic review of stigma reduction interventions for HIV prevention and care continuum outcomes among men who have sex with men,https://doi.org/10.1177/0956462420924984,2020,73,https://openalex.org/W3039983773
3312,Sociology and Political Science,Shelter recovery in urban Haiti after the earthquake: the dual role of social capital,https://doi.org/10.1111/disa.12051,2014,69,https://openalex.org/W2117426170
3312,Sociology and Political Science,"“If they could make us disappear, they would!” youth and violence in Cité Soleil, Haiti",https://doi.org/10.1002/jcop.20379,2010,45,https://openalex.org/W1999961654
3312,Sociology and Political Science,"Does climate change cause disasters? How citizens, academics, and leaders explain climate-related risk and disasters in Latin America and the Caribbean",https://doi.org/10.1016/j.ijdrr.2021.102173,2021,43,https://openalex.org/W3147068129
3312,Sociology and Political Science,Le syntagme nominal en créole haïtien : aspects morpho-phonologiques et syntaxiques,https://doi.org/10.4000/etudescreoles.612,2017,41,https://openalex.org/W4312286348
3312,Sociology and Political Science,P007: Gender approach: violence in women and transgender women with HIV in clinic in Mexico City,https://doi.org/10.7448/ias.18.3.20138,2015,40,https://openalex.org/W2333906586
3312,Sociology and Political Science,"Sexual Risk Behaviors Among Adolescents in Port-au-Prince, Haiti",https://doi.org/10.1007/s10461-013-0689-4,2014,40,https://openalex.org/W2003975395
3312,Sociology and Political Science,"‘Life under the tent is not safe, especially for young women’: understanding intersectional violence among internally displaced youth in Leogane, Haiti",https://doi.org/10.1080/16549716.2017.1270816,2017,39,https://openalex.org/W2583344653
3312,Sociology and Political Science,Haiti and the politics of governance and community responses to Hurricane Matthew,https://doi.org/10.1080/21665044.2016.1263539,2016,38,https://openalex.org/W2555015884
2739,"Public Health, Environmental and Occupational Health",Clinical Practice Guidelines for the Management of Hypertension in the Community,https://doi.org/10.1111/jch.12237,2013,985,https://openalex.org/W2586133222
2739,"Public Health, Environmental and Occupational Health",Groundwater contamination by microbiological and chemical substances released from hospital wastewater: Health risk assessment for drinking water consumers,https://doi.org/10.1016/j.envint.2009.01.011,2009,202,https://openalex.org/W2000483853
2739,"Public Health, Environmental and Occupational Health",Global Surgery 2030: a roadmap for high income country actors,https://doi.org/10.1136/bmjgh-2015-000011,2016,158,https://openalex.org/W2336768016
2739,"Public Health, Environmental and Occupational Health",Insecticide‐treated bednets to control dengue vectors: preliminary evidence from a controlled trial in Haiti,https://doi.org/10.1111/j.1365-3156.2007.01966.x,2008,144,https://openalex.org/W2134113334
2739,"Public Health, Environmental and Occupational Health","Prospective, multi-centre clinic-based evaluation of four rapid diagnostic tests for syphilis",https://doi.org/10.1136/sti.2006.022467,2006,143,https://openalex.org/W2129512403
2739,"Public Health, Environmental and Occupational Health",Conference equity in global health: a systematic review of factors impacting LMIC representation at global health conferences,https://doi.org/10.1136/bmjgh-2020-003455,2021,127,https://openalex.org/W3121927719
2739,"Public Health, Environmental and Occupational Health",Effect of a Chikungunya Virus–Like Particle Vaccine on Safety and Tolerability Outcomes,https://doi.org/10.1001/jama.2020.2477,2020,100,https://openalex.org/W3015959975
2739,"Public Health, Environmental and Occupational Health",Establishment of a Canine Rabies Burden in Haiti through the Implementation of a Novel Surveillance Program,https://doi.org/10.1371/journal.pntd.0004245,2015,95,https://openalex.org/W2419636548
2739,"Public Health, Environmental and Occupational Health",Multi-site evaluation of the LN34 pan-lyssavirus real-time RT-PCR assay for post-mortem rabies diagnostics,https://doi.org/10.1371/journal.pone.0197074,2018,79,https://openalex.org/W2804722407
2739,"Public Health, Environmental and Occupational Health",Female global health leadership: data-driven approaches to close the gender gap,https://doi.org/10.1016/s0140-6736(19)30203-x,2019,62,https://openalex.org/W2913445132
3600,General Health Professions,The epidemiology of adolescents living with perinatally acquired HIV: A cross-region global cohort analysis,https://doi.org/10.1371/journal.pmed.1002514,2018,163,https://openalex.org/W2792621062
3600,General Health Professions,Linear growth increased in young children in an urban slum of Haiti: a randomized controlled trial of a lipid-based nutrient supplement,https://doi.org/10.3945/ajcn.113.063883,2013,133,https://openalex.org/W2130769005
3600,General Health Professions,Maternal HIV infection influences the microbiome of HIV-uninfected infants,https://doi.org/10.1126/scitranslmed.aaf5103,2016,117,https://openalex.org/W2493898491
3600,General Health Professions,Psychosocial support intervention for HIV-affected families in Haiti: Implications for programs and policies for orphans and vulnerable children,https://doi.org/10.1016/j.socscimed.2012.01.022,2012,75,https://openalex.org/W2041890133
3600,General Health Professions,Shelter recovery in urban Haiti after the earthquake: the dual role of social capital,https://doi.org/10.1111/disa.12051,2014,69,https://openalex.org/W2117426170
3600,General Health Professions,"Depression, Substance Abuse and Other Contextual Predictors of Adherence to Antiretroviral Therapy (ART) Among Haitians",https://doi.org/10.1007/s10461-012-0400-1,2013,64,https://openalex.org/W1992166973
3600,General Health Professions,Psychosocial Functioning Among HIV-Affected Youth and Their Caregivers in Haiti: Implications for Family-Focused Service Provision in High HIV Burden Settings,https://doi.org/10.1089/apc.2009.0201,2010,49,https://openalex.org/W2053678180
3600,General Health Professions,P021: Impulsivity and depressive symptoms in people with HIV diagnosed with a common mental disorder from an HIV clinic in Mexico City,https://doi.org/10.7448/ias.18.3.20152,2015,45,https://openalex.org/W2327055013
3600,General Health Professions,"Do mobile clinics provide high-quality antenatal care? A comparison of care delivery, knowledge outcomes and perception of quality of care between fixed and mobile clinics in central Haiti",https://doi.org/10.1186/s12884-017-1546-7,2017,43,https://openalex.org/W2765711558
3600,General Health Professions,"Impact of a youth‐friendly HIV clinic: 10 years of adolescent outcomes in Port‐au‐Prince, Haiti",https://doi.org/10.7448/ias.19.1.20859,2016,42,https://openalex.org/W2463962460
2406,Virology,Antiretroviral Therapy in a Thousand Patients with AIDS in Haiti,https://doi.org/10.1056/nejmoa051908,2005,295,https://openalex.org/W2071988525
2406,Virology,Time from HIV seroconversion to death: a collaborative analysis of eight studies in six low and middle-income countries before highly active antiretroviral therapy,https://doi.org/10.1097/01.aids.0000299411.75269.e8,2007,172,https://openalex.org/W2094690867
2406,Virology,A Phase IIA Randomized Clinical Trial of a Multiclade HIV-1 DNA Prime Followed by a Multiclade rAd5 HIV-1 Vaccine Boost in Healthy Adults (HVTN204),https://doi.org/10.1371/journal.pone.0021225,2011,137,https://openalex.org/W2031894834
2406,Virology,Efficacy and Safety of Three Antiretroviral Regimens for Initial Treatment of HIV-1: A Randomized Clinical Trial in Diverse Multinational Settings,https://doi.org/10.1371/journal.pmed.1001290,2012,128,https://openalex.org/W2102160465
2406,Virology,Establishment of a Canine Rabies Burden in Haiti through the Implementation of a Novel Surveillance Program,https://doi.org/10.1371/journal.pntd.0004245,2015,95,https://openalex.org/W2419636548
2406,Virology,Mortality During the First Year of Potent Antiretroviral Therapy in HIV-1-Infected Patients in 7 Sites Throughout Latin America and the Caribbean,https://doi.org/10.1097/qai.0b013e3181a44f0a,2009,81,https://openalex.org/W1980981277
2406,Virology,Multi-site evaluation of the LN34 pan-lyssavirus real-time RT-PCR assay for post-mortem rabies diagnostics,https://doi.org/10.1371/journal.pone.0197074,2018,79,https://openalex.org/W2804722407
2406,Virology,"Cost-Effectiveness Evaluation of a Novel Integrated Bite Case Management Program for the Control of Human Rabies, Haiti 2014–2015",https://doi.org/10.4269/ajtmh.16-0785,2017,76,https://openalex.org/W2606856921
2406,Virology,Inflammation and Change in Body Weight With Antiretroviral Therapy Initiation in a Multinational Cohort of HIV-Infected Adults,https://doi.org/10.1093/infdis/jiw096,2016,70,https://openalex.org/W2296255946
2406,Virology,Sex-Related Differences in Inflammatory and Immune Activation Markers Before and After Combined Antiretroviral Therapy Initiation,https://doi.org/10.1097/qai.0000000000001095,2016,69,https://openalex.org/W2415756804
2735,"Pediatrics, Perinatology and Child Health",Early impact of the COVID-19 pandemic on paediatric cancer care in Latin America,https://doi.org/10.1016/s1470-2045(20)30280-1,2020,108,https://openalex.org/W3024278704
2735,"Pediatrics, Perinatology and Child Health",Towards early inclusion of children in tuberculosis drugs trials: a consensus statement,https://doi.org/10.1016/s1473-3099(15)00007-9,2015,72,https://openalex.org/W2156840301
2735,"Pediatrics, Perinatology and Child Health",Cost-Effectiveness of Rapid Syphilis Screening in Prenatal HIV Testing Programs in Haiti,https://doi.org/10.1371/journal.pmed.0040183,2007,63,https://openalex.org/W2117958621
