year,id,name,works_count,country,fetch_date
2005,2725,Infectious Diseases,3,HT,2025-12-03 12:48:32
2005,2406,Virology,2,HT,2025-12-03 12:48:32
2005,2729,Obstetrics and Gynecology,2,HT,2025-12-03 12:48:32
2005,2735,"Pediatrics, Perinatology and Child Health",2,HT,2025-12-03 12:48:32
2005,2713,Epidemiology,1,HT,2025-12-03 12:48:32
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,HT,2025-12-03 12:48:32
2005,2746,Surgery,1,HT,2025-12-03 12:48:32
2005,3304,Education,1,HT,2025-12-03 12:48:32
2005,3312,Sociology and Political Science,1,HT,2025-12-03 12:48:32
2006,2725,Infectious Diseases,8,HT,2025-12-03 12:48:32
2006,2404,Microbiology,3,HT,2025-12-03 12:48:32
2006,2405,Parasitology,3,HT,2025-12-03 12:48:32
2006,2713,Epidemiology,2,HT,2025-12-03 12:48:32
2006,2737,Physiology,2,HT,2025-12-03 12:48:32
2006,2739,"Public Health, Environmental and Occupational Health",2,HT,2025-12-03 12:48:32
2006,2734,Pathology and Forensic Medicine,1,HT,2025-12-03 12:48:32
2006,2735,"Pediatrics, Perinatology and Child Health",1,HT,2025-12-03 12:48:32
2006,3306,Health,1,HT,2025-12-03 12:48:32
2006,3600,General Health Professions,1,HT,2025-12-03 12:48:32
2007,2725,Infectious Diseases,7,HT,2025-12-03 12:48:32
2007,2406,Virology,5,HT,2025-12-03 12:48:32
2007,2711,Emergency Medicine,3,HT,2025-12-03 12:48:32
2007,3312,Sociology and Political Science,3,HT,2025-12-03 12:48:32
2007,1105,"Ecology, Evolution, Behavior and Systematics",2,HT,2025-12-03 12:48:32
2007,1312,Molecular Biology,2,HT,2025-12-03 12:48:32
2007,2713,Epidemiology,2,HT,2025-12-03 12:48:32
2007,2739,"Public Health, Environmental and Occupational Health",2,HT,2025-12-03 12:48:32
2007,2403,Immunology,1,HT,2025-12-03 12:48:32
2007,2735,"Pediatrics, Perinatology and Child Health",1,HT,2025-12-03 12:48:32
2007,2737,Physiology,1,HT,2025-12-03 12:48:32
2007,2916,Nutrition and Dietetics,1,HT,2025-12-03 12:48:32
2007,3322,Urban Studies,1,HT,2025-12-03 12:48:32
2007,3506,Periodontics,1,HT,2025-12-03 12:48:32
2007,3616,Speech and Hearing,1,HT,2025-12-03 12:48:32
2008,2725,Infectious Diseases,8,HT,2025-12-03 12:48:32
2008,3600,General Health Professions,4,HT,2025-12-03 12:48:32
2008,2406,Virology,3,HT,2025-12-03 12:48:32
2008,2713,Epidemiology,3,HT,2025-12-03 12:48:32
2008,2735,"Pediatrics, Perinatology and Child Health",3,HT,2025-12-03 12:48:32
2008,2711,Emergency Medicine,2,HT,2025-12-03 12:48:32
2008,2739,"Public Health, Environmental and Occupational Health",2,HT,2025-12-03 12:48:32
2008,2746,Surgery,2,HT,2025-12-03 12:48:32
2008,3306,Health,2,HT,2025-12-03 12:48:32
2008,1307,Cell Biology,1,HT,2025-12-03 12:48:32
2008,1311,Genetics,1,HT,2025-12-03 12:48:32
2008,2002,Economics and Econometrics,1,HT,2025-12-03 12:48:32
2008,2303,Ecology,1,HT,2025-12-03 12:48:32
