subfield_id,subfield_name,title,doi,year,cited_by_count,id
3304,Education,Manajemen Sumber Daya Manusia,https://doi.org/10.31539/alignment.v2i1.721,2019,5054,https://openalex.org/W2955311731
3304,Education,Is the CVI an acceptable indicator of content validity? Appraisal and recommendations,https://doi.org/10.1002/nur.20199,2007,4374,https://openalex.org/W2078199993
3304,Education,BELAJAR DAN PEMBELAJARAN,https://doi.org/10.24952/fitrah.v3i2.945,2017,2714,https://openalex.org/W2921488632
1710,Information Systems,ANALISIS DATA KUALITATIF,https://doi.org/10.18592/alhadharah.v17i33.2374,2019,2874,https://openalex.org/W2913450733
1710,Information Systems,BELAJAR DAN PEMBELAJARAN,https://doi.org/10.24952/fitrah.v3i2.945,2017,2714,https://openalex.org/W2921488632
1710,Information Systems,Evaluasi Pembelajaran,https://doi.org/10.37680/ssa.v1i2.3582,2023,2645,https://openalex.org/W4390352677
3312,Sociology and Political Science,Coronavirus Disease 2019: Tinjauan Literatur Terkini,https://doi.org/10.7454/jpdi.v7i1.415,2020,1448,https://openalex.org/W3015186860
3312,Sociology and Political Science,Review and analysis of current responses to COVID-19 in Indonesia: Period of January to March 2020,https://doi.org/10.1016/j.pdisas.2020.100091,2020,1241,https://openalex.org/W3014719091
3312,Sociology and Political Science,Environmental Income and Rural Livelihoods: A Global-Comparative Analysis,https://doi.org/10.1016/j.worlddev.2014.03.006,2014,1035,https://openalex.org/W2170853760
3317,Demography,MANAJEMEN SUMBER DAYA MANUSIA,https://doi.org/10.35673/ajmpi.v9i2.429,2019,1711,https://openalex.org/W2970954386
3317,Demography,The potential of Indonesian mangrove forests for global climate change mitigation,https://doi.org/10.1038/nclimate2734,2015,779,https://openalex.org/W998093192
3317,Demography,TEKNIK-TEKNIK OBSERVASI (Sebuah Alternatif Metode Pengumpulan Data Kualitatif Ilmu-ilmu Sosial),https://doi.org/10.21580/at.v8i1.1163,2017,753,https://openalex.org/W2748920582
1408,Strategy and Management,Uji Validitas dan Reliabilitas Instrumen Penelitian Kuantitatif,https://doi.org/10.18592/tarbiyah.v7i1.2100,2018,671,https://openalex.org/W2890196419
1408,Strategy and Management,Pursuing green growth in technology firms through the connections between environmental innovation and sustainable business performance: Does service capability matter?,https://doi.org/10.1016/j.resconrec.2018.09.031,2018,648,https://openalex.org/W2897358992
1408,Strategy and Management,The collaboration index: a measure for supply chain collaboration,https://doi.org/10.1108/09600030510577421,2005,553,https://openalex.org/W2040837002
2735,"Pediatrics, Perinatology and Child Health",Coronavirus Disease 2019: Tinjauan Literatur Terkini,https://doi.org/10.7454/jpdi.v7i1.415,2020,1448,https://openalex.org/W3015186860
2735,"Pediatrics, Perinatology and Child Health",METODOLOGI PENELITIAN KESEHATAN,https://doi.org/10.31219/osf.io/cmv89,2021,1388,https://openalex.org/W4235532671
2735,"Pediatrics, Perinatology and Child Health",Maternal and Neonatal Morbidity and Mortality Among Pregnant Women With and Without COVID-19 Infection,https://doi.org/10.1001/jamapediatrics.2021.1050,2021,1301,https://openalex.org/W3153280783
1702,Artificial Intelligence,ANALISIS DATA KUALITATIF,https://doi.org/10.18592/alhadharah.v17i33.2374,2019,2874,https://openalex.org/W2913450733
1702,Artificial Intelligence,Memahami desain metode penelitian kualitatif,https://doi.org/10.21831/hum.v21i1.38075,2021,1662,https://openalex.org/W3159646287
1702,Artificial Intelligence,Coronavirus Disease 2019: Tinjauan Literatur Terkini,https://doi.org/10.7454/jpdi.v7i1.415,2020,1448,https://openalex.org/W3015186860
3308,Law,MEWUJUDKAN GOOD GOVERNANCE MELALUI PELAYANAN PUBLIK,https://doi.org/10.54783/dialektika.v19i1.62,2021,579,https://openalex.org/W4312346959
3308,Law,COVID-19 pandemic,https://doi.org/10.53730/ijhs.v5n2.2937,2021,486,https://openalex.org/W4206039048
3308,Law,Metodologi Penelitian Hukum sebagai Instrumen Mengurai Permasalahan Hukum Kontemporer,https://doi.org/10.14710/gk.2020.7504,2020,451,https://openalex.org/W4297846838
1402,Accounting,Analisis kinerja keuangan,https://doi.org/10.29264/jkin.v14i1.2444,2018,525,https://openalex.org/W2793479668
1402,Accounting,"Type of earnings management and the effect of ownership structure, firm size, and corporate-governance practices: Evidence from Indonesia",https://doi.org/10.1016/j.intacc.2008.01.001,2008,487,https://openalex.org/W2098267900
1402,Accounting,The effect of good corporate governance mechanism and corporate social responsibility on financial performance with earnings management as mediating variable,https://doi.org/10.1108/ajar-06-2018-0008,2018,401,https://openalex.org/W2912049223
1100,General Agricultural and Biological Sciences,Environmental Income and Rural Livelihoods: A Global-Comparative Analysis,https://doi.org/10.1016/j.worlddev.2014.03.006,2014,1035,https://openalex.org/W2170853760
1100,General Agricultural and Biological Sciences,Trade-offs between multifunctionality and profit in tropical smallholder landscapes,https://doi.org/10.1038/s41467-020-15013-5,2020,765,https://openalex.org/W3009916829
1100,General Agricultural and Biological Sciences,Metodologi Penelitian Bisnis,,2019,618,https://openalex.org/W3086772204
