year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,318,ID,2025-12-01 18:43:49
2005,3304,Education,184,ID,2025-12-01 18:43:49
2005,1710,Information Systems,157,ID,2025-12-01 18:43:49
2005,3308,Law,147,ID,2025-12-01 18:43:49
2005,3317,Demography,139,ID,2025-12-01 18:43:49
2005,1100,General Agricultural and Biological Sciences,136,ID,2025-12-01 18:43:49
2005,1408,Strategy and Management,129,ID,2025-12-01 18:43:49
2005,1702,Artificial Intelligence,106,ID,2025-12-01 18:43:49
2005,3320,Political Science and International Relations,104,ID,2025-12-01 18:43:49
2005,1402,Accounting,99,ID,2025-12-01 18:43:49
2005,2002,Economics and Econometrics,72,ID,2025-12-01 18:43:49
2005,3316,Cultural Studies,66,ID,2025-12-01 18:43:49
2005,2735,"Pediatrics, Perinatology and Child Health",65,ID,2025-12-01 18:43:49
2005,1404,Management Information Systems,46,ID,2025-12-01 18:43:49
2005,2303,Ecology,29,ID,2025-12-01 18:43:49
2005,1106,Food Science,28,ID,2025-12-01 18:43:49
2005,1407,Organizational Behavior and Human Resource Management,27,ID,2025-12-01 18:43:49
2005,1406,Marketing,26,ID,2025-12-01 18:43:49
2005,1111,Soil Science,24,ID,2025-12-01 18:43:49
2005,2308,"Management, Monitoring, Policy and Law",23,ID,2025-12-01 18:43:49
2005,2208,Electrical and Electronic Engineering,22,ID,2025-12-01 18:43:49
2005,1203,Language and Linguistics,21,ID,2025-12-01 18:43:49
2005,1110,Plant Science,18,ID,2025-12-01 18:43:49
2005,3315,Communication,17,ID,2025-12-01 18:43:49
2005,1405,Management of Technology and Innovation,15,ID,2025-12-01 18:43:49
2005,1705,Computer Networks and Communications,15,ID,2025-12-01 18:43:49
2005,2207,Control and Systems Engineering,15,ID,2025-12-01 18:43:49
2005,3305,"Geography, Planning and Development",15,ID,2025-12-01 18:43:49
2005,3600,General Health Professions,15,ID,2025-12-01 18:43:49
2005,2306,Global and Planetary Change,14,ID,2025-12-01 18:43:49
2005,1104,Aquatic Science,13,ID,2025-12-01 18:43:49
2005,1212,Religious studies,13,ID,2025-12-01 18:43:49
2005,2205,Civil and Structural Engineering,13,ID,2025-12-01 18:43:49
2005,1107,Forestry,12,ID,2025-12-01 18:43:49
2005,3307,Human Factors and Ergonomics,12,ID,2025-12-01 18:43:49
2005,3318,Gender Studies,12,ID,2025-12-01 18:43:49
2005,3605,Health Information Management,12,ID,2025-12-01 18:43:49
2005,3204,Developmental and Educational Psychology,11,ID,2025-12-01 18:43:49
2005,1102,Agronomy and Crop Science,10,ID,2025-12-01 18:43:49
2005,1803,Management Science and Operations Research,10,ID,2025-12-01 18:43:49
2005,2739,"Public Health, Environmental and Occupational Health",10,ID,2025-12-01 18:43:49
2005,3609,Occupational Therapy,9,ID,2025-12-01 18:43:49
2005,2209,Industrial and Manufacturing Engineering,8,ID,2025-12-01 18:43:49
2005,3207,Social Psychology,8,ID,2025-12-01 18:43:49
2005,1206,Conservation,7,ID,2025-12-01 18:43:49
2005,2000,"General Economics, Econometrics and Finance",7,ID,2025-12-01 18:43:49
2005,2212,Ocean Engineering,7,ID,2025-12-01 18:43:49
2005,2214,Media Technology,7,ID,2025-12-01 18:43:49
2005,2737,Physiology,7,ID,2025-12-01 18:43:49
2005,2740,Pulmonary and Respiratory Medicine,7,ID,2025-12-01 18:43:49
2005,1211,Philosophy,6,ID,2025-12-01 18:43:49
2005,1312,Molecular Biology,6,ID,2025-12-01 18:43:49
2005,1703,Computational Theory and Mathematics,6,ID,2025-12-01 18:43:49
2005,1707,Computer Vision and Pattern Recognition,6,ID,2025-12-01 18:43:49
2005,2204,Biomedical Engineering,6,ID,2025-12-01 18:43:49
2005,2210,Mechanical Engineering,6,ID,2025-12-01 18:43:49
2005,2213,"Safety, Risk, Reliability and Quality",6,ID,2025-12-01 18:43:49
2005,2312,Water Science and Technology,6,ID,2025-12-01 18:43:49
2005,2604,Applied Mathematics,6,ID,2025-12-01 18:43:49
2005,2916,Nutrition and Dietetics,6,ID,2025-12-01 18:43:49
2005,1706,Computer Science Applications,5,ID,2025-12-01 18:43:49
2005,1802,Information Systems and Management,5,ID,2025-12-01 18:43:49
2005,1907,Geology,5,ID,2025-12-01 18:43:49
2005,2003,Finance,5,ID,2025-12-01 18:43:49
2005,2211,Mechanics of Materials,5,ID,2025-12-01 18:43:49
2005,2746,Surgery,5,ID,2025-12-01 18:43:49
2005,3203,Clinical Psychology,5,ID,2025-12-01 18:43:49
2005,3313,Transportation,5,ID,2025-12-01 18:43:49
2005,1105,"Ecology, Evolution, Behavior and Systematics",4,ID,2025-12-01 18:43:49
2005,1109,Insect Science,4,ID,2025-12-01 18:43:49
2005,1711,Signal Processing,4,ID,2025-12-01 18:43:49
2005,1908,Geophysics,4,ID,2025-12-01 18:43:49
2005,2215,Building and Construction,4,ID,2025-12-01 18:43:49
2005,2734,Pathology and Forensic Medicine,4,ID,2025-12-01 18:43:49
2005,3205,Experimental and Cognitive Psychology,4,ID,2025-12-01 18:43:49
2005,1906,Geochemistry and Petrology,3,ID,2025-12-01 18:43:49
2005,2202,Aerospace Engineering,3,ID,2025-12-01 18:43:49
2005,2206,Computational Mechanics,3,ID,2025-12-01 18:43:49
2005,2725,Infectious Diseases,3,ID,2025-12-01 18:43:49
2005,2729,Obstetrics and Gynecology,3,ID,2025-12-01 18:43:49
2005,3311,Safety Research,3,ID,2025-12-01 18:43:49
2005,3314,Anthropology,3,ID,2025-12-01 18:43:49
2005,3322,Urban Studies,3,ID,2025-12-01 18:43:49
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",3,ID,2025-12-01 18:43:49
2005,1208,Literature and Literary Theory,2,ID,2025-12-01 18:43:49
2005,1311,Genetics,2,ID,2025-12-01 18:43:49
2005,1708,Hardware and Architecture,2,ID,2025-12-01 18:43:49
2005,1911,Paleontology,2,ID,2025-12-01 18:43:49
2005,2311,Industrial and Manufacturing Engineering,2,ID,2025-12-01 18:43:49
2005,2402,Applied Microbiology and Biotechnology,2,ID,2025-12-01 18:43:49
2005,2505,Materials Chemistry,2,ID,2025-12-01 18:43:49
2005,2613,Statistics and Probability,2,ID,2025-12-01 18:43:49
2005,2713,Epidemiology,2,ID,2025-12-01 18:43:49
2005,2720,Hematology,2,ID,2025-12-01 18:43:49
2005,3300,General Social Sciences,2,ID,2025-12-01 18:43:49
2005,1204,Archeology,1,ID,2025-12-01 18:43:49
2005,1210,Music,1,ID,2025-12-01 18:43:49
2005,1409,"Tourism, Leisure and Hospitality Management",1,ID,2025-12-01 18:43:49
2005,1604,Inorganic Chemistry,1,ID,2025-12-01 18:43:49
2005,1605,Organic Chemistry,1,ID,2025-12-01 18:43:49
2005,1712,Software,1,ID,2025-12-01 18:43:49
2005,1804,"Statistics, Probability and Uncertainty",1,ID,2025-12-01 18:43:49
2005,2203,Automotive Engineering,1,ID,2025-12-01 18:43:49
2005,2302,Ecological Modeling,1,ID,2025-12-01 18:43:49
2005,2310,Pollution,1,ID,2025-12-01 18:43:49
2005,2403,Immunology,1,ID,2025-12-01 18:43:49
2005,2508,"Surfaces, Coatings and Films",1,ID,2025-12-01 18:43:49
2005,2711,Emergency Medicine,1,ID,2025-12-01 18:43:49
2005,2712,"Endocrinology, Diabetes and Metabolism",1,ID,2025-12-01 18:43:49
2005,2716,Genetics,1,ID,2025-12-01 18:43:49
2005,2730,Oncology,1,ID,2025-12-01 18:43:49
2005,2743,Reproductive Medicine,1,ID,2025-12-01 18:43:49
2005,2805,Cognitive Neuroscience,1,ID,2025-12-01 18:43:49
2005,2806,Developmental Neuroscience,1,ID,2025-12-01 18:43:49
2005,2910,"Issues, ethics and legal aspects",1,ID,2025-12-01 18:43:49
2005,3003,Pharmaceutical Science,1,ID,2025-12-01 18:43:49
2005,3303,Development,1,ID,2025-12-01 18:43:49
2005,3506,Periodontics,1,ID,2025-12-01 18:43:49
2005,3604,Emergency Medical Services,1,ID,2025-12-01 18:43:49
2005,3607,Medical Laboratory Technology,1,ID,2025-12-01 18:43:49
2005,3611,Pharmacy,1,ID,2025-12-01 18:43:49
2005,3614,Radiological and Ultrasound Technology,1,ID,2025-12-01 18:43:49
2005,3616,Speech and Hearing,1,ID,2025-12-01 18:43:49
2006,3312,Sociology and Political Science,381,ID,2025-12-01 18:43:49
2006,3304,Education,255,ID,2025-12-01 18:43:49
2006,3317,Demography,216,ID,2025-12-01 18:43:49
2006,1100,General Agricultural and Biological Sciences,213,ID,2025-12-01 18:43:49
2006,3308,Law,207,ID,2025-12-01 18:43:49
2006,1710,Information Systems,188,ID,2025-12-01 18:43:49
2006,1408,Strategy and Management,159,ID,2025-12-01 18:43:49
2006,3320,Political Science and International Relations,136,ID,2025-12-01 18:43:49
2006,1402,Accounting,123,ID,2025-12-01 18:43:49
2006,2002,Economics and Econometrics,122,ID,2025-12-01 18:43:49
2006,1702,Artificial Intelligence,119,ID,2025-12-01 18:43:49
2006,2735,"Pediatrics, Perinatology and Child Health",84,ID,2025-12-01 18:43:49
2006,1404,Management Information Systems,76,ID,2025-12-01 18:43:49
2006,3316,Cultural Studies,66,ID,2025-12-01 18:43:49
2006,1106,Food Science,47,ID,2025-12-01 18:43:49
2006,1111,Soil Science,43,ID,2025-12-01 18:43:49
2006,2308,"Management, Monitoring, Policy and Law",42,ID,2025-12-01 18:43:49
2006,1110,Plant Science,41,ID,2025-12-01 18:43:49
2006,1406,Marketing,35,ID,2025-12-01 18:43:49
2006,3600,General Health Professions,34,ID,2025-12-01 18:43:49
2006,2303,Ecology,32,ID,2025-12-01 18:43:49
2006,2208,Electrical and Electronic Engineering,30,ID,2025-12-01 18:43:49
2006,1407,Organizational Behavior and Human Resource Management,28,ID,2025-12-01 18:43:49
