year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,126,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,89,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,57,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,56,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,46,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,44,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T11472,Analytical Chemistry and Sensors,41,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,35,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10461,Gas Sensing Nanomaterials and Sensors,34,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10212,Electrochemical sensors and biosensors,32,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10022,Semiconductor Quantum Structures and Devices,28,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,27,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,26,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10767,Advanced Photonic Communication Systems,26,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,25,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10323,Analog and Mixed-Signal Circuit Design,24,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T10781,Plasma Diagnostics and Applications,22,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,22,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T11434,Electrochemical Analysis and Applications,22,IE,2025-11-25 23:00:35
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,22,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,64,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,48,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10028,Topic Modeling,38,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10679,Service-Oriented Architecture and Web Services,35,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,32,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10260,Software Engineering Research,28,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10906,AI-based Problem Solving and Planning,28,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T11130,Coding theory and cryptography,27,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T12031,Speech and dialogue systems,27,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,25,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,24,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T11596,Constraint Satisfaction and Optimization,23,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,22,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T11010,"Logic, Reasoning, and Knowledge",21,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T13083,Advanced Text Analysis Techniques,21,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10020,Quantum Information and Cryptography,20,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,20,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10100,Metaheuristic Optimization Algorithms Research,18,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10237,Cryptography and Data Security,17,IE,2025-11-25 23:00:35
2005,1702,Artificial Intelligence,T10317,Advanced Database Systems and Queries,17,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,48,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,33,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,29,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11472,Analytical Chemistry and Sensors,29,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10338,Advanced Sensor and Energy Harvesting Materials,18,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,18,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11517,Advanced optical system design,18,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11196,Non-Invasive Vital Sign Monitoring,17,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10640,Spectroscopy and Chemometric Analyses,16,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11407,Innovative Microfluidic and Catalytic Techniques Innovation,16,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T12405,Characterization and Applications of Magnetic Nanoparticles,16,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11569,Optical Coherence Tomography Applications,15,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10908,Analytical Chemistry and Chromatography,13,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11255,Microfluidic and Bio-sensing Technologies,13,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,13,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10461,Gas Sensing Nanomaterials and Sensors,12,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T12050,Optical Polarization and Ellipsometry,12,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T12224,Nanofabrication and Lithography Techniques,12,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T10333,Meat and Animal Product Quality,11,IE,2025-11-25 23:00:35
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,11,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10299,Photonic and Optical Devices,66,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10988,Advanced Fiber Laser Technologies,49,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10022,Semiconductor Quantum Structures and Devices,36,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10049,Magnetic properties of thin films,36,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10923,Force Microscopy Techniques and Applications,35,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11429,Semiconductor Lasers and Optical Devices,32,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10002,Advanced Chemical Physics Studies,29,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10666,Photonic Crystals and Applications,29,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10382,Quantum and electron transport phenomena,21,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11050,Photorefractive and Nonlinear Optics,21,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11449,Mechanical and Optical Resonators,21,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10020,Quantum Information and Cryptography,20,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10232,Optical Network Technologies,20,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10523,Atomic and Molecular Physics,20,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T10913,Molecular Junctions and Nanostructures,20,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11177,Spectroscopy and Quantum Chemical Studies,19,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11484,Adaptive optics and wavefront sensing,18,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11853,Semiconductor materials and interfaces,18,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T11897,Digital Holography and Microscopy,17,IE,2025-11-25 23:00:35
2005,3107,"Atomic and Molecular Physics, and Optics",T13531,Surface and Thin Film Phenomena,17,IE,2025-11-25 23:00:35
2005,1705,Computer Networks and Communications,T10715,Distributed and Parallel Computing Systems,71,IE,2025-11-25 23:00:35
2005,1705,Computer Networks and Communications,T11596,Constraint Satisfaction and Optimization,46,IE,2025-11-25 23:00:35
