year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,748,IE,2025-12-01 18:48:54
2005,1312,Molecular Biology,740,IE,2025-12-01 18:48:54
2005,2746,Surgery,572,IE,2025-12-01 18:48:54
2005,1702,Artificial Intelligence,466,IE,2025-12-01 18:48:54
2005,3312,Sociology and Political Science,463,IE,2025-12-01 18:48:54
2005,2204,Biomedical Engineering,422,IE,2025-12-01 18:48:54
2005,2740,Pulmonary and Respiratory Medicine,341,IE,2025-12-01 18:48:54
2005,2713,Epidemiology,303,IE,2025-12-01 18:48:54
2005,2739,"Public Health, Environmental and Occupational Health",260,IE,2025-12-01 18:48:54
2005,3107,"Atomic and Molecular Physics, and Optics",243,IE,2025-12-01 18:48:54
2005,3600,General Health Professions,221,IE,2025-12-01 18:48:54
2005,1705,Computer Networks and Communications,187,IE,2025-12-01 18:48:54
2005,1710,Information Systems,139,IE,2025-12-01 18:48:54
2005,1311,Genetics,137,IE,2025-12-01 18:48:54
2005,2505,Materials Chemistry,124,IE,2025-12-01 18:48:54
2005,2730,Oncology,117,IE,2025-12-01 18:48:54
2005,2705,Cardiology and Cardiovascular Medicine,112,IE,2025-12-01 18:48:54
2005,2741,"Radiology, Nuclear Medicine and Imaging",97,IE,2025-12-01 18:48:54
2005,1106,Food Science,82,IE,2025-12-01 18:48:54
2005,2735,"Pediatrics, Perinatology and Child Health",80,IE,2025-12-01 18:48:54
2005,2725,Infectious Diseases,76,IE,2025-12-01 18:48:54
2005,2745,Rheumatology,75,IE,2025-12-01 18:48:54
2005,1707,Computer Vision and Pattern Recognition,73,IE,2025-12-01 18:48:54
2005,2737,Physiology,73,IE,2025-12-01 18:48:54
2005,3320,Political Science and International Relations,68,IE,2025-12-01 18:48:54
2005,2734,Pathology and Forensic Medicine,67,IE,2025-12-01 18:48:54
2005,2403,Immunology,61,IE,2025-12-01 18:48:54
2005,1502,Bioengineering,60,IE,2025-12-01 18:48:54
2005,1306,Cancer Research,58,IE,2025-12-01 18:48:54
2005,2804,Cellular and Molecular Neuroscience,58,IE,2025-12-01 18:48:54
2005,2711,Emergency Medicine,56,IE,2025-12-01 18:48:54
2005,2916,Nutrition and Dietetics,56,IE,2025-12-01 18:48:54
2005,2210,Mechanical Engineering,52,IE,2025-12-01 18:48:54
2005,1607,Spectroscopy,51,IE,2025-12-01 18:48:54
2005,1703,Computational Theory and Mathematics,51,IE,2025-12-01 18:48:54
2005,3203,Clinical Psychology,51,IE,2025-12-01 18:48:54
2005,2002,Economics and Econometrics,50,IE,2025-12-01 18:48:54
2005,1110,Plant Science,48,IE,2025-12-01 18:48:54
2005,1605,Organic Chemistry,48,IE,2025-12-01 18:48:54
2005,3304,Education,46,IE,2025-12-01 18:48:54
2005,2207,Control and Systems Engineering,45,IE,2025-12-01 18:48:54
2005,2712,"Endocrinology, Diabetes and Metabolism",45,IE,2025-12-01 18:48:54
2005,2728,Neurology,45,IE,2025-12-01 18:48:54
2005,2303,Ecology,44,IE,2025-12-01 18:48:54
2005,2732,Orthopedics and Sports Medicine,39,IE,2025-12-01 18:48:54
2005,3207,Social Psychology,39,IE,2025-12-01 18:48:54
2005,2206,Computational Mechanics,38,IE,2025-12-01 18:48:54
2005,2504,"Electronic, Optical and Magnetic Materials",38,IE,2025-12-01 18:48:54
2005,2731,Ophthalmology,38,IE,2025-12-01 18:48:54
2005,1711,Signal Processing,37,IE,2025-12-01 18:48:54
2005,2715,Gastroenterology,37,IE,2025-12-01 18:48:54
2005,2211,Mechanics of Materials,36,IE,2025-12-01 18:48:54
2005,2507,Polymers and Plastics,34,IE,2025-12-01 18:48:54
2005,3103,Astronomy and Astrophysics,34,IE,2025-12-01 18:48:54
2005,1305,Biotechnology,33,IE,2025-12-01 18:48:54
2005,1307,Cell Biology,33,IE,2025-12-01 18:48:54
2005,2508,"Surfaces, Coatings and Films",31,IE,2025-12-01 18:48:54
2005,2736,Pharmacology,29,IE,2025-12-01 18:48:54
2005,2720,Hematology,28,IE,2025-12-01 18:48:54
2005,3318,Gender Studies,28,IE,2025-12-01 18:48:54
2005,3604,Emergency Medical Services,28,IE,2025-12-01 18:48:54
2005,1603,Electrochemistry,27,IE,2025-12-01 18:48:54
2005,2738,Psychiatry and Mental health,27,IE,2025-12-01 18:48:54
2005,1103,Animal Science and Zoology,25,IE,2025-12-01 18:48:54
2005,1202,History,25,IE,2025-12-01 18:48:54
2005,1803,Management Science and Operations Research,25,IE,2025-12-01 18:48:54
2005,2404,Microbiology,25,IE,2025-12-01 18:48:54
2005,1404,Management Information Systems,24,IE,2025-12-01 18:48:54
2005,1602,Analytical Chemistry,24,IE,2025-12-01 18:48:54
2005,2716,Genetics,24,IE,2025-12-01 18:48:54
2005,2202,Aerospace Engineering,23,IE,2025-12-01 18:48:54
2005,2721,Hepatology,23,IE,2025-12-01 18:48:54
2005,2805,Cognitive Neuroscience,23,IE,2025-12-01 18:48:54
2005,1105,"Ecology, Evolution, Behavior and Systematics",22,IE,2025-12-01 18:48:54
2005,2727,Nephrology,22,IE,2025-12-01 18:48:54
2005,2742,Rehabilitation,22,IE,2025-12-01 18:48:54
2005,1708,Hardware and Architecture,21,IE,2025-12-01 18:48:54
2005,3109,Statistical and Nonlinear Physics,21,IE,2025-12-01 18:48:54
2005,1304,Biophysics,20,IE,2025-12-01 18:48:54
2005,2729,Obstetrics and Gynecology,20,IE,2025-12-01 18:48:54
2005,1102,Agronomy and Crop Science,19,IE,2025-12-01 18:48:54
2005,1308,Clinical Biochemistry,19,IE,2025-12-01 18:48:54
2005,2214,Media Technology,19,IE,2025-12-01 18:48:54
2005,2703,Anesthesiology and Pain Medicine,19,IE,2025-12-01 18:48:54
2005,2708,Dermatology,19,IE,2025-12-01 18:48:54
2005,3306,Health,19,IE,2025-12-01 18:48:54
2005,1303,Biochemistry,18,IE,2025-12-01 18:48:54
2005,3204,Developmental and Educational Psychology,18,IE,2025-12-01 18:48:54
2005,3605,Health Information Management,18,IE,2025-12-01 18:48:54
2005,1407,Organizational Behavior and Human Resource Management,17,IE,2025-12-01 18:48:54
2005,1706,Computer Science Applications,17,IE,2025-12-01 18:48:54
2005,2724,Internal Medicine,17,IE,2025-12-01 18:48:54
2005,2748,Urology,17,IE,2025-12-01 18:48:54
2005,3106,Nuclear and High Energy Physics,17,IE,2025-12-01 18:48:54
2005,1712,Software,16,IE,2025-12-01 18:48:54
2005,2213,"Safety, Risk, Reliability and Quality",16,IE,2025-12-01 18:48:54
2005,2502,Biomaterials,16,IE,2025-12-01 18:48:54
2005,3104,Condensed Matter Physics,16,IE,2025-12-01 18:48:54
2005,3205,Experimental and Cognitive Psychology,16,IE,2025-12-01 18:48:54
2005,3317,Demography,16,IE,2025-12-01 18:48:54
2005,3321,Public Administration,16,IE,2025-12-01 18:48:54
2005,3404,Small Animals,16,IE,2025-12-01 18:48:54
2005,1211,Philosophy,15,IE,2025-12-01 18:48:54
2005,2747,Transplantation,15,IE,2025-12-01 18:48:54
2005,2807,Endocrine and Autonomic Systems,15,IE,2025-12-01 18:48:54
2005,3611,Pharmacy,15,IE,2025-12-01 18:48:54
2005,2743,Reproductive Medicine,14,IE,2025-12-01 18:48:54
2005,2212,Ocean Engineering,13,IE,2025-12-01 18:48:54
2005,2733,Otorhinolaryngology,13,IE,2025-12-01 18:48:54
2005,2808,Neurology,13,IE,2025-12-01 18:48:54
2005,3311,Safety Research,13,IE,2025-12-01 18:48:54
2005,3314,Anthropology,13,IE,2025-12-01 18:48:54
2005,3322,Urban Studies,13,IE,2025-12-01 18:48:54
2005,3616,Speech and Hearing,13,IE,2025-12-01 18:48:54
2005,1208,Literature and Literary Theory,12,IE,2025-12-01 18:48:54
2005,1709,Human-Computer Interaction,12,IE,2025-12-01 18:48:54
2005,2607,Discrete Mathematics and Combinatorics,12,IE,2025-12-01 18:48:54
2005,2706,Critical Care and Intensive Care Medicine,12,IE,2025-12-01 18:48:54
2005,3003,Pharmaceutical Science,12,IE,2025-12-01 18:48:54
2005,3305,"Geography, Planning and Development",12,IE,2025-12-01 18:48:54
2005,3506,Periodontics,12,IE,2025-12-01 18:48:54
2005,2311,Industrial and Manufacturing Engineering,11,IE,2025-12-01 18:48:54
2005,1109,Insect Science,10,IE,2025-12-01 18:48:54
2005,2105,"Renewable Energy, Sustainability and the Environment",10,IE,2025-12-01 18:48:54
2005,2205,Civil and Structural Engineering,10,IE,2025-12-01 18:48:54
2005,2723,Immunology and Allergy,10,IE,2025-12-01 18:48:54
2005,2910,"Issues, ethics and legal aspects",10,IE,2025-12-01 18:48:54
2005,3504,Oral Surgery,10,IE,2025-12-01 18:48:54
2005,3614,Radiological and Ultrasound Technology,10,IE,2025-12-01 18:48:54
2005,1310,Endocrinology,9,IE,2025-12-01 18:48:54
2005,1313,Molecular Medicine,9,IE,2025-12-01 18:48:54
2005,1606,Physical and Theoretical Chemistry,9,IE,2025-12-01 18:48:54
2005,1908,Geophysics,9,IE,2025-12-01 18:48:54
2005,2003,Finance,9,IE,2025-12-01 18:48:54
2005,2203,Automotive Engineering,9,IE,2025-12-01 18:48:54
2005,2215,Building and Construction,9,IE,2025-12-01 18:48:54
2005,2310,Pollution,9,IE,2025-12-01 18:48:54
2005,2406,Virology,9,IE,2025-12-01 18:48:54
2005,2809,Sensory Systems,9,IE,2025-12-01 18:48:54
2005,3108,Radiation,9,IE,2025-12-01 18:48:54
2005,1408,Strategy and Management,8,IE,2025-12-01 18:48:54
2005,1604,Inorganic Chemistry,8,IE,2025-12-01 18:48:54
2005,1802,Information Systems and Management,8,IE,2025-12-01 18:48:54
2005,2608,Geometry and Topology,8,IE,2025-12-01 18:48:54
2005,2707,Complementary and alternative medicine,8,IE,2025-12-01 18:48:54
2005,2717,Geriatrics and Gerontology,8,IE,2025-12-01 18:48:54
2005,1203,Language and Linguistics,7,IE,2025-12-01 18:48:54
2005,1314,Physiology,7,IE,2025-12-01 18:48:54
2005,2209,Industrial and Manufacturing Engineering,7,IE,2025-12-01 18:48:54
2005,2304,Environmental Chemistry,7,IE,2025-12-01 18:48:54
2005,2307,"Health, Toxicology and Mutagenesis",7,IE,2025-12-01 18:48:54
2005,2613,Statistics and Probability,7,IE,2025-12-01 18:48:54
2005,2806,Developmental Neuroscience,7,IE,2025-12-01 18:48:54
2005,3308,Law,7,IE,2025-12-01 18:48:54
2005,1207,History and Philosophy of Science,6,IE,2025-12-01 18:48:54
2005,1507,Fluid Flow and Transfer Processes,6,IE,2025-12-01 18:48:54
2005,2305,Environmental Engineering,6,IE,2025-12-01 18:48:54
2005,2402,Applied Microbiology and Biotechnology,6,IE,2025-12-01 18:48:54
2005,2922,Research and Theory,6,IE,2025-12-01 18:48:54
2005,3004,Pharmacology,6,IE,2025-12-01 18:48:54
2005,3303,Development,6,IE,2025-12-01 18:48:54
2005,3315,Communication,6,IE,2025-12-01 18:48:54
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",6,IE,2025-12-01 18:48:54
2005,1212,Religious studies,5,IE,2025-12-01 18:48:54
2005,1213,Visual Arts and Performing Arts,5,IE,2025-12-01 18:48:54
2005,1406,Marketing,5,IE,2025-12-01 18:48:54
2005,1503,Catalysis,5,IE,2025-12-01 18:48:54
2005,1804,"Statistics, Probability and Uncertainty",5,IE,2025-12-01 18:48:54
2005,2309,Nature and Landscape Conservation,5,IE,2025-12-01 18:48:54
2005,2312,Water Science and Technology,5,IE,2025-12-01 18:48:54
2005,2604,Applied Mathematics,5,IE,2025-12-01 18:48:54
2005,3105,Instrumentation,5,IE,2025-12-01 18:48:54
2005,1906,Geochemistry and Petrology,4,IE,2025-12-01 18:48:54
2005,2306,Global and Planetary Change,4,IE,2025-12-01 18:48:54
2005,2405,Parasitology,4,IE,2025-12-01 18:48:54
2005,3202,Applied Psychology,4,IE,2025-12-01 18:48:54
2005,1100,General Agricultural and Biological Sciences,3,IE,2025-12-01 18:48:54
2005,1204,Archeology,3,IE,2025-12-01 18:48:54
2005,1405,Management of Technology and Innovation,3,IE,2025-12-01 18:48:54
2005,1800,General Decision Sciences,3,IE,2025-12-01 18:48:54
2005,1902,Atmospheric Science,3,IE,2025-12-01 18:48:54
2005,1911,Paleontology,3,IE,2025-12-01 18:48:54
2005,2503,Ceramics and Composites,3,IE,2025-12-01 18:48:54
2005,2704,Biochemistry,3,IE,2025-12-01 18:48:54
2005,2714,Family Practice,3,IE,2025-12-01 18:48:54
2005,2802,Behavioral Neuroscience,3,IE,2025-12-01 18:48:54
2005,3402,Equine,3,IE,2025-12-01 18:48:54
2005,3505,Orthodontics,3,IE,2025-12-01 18:48:54
2005,3609,Occupational Therapy,3,IE,2025-12-01 18:48:54
2005,1209,Museology,2,IE,2025-12-01 18:48:54
2005,1315,Structural Biology,2,IE,2025-12-01 18:48:54
2005,1402,Accounting,2,IE,2025-12-01 18:48:54
2005,1907,Geology,2,IE,2025-12-01 18:48:54
2005,1910,Oceanography,2,IE,2025-12-01 18:48:54
2005,2000,"General Economics, Econometrics and Finance",2,IE,2025-12-01 18:48:54
2005,2302,Ecological Modeling,2,IE,2025-12-01 18:48:54
2005,2308,"Management, Monitoring, Policy and Law",2,IE,2025-12-01 18:48:54
2005,2610,Mathematical Physics,2,IE,2025-12-01 18:48:54
2005,2611,Modeling and Simulation,2,IE,2025-12-01 18:48:54
2005,3206,Neuropsychology and Physiological Psychology,2,IE,2025-12-01 18:48:54
2006,1312,Molecular Biology,945,IE,2025-12-01 18:48:54
2006,2208,Electrical and Electronic Engineering,763,IE,2025-12-01 18:48:54
2006,2746,Surgery,684,IE,2025-12-01 18:48:54
2006,3312,Sociology and Political Science,547,IE,2025-12-01 18:48:54
2006,1702,Artificial Intelligence,530,IE,2025-12-01 18:48:54
2006,2204,Biomedical Engineering,448,IE,2025-12-01 18:48:54
2006,2740,Pulmonary and Respiratory Medicine,388,IE,2025-12-01 18:48:54
2006,2713,Epidemiology,364,IE,2025-12-01 18:48:54
2006,3600,General Health Professions,299,IE,2025-12-01 18:48:54
2006,2739,"Public Health, Environmental and Occupational Health",298,IE,2025-12-01 18:48:54
2006,1705,Computer Networks and Communications,237,IE,2025-12-01 18:48:54
2006,3107,"Atomic and Molecular Physics, and Optics",234,IE,2025-12-01 18:48:54
2006,2730,Oncology,179,IE,2025-12-01 18:48:54
2006,1311,Genetics,172,IE,2025-12-01 18:48:54
2006,1710,Information Systems,171,IE,2025-12-01 18:48:54
2006,2505,Materials Chemistry,150,IE,2025-12-01 18:48:54
2006,2705,Cardiology and Cardiovascular Medicine,145,IE,2025-12-01 18:48:54
2006,2737,Physiology,118,IE,2025-12-01 18:48:54
2006,2741,"Radiology, Nuclear Medicine and Imaging",107,IE,2025-12-01 18:48:54
2006,1707,Computer Vision and Pattern Recognition,102,IE,2025-12-01 18:48:54
2006,2403,Immunology,92,IE,2025-12-01 18:48:54
2006,1106,Food Science,88,IE,2025-12-01 18:48:54
2006,2734,Pathology and Forensic Medicine,87,IE,2025-12-01 18:48:54
2006,3203,Clinical Psychology,85,IE,2025-12-01 18:48:54
2006,1306,Cancer Research,82,IE,2025-12-01 18:48:54
2006,3320,Political Science and International Relations,81,IE,2025-12-01 18:48:54
2006,2735,"Pediatrics, Perinatology and Child Health",80,IE,2025-12-01 18:48:54
2006,2725,Infectious Diseases,78,IE,2025-12-01 18:48:54
2006,2745,Rheumatology,77,IE,2025-12-01 18:48:54
2006,2715,Gastroenterology,74,IE,2025-12-01 18:48:54
2006,2002,Economics and Econometrics,71,IE,2025-12-01 18:48:54
2006,2804,Cellular and Molecular Neuroscience,69,IE,2025-12-01 18:48:54
2006,1607,Spectroscopy,67,IE,2025-12-01 18:48:54
2006,3304,Education,63,IE,2025-12-01 18:48:54
2006,1502,Bioengineering,62,IE,2025-12-01 18:48:54
2006,2712,"Endocrinology, Diabetes and Metabolism",62,IE,2025-12-01 18:48:54
2006,2711,Emergency Medicine,61,IE,2025-12-01 18:48:54
2006,1711,Signal Processing,59,IE,2025-12-01 18:48:54
2006,1703,Computational Theory and Mathematics,57,IE,2025-12-01 18:48:54
2006,2728,Neurology,55,IE,2025-12-01 18:48:54
2006,2916,Nutrition and Dietetics,53,IE,2025-12-01 18:48:54
2006,1605,Organic Chemistry,52,IE,2025-12-01 18:48:54
2006,1307,Cell Biology,51,IE,2025-12-01 18:48:54
2006,2732,Orthopedics and Sports Medicine,47,IE,2025-12-01 18:48:54
2006,2210,Mechanical Engineering,46,IE,2025-12-01 18:48:54
2006,1404,Management Information Systems,45,IE,2025-12-01 18:48:54
2006,2303,Ecology,45,IE,2025-12-01 18:48:54
2006,1110,Plant Science,44,IE,2025-12-01 18:48:54
2006,3207,Social Psychology,43,IE,2025-12-01 18:48:54
2006,2738,Psychiatry and Mental health,42,IE,2025-12-01 18:48:54
2006,3306,Health,41,IE,2025-12-01 18:48:54
2006,2207,Control and Systems Engineering,38,IE,2025-12-01 18:48:54
2006,2731,Ophthalmology,38,IE,2025-12-01 18:48:54
2006,2504,"Electronic, Optical and Magnetic Materials",37,IE,2025-12-01 18:48:54
2006,1202,History,32,IE,2025-12-01 18:48:54
2006,2736,Pharmacology,32,IE,2025-12-01 18:48:54
2006,3318,Gender Studies,32,IE,2025-12-01 18:48:54
2006,2508,"Surfaces, Coatings and Films",31,IE,2025-12-01 18:48:54
2006,2703,Anesthesiology and Pain Medicine,31,IE,2025-12-01 18:48:54
2006,1103,Animal Science and Zoology,30,IE,2025-12-01 18:48:54
2006,2211,Mechanics of Materials,30,IE,2025-12-01 18:48:54
2006,2502,Biomaterials,30,IE,2025-12-01 18:48:54
2006,2721,Hepatology,30,IE,2025-12-01 18:48:54
2006,1211,Philosophy,28,IE,2025-12-01 18:48:54
2006,1305,Biotechnology,28,IE,2025-12-01 18:48:54
2006,2716,Genetics,28,IE,2025-12-01 18:48:54
2006,3604,Emergency Medical Services,28,IE,2025-12-01 18:48:54
2006,1603,Electrochemistry,27,IE,2025-12-01 18:48:54
2006,1708,Hardware and Architecture,26,IE,2025-12-01 18:48:54
2006,2748,Urology,26,IE,2025-12-01 18:48:54
2006,3616,Speech and Hearing,26,IE,2025-12-01 18:48:54
2006,2202,Aerospace Engineering,25,IE,2025-12-01 18:48:54
2006,2206,Computational Mechanics,25,IE,2025-12-01 18:48:54
2006,2708,Dermatology,24,IE,2025-12-01 18:48:54
2006,2729,Obstetrics and Gynecology,24,IE,2025-12-01 18:48:54
2006,3109,Statistical and Nonlinear Physics,24,IE,2025-12-01 18:48:54
2006,1407,Organizational Behavior and Human Resource Management,23,IE,2025-12-01 18:48:54
2006,1803,Management Science and Operations Research,23,IE,2025-12-01 18:48:54
2006,2507,Polymers and Plastics,23,IE,2025-12-01 18:48:54
2006,2720,Hematology,23,IE,2025-12-01 18:48:54
2006,3205,Experimental and Cognitive Psychology,23,IE,2025-12-01 18:48:54
2006,1712,Software,22,IE,2025-12-01 18:48:54
2006,2805,Cognitive Neuroscience,22,IE,2025-12-01 18:48:54
2006,3311,Safety Research,22,IE,2025-12-01 18:48:54
2006,1308,Clinical Biochemistry,21,IE,2025-12-01 18:48:54
2006,2214,Media Technology,21,IE,2025-12-01 18:48:54
2006,2404,Microbiology,21,IE,2025-12-01 18:48:54
2006,3204,Developmental and Educational Psychology,20,IE,2025-12-01 18:48:54
2006,1304,Biophysics,19,IE,2025-12-01 18:48:54
2006,2743,Reproductive Medicine,19,IE,2025-12-01 18:48:54
2006,3317,Demography,19,IE,2025-12-01 18:48:54
2006,1709,Human-Computer Interaction,18,IE,2025-12-01 18:48:54
2006,2212,Ocean Engineering,18,IE,2025-12-01 18:48:54
2006,2724,Internal Medicine,18,IE,2025-12-01 18:48:54
2006,3611,Pharmacy,18,IE,2025-12-01 18:48:54
2006,3614,Radiological and Ultrasound Technology,18,IE,2025-12-01 18:48:54
2006,1303,Biochemistry,17,IE,2025-12-01 18:48:54
2006,1908,Geophysics,17,IE,2025-12-01 18:48:54
2006,2727,Nephrology,17,IE,2025-12-01 18:48:54
