year,id,name,works_count,country,fetch_date
2005,2306,Global and Planetary Change,6,IM,2025-12-03 12:51:11
2005,1910,Oceanography,5,IM,2025-12-03 12:51:11
2005,2303,Ecology,4,IM,2025-12-03 12:51:11
2005,2739,"Public Health, Environmental and Occupational Health",3,IM,2025-12-03 12:51:11
2005,2202,Aerospace Engineering,2,IM,2025-12-03 12:51:11
2005,2210,Mechanical Engineering,2,IM,2025-12-03 12:51:11
2005,2735,"Pediatrics, Perinatology and Child Health",2,IM,2025-12-03 12:51:11
2005,1104,Aquatic Science,1,IM,2025-12-03 12:51:11
2005,1911,Paleontology,1,IM,2025-12-03 12:51:11
2005,2105,"Renewable Energy, Sustainability and the Environment",1,IM,2025-12-03 12:51:11
2005,2309,Nature and Landscape Conservation,1,IM,2025-12-03 12:51:11
2005,2502,Biomaterials,1,IM,2025-12-03 12:51:11
2005,2729,Obstetrics and Gynecology,1,IM,2025-12-03 12:51:11
2005,3203,Clinical Psychology,1,IM,2025-12-03 12:51:11
2006,2303,Ecology,7,IM,2025-12-03 12:51:11
2006,2306,Global and Planetary Change,5,IM,2025-12-03 12:51:11
2006,1910,Oceanography,3,IM,2025-12-03 12:51:11
2006,1104,Aquatic Science,2,IM,2025-12-03 12:51:11
2006,2309,Nature and Landscape Conservation,2,IM,2025-12-03 12:51:11
2006,2739,"Public Health, Environmental and Occupational Health",2,IM,2025-12-03 12:51:11
2006,1312,Molecular Biology,1,IM,2025-12-03 12:51:11
2006,1911,Paleontology,1,IM,2025-12-03 12:51:11
2006,2002,Economics and Econometrics,1,IM,2025-12-03 12:51:11
2006,2212,Ocean Engineering,1,IM,2025-12-03 12:51:11
2006,2304,Environmental Chemistry,1,IM,2025-12-03 12:51:11
2006,2307,"Health, Toxicology and Mutagenesis",1,IM,2025-12-03 12:51:11
2006,2711,Emergency Medicine,1,IM,2025-12-03 12:51:11
2006,2729,Obstetrics and Gynecology,1,IM,2025-12-03 12:51:11
2006,2735,"Pediatrics, Perinatology and Child Health",1,IM,2025-12-03 12:51:11
2006,2743,Reproductive Medicine,1,IM,2025-12-03 12:51:11
2006,3600,General Health Professions,1,IM,2025-12-03 12:51:11
2006,3605,Health Information Management,1,IM,2025-12-03 12:51:11
2007,2303,Ecology,4,IM,2025-12-03 12:51:11
2007,2306,Global and Planetary Change,4,IM,2025-12-03 12:51:11
2007,2746,Surgery,3,IM,2025-12-03 12:51:11
2007,3600,General Health Professions,3,IM,2025-12-03 12:51:11
2007,2748,Urology,2,IM,2025-12-03 12:51:11
2007,3312,Sociology and Political Science,2,IM,2025-12-03 12:51:11
2007,1104,Aquatic Science,1,IM,2025-12-03 12:51:11
2007,2002,Economics and Econometrics,1,IM,2025-12-03 12:51:11
