subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,"An enhanced extreme learning machine model for river flow forecasting: State-of-the-art, practical applications in water resource engineering area and future research direction",https://doi.org/10.1016/j.jhydrol.2018.11.069,2018,662,https://openalex.org/W2905485021
2208,Electrical and Electronic Engineering,A conceptual review on polymer electrolytes and ion transport models,https://doi.org/10.1016/j.jsamd.2018.01.002,2018,658,https://openalex.org/W2790928926
2208,Electrical and Electronic Engineering,"Synthesis, characterization and application of Co/Co3O4 nanocomposites as an effective photocatalyst for discoloration of organic dye contaminants in wastewater and antibacterial properties",https://doi.org/10.1016/j.molliq.2021.116405,2021,648,https://openalex.org/W3162961340
2204,Biomedical Engineering,Electrodialysis desalination for water and wastewater: A review,https://doi.org/10.1016/j.cej.2019.122231,2019,865,https://openalex.org/W2960882361
2204,Biomedical Engineering,Gold nanoparticle-based colorimetric biosensors,https://doi.org/10.1039/c7nr06367a,2017,595,https://openalex.org/W2769701251
2204,Biomedical Engineering,Heavy metal pollution in the aquatic environment: efficient and low-cost removal approaches to eliminate their toxicity: a review,https://doi.org/10.1039/d3ra00723e,2023,586,https://openalex.org/W4380355174
2505,Materials Chemistry,Review on Ammonia as a Potential Fuel: From Synthesis to Economics,https://doi.org/10.1021/acs.energyfuels.0c03685,2021,845,https://openalex.org/W3134967399
2505,Materials Chemistry,"Synthesis, characterization and application of Co/Co3O4 nanocomposites as an effective photocatalyst for discoloration of organic dye contaminants in wastewater and antibacterial properties",https://doi.org/10.1016/j.molliq.2021.116405,2021,648,https://openalex.org/W3162961340
2505,Materials Chemistry,Review on: Titanium Dioxide Applications,https://doi.org/10.1016/j.egypro.2018.11.159,2019,539,https://openalex.org/W2911631504
2210,Mechanical Engineering,"Magnetic EDTA-modified chitosan/SiO2/Fe3O4 adsorbent: Preparation, characterization, and application in heavy metal adsorption",https://doi.org/10.1016/j.cej.2013.04.059,2013,554,https://openalex.org/W2088946908
2210,Mechanical Engineering,Mechanical properties and energy absorption capability of functionally graded F2BCC lattice fabricated by SLM,https://doi.org/10.1016/j.matdes.2018.01.059,2018,473,https://openalex.org/W2788201767
2210,Mechanical Engineering,An updated review on application of nanofluids in heat exchangers for saving energy,https://doi.org/10.1016/j.enconman.2019.111886,2019,461,https://openalex.org/W2966918965
2205,Civil and Structural Engineering,Use of waste plastic in concrete mixture as aggregate replacement,https://doi.org/10.1016/j.wasman.2007.08.023,2007,675,https://openalex.org/W2050133572
2205,Civil and Structural Engineering,Recycling of waste glass as a partial replacement for fine aggregate in concrete,https://doi.org/10.1016/j.wasman.2008.08.012,2008,462,https://openalex.org/W2030078347
2205,Civil and Structural Engineering,Microstructure and geotechnical properties of lime-treated expansive clayey soil,https://doi.org/10.1016/j.enggeo.2012.04.004,2012,408,https://openalex.org/W2066644834
1702,Artificial Intelligence,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",https://doi.org/10.1186/s40537-021-00444-8,2021,6476,https://openalex.org/W3140854437
1702,Artificial Intelligence,Understanding of a convolutional neural network,https://doi.org/10.1109/icengtechnol.2017.8308186,2017,3892,https://openalex.org/W2789876780
1702,Artificial Intelligence,Classification Based on Decision Tree Algorithm for Machine Learning,https://doi.org/10.38094/jastt20165,2021,1604,https://openalex.org/W3148181069
1312,Molecular Biology,"Phytochemicals: Extraction, Isolation, and Identification of Bioactive Compounds from Plant Extracts",https://doi.org/10.3390/plants6040042,2017,1753,https://openalex.org/W2759519500
1312,Molecular Biology,Antioxidant and Oxidative Stress: A Mutual Interplay in Age-Related Diseases,https://doi.org/10.3389/fphar.2018.01162,2018,1071,https://openalex.org/W2892906130
1312,Molecular Biology,Progressing nanotechnology to improve targeted cancer treatment: overcoming hurdles in its clinical implementation,https://doi.org/10.1186/s12943-023-01865-0,2023,773,https://openalex.org/W4387452756
1110,Plant Science,Energy-Efficient Wireless Sensor Networks for Precision Agriculture: A Review,https://doi.org/10.3390/s17081781,2017,613,https://openalex.org/W2742840809
1110,Plant Science,Knowledge transmission patterns at the border: ethnobotany of Hutsuls living in the Carpathian Mountains of Bukovina (SW Ukraine and NE Romania),https://doi.org/10.1186/s13002-020-00391-3,2020,324,https://openalex.org/W3041396367
1110,Plant Science,Experimental study of dye removal from industrial wastewater by membrane technologies of reverse osmosis and nanofiltration,https://doi.org/10.1186/1735-2746-9-17,2012,324,https://openalex.org/W2115639984
1707,Computer Vision and Pattern Recognition,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",https://doi.org/10.1186/s40537-021-00444-8,2021,6476,https://openalex.org/W3140854437
1707,Computer Vision and Pattern Recognition,Understanding of a convolutional neural network,https://doi.org/10.1109/icengtechnol.2017.8308186,2017,3892,https://openalex.org/W2789876780
1707,Computer Vision and Pattern Recognition,A Review on Linear Regression Comprehensive in Machine Learning,https://doi.org/10.38094/jastt1457,2020,1044,https://openalex.org/W3118299338
1705,Computer Networks and Communications,Enabling technologies for fog computing in healthcare IoT systems,https://doi.org/10.1016/j.future.2018.07.049,2018,554,https://openalex.org/W2886899600
1705,Computer Networks and Communications,Multi-level hybrid support vector machine and extreme learning machine based on modified K-means for intrusion detection system,https://doi.org/10.1016/j.eswa.2016.09.041,2016,438,https://openalex.org/W2527999453
1705,Computer Networks and Communications,Load-balancing algorithms in cloud computing: A survey,https://doi.org/10.1016/j.jnca.2017.04.007,2017,410,https://openalex.org/W2604764284
