year,id,name,works_count,country,fetch_date
2005,2205,Civil and Structural Engineering,51,IQ,2025-11-28 17:28:32
2005,2208,Electrical and Electronic Engineering,40,IQ,2025-11-28 17:28:32
2005,1110,Plant Science,31,IQ,2025-11-28 17:28:32
2005,2210,Mechanical Engineering,29,IQ,2025-11-28 17:28:32
2005,1312,Molecular Biology,28,IQ,2025-11-28 17:28:32
2005,1702,Artificial Intelligence,28,IQ,2025-11-28 17:28:32
2005,1707,Computer Vision and Pattern Recognition,22,IQ,2025-11-28 17:28:32
2005,2215,Building and Construction,18,IQ,2025-11-28 17:28:32
2005,2505,Materials Chemistry,16,IQ,2025-11-28 17:28:32
2005,1705,Computer Networks and Communications,14,IQ,2025-11-28 17:28:32
2005,2204,Biomedical Engineering,12,IQ,2025-11-28 17:28:32
2005,2206,Computational Mechanics,11,IQ,2025-11-28 17:28:32
2005,2207,Control and Systems Engineering,11,IQ,2025-11-28 17:28:32
2005,2211,Mechanics of Materials,9,IQ,2025-11-28 17:28:32
2005,1106,Food Science,8,IQ,2025-11-28 17:28:32
2005,2202,Aerospace Engineering,7,IQ,2025-11-28 17:28:32
2005,1111,Soil Science,6,IQ,2025-11-28 17:28:32
2005,3107,"Atomic and Molecular Physics, and Optics",6,IQ,2025-11-28 17:28:32
2005,1710,Information Systems,5,IQ,2025-11-28 17:28:32
2005,1711,Signal Processing,5,IQ,2025-11-28 17:28:32
2005,2214,Media Technology,5,IQ,2025-11-28 17:28:32
2005,1103,Animal Science and Zoology,4,IQ,2025-11-28 17:28:32
2005,2209,Industrial and Manufacturing Engineering,4,IQ,2025-11-28 17:28:32
2005,2740,Pulmonary and Respiratory Medicine,4,IQ,2025-11-28 17:28:32
2005,1102,Agronomy and Crop Science,3,IQ,2025-11-28 17:28:32
2005,1307,Cell Biology,3,IQ,2025-11-28 17:28:32
2005,1311,Genetics,3,IQ,2025-11-28 17:28:32
2005,1605,Organic Chemistry,3,IQ,2025-11-28 17:28:32
2005,1908,Geophysics,3,IQ,2025-11-28 17:28:32
2005,2303,Ecology,3,IQ,2025-11-28 17:28:32
2005,2305,Environmental Engineering,3,IQ,2025-11-28 17:28:32
2005,2504,"Electronic, Optical and Magnetic Materials",3,IQ,2025-11-28 17:28:32
2005,2713,Epidemiology,3,IQ,2025-11-28 17:28:32
2005,2739,"Public Health, Environmental and Occupational Health",3,IQ,2025-11-28 17:28:32
2005,2805,Cognitive Neuroscience,3,IQ,2025-11-28 17:28:32
2005,2916,Nutrition and Dietetics,3,IQ,2025-11-28 17:28:32
2005,3504,Oral Surgery,3,IQ,2025-11-28 17:28:32
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",3,IQ,2025-11-28 17:28:32
2005,1109,Insect Science,2,IQ,2025-11-28 17:28:32
2005,1502,Bioengineering,2,IQ,2025-11-28 17:28:32
2005,1604,Inorganic Chemistry,2,IQ,2025-11-28 17:28:32
2005,1607,Spectroscopy,2,IQ,2025-11-28 17:28:32
2005,2307,"Health, Toxicology and Mutagenesis",2,IQ,2025-11-28 17:28:32
2005,2311,Industrial and Manufacturing Engineering,2,IQ,2025-11-28 17:28:32
2005,2403,Immunology,2,IQ,2025-11-28 17:28:32
2005,2736,Pharmacology,2,IQ,2025-11-28 17:28:32
2005,2743,Reproductive Medicine,2,IQ,2025-11-28 17:28:32
2005,1100,General Agricultural and Biological Sciences,1,IQ,2025-11-28 17:28:32
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,IQ,2025-11-28 17:28:32
2005,1303,Biochemistry,1,IQ,2025-11-28 17:28:32
2005,1305,Biotechnology,1,IQ,2025-11-28 17:28:32
2005,1404,Management Information Systems,1,IQ,2025-11-28 17:28:32
2005,1507,Fluid Flow and Transfer Processes,1,IQ,2025-11-28 17:28:32
2005,1602,Analytical Chemistry,1,IQ,2025-11-28 17:28:32
2005,1606,Physical and Theoretical Chemistry,1,IQ,2025-11-28 17:28:32
2005,1706,Computer Science Applications,1,IQ,2025-11-28 17:28:32
2005,1708,Hardware and Architecture,1,IQ,2025-11-28 17:28:32
2005,1803,Management Science and Operations Research,1,IQ,2025-11-28 17:28:32
2005,1906,Geochemistry and Petrology,1,IQ,2025-11-28 17:28:32
2005,1907,Geology,1,IQ,2025-11-28 17:28:32
2005,2105,"Renewable Energy, Sustainability and the Environment",1,IQ,2025-11-28 17:28:32
2005,2212,Ocean Engineering,1,IQ,2025-11-28 17:28:32
2005,2213,"Safety, Risk, Reliability and Quality",1,IQ,2025-11-28 17:28:32
2005,2304,Environmental Chemistry,1,IQ,2025-11-28 17:28:32
2005,2308,"Management, Monitoring, Policy and Law",1,IQ,2025-11-28 17:28:32
2005,2312,Water Science and Technology,1,IQ,2025-11-28 17:28:32
2005,2502,Biomaterials,1,IQ,2025-11-28 17:28:32
2005,2506,Metals and Alloys,1,IQ,2025-11-28 17:28:32
2005,2613,Statistics and Probability,1,IQ,2025-11-28 17:28:32
2005,2707,Complementary and alternative medicine,1,IQ,2025-11-28 17:28:32
2005,2725,Infectious Diseases,1,IQ,2025-11-28 17:28:32
2005,2727,Nephrology,1,IQ,2025-11-28 17:28:32
2005,2733,Otorhinolaryngology,1,IQ,2025-11-28 17:28:32
2005,2734,Pathology and Forensic Medicine,1,IQ,2025-11-28 17:28:32
2005,2735,"Pediatrics, Perinatology and Child Health",1,IQ,2025-11-28 17:28:32
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,IQ,2025-11-28 17:28:32
2005,2742,Rehabilitation,1,IQ,2025-11-28 17:28:32
2005,2745,Rheumatology,1,IQ,2025-11-28 17:28:32
2005,2746,Surgery,1,IQ,2025-11-28 17:28:32
2005,2804,Cellular and Molecular Neuroscience,1,IQ,2025-11-28 17:28:32
2005,2808,Neurology,1,IQ,2025-11-28 17:28:32
2005,3103,Astronomy and Astrophysics,1,IQ,2025-11-28 17:28:32
2005,3104,Condensed Matter Physics,1,IQ,2025-11-28 17:28:32
2005,3105,Instrumentation,1,IQ,2025-11-28 17:28:32
2005,3106,Nuclear and High Energy Physics,1,IQ,2025-11-28 17:28:32
2005,3108,Radiation,1,IQ,2025-11-28 17:28:32
2005,3109,Statistical and Nonlinear Physics,1,IQ,2025-11-28 17:28:32
2005,3505,Orthodontics,1,IQ,2025-11-28 17:28:32
2005,3600,General Health Professions,1,IQ,2025-11-28 17:28:32
2005,3614,Radiological and Ultrasound Technology,1,IQ,2025-11-28 17:28:32
2005,3616,Speech and Hearing,1,IQ,2025-11-28 17:28:32
2006,2208,Electrical and Electronic Engineering,74,IQ,2025-11-28 17:28:32
2006,2205,Civil and Structural Engineering,66,IQ,2025-11-28 17:28:32
2006,2210,Mechanical Engineering,45,IQ,2025-11-28 17:28:32
2006,2204,Biomedical Engineering,35,IQ,2025-11-28 17:28:32
2006,1110,Plant Science,31,IQ,2025-11-28 17:28:32
2006,1702,Artificial Intelligence,30,IQ,2025-11-28 17:28:32
2006,1707,Computer Vision and Pattern Recognition,27,IQ,2025-11-28 17:28:32
2006,2505,Materials Chemistry,27,IQ,2025-11-28 17:28:32
2006,2207,Control and Systems Engineering,25,IQ,2025-11-28 17:28:32
2006,2211,Mechanics of Materials,24,IQ,2025-11-28 17:28:32
2006,1312,Molecular Biology,23,IQ,2025-11-28 17:28:32
2006,1705,Computer Networks and Communications,22,IQ,2025-11-28 17:28:32
2006,2202,Aerospace Engineering,17,IQ,2025-11-28 17:28:32
2006,2206,Computational Mechanics,17,IQ,2025-11-28 17:28:32
2006,2215,Building and Construction,14,IQ,2025-11-28 17:28:32
2006,3107,"Atomic and Molecular Physics, and Optics",14,IQ,2025-11-28 17:28:32
2006,1605,Organic Chemistry,12,IQ,2025-11-28 17:28:32
2006,1711,Signal Processing,10,IQ,2025-11-28 17:28:32
2006,2212,Ocean Engineering,10,IQ,2025-11-28 17:28:32
2006,1102,Agronomy and Crop Science,9,IQ,2025-11-28 17:28:32
2006,1111,Soil Science,8,IQ,2025-11-28 17:28:32
2006,2213,"Safety, Risk, Reliability and Quality",8,IQ,2025-11-28 17:28:32
2006,1703,Computational Theory and Mathematics,6,IQ,2025-11-28 17:28:32
2006,2312,Water Science and Technology,6,IQ,2025-11-28 17:28:32
2006,1105,"Ecology, Evolution, Behavior and Systematics",5,IQ,2025-11-28 17:28:32
