year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,7413,IT,2025-12-01 18:42:59
2005,2208,Electrical and Electronic Engineering,5480,IT,2025-12-01 18:42:59
2005,2746,Surgery,4711,IT,2025-12-01 18:42:59
2005,2505,Materials Chemistry,3384,IT,2025-12-01 18:42:59
2005,2740,Pulmonary and Respiratory Medicine,3282,IT,2025-12-01 18:42:59
2005,2204,Biomedical Engineering,3203,IT,2025-12-01 18:42:59
2005,1702,Artificial Intelligence,3084,IT,2025-12-01 18:42:59
2005,2713,Epidemiology,2953,IT,2025-12-01 18:42:59
2005,2705,Cardiology and Cardiovascular Medicine,2913,IT,2025-12-01 18:42:59
2005,2730,Oncology,2869,IT,2025-12-01 18:42:59
2005,3107,"Atomic and Molecular Physics, and Optics",1856,IT,2025-12-01 18:42:59
2005,1705,Computer Networks and Communications,1378,IT,2025-12-01 18:42:59
2005,1311,Genetics,1099,IT,2025-12-01 18:42:59
2005,2741,"Radiology, Nuclear Medicine and Imaging",1063,IT,2025-12-01 18:42:59
2005,2737,Physiology,994,IT,2025-12-01 18:42:59
2005,1605,Organic Chemistry,991,IT,2025-12-01 18:42:59
2005,2734,Pathology and Forensic Medicine,865,IT,2025-12-01 18:42:59
2005,2403,Immunology,861,IT,2025-12-01 18:42:59
2005,2712,"Endocrinology, Diabetes and Metabolism",821,IT,2025-12-01 18:42:59
2005,1306,Cancer Research,722,IT,2025-12-01 18:42:59
2005,2804,Cellular and Molecular Neuroscience,695,IT,2025-12-01 18:42:59
2005,2202,Aerospace Engineering,693,IT,2025-12-01 18:42:59
2005,2745,Rheumatology,684,IT,2025-12-01 18:42:59
2005,2504,"Electronic, Optical and Magnetic Materials",678,IT,2025-12-01 18:42:59
2005,1703,Computational Theory and Mathematics,671,IT,2025-12-01 18:42:59
2005,2721,Hepatology,645,IT,2025-12-01 18:42:59
2005,2210,Mechanical Engineering,604,IT,2025-12-01 18:42:59
2005,1307,Cell Biology,594,IT,2025-12-01 18:42:59
2005,2728,Neurology,568,IT,2025-12-01 18:42:59
2005,2725,Infectious Diseases,549,IT,2025-12-01 18:42:59
2005,2720,Hematology,535,IT,2025-12-01 18:42:59
2005,1110,Plant Science,528,IT,2025-12-01 18:42:59
2005,1607,Spectroscopy,511,IT,2025-12-01 18:42:59
2005,2739,"Public Health, Environmental and Occupational Health",511,IT,2025-12-01 18:42:59
2005,2207,Control and Systems Engineering,494,IT,2025-12-01 18:42:59
2005,1710,Information Systems,458,IT,2025-12-01 18:42:59
2005,2211,Mechanics of Materials,454,IT,2025-12-01 18:42:59
2005,3106,Nuclear and High Energy Physics,429,IT,2025-12-01 18:42:59
2005,2716,Genetics,408,IT,2025-12-01 18:42:59
2005,2735,"Pediatrics, Perinatology and Child Health",393,IT,2025-12-01 18:42:59
2005,2206,Computational Mechanics,383,IT,2025-12-01 18:42:59
2005,2715,Gastroenterology,383,IT,2025-12-01 18:42:59
2005,2736,Pharmacology,375,IT,2025-12-01 18:42:59
2005,1604,Inorganic Chemistry,372,IT,2025-12-01 18:42:59
2005,2916,Nutrition and Dietetics,369,IT,2025-12-01 18:42:59
2005,3104,Condensed Matter Physics,365,IT,2025-12-01 18:42:59
2005,3108,Radiation,349,IT,2025-12-01 18:42:59
2005,1707,Computer Vision and Pattern Recognition,336,IT,2025-12-01 18:42:59
2005,1711,Signal Processing,335,IT,2025-12-01 18:42:59
2005,2507,Polymers and Plastics,293,IT,2025-12-01 18:42:59
2005,2727,Nephrology,262,IT,2025-12-01 18:42:59
2005,2748,Urology,255,IT,2025-12-01 18:42:59
2005,3103,Astronomy and Astrophysics,251,IT,2025-12-01 18:42:59
2005,2708,Dermatology,245,IT,2025-12-01 18:42:59
2005,2805,Cognitive Neuroscience,243,IT,2025-12-01 18:42:59
2005,2738,Psychiatry and Mental health,239,IT,2025-12-01 18:42:59
