subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,The human imperative of stabilizing global climate change at 1.5°C,https://doi.org/10.1126/science.aaw6974,2019,907,https://openalex.org/W2974545260
3312,Sociology and Political Science,Securitization and De-securitization,https://doi.org/10.1007/978-3-319-74319-6_122,2023,313,https://openalex.org/W4320924947
3312,Sociology and Political Science,EXCEPTIONAL VIOLENCE: EMBODIED CITIZENSHIP IN TRANSNATIONAL JAMAICA,https://doi.org/10.1080/01419870.2012.680023,2012,260,https://openalex.org/W2095250064
2739,"Public Health, Environmental and Occupational Health",Maternal and child undernutrition and overweight in low-income and middle-income countries,https://doi.org/10.1016/s0140-6736(13)60937-x,2013,7959,https://openalex.org/W2161643046
2739,"Public Health, Environmental and Occupational Health",The Lancet Global Health Commission on Global Eye Health: vision beyond 2020,https://doi.org/10.1016/s2214-109x(20)30488-5,2021,1264,https://openalex.org/W3130938027
2739,"Public Health, Environmental and Occupational Health",Zika virus evolution and spread in the Americas,https://doi.org/10.1038/nature22402,2017,409,https://openalex.org/W2620298867
2746,Surgery,The management of intra-abdominal infections from a global perspective: 2017 WSES guidelines for management of intra-abdominal infections,https://doi.org/10.1186/s13017-017-0141-6,2017,447,https://openalex.org/W2729161724
2746,Surgery,Global Retinoblastoma Presentation and Analysis by National Income Level,https://doi.org/10.1001/jamaoncol.2019.6716,2020,341,https://openalex.org/W3008735477
2746,Surgery,2020 update of the WSES guidelines for the management of acute colonic diverticulitis in the emergency setting,https://doi.org/10.1186/s13017-020-00313-4,2020,337,https://openalex.org/W3021557093
2713,Epidemiology,Adverse effects of biologics: a network meta-analysis and Cochrane overview,https://doi.org/10.1002/14651858.cd008794.pub2,2011,819,https://openalex.org/W1701993624
2713,Epidemiology,"Genome-Wide Association Study of Coronary Heart Disease and Its Risk Factors in 8,090 African Americans: The NHLBI CARe Project",https://doi.org/10.1371/journal.pgen.1001300,2011,314,https://openalex.org/W2140479040
2713,Epidemiology,Diabetes Mellitus and Its Metabolic Complications: The Role of Adipose Tissues,https://doi.org/10.3390/ijms22147644,2021,300,https://openalex.org/W3184056898
1312,Molecular Biology,Multiple Applications of Alamar Blue as an Indicator of Metabolic Function and Cellular Health in Cell Viability Bioassays,https://doi.org/10.3390/s120912347,2012,991,https://openalex.org/W2004602806
1312,Molecular Biology,Assembly of a pan-genome from deep sequencing of 910 humans of African descent,https://doi.org/10.1038/s41588-018-0273-y,2018,398,https://openalex.org/W2901214479
1312,Molecular Biology,"Anthocyanin content, antioxidant, anti-inflammatory and anticancer properties of blackberry and raspberry fruits",https://doi.org/10.1016/j.jfca.2009.08.012,2009,361,https://openalex.org/W2057306510
3600,General Health Professions,Child and adolescent mental health worldwide: evidence for action,https://doi.org/10.1016/s0140-6736(11)60827-1,2011,2346,https://openalex.org/W2016410988
3600,General Health Professions,Global health 2035: a world converging within a generation,https://doi.org/10.1016/s0140-6736(13)62105-4,2013,1187,https://openalex.org/W4320288076
3600,General Health Professions,[Global health 2035: a world converging within a generation].,,2017,945,https://openalex.org/W2149759828
1110,Plant Science,Assembly of a pan-genome from deep sequencing of 910 humans of African descent,https://doi.org/10.1038/s41588-018-0273-y,2018,398,https://openalex.org/W2901214479
1110,Plant Science,Catharanthus roseus flower extract has wound-healing activity in Sprague Dawley rats,https://doi.org/10.1186/1472-6882-6-41,2006,298,https://openalex.org/W1532714162
1110,Plant Science,"Assessment of the potential health risks associated with the aluminium, arsenic, cadmium and lead content in selected fruits and vegetables grown in Jamaica",https://doi.org/10.1016/j.toxrep.2017.03.006,2017,292,https://openalex.org/W2597462464
2735,"Pediatrics, Perinatology and Child Health",Maternal and child undernutrition and overweight in low-income and middle-income countries,https://doi.org/10.1016/s0140-6736(13)60937-x,2013,7959,https://openalex.org/W2161643046
2735,"Pediatrics, Perinatology and Child Health",Early childhood development coming of age: science through the life course,https://doi.org/10.1016/s0140-6736(16)31389-7,2016,2722,https://openalex.org/W2528342610
2735,"Pediatrics, Perinatology and Child Health",Child development: risk factors for adverse outcomes in developing countries,https://doi.org/10.1016/s0140-6736(07)60076-2,2007,2094,https://openalex.org/W2171112462
3304,Education,Early childhood development coming of age: science through the life course,https://doi.org/10.1016/s0140-6736(16)31389-7,2016,2722,https://openalex.org/W2528342610
3304,Education,Labor market returns to an early childhood stimulation intervention in Jamaica,https://doi.org/10.1126/science.1251178,2014,750,https://openalex.org/W1975855420
3304,Education,Early Childhood Stunting Is Associated with Poor Psychological Functioning in Late Adolescence and Effects Are Reduced by Psychosocial Stimulation,https://doi.org/10.1093/jn/137.11.2464,2007,304,https://openalex.org/W1930157607
2740,Pulmonary and Respiratory Medicine,The global burden of chronic kidney disease,https://doi.org/10.1016/s0140-6736(19)32977-0,2020,733,https://openalex.org/W3005627128
2740,Pulmonary and Respiratory Medicine,New guidelines for hemorheological laboratory techniques,https://doi.org/10.3233/ch-2009-1202,2009,482,https://openalex.org/W2119536526
2740,Pulmonary and Respiratory Medicine,The management of intra-abdominal infections from a global perspective: 2017 WSES guidelines for management of intra-abdominal infections,https://doi.org/10.1186/s13017-017-0141-6,2017,447,https://openalex.org/W2729161724
