year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,105,JO,2025-11-28 17:30:30
2005,1702,Artificial Intelligence,71,JO,2025-11-28 17:30:30
2005,2204,Biomedical Engineering,63,JO,2025-11-28 17:30:30
2005,1312,Molecular Biology,58,JO,2025-11-28 17:30:30
2005,2505,Materials Chemistry,50,JO,2025-11-28 17:30:30
2005,1705,Computer Networks and Communications,43,JO,2025-11-28 17:30:30
2005,2746,Surgery,40,JO,2025-11-28 17:30:30
2005,3107,"Atomic and Molecular Physics, and Optics",24,JO,2025-11-28 17:30:30
2005,2206,Computational Mechanics,21,JO,2025-11-28 17:30:30
2005,3312,Sociology and Political Science,20,JO,2025-11-28 17:30:30
2005,1710,Information Systems,18,JO,2025-11-28 17:30:30
2005,1711,Signal Processing,18,JO,2025-11-28 17:30:30
2005,2207,Control and Systems Engineering,18,JO,2025-11-28 17:30:30
2005,2210,Mechanical Engineering,18,JO,2025-11-28 17:30:30
2005,2211,Mechanics of Materials,15,JO,2025-11-28 17:30:30
2005,1703,Computational Theory and Mathematics,14,JO,2025-11-28 17:30:30
2005,3304,Education,13,JO,2025-11-28 17:30:30
2005,1605,Organic Chemistry,12,JO,2025-11-28 17:30:30
2005,2202,Aerospace Engineering,11,JO,2025-11-28 17:30:30
2005,1106,Food Science,10,JO,2025-11-28 17:30:30
2005,1110,Plant Science,10,JO,2025-11-28 17:30:30
2005,1707,Computer Vision and Pattern Recognition,10,JO,2025-11-28 17:30:30
2005,1708,Hardware and Architecture,10,JO,2025-11-28 17:30:30
2005,2312,Water Science and Technology,10,JO,2025-11-28 17:30:30
2005,2740,Pulmonary and Respiratory Medicine,9,JO,2025-11-28 17:30:30
2005,3104,Condensed Matter Physics,8,JO,2025-11-28 17:30:30
2005,3504,Oral Surgery,8,JO,2025-11-28 17:30:30
2005,1404,Management Information Systems,7,JO,2025-11-28 17:30:30
2005,2504,"Electronic, Optical and Magnetic Materials",7,JO,2025-11-28 17:30:30
2005,2608,Geometry and Topology,7,JO,2025-11-28 17:30:30
2005,3204,Developmental and Educational Psychology,7,JO,2025-11-28 17:30:30
2005,1311,Genetics,6,JO,2025-11-28 17:30:30
2005,2507,Polymers and Plastics,6,JO,2025-11-28 17:30:30
2005,2607,Discrete Mathematics and Combinatorics,6,JO,2025-11-28 17:30:30
2005,2730,Oncology,6,JO,2025-11-28 17:30:30
2005,1607,Spectroscopy,5,JO,2025-11-28 17:30:30
2005,1803,Management Science and Operations Research,5,JO,2025-11-28 17:30:30
2005,2205,Civil and Structural Engineering,5,JO,2025-11-28 17:30:30
2005,2212,Ocean Engineering,5,JO,2025-11-28 17:30:30
2005,2213,"Safety, Risk, Reliability and Quality",5,JO,2025-11-28 17:30:30
2005,2712,"Endocrinology, Diabetes and Metabolism",5,JO,2025-11-28 17:30:30
2005,2734,Pathology and Forensic Medicine,5,JO,2025-11-28 17:30:30
2005,1802,Information Systems and Management,4,JO,2025-11-28 17:30:30
2005,2105,"Renewable Energy, Sustainability and the Environment",4,JO,2025-11-28 17:30:30
2005,2305,Environmental Engineering,4,JO,2025-11-28 17:30:30
2005,2310,Pollution,4,JO,2025-11-28 17:30:30
2005,2720,Hematology,4,JO,2025-11-28 17:30:30
2005,3505,Orthodontics,4,JO,2025-11-28 17:30:30
2005,1203,Language and Linguistics,3,JO,2025-11-28 17:30:30
2005,1602,Analytical Chemistry,3,JO,2025-11-28 17:30:30
2005,1604,Inorganic Chemistry,3,JO,2025-11-28 17:30:30
2005,1908,Geophysics,3,JO,2025-11-28 17:30:30
2005,2209,Industrial and Manufacturing Engineering,3,JO,2025-11-28 17:30:30
2005,2307,"Health, Toxicology and Mutagenesis",3,JO,2025-11-28 17:30:30
2005,2502,Biomaterials,3,JO,2025-11-28 17:30:30
2005,2613,Statistics and Probability,3,JO,2025-11-28 17:30:30
2005,2705,Cardiology and Cardiovascular Medicine,3,JO,2025-11-28 17:30:30
2005,2739,"Public Health, Environmental and Occupational Health",3,JO,2025-11-28 17:30:30
2005,2745,Rheumatology,3,JO,2025-11-28 17:30:30
2005,2805,Cognitive Neuroscience,3,JO,2025-11-28 17:30:30
2005,2809,Sensory Systems,3,JO,2025-11-28 17:30:30
2005,2916,Nutrition and Dietetics,3,JO,2025-11-28 17:30:30
2005,3109,Statistical and Nonlinear Physics,3,JO,2025-11-28 17:30:30
2005,3614,Radiological and Ultrasound Technology,3,JO,2025-11-28 17:30:30
2005,1305,Biotechnology,2,JO,2025-11-28 17:30:30
2005,1307,Cell Biology,2,JO,2025-11-28 17:30:30
2005,1502,Bioengineering,2,JO,2025-11-28 17:30:30
2005,1506,Filtration and Separation,2,JO,2025-11-28 17:30:30
2005,1507,Fluid Flow and Transfer Processes,2,JO,2025-11-28 17:30:30
2005,1706,Computer Science Applications,2,JO,2025-11-28 17:30:30
2005,1902,Atmospheric Science,2,JO,2025-11-28 17:30:30
2005,2002,Economics and Econometrics,2,JO,2025-11-28 17:30:30
2005,2215,Building and Construction,2,JO,2025-11-28 17:30:30
2005,2306,Global and Planetary Change,2,JO,2025-11-28 17:30:30
2005,2403,Immunology,2,JO,2025-11-28 17:30:30
2005,2508,"Surfaces, Coatings and Films",2,JO,2025-11-28 17:30:30
2005,2611,Modeling and Simulation,2,JO,2025-11-28 17:30:30
2005,2711,Emergency Medicine,2,JO,2025-11-28 17:30:30
2005,2713,Epidemiology,2,JO,2025-11-28 17:30:30
2005,2716,Genetics,2,JO,2025-11-28 17:30:30
2005,2728,Neurology,2,JO,2025-11-28 17:30:30
2005,2731,Ophthalmology,2,JO,2025-11-28 17:30:30
2005,2732,Orthopedics and Sports Medicine,2,JO,2025-11-28 17:30:30
2005,2735,"Pediatrics, Perinatology and Child Health",2,JO,2025-11-28 17:30:30
2005,2736,Pharmacology,2,JO,2025-11-28 17:30:30
2005,2737,Physiology,2,JO,2025-11-28 17:30:30
2005,2741,"Radiology, Nuclear Medicine and Imaging",2,JO,2025-11-28 17:30:30
2005,2743,Reproductive Medicine,2,JO,2025-11-28 17:30:30
2005,3003,Pharmaceutical Science,2,JO,2025-11-28 17:30:30
2005,3203,Clinical Psychology,2,JO,2025-11-28 17:30:30
2005,3207,Social Psychology,2,JO,2025-11-28 17:30:30
2005,3318,Gender Studies,2,JO,2025-11-28 17:30:30
2005,3404,Small Animals,2,JO,2025-11-28 17:30:30
2005,3600,General Health Professions,2,JO,2025-11-28 17:30:30
2005,3604,Emergency Medical Services,2,JO,2025-11-28 17:30:30
2005,1102,Agronomy and Crop Science,1,JO,2025-11-28 17:30:30
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,JO,2025-11-28 17:30:30
2005,1109,Insect Science,1,JO,2025-11-28 17:30:30
2005,1204,Archeology,1,JO,2025-11-28 17:30:30
2005,1303,Biochemistry,1,JO,2025-11-28 17:30:30
2005,1304,Biophysics,1,JO,2025-11-28 17:30:30
2005,1306,Cancer Research,1,JO,2025-11-28 17:30:30
2005,1309,Developmental Biology,1,JO,2025-11-28 17:30:30
2005,1310,Endocrinology,1,JO,2025-11-28 17:30:30
2005,1313,Molecular Medicine,1,JO,2025-11-28 17:30:30
2005,1503,Catalysis,1,JO,2025-11-28 17:30:30
2005,1603,Electrochemistry,1,JO,2025-11-28 17:30:30
2005,1606,Physical and Theoretical Chemistry,1,JO,2025-11-28 17:30:30
2005,1709,Human-Computer Interaction,1,JO,2025-11-28 17:30:30
2005,1712,Software,1,JO,2025-11-28 17:30:30
2005,1804,"Statistics, Probability and Uncertainty",1,JO,2025-11-28 17:30:30
2005,1911,Paleontology,1,JO,2025-11-28 17:30:30
2005,2003,Finance,1,JO,2025-11-28 17:30:30
2005,2102,Energy Engineering and Power Technology,1,JO,2025-11-28 17:30:30
2005,2203,Automotive Engineering,1,JO,2025-11-28 17:30:30
2005,2303,Ecology,1,JO,2025-11-28 17:30:30
2005,2304,Environmental Chemistry,1,JO,2025-11-28 17:30:30
2005,2311,Industrial and Manufacturing Engineering,1,JO,2025-11-28 17:30:30
2005,2503,Ceramics and Composites,1,JO,2025-11-28 17:30:30
2005,2602,Algebra and Number Theory,1,JO,2025-11-28 17:30:30
2005,2610,Mathematical Physics,1,JO,2025-11-28 17:30:30
2005,2612,Numerical Analysis,1,JO,2025-11-28 17:30:30
2005,2614,Theoretical Computer Science,1,JO,2025-11-28 17:30:30
2005,2703,Anesthesiology and Pain Medicine,1,JO,2025-11-28 17:30:30
2005,2727,Nephrology,1,JO,2025-11-28 17:30:30
2005,2729,Obstetrics and Gynecology,1,JO,2025-11-28 17:30:30
2005,2733,Otorhinolaryngology,1,JO,2025-11-28 17:30:30
2005,2738,Psychiatry and Mental health,1,JO,2025-11-28 17:30:30
2005,2748,Urology,1,JO,2025-11-28 17:30:30
2005,2804,Cellular and Molecular Neuroscience,1,JO,2025-11-28 17:30:30
2005,2807,Endocrine and Autonomic Systems,1,JO,2025-11-28 17:30:30
2005,2808,Neurology,1,JO,2025-11-28 17:30:30
2005,2910,"Issues, ethics and legal aspects",1,JO,2025-11-28 17:30:30
2005,2922,Research and Theory,1,JO,2025-11-28 17:30:30
2005,3004,Pharmacology,1,JO,2025-11-28 17:30:30
2005,3103,Astronomy and Astrophysics,1,JO,2025-11-28 17:30:30
2005,3106,Nuclear and High Energy Physics,1,JO,2025-11-28 17:30:30
2005,3108,Radiation,1,JO,2025-11-28 17:30:30
2005,3205,Experimental and Cognitive Psychology,1,JO,2025-11-28 17:30:30
2005,3308,Law,1,JO,2025-11-28 17:30:30
2005,3309,Library and Information Sciences,1,JO,2025-11-28 17:30:30
2005,3310,Linguistics and Language,1,JO,2025-11-28 17:30:30
2005,3316,Cultural Studies,1,JO,2025-11-28 17:30:30
2005,3320,Political Science and International Relations,1,JO,2025-11-28 17:30:30
2005,3322,Urban Studies,1,JO,2025-11-28 17:30:30
2005,3506,Periodontics,1,JO,2025-11-28 17:30:30
2005,3607,Medical Laboratory Technology,1,JO,2025-11-28 17:30:30
2006,2208,Electrical and Electronic Engineering,121,JO,2025-11-28 17:30:30
2006,1702,Artificial Intelligence,99,JO,2025-11-28 17:30:30
2006,2505,Materials Chemistry,83,JO,2025-11-28 17:30:30
2006,1312,Molecular Biology,69,JO,2025-11-28 17:30:30
2006,2204,Biomedical Engineering,69,JO,2025-11-28 17:30:30
2006,1705,Computer Networks and Communications,64,JO,2025-11-28 17:30:30
2006,2746,Surgery,56,JO,2025-11-28 17:30:30
2006,1710,Information Systems,38,JO,2025-11-28 17:30:30
2006,3312,Sociology and Political Science,29,JO,2025-11-28 17:30:30
2006,2210,Mechanical Engineering,25,JO,2025-11-28 17:30:30
2006,3107,"Atomic and Molecular Physics, and Optics",22,JO,2025-11-28 17:30:30
2006,2202,Aerospace Engineering,20,JO,2025-11-28 17:30:30
2006,1605,Organic Chemistry,18,JO,2025-11-28 17:30:30
2006,2207,Control and Systems Engineering,18,JO,2025-11-28 17:30:30
2006,3304,Education,18,JO,2025-11-28 17:30:30
2006,1703,Computational Theory and Mathematics,15,JO,2025-11-28 17:30:30
2006,1707,Computer Vision and Pattern Recognition,14,JO,2025-11-28 17:30:30
2006,1711,Signal Processing,14,JO,2025-11-28 17:30:30
2006,2312,Water Science and Technology,14,JO,2025-11-28 17:30:30
2006,1110,Plant Science,13,JO,2025-11-28 17:30:30
2006,1708,Hardware and Architecture,13,JO,2025-11-28 17:30:30
2006,3003,Pharmaceutical Science,13,JO,2025-11-28 17:30:30
2006,2105,"Renewable Energy, Sustainability and the Environment",12,JO,2025-11-28 17:30:30
2006,2206,Computational Mechanics,11,JO,2025-11-28 17:30:30
2006,2740,Pulmonary and Respiratory Medicine,11,JO,2025-11-28 17:30:30
2006,2211,Mechanics of Materials,9,JO,2025-11-28 17:30:30
2006,3504,Oral Surgery,9,JO,2025-11-28 17:30:30
2006,1602,Analytical Chemistry,8,JO,2025-11-28 17:30:30
2006,1607,Spectroscopy,8,JO,2025-11-28 17:30:30
2006,2403,Immunology,8,JO,2025-11-28 17:30:30
2006,2713,Epidemiology,8,JO,2025-11-28 17:30:30
2006,1106,Food Science,7,JO,2025-11-28 17:30:30
2006,1311,Genetics,7,JO,2025-11-28 17:30:30
