subfield_id,subfield_name,title,doi,year,cited_by_count,id
1312,Molecular Biology,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,https://doi.org/10.1093/molbev/mst197,2013,47305,https://openalex.org/W2152207030
1312,Molecular Biology,MAFFT Multiple Sequence Alignment Software Version 7: Improvements in Performance and Usability,https://doi.org/10.1093/molbev/mst010,2013,44086,https://openalex.org/W2160378127
1312,Molecular Biology,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods",https://doi.org/10.1093/molbev/msr121,2011,39974,https://openalex.org/W2132632499
1312,Molecular Biology,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,https://doi.org/10.1093/molbev/msy096,2018,36360,https://openalex.org/W2799524357
1312,Molecular Biology,MEGA4: Molecular Evolutionary Genetics Analysis (MEGA) Software Version 4.0,https://doi.org/10.1093/molbev/msm092,2007,28727,https://openalex.org/W2125121305
1312,Molecular Biology,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,https://doi.org/10.1016/j.cell.2006.07.024,2006,25944,https://openalex.org/W2125987139
1312,Molecular Biology,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,https://doi.org/10.1016/j.cell.2007.11.019,2007,19748,https://openalex.org/W2138977668
1312,Molecular Biology,MEGA11: Molecular Evolutionary Genetics Analysis Version 11,https://doi.org/10.1093/molbev/msab120,2021,19059,https://openalex.org/W4251751280
1312,Molecular Biology,Ror2 signaling regulates Golgi structure and transport through IFT20 for tumor invasiveness,https://doi.org/10.1038/s41598-016-0028-x,2017,15744,https://openalex.org/W2580767461
1312,Molecular Biology,Signatures of mutational processes in human cancer,https://doi.org/10.1038/nature12477,2013,9747,https://openalex.org/W2152061559
2208,Electrical and Electronic Engineering,Organometal Halide Perovskites as Visible-Light Sensitizers for Photovoltaic Cells,https://doi.org/10.1021/ja809598r,2009,21605,https://openalex.org/W2057327293
2208,Electrical and Electronic Engineering,A metal-free polymeric photocatalyst for hydrogen production from water under visible light,https://doi.org/10.1038/nmat2317,2008,11955,https://openalex.org/W2150399639
2208,Electrical and Electronic Engineering,Efficient Hybrid Solar Cells Based on Meso-Superstructured Organometal Halide Perovskites,https://doi.org/10.1126/science.1228604,2012,10347,https://openalex.org/W1965464747
2208,Electrical and Electronic Engineering,Heterogeneous photocatalyst materials for water splitting,https://doi.org/10.1039/b800489g,2008,10162,https://openalex.org/W2039475059
2208,Electrical and Electronic Engineering,Highly efficient organic light-emitting diodes from delayed fluorescence,https://doi.org/10.1038/nature11687,2012,7637,https://openalex.org/W2150702843
2208,Electrical and Electronic Engineering,Advanced capabilities for materials modelling with Quantum ESPRESSO,https://doi.org/10.1088/1361-648x/aa8f79,2017,6740,https://openalex.org/W2757803490
2208,Electrical and Electronic Engineering,TiO2 photocatalysis and related surface phenomena,https://doi.org/10.1016/j.surfrep.2008.10.001,2008,6357,https://openalex.org/W2145274462
2208,Electrical and Electronic Engineering,Research Development on Sodium-Ion Batteries,https://doi.org/10.1021/cr500192f,2014,6028,https://openalex.org/W2040959430
2208,Electrical and Electronic Engineering,Cutting-edge terahertz technology,https://doi.org/10.1038/nphoton.2007.3,2007,5987,https://openalex.org/W1972432506
2208,Electrical and Electronic Engineering,"Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency",https://doi.org/10.1039/c5ee03874j,2016,5194,https://openalex.org/W2301656337
2505,Materials Chemistry,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,https://doi.org/10.1585/pfr.15.2402039,2020,801215,https://openalex.org/W3038568908
2505,Materials Chemistry,"<i>VESTA 3</i> for three-dimensional visualization of crystal, volumetric and morphology data",https://doi.org/10.1107/s0021889811038970,2011,23010,https://openalex.org/W2028056984
2505,Materials Chemistry,Organometal Halide Perovskites as Visible-Light Sensitizers for Photovoltaic Cells,https://doi.org/10.1021/ja809598r,2009,21605,https://openalex.org/W2057327293
2505,Materials Chemistry,A metal-free polymeric photocatalyst for hydrogen production from water under visible light,https://doi.org/10.1038/nmat2317,2008,11955,https://openalex.org/W2150399639
2505,Materials Chemistry,Efficient Hybrid Solar Cells Based on Meso-Superstructured Organometal Halide Perovskites,https://doi.org/10.1126/science.1228604,2012,10347,https://openalex.org/W1965464747
2505,Materials Chemistry,First principles phonon calculations in materials science,https://doi.org/10.1016/j.scriptamat.2015.07.021,2015,10325,https://openalex.org/W832976576
2505,Materials Chemistry,Heterogeneous photocatalyst materials for water splitting,https://doi.org/10.1039/b800489g,2008,10162,https://openalex.org/W2039475059
2505,Materials Chemistry,Roll-to-roll production of 30-inch graphene films for transparent electrodes,https://doi.org/10.1038/nnano.2010.132,2010,7965,https://openalex.org/W2097773259
2505,Materials Chemistry,Unconventional superconductivity in magic-angle graphene superlattices,https://doi.org/10.1038/nature26160,2018,7707,https://openalex.org/W2793369479
2505,Materials Chemistry,Highly efficient organic light-emitting diodes from delayed fluorescence,https://doi.org/10.1038/nature11687,2012,7637,https://openalex.org/W2150702843
