year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,1932,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,1799,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,1194,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,796,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,793,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,761,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,754,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10022,Semiconductor Quantum Structures and Devices,739,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10781,Plasma Diagnostics and Applications,583,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,583,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10623,Thin-Film Transistor Technologies,555,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10767,Advanced Photonic Communication Systems,532,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,501,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10461,Gas Sensing Nanomaterials and Sensors,500,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,495,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10045,Organic Electronics and Photovoltaics,472,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10624,Silicon and Solar Cell Technologies,452,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,440,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10409,Fuel Cells and Related Materials,434,JP,2025-11-25 22:06:42
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,428,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,1069,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,875,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,786,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,725,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,710,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10107,Ferroelectric and Piezoelectric Materials,701,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,641,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10083,Graphene research and applications,604,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,567,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,559,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T11242,Nuclear Materials and Properties,531,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,484,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T11878,Solid-state spectroscopy and crystallography,465,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10097,Luminescence Properties of Advanced Materials,439,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,438,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,427,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10321,Quantum Dots Synthesis And Properties,426,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10592,Fusion materials and technologies,417,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T10607,Magnetic and transport properties of perovskites and related materials,400,JP,2025-11-25 22:06:42
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,353,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,829,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,622,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11808,Superconducting Materials and Applications,584,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,514,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10879,Robotic Locomotion and Control,483,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,481,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,419,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,410,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10338,Advanced Sensor and Energy Harvesting Materials,403,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T12224,Nanofabrication and Lithography Techniques,355,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11407,Innovative Microfluidic and Catalytic Techniques Innovation,345,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11272,Nanowire Synthesis and Applications,331,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10868,Soft Robotics and Applications,303,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T11255,Microfluidic and Bio-sensing Technologies,280,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,279,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,271,JP,2025-11-25 22:06:42
2005,2204,Biomedical Engineering,T10107,Ferroelectric and Piezoelectric Materials,269,JP,2025-11-25 22:06:42
