year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,18829,JP,2025-11-28 17:22:10
2005,2208,Electrical and Electronic Engineering,18086,JP,2025-11-28 17:22:10
2005,2505,Materials Chemistry,14755,JP,2025-11-28 17:22:10
2005,2204,Biomedical Engineering,11677,JP,2025-11-28 17:22:10
2005,3107,"Atomic and Molecular Physics, and Optics",9601,JP,2025-11-28 17:22:10
2005,2746,Surgery,9369,JP,2025-11-28 17:22:10
2005,2210,Mechanical Engineering,9133,JP,2025-11-28 17:22:10
2005,1605,Organic Chemistry,7091,JP,2025-11-28 17:22:10
2005,2740,Pulmonary and Respiratory Medicine,6551,JP,2025-11-28 17:22:10
2005,2730,Oncology,5469,JP,2025-11-28 17:22:10
2005,2504,"Electronic, Optical and Magnetic Materials",4162,JP,2025-11-28 17:22:10
2005,2211,Mechanics of Materials,3712,JP,2025-11-28 17:22:10
2005,3104,Condensed Matter Physics,2535,JP,2025-11-28 17:22:10
2005,2202,Aerospace Engineering,2496,JP,2025-11-28 17:22:10
2005,2206,Computational Mechanics,2291,JP,2025-11-28 17:22:10
2005,2713,Epidemiology,2146,JP,2025-11-28 17:22:10
2005,1311,Genetics,2143,JP,2025-11-28 17:22:10
2005,1604,Inorganic Chemistry,2099,JP,2025-11-28 17:22:10
2005,2705,Cardiology and Cardiovascular Medicine,2020,JP,2025-11-28 17:22:10
2005,2741,"Radiology, Nuclear Medicine and Imaging",2012,JP,2025-11-28 17:22:10
2005,2207,Control and Systems Engineering,1977,JP,2025-11-28 17:22:10
2005,1607,Spectroscopy,1913,JP,2025-11-28 17:22:10
2005,1110,Plant Science,1778,JP,2025-11-28 17:22:10
2005,2804,Cellular and Molecular Neuroscience,1722,JP,2025-11-28 17:22:10
2005,2403,Immunology,1685,JP,2025-11-28 17:22:10
2005,2737,Physiology,1629,JP,2025-11-28 17:22:10
2005,1307,Cell Biology,1589,JP,2025-11-28 17:22:10
2005,1306,Cancer Research,1577,JP,2025-11-28 17:22:10
2005,2507,Polymers and Plastics,1553,JP,2025-11-28 17:22:10
2005,2734,Pathology and Forensic Medicine,1532,JP,2025-11-28 17:22:10
2005,1705,Computer Networks and Communications,1494,JP,2025-11-28 17:22:10
2005,2745,Rheumatology,1277,JP,2025-11-28 17:22:10
2005,2105,"Renewable Energy, Sustainability and the Environment",1202,JP,2025-11-28 17:22:10
2005,2502,Biomaterials,1199,JP,2025-11-28 17:22:10
2005,2508,"Surfaces, Coatings and Films",1123,JP,2025-11-28 17:22:10
2005,2205,Civil and Structural Engineering,1092,JP,2025-11-28 17:22:10
2005,2736,Pharmacology,1072,JP,2025-11-28 17:22:10
2005,2503,Ceramics and Composites,1071,JP,2025-11-28 17:22:10
2005,1702,Artificial Intelligence,990,JP,2025-11-28 17:22:10
2005,3106,Nuclear and High Energy Physics,984,JP,2025-11-28 17:22:10
2005,3108,Radiation,918,JP,2025-11-28 17:22:10
2005,2728,Neurology,912,JP,2025-11-28 17:22:10
2005,1606,Physical and Theoretical Chemistry,892,JP,2025-11-28 17:22:10
2005,1503,Catalysis,859,JP,2025-11-28 17:22:10
2005,1707,Computer Vision and Pattern Recognition,855,JP,2025-11-28 17:22:10
2005,2712,"Endocrinology, Diabetes and Metabolism",846,JP,2025-11-28 17:22:10
2005,1305,Biotechnology,842,JP,2025-11-28 17:22:10
2005,2721,Hepatology,761,JP,2025-11-28 17:22:10
2005,2715,Gastroenterology,684,JP,2025-11-28 17:22:10
2005,2203,Automotive Engineering,644,JP,2025-11-28 17:22:10
2005,3103,Astronomy and Astrophysics,634,JP,2025-11-28 17:22:10
2005,2720,Hematology,620,JP,2025-11-28 17:22:10
2005,1502,Bioengineering,608,JP,2025-11-28 17:22:10
2005,2916,Nutrition and Dietetics,602,JP,2025-11-28 17:22:10
2005,2716,Genetics,590,JP,2025-11-28 17:22:10
2005,1303,Biochemistry,587,JP,2025-11-28 17:22:10
2005,2739,"Public Health, Environmental and Occupational Health",540,JP,2025-11-28 17:22:10
2005,2805,Cognitive Neuroscience,516,JP,2025-11-28 17:22:10
2005,3004,Pharmacology,515,JP,2025-11-28 17:22:10
2005,2732,Orthopedics and Sports Medicine,510,JP,2025-11-28 17:22:10
2005,2725,Infectious Diseases,494,JP,2025-11-28 17:22:10
2005,3504,Oral Surgery,467,JP,2025-11-28 17:22:10
2005,2212,Ocean Engineering,457,JP,2025-11-28 17:22:10
2005,1902,Atmospheric Science,451,JP,2025-11-28 17:22:10
2005,1304,Biophysics,433,JP,2025-11-28 17:22:10
2005,1703,Computational Theory and Mathematics,432,JP,2025-11-28 17:22:10
2005,2735,"Pediatrics, Perinatology and Child Health",427,JP,2025-11-28 17:22:10
2005,3003,Pharmaceutical Science,423,JP,2025-11-28 17:22:10
2005,2209,Industrial and Manufacturing Engineering,420,JP,2025-11-28 17:22:10
2005,1106,Food Science,412,JP,2025-11-28 17:22:10
2005,2303,Ecology,408,JP,2025-11-28 17:22:10
2005,1507,Fluid Flow and Transfer Processes,403,JP,2025-11-28 17:22:10
2005,2727,Nephrology,403,JP,2025-11-28 17:22:10
2005,1908,Geophysics,394,JP,2025-11-28 17:22:10
