year,id,name,works_count,country,fetch_date
2005,2002,Economics and Econometrics,4,KG,2025-12-01 19:03:35
2005,2308,"Management, Monitoring, Policy and Law",3,KG,2025-12-01 19:03:35
2005,2705,Cardiology and Cardiovascular Medicine,3,KG,2025-12-01 19:03:35
2005,2713,Epidemiology,3,KG,2025-12-01 19:03:35
2005,2740,Pulmonary and Respiratory Medicine,3,KG,2025-12-01 19:03:35
2005,3312,Sociology and Political Science,3,KG,2025-12-01 19:03:35
2005,3320,Political Science and International Relations,3,KG,2025-12-01 19:03:35
2005,1902,Atmospheric Science,2,KG,2025-12-01 19:03:35
2005,1908,Geophysics,2,KG,2025-12-01 19:03:35
2005,2739,"Public Health, Environmental and Occupational Health",2,KG,2025-12-01 19:03:35
2005,1202,History,1,KG,2025-12-01 19:03:35
2005,1311,Genetics,1,KG,2025-12-01 19:03:35
2005,1702,Artificial Intelligence,1,KG,2025-12-01 19:03:35
2005,1710,Information Systems,1,KG,2025-12-01 19:03:35
2005,1803,Management Science and Operations Research,1,KG,2025-12-01 19:03:35
2005,1804,"Statistics, Probability and Uncertainty",1,KG,2025-12-01 19:03:35
2005,2202,Aerospace Engineering,1,KG,2025-12-01 19:03:35
2005,2204,Biomedical Engineering,1,KG,2025-12-01 19:03:35
2005,2210,Mechanical Engineering,1,KG,2025-12-01 19:03:35
2005,2211,Mechanics of Materials,1,KG,2025-12-01 19:03:35
2005,2215,Building and Construction,1,KG,2025-12-01 19:03:35
2005,2306,Global and Planetary Change,1,KG,2025-12-01 19:03:35
2005,2730,Oncology,1,KG,2025-12-01 19:03:35
2005,2734,Pathology and Forensic Medicine,1,KG,2025-12-01 19:03:35
2005,2746,Surgery,1,KG,2025-12-01 19:03:35
2005,2808,Neurology,1,KG,2025-12-01 19:03:35
2005,3107,"Atomic and Molecular Physics, and Optics",1,KG,2025-12-01 19:03:35
2005,3304,Education,1,KG,2025-12-01 19:03:35
2005,3318,Gender Studies,1,KG,2025-12-01 19:03:35
2006,2210,Mechanical Engineering,5,KG,2025-12-01 19:03:35
2006,3312,Sociology and Political Science,4,KG,2025-12-01 19:03:35
2006,3304,Education,3,KG,2025-12-01 19:03:35
2006,3320,Political Science and International Relations,3,KG,2025-12-01 19:03:35
2006,2211,Mechanics of Materials,2,KG,2025-12-01 19:03:35
2006,2308,"Management, Monitoring, Policy and Law",2,KG,2025-12-01 19:03:35
2006,3314,Anthropology,2,KG,2025-12-01 19:03:35
2006,1100,General Agricultural and Biological Sciences,1,KG,2025-12-01 19:03:35
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,KG,2025-12-01 19:03:35
2006,1111,Soil Science,1,KG,2025-12-01 19:03:35
2006,1203,Language and Linguistics,1,KG,2025-12-01 19:03:35
2006,1710,Information Systems,1,KG,2025-12-01 19:03:35
2006,2204,Biomedical Engineering,1,KG,2025-12-01 19:03:35
2006,2208,Electrical and Electronic Engineering,1,KG,2025-12-01 19:03:35
2006,2209,Industrial and Manufacturing Engineering,1,KG,2025-12-01 19:03:35
2006,2212,Ocean Engineering,1,KG,2025-12-01 19:03:35
2006,2213,"Safety, Risk, Reliability and Quality",1,KG,2025-12-01 19:03:35
2006,2612,Numerical Analysis,1,KG,2025-12-01 19:03:35
2006,2713,Epidemiology,1,KG,2025-12-01 19:03:35
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,KG,2025-12-01 19:03:35
2006,2746,Surgery,1,KG,2025-12-01 19:03:35
2006,3107,"Atomic and Molecular Physics, and Optics",1,KG,2025-12-01 19:03:35
2006,3302,Archeology,1,KG,2025-12-01 19:03:35
2006,3315,Communication,1,KG,2025-12-01 19:03:35
2006,3600,General Health Professions,1,KG,2025-12-01 19:03:35
2007,2740,Pulmonary and Respiratory Medicine,6,KG,2025-12-01 19:03:35
2007,3320,Political Science and International Relations,6,KG,2025-12-01 19:03:35
2007,2002,Economics and Econometrics,4,KG,2025-12-01 19:03:35
2007,2308,"Management, Monitoring, Policy and Law",4,KG,2025-12-01 19:03:35
2007,3312,Sociology and Political Science,4,KG,2025-12-01 19:03:35
2007,1311,Genetics,3,KG,2025-12-01 19:03:35
2007,2100,General Energy,2,KG,2025-12-01 19:03:35
2007,2210,Mechanical Engineering,2,KG,2025-12-01 19:03:35
2007,3600,General Health Professions,2,KG,2025-12-01 19:03:35
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,KG,2025-12-01 19:03:35
2007,1111,Soil Science,1,KG,2025-12-01 19:03:35
2007,1405,Management of Technology and Innovation,1,KG,2025-12-01 19:03:35
2007,1408,Strategy and Management,1,KG,2025-12-01 19:03:35
2007,1702,Artificial Intelligence,1,KG,2025-12-01 19:03:35
2007,1902,Atmospheric Science,1,KG,2025-12-01 19:03:35
2007,1908,Geophysics,1,KG,2025-12-01 19:03:35
2007,1910,Oceanography,1,KG,2025-12-01 19:03:35
2007,2003,Finance,1,KG,2025-12-01 19:03:35
2007,2206,Computational Mechanics,1,KG,2025-12-01 19:03:35
2007,2307,"Health, Toxicology and Mutagenesis",1,KG,2025-12-01 19:03:35
2007,2705,Cardiology and Cardiovascular Medicine,1,KG,2025-12-01 19:03:35
2007,2713,Epidemiology,1,KG,2025-12-01 19:03:35
2007,2807,Endocrine and Autonomic Systems,1,KG,2025-12-01 19:03:35
2007,3107,"Atomic and Molecular Physics, and Optics",1,KG,2025-12-01 19:03:35
2007,3203,Clinical Psychology,1,KG,2025-12-01 19:03:35
2007,3205,Experimental and Cognitive Psychology,1,KG,2025-12-01 19:03:35
