subfield_id,subfield_name,title,doi,year,cited_by_count,id
2739,"Public Health, Environmental and Occupational Health",Artemisinin Resistance in <i>Plasmodium falciparum</i> Malaria,https://doi.org/10.1056/nejmoa0808859,2009,3351,https://openalex.org/W2161311583
2739,"Public Health, Environmental and Occupational Health",Spread of Artemisinin Resistance in <i>Plasmodium falciparum</i> Malaria,https://doi.org/10.1056/nejmoa1314981,2014,2094,https://openalex.org/W2171102256
2739,"Public Health, Environmental and Occupational Health",A molecular marker of artemisinin-resistant Plasmodium falciparum malaria,https://doi.org/10.1038/nature12876,2013,2062,https://openalex.org/W2124634096
2739,"Public Health, Environmental and Occupational Health",Dengue: a continuing global threat,https://doi.org/10.1038/nrmicro2460,2010,2003,https://openalex.org/W2042479028
2739,"Public Health, Environmental and Occupational Health",A Review of Malaria Diagnostic Tools: Microscopy and Rapid Diagnostic Test (RDT),https://doi.org/10.4269/ajtmh.2007.77.119,2007,924,https://openalex.org/W2115837962
2739,"Public Health, Environmental and Occupational Health",K13-propeller mutations confer artemisinin resistance in <i>Plasmodium falciparum</i> clinical isolates,https://doi.org/10.1126/science.1260867,2014,700,https://openalex.org/W1993347313
2739,"Public Health, Environmental and Occupational Health",Inequalities in non-communicable diseases and effective responses,https://doi.org/10.1016/s0140-6736(12)61851-0,2013,658,https://openalex.org/W1965340883
2739,"Public Health, Environmental and Occupational Health",Genetic architecture of artemisinin-resistant Plasmodium falciparum,https://doi.org/10.1038/ng.3189,2015,623,https://openalex.org/W1969571661
2739,"Public Health, Environmental and Occupational Health",Novel phenotypic assays for the detection of artemisinin-resistant Plasmodium falciparum malaria in Cambodia: in-vitro and ex-vivo drug-response studies,https://doi.org/10.1016/s1473-3099(13)70252-4,2013,613,https://openalex.org/W2129428401
2739,"Public Health, Environmental and Occupational Health",A molecular mechanism of artemisinin resistance in Plasmodium falciparum malaria,https://doi.org/10.1038/nature14412,2015,587,https://openalex.org/W2035826427
2713,Epidemiology,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in young children in 2015: a systematic review and modelling study",https://doi.org/10.1016/s0140-6736(17)30938-8,2017,2276,https://openalex.org/W2727509207
2713,Epidemiology,Estimating the Global Burden of Endemic Canine Rabies,https://doi.org/10.1371/journal.pntd.0003709,2015,1725,https://openalex.org/W2073034493
2713,Epidemiology,Estimated global mortality associated with the first 12 months of 2009 pandemic influenza A H1N1 virus circulation: a modelling study,https://doi.org/10.1016/s1473-3099(12)70121-4,2012,1346,https://openalex.org/W2068353535
2713,Epidemiology,Global burden of respiratory infections due to seasonal influenza in young children: a systematic review and meta-analysis,https://doi.org/10.1016/s0140-6736(11)61051-9,2011,965,https://openalex.org/W2172283179
2713,Epidemiology,Genetic architecture of artemisinin-resistant Plasmodium falciparum,https://doi.org/10.1038/ng.3189,2015,623,https://openalex.org/W1969571661
2713,Epidemiology,Earlier versus Later Start of Antiretroviral Therapy in HIV-Infected Adults with Tuberculosis,https://doi.org/10.1056/nejmoa1013911,2011,611,https://openalex.org/W2151102304
2713,Epidemiology,A molecular mechanism of artemisinin resistance in Plasmodium falciparum malaria,https://doi.org/10.1038/nature14412,2015,587,https://openalex.org/W2035826427
2713,Epidemiology,Evaluation of Convalescent Plasma for Ebola Virus Disease in Guinea,https://doi.org/10.1056/nejmoa1511812,2016,540,https://openalex.org/W2225294925
