year,id,name,works_count,country,fetch_date
2005,2713,Epidemiology,20,KH,2025-12-03 12:28:39
2005,3312,Sociology and Political Science,18,KH,2025-12-03 12:28:39
2005,1312,Molecular Biology,17,KH,2025-12-03 12:28:39
2005,2725,Infectious Diseases,17,KH,2025-12-03 12:28:39
2005,2746,Surgery,10,KH,2025-12-03 12:28:39
2005,2739,"Public Health, Environmental and Occupational Health",9,KH,2025-12-03 12:28:39
2005,3600,General Health Professions,9,KH,2025-12-03 12:28:39
2005,1110,Plant Science,8,KH,2025-12-03 12:28:39
2005,2406,Virology,6,KH,2025-12-03 12:28:39
2005,2730,Oncology,6,KH,2025-12-03 12:28:39
2005,2303,Ecology,5,KH,2025-12-03 12:28:39
2005,2403,Immunology,5,KH,2025-12-03 12:28:39
2005,2740,Pulmonary and Respiratory Medicine,5,KH,2025-12-03 12:28:39
2005,2304,Environmental Chemistry,4,KH,2025-12-03 12:28:39
2005,2505,Materials Chemistry,4,KH,2025-12-03 12:28:39
2005,2735,"Pediatrics, Perinatology and Child Health",4,KH,2025-12-03 12:28:39
2005,1605,Organic Chemistry,3,KH,2025-12-03 12:28:39
2005,2002,Economics and Econometrics,3,KH,2025-12-03 12:28:39
2005,2405,Parasitology,3,KH,2025-12-03 12:28:39
2005,2737,Physiology,3,KH,2025-12-03 12:28:39
2005,3202,Applied Psychology,3,KH,2025-12-03 12:28:39
2005,3205,Experimental and Cognitive Psychology,3,KH,2025-12-03 12:28:39
2005,3320,Political Science and International Relations,3,KH,2025-12-03 12:28:39
2005,1102,Agronomy and Crop Science,2,KH,2025-12-03 12:28:39
2005,1111,Soil Science,2,KH,2025-12-03 12:28:39
2005,1305,Biotechnology,2,KH,2025-12-03 12:28:39
2005,1406,Marketing,2,KH,2025-12-03 12:28:39
2005,1607,Spectroscopy,2,KH,2025-12-03 12:28:39
2005,2003,Finance,2,KH,2025-12-03 12:28:39
2005,2307,"Health, Toxicology and Mutagenesis",2,KH,2025-12-03 12:28:39
2005,2404,Microbiology,2,KH,2025-12-03 12:28:39
2005,2611,Modeling and Simulation,2,KH,2025-12-03 12:28:39
2005,2729,Obstetrics and Gynecology,2,KH,2025-12-03 12:28:39
2005,2734,Pathology and Forensic Medicine,2,KH,2025-12-03 12:28:39
2005,2741,"Radiology, Nuclear Medicine and Imaging",2,KH,2025-12-03 12:28:39
2005,2742,Rehabilitation,2,KH,2025-12-03 12:28:39
2005,2745,Rheumatology,2,KH,2025-12-03 12:28:39
