subfield_id,subfield_name,title,doi,year,cited_by_count,id
2725,Infectious Diseases,Estimating the Global Burden of Endemic Canine Rabies,https://doi.org/10.1371/journal.pntd.0003709,2015,1715,https://openalex.org/W2073034493
2725,Infectious Diseases,"Identification of a novel plasmid-mediated colistin-resistance gene, mcr-2, in Escherichia coli, Belgium, June 2016",https://doi.org/10.2807/1560-7917.es.2016.21.27.30280,2016,756,https://openalex.org/W2504872050
2725,Infectious Diseases,The Global Burden of Alveolar Echinococcosis,https://doi.org/10.1371/journal.pntd.0000722,2010,505,https://openalex.org/W2168770198
2405,Parasitology,"World Health Organization Estimates of the Global and Regional Disease Burden of 11 Foodborne Parasitic Diseases, 2010: A Data Synthesis",https://doi.org/10.1371/journal.pmed.1001920,2015,736,https://openalex.org/W2188611891
2405,Parasitology,Microsporidia – Emergent Pathogens in the Global Food Chain,https://doi.org/10.1016/j.pt.2015.12.004,2016,309,https://openalex.org/W2277860485
2405,Parasitology,Leptospira infection in rats: A literature review of global prevalence and distribution,https://doi.org/10.1371/journal.pntd.0007499,2019,238,https://openalex.org/W2967643485
1312,Molecular Biology,Association Between Influenza Vaccination and Cardiovascular Outcomes in High-Risk Patients,https://doi.org/10.1001/jama.2013.279206,2013,470,https://openalex.org/W2117026086
1312,Molecular Biology,Role of Cadherins in Cancer—A Review,https://doi.org/10.3390/ijms21207624,2020,321,https://openalex.org/W3093303864
1312,Molecular Biology,Childhood Development and the Microbiome—The Intestinal Microbiota in Maintenance of Health and Development of Disease During Childhood Development,https://doi.org/10.1053/j.gastro.2020.08.065,2020,205,https://openalex.org/W3112611263
2746,Surgery,The Global Burden of Alveolar Echinococcosis,https://doi.org/10.1371/journal.pntd.0000722,2010,505,https://openalex.org/W2168770198
2746,Surgery,A comprehensive review of skull base osteomyelitis: Diagnostic and therapeutic challenges among various presentations,https://doi.org/10.4103/ajns.ajns_90_17,2018,140,https://openalex.org/W2801628732
2746,Surgery,Echinococcosis: diagnosis and diagnostic interpretation in population studies,https://doi.org/10.1016/j.pt.2008.12.008,2009,133,https://openalex.org/W2038229847
2739,"Public Health, Environmental and Occupational Health",Twelve tips for “flipping” the classroom,https://doi.org/10.3109/0142159x.2014.943710,2014,297,https://openalex.org/W2111175285
2739,"Public Health, Environmental and Occupational Health",Sylvatic cycles of arboviruses in non-human primates,https://doi.org/10.1186/s13071-019-3732-0,2019,168,https://openalex.org/W2978524185
2739,"Public Health, Environmental and Occupational Health",Revolutionizing Healthcare: How Telemedicine Is Improving Patient Outcomes and Expanding Access to Care,https://doi.org/10.7759/cureus.63881,2024,119,https://openalex.org/W4400371846
2713,Epidemiology,Estimating the Global Burden of Endemic Canine Rabies,https://doi.org/10.1371/journal.pntd.0003709,2015,1715,https://openalex.org/W2073034493
2713,Epidemiology,Association Between Influenza Vaccination and Cardiovascular Outcomes in High-Risk Patients,https://doi.org/10.1001/jama.2013.279206,2013,470,https://openalex.org/W2117026086
2713,Epidemiology,Newcastle Disease and Other Avian Paramyxoviruses,https://doi.org/10.1007/978-981-16-4554-9_6,2021,155,https://openalex.org/W4206837623
2303,Ecology,Mycoplasma bovis in Respiratory Disease of Feedlot Cattle,https://doi.org/10.1016/j.cvfa.2010.03.003,2010,142,https://openalex.org/W2024122964
2303,Ecology,<i>Strongyloides</i>spp. infections of veterinary importance,https://doi.org/10.1017/s0031182016001116,2016,141,https://openalex.org/W2469237819
2303,Ecology,The global burden of foodborne parasitic diseases: an update,https://doi.org/10.1016/j.pt.2013.11.002,2013,125,https://openalex.org/W2144256406
1311,Genetics,Comparison of stress exhibited by cats examined in a clinic versus a home setting,https://doi.org/10.1016/j.applanim.2014.10.005,2014,96,https://openalex.org/W1966664885
1311,Genetics,"LUMBOSACRAL TRANSITIONAL VERTEBRAE IN DOGS: CLASSIFICATION, PREVALENCE, AND ASSOCIATION WITH SACROILIAC MORPHOLOGY",https://doi.org/10.1111/j.1740-8261.2005.00102.x,2005,82,https://openalex.org/W2133832043
1311,Genetics,The economic cost of metritis in dairy herds,https://doi.org/10.3168/jds.2020-19125,2021,77,https://openalex.org/W3120331553
3404,Small Animals,<i>Strongyloides</i>spp. infections of veterinary importance,https://doi.org/10.1017/s0031182016001116,2016,141,https://openalex.org/W2469237819
3404,Small Animals,Towards the implementation of the “basket of options” approach to helminth parasite control of livestock: Emphasis on the tropics/subtropics,https://doi.org/10.1016/j.vetpar.2006.04.018,2006,105,https://openalex.org/W2149581869
3404,Small Animals,Comparison of stress exhibited by cats examined in a clinic versus a home setting,https://doi.org/10.1016/j.applanim.2014.10.005,2014,96,https://openalex.org/W1966664885
2740,Pulmonary and Respiratory Medicine,Obstructive sleep apnea and arrhythmia: A systemic review,https://doi.org/10.1016/j.ijcard.2016.11.137,2016,120,https://openalex.org/W2550638873
2740,Pulmonary and Respiratory Medicine,"Respiratory Syncytial Virus: A Comprehensive Review of Transmission, Pathophysiology, and Manifestation",https://doi.org/10.7759/cureus.36342,2023,117,https://openalex.org/W4327861180
2740,Pulmonary and Respiratory Medicine,Prognostic Factors for Survival in Patients with Epithelioid Sarcoma: 441 Cases from the SEER Database,https://doi.org/10.1007/s11999-009-0749-2,2009,110,https://openalex.org/W1988051451
