year,id,name,works_count,country,fetch_date
2005,1607,Spectroscopy,2,KP,2025-12-01 19:11:59
2005,1702,Artificial Intelligence,2,KP,2025-12-01 19:11:59
2005,2505,Materials Chemistry,2,KP,2025-12-01 19:11:59
2005,1307,Cell Biology,1,KP,2025-12-01 19:11:59
2005,1605,Organic Chemistry,1,KP,2025-12-01 19:11:59
2005,1703,Computational Theory and Mathematics,1,KP,2025-12-01 19:11:59
2005,1803,Management Science and Operations Research,1,KP,2025-12-01 19:11:59
2005,2206,Computational Mechanics,1,KP,2025-12-01 19:11:59
2005,2207,Control and Systems Engineering,1,KP,2025-12-01 19:11:59
2005,2208,Electrical and Electronic Engineering,1,KP,2025-12-01 19:11:59
2005,2210,Mechanical Engineering,1,KP,2025-12-01 19:11:59
2005,2730,Oncology,1,KP,2025-12-01 19:11:59
2005,2736,Pharmacology,1,KP,2025-12-01 19:11:59
2005,2737,Physiology,1,KP,2025-12-01 19:11:59
2006,1312,Molecular Biology,5,KP,2025-12-01 19:11:59
2006,1604,Inorganic Chemistry,2,KP,2025-12-01 19:11:59
2006,1607,Spectroscopy,2,KP,2025-12-01 19:11:59
2006,1305,Biotechnology,1,KP,2025-12-01 19:11:59
2006,1311,Genetics,1,KP,2025-12-01 19:11:59
2006,1605,Organic Chemistry,1,KP,2025-12-01 19:11:59
2006,1606,Physical and Theoretical Chemistry,1,KP,2025-12-01 19:11:59
2006,1907,Geology,1,KP,2025-12-01 19:11:59
2006,1908,Geophysics,1,KP,2025-12-01 19:11:59
2006,2202,Aerospace Engineering,1,KP,2025-12-01 19:11:59
2006,2210,Mechanical Engineering,1,KP,2025-12-01 19:11:59
2006,2500,General Materials Science,1,KP,2025-12-01 19:11:59
2006,2504,"Electronic, Optical and Magnetic Materials",1,KP,2025-12-01 19:11:59
2006,2505,Materials Chemistry,1,KP,2025-12-01 19:11:59
2006,2507,Polymers and Plastics,1,KP,2025-12-01 19:11:59
2006,2730,Oncology,1,KP,2025-12-01 19:11:59
2006,2737,Physiology,1,KP,2025-12-01 19:11:59
2007,1312,Molecular Biology,4,KP,2025-12-01 19:11:59
2007,1605,Organic Chemistry,3,KP,2025-12-01 19:11:59
2007,2505,Materials Chemistry,3,KP,2025-12-01 19:11:59
2007,1607,Spectroscopy,2,KP,2025-12-01 19:11:59
2007,1702,Artificial Intelligence,2,KP,2025-12-01 19:11:59
2007,1908,Geophysics,2,KP,2025-12-01 19:11:59
2007,2204,Biomedical Engineering,2,KP,2025-12-01 19:11:59
2007,1110,Plant Science,1,KP,2025-12-01 19:11:59
2007,1305,Biotechnology,1,KP,2025-12-01 19:11:59
2007,1306,Cancer Research,1,KP,2025-12-01 19:11:59
2007,2207,Control and Systems Engineering,1,KP,2025-12-01 19:11:59
2007,2208,Electrical and Electronic Engineering,1,KP,2025-12-01 19:11:59
2007,2304,Environmental Chemistry,1,KP,2025-12-01 19:11:59
2007,2504,"Electronic, Optical and Magnetic Materials",1,KP,2025-12-01 19:11:59
