year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,7543,KR,2025-11-28 17:23:32
2005,1312,Molecular Biology,4566,KR,2025-11-28 17:23:32
2005,2505,Materials Chemistry,4202,KR,2025-11-28 17:23:32
2005,2204,Biomedical Engineering,3366,KR,2025-11-28 17:23:32
2005,1705,Computer Networks and Communications,2849,KR,2025-11-28 17:23:32
2005,2210,Mechanical Engineering,2711,KR,2025-11-28 17:23:32
2005,2746,Surgery,2619,KR,2025-11-28 17:23:32
2005,3107,"Atomic and Molecular Physics, and Optics",1517,KR,2025-11-28 17:23:32
2005,2740,Pulmonary and Respiratory Medicine,1483,KR,2025-11-28 17:23:32
2005,2713,Epidemiology,1340,KR,2025-11-28 17:23:32
2005,2730,Oncology,1219,KR,2025-11-28 17:23:32
2005,2504,"Electronic, Optical and Magnetic Materials",1137,KR,2025-11-28 17:23:32
2005,2211,Mechanics of Materials,1057,KR,2025-11-28 17:23:32
2005,2202,Aerospace Engineering,917,KR,2025-11-28 17:23:32
2005,2207,Control and Systems Engineering,741,KR,2025-11-28 17:23:32
2005,2507,Polymers and Plastics,681,KR,2025-11-28 17:23:32
2005,1605,Organic Chemistry,612,KR,2025-11-28 17:23:32
2005,1702,Artificial Intelligence,556,KR,2025-11-28 17:23:32
2005,2206,Computational Mechanics,549,KR,2025-11-28 17:23:32
2005,2734,Pathology and Forensic Medicine,540,KR,2025-11-28 17:23:32
2005,2705,Cardiology and Cardiovascular Medicine,503,KR,2025-11-28 17:23:32
2005,2741,"Radiology, Nuclear Medicine and Imaging",498,KR,2025-11-28 17:23:32
2005,1311,Genetics,469,KR,2025-11-28 17:23:32
2005,1110,Plant Science,462,KR,2025-11-28 17:23:32
2005,2737,Physiology,455,KR,2025-11-28 17:23:32
2005,3104,Condensed Matter Physics,433,KR,2025-11-28 17:23:32
2005,1708,Hardware and Architecture,425,KR,2025-11-28 17:23:32
2005,1306,Cancer Research,413,KR,2025-11-28 17:23:32
2005,2403,Immunology,401,KR,2025-11-28 17:23:32
2005,1707,Computer Vision and Pattern Recognition,396,KR,2025-11-28 17:23:32
2005,2205,Civil and Structural Engineering,383,KR,2025-11-28 17:23:32
2005,1710,Information Systems,382,KR,2025-11-28 17:23:32
2005,2502,Biomaterials,375,KR,2025-11-28 17:23:32
2005,2105,"Renewable Energy, Sustainability and the Environment",369,KR,2025-11-28 17:23:32
2005,2804,Cellular and Molecular Neuroscience,325,KR,2025-11-28 17:23:32
2005,2736,Pharmacology,311,KR,2025-11-28 17:23:32
2005,1307,Cell Biology,303,KR,2025-11-28 17:23:32
2005,1604,Inorganic Chemistry,292,KR,2025-11-28 17:23:32
2005,2745,Rheumatology,291,KR,2025-11-28 17:23:32
2005,1711,Signal Processing,287,KR,2025-11-28 17:23:32
2005,1607,Spectroscopy,286,KR,2025-11-28 17:23:32
2005,2503,Ceramics and Composites,284,KR,2025-11-28 17:23:32
2005,2725,Infectious Diseases,259,KR,2025-11-28 17:23:32
2005,2508,"Surfaces, Coatings and Films",252,KR,2025-11-28 17:23:32
2005,2712,"Endocrinology, Diabetes and Metabolism",243,KR,2025-11-28 17:23:32
2005,2721,Hepatology,242,KR,2025-11-28 17:23:32
2005,2728,Neurology,235,KR,2025-11-28 17:23:32
2005,2203,Automotive Engineering,223,KR,2025-11-28 17:23:32
2005,1502,Bioengineering,205,KR,2025-11-28 17:23:32
2005,2739,"Public Health, Environmental and Occupational Health",191,KR,2025-11-28 17:23:32
2005,1305,Biotechnology,183,KR,2025-11-28 17:23:32
