subfield_id,subfield_name,title,doi,year,cited_by_count,id
2210,Mechanical Engineering,Recent advances in the science and technology of ultra low sulfur diesel (ULSD) production,https://doi.org/10.1016/j.cattod.2010.05.011,2010,1216,https://openalex.org/W2153854318
2210,Mechanical Engineering,A comprehensive review of natural fibers and their composites: An eco-friendly alternative to conventional materials,https://doi.org/10.1016/j.rineng.2023.101271,2023,673,https://openalex.org/W4382794017
2210,Mechanical Engineering,"Production, characterization and performance of biodiesel as an alternative fuel in diesel engines – A review",https://doi.org/10.1016/j.rser.2017.01.001,2017,614,https://openalex.org/W2579178478
2208,Electrical and Electronic Engineering,A survey of millimeter wave communications (mmWave) for 5G: opportunities and challenges,https://doi.org/10.1007/s11276-015-0942-z,2015,1286,https://openalex.org/W1984114931
2208,Electrical and Electronic Engineering,Simulated Annealing algorithm for photovoltaic parameters identification,https://doi.org/10.1016/j.solener.2011.09.032,2011,541,https://openalex.org/W2024808031
2208,Electrical and Electronic Engineering,"Home M2M networks: Architectures, standards, and QoS improvement",https://doi.org/10.1109/mcom.2011.5741145,2011,428,https://openalex.org/W1968676143
2746,Surgery,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
2746,Surgery,Role of nitric oxide in inflammatory diseases,https://doi.org/10.1007/s10787-007-0013-x,2007,1320,https://openalex.org/W1970723735
2746,Surgery,Bariatric Surgery Worldwide: Baseline Demographic Description and One-Year Outcomes from the Fourth IFSO Global Registry Report 2018,https://doi.org/10.1007/s11695-018-3593-1,2018,782,https://openalex.org/W4246381819
2204,Biomedical Engineering,A review on thermal and catalytic pyrolysis of plastic solid waste (PSW),https://doi.org/10.1016/j.jenvman.2017.03.084,2017,1079,https://openalex.org/W2604230620
2204,Biomedical Engineering,"Production, characterization and performance of biodiesel as an alternative fuel in diesel engines – A review",https://doi.org/10.1016/j.rser.2017.01.001,2017,614,https://openalex.org/W2579178478
2204,Biomedical Engineering,"Density, viscosity, and surface tension of water+ethanol mixtures from 293 to 323K",https://doi.org/10.1007/s11814-011-0239-6,2012,490,https://openalex.org/W2019984259
2212,Ocean Engineering,Terminal sliding mode control for the trajectory tracking of underactuated Autonomous Underwater Vehicles,https://doi.org/10.1016/j.oceaneng.2016.10.032,2016,288,https://openalex.org/W2548260618
2212,Ocean Engineering,Trajectory tracking sliding mode control of underactuated AUVs,https://doi.org/10.1007/s11071-015-2551-x,2015,257,https://openalex.org/W2214731807
2212,Ocean Engineering,Analysis of EOR projects and updated screening criteria,https://doi.org/10.1016/j.petrol.2011.07.005,2011,245,https://openalex.org/W2006649863
1312,Molecular Biology,"A reference panel of 64,976 haplotypes for genotype imputation",https://doi.org/10.1038/ng.3643,2016,3116,https://openalex.org/W2511515754
1312,Molecular Biology,Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps,https://doi.org/10.1038/s41588-018-0241-6,2018,1823,https://openalex.org/W2894662039
1312,Molecular Biology,Dietary carbohydrate restriction as the first approach in diabetes management: Critical review and evidence base,https://doi.org/10.1016/j.nut.2014.06.011,2014,886,https://openalex.org/W2115575518
2713,Epidemiology,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
2713,Epidemiology,Primary Immunodeficiency Diseases: an Update on the Classification from the International Union of Immunological Societies Expert Committee for Primary Immunodeficiency 2015,https://doi.org/10.1007/s10875-015-0201-1,2015,1188,https://openalex.org/W2117403402
2713,Epidemiology,Primary Immunodeficiency Diseases: An Update on the Classification from the International Union of Immunological Societies Expert Committee for Primary Immunodeficiency,https://doi.org/10.3389/fimmu.2014.00162,2014,749,https://openalex.org/W2131200545
2740,Pulmonary and Respiratory Medicine,"International ERS/ATS guidelines on definition, evaluation and treatment of severe asthma",https://doi.org/10.1183/09031936.00202013,2013,3726,https://openalex.org/W2098276532
2740,Pulmonary and Respiratory Medicine,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societies Expert Committee,https://doi.org/10.1007/s10875-019-00737-x,2020,1193,https://openalex.org/W3000301584
2740,Pulmonary and Respiratory Medicine,International Union of Immunological Societies: 2017 Primary Immunodeficiency Diseases Committee Report on Inborn Errors of Immunity,https://doi.org/10.1007/s10875-017-0464-9,2017,766,https://openalex.org/W2774787224
1702,Artificial Intelligence,A survey on trust management for Internet of Things,https://doi.org/10.1016/j.jnca.2014.01.014,2014,1110,https://openalex.org/W2074709832
1702,Artificial Intelligence,Security in cloud computing: Opportunities and challenges,https://doi.org/10.1016/j.ins.2015.01.025,2015,806,https://openalex.org/W2104348420
1702,Artificial Intelligence,Global-best harmony search,https://doi.org/10.1016/j.amc.2007.09.004,2007,754,https://openalex.org/W2130343325
2505,Materials Chemistry,The effect of surface charge on photocatalytic degradation of methylene blue dye using chargeable titania nanoparticles,https://doi.org/10.1038/s41598-018-25673-5,2018,557,https://openalex.org/W2807140203
2505,Materials Chemistry,Potential applications of geopolymer concrete in construction: A review,https://doi.org/10.1016/j.cscm.2021.e00733,2021,424,https://openalex.org/W3206392624
2505,Materials Chemistry,Photodynamic Therapy: Current Status and Future Directions,https://doi.org/10.1159/000362416,2014,400,https://openalex.org/W2005621531
