year,id,name,works_count,country,fetch_date
2005,2210,Mechanical Engineering,91,KW,2025-12-03 12:22:34
2005,2212,Ocean Engineering,87,KW,2025-12-03 12:22:34
2005,1312,Molecular Biology,74,KW,2025-12-03 12:22:34
2005,2740,Pulmonary and Respiratory Medicine,61,KW,2025-12-03 12:22:34
2005,2746,Surgery,58,KW,2025-12-03 12:22:34
2005,2713,Epidemiology,49,KW,2025-12-03 12:22:34
2005,2204,Biomedical Engineering,45,KW,2025-12-03 12:22:34
2005,2208,Electrical and Electronic Engineering,38,KW,2025-12-03 12:22:34
2005,1702,Artificial Intelligence,31,KW,2025-12-03 12:22:34
2005,2505,Materials Chemistry,29,KW,2025-12-03 12:22:34
2005,2725,Infectious Diseases,21,KW,2025-12-03 12:22:34
2005,1602,Analytical Chemistry,20,KW,2025-12-03 12:22:34
2005,1605,Organic Chemistry,20,KW,2025-12-03 12:22:34
2005,2206,Computational Mechanics,19,KW,2025-12-03 12:22:34
2005,2211,Mechanics of Materials,18,KW,2025-12-03 12:22:34
2005,2730,Oncology,14,KW,2025-12-03 12:22:34
2005,2737,Physiology,13,KW,2025-12-03 12:22:34
2005,1507,Fluid Flow and Transfer Processes,12,KW,2025-12-03 12:22:34
2005,1311,Genetics,11,KW,2025-12-03 12:22:34
2005,2207,Control and Systems Engineering,11,KW,2025-12-03 12:22:34
2005,2739,"Public Health, Environmental and Occupational Health",11,KW,2025-12-03 12:22:34
2005,1705,Computer Networks and Communications,10,KW,2025-12-03 12:22:34
2005,2403,Immunology,10,KW,2025-12-03 12:22:34
2005,2705,Cardiology and Cardiovascular Medicine,10,KW,2025-12-03 12:22:34
2005,2734,Pathology and Forensic Medicine,10,KW,2025-12-03 12:22:34
2005,2745,Rheumatology,10,KW,2025-12-03 12:22:34
2005,1908,Geophysics,9,KW,2025-12-03 12:22:34
2005,2202,Aerospace Engineering,9,KW,2025-12-03 12:22:34
2005,2305,Environmental Engineering,9,KW,2025-12-03 12:22:34
2005,2712,"Endocrinology, Diabetes and Metabolism",9,KW,2025-12-03 12:22:34
2005,2728,Neurology,9,KW,2025-12-03 12:22:34
2005,2105,"Renewable Energy, Sustainability and the Environment",8,KW,2025-12-03 12:22:34
2005,2735,"Pediatrics, Perinatology and Child Health",8,KW,2025-12-03 12:22:34
2005,2741,"Radiology, Nuclear Medicine and Imaging",8,KW,2025-12-03 12:22:34
2005,1308,Clinical Biochemistry,7,KW,2025-12-03 12:22:34
2005,1703,Computational Theory and Mathematics,7,KW,2025-12-03 12:22:34
2005,2312,Water Science and Technology,7,KW,2025-12-03 12:22:34
2005,2711,Emergency Medicine,7,KW,2025-12-03 12:22:34
2005,1708,Hardware and Architecture,6,KW,2025-12-03 12:22:34
2005,2205,Civil and Structural Engineering,6,KW,2025-12-03 12:22:34
2005,2748,Urology,6,KW,2025-12-03 12:22:34
2005,2804,Cellular and Molecular Neuroscience,6,KW,2025-12-03 12:22:34
2005,3504,Oral Surgery,6,KW,2025-12-03 12:22:34
2005,1303,Biochemistry,5,KW,2025-12-03 12:22:34
2005,1307,Cell Biology,5,KW,2025-12-03 12:22:34
2005,2613,Statistics and Probability,5,KW,2025-12-03 12:22:34
2005,2716,Genetics,5,KW,2025-12-03 12:22:34
2005,2720,Hematology,5,KW,2025-12-03 12:22:34
2005,1604,Inorganic Chemistry,4,KW,2025-12-03 12:22:34
2005,1607,Spectroscopy,4,KW,2025-12-03 12:22:34
2005,1707,Computer Vision and Pattern Recognition,4,KW,2025-12-03 12:22:34
2005,1904,Earth-Surface Processes,4,KW,2025-12-03 12:22:34
2005,2003,Finance,4,KW,2025-12-03 12:22:34
2005,2215,Building and Construction,4,KW,2025-12-03 12:22:34
2005,2504,"Electronic, Optical and Magnetic Materials",4,KW,2025-12-03 12:22:34
2005,2507,Polymers and Plastics,4,KW,2025-12-03 12:22:34
2005,2715,Gastroenterology,4,KW,2025-12-03 12:22:34
2005,2721,Hepatology,4,KW,2025-12-03 12:22:34
2005,2731,Ophthalmology,4,KW,2025-12-03 12:22:34
2005,2743,Reproductive Medicine,4,KW,2025-12-03 12:22:34
2005,3107,"Atomic and Molecular Physics, and Optics",4,KW,2025-12-03 12:22:34
2005,3404,Small Animals,4,KW,2025-12-03 12:22:34
2005,3505,Orthodontics,4,KW,2025-12-03 12:22:34
2005,1306,Cancer Research,3,KW,2025-12-03 12:22:34
2005,1802,Information Systems and Management,3,KW,2025-12-03 12:22:34
2005,1803,Management Science and Operations Research,3,KW,2025-12-03 12:22:34
2005,2307,"Health, Toxicology and Mutagenesis",3,KW,2025-12-03 12:22:34
2005,2604,Applied Mathematics,3,KW,2025-12-03 12:22:34
2005,2726,Microbiology,3,KW,2025-12-03 12:22:34
2005,2732,Orthopedics and Sports Medicine,3,KW,2025-12-03 12:22:34
2005,2736,Pharmacology,3,KW,2025-12-03 12:22:34
2005,2807,Endocrine and Autonomic Systems,3,KW,2025-12-03 12:22:34
2005,2916,Nutrition and Dietetics,3,KW,2025-12-03 12:22:34
2005,3004,Pharmacology,3,KW,2025-12-03 12:22:34
2005,1106,Food Science,2,KW,2025-12-03 12:22:34
2005,1502,Bioengineering,2,KW,2025-12-03 12:22:34
2005,1503,Catalysis,2,KW,2025-12-03 12:22:34
2005,1506,Filtration and Separation,2,KW,2025-12-03 12:22:34
2005,1606,Physical and Theoretical Chemistry,2,KW,2025-12-03 12:22:34
2005,2102,Energy Engineering and Power Technology,2,KW,2025-12-03 12:22:34
2005,2203,Automotive Engineering,2,KW,2025-12-03 12:22:34
2005,2213,"Safety, Risk, Reliability and Quality",2,KW,2025-12-03 12:22:34
2005,2311,Industrial and Manufacturing Engineering,2,KW,2025-12-03 12:22:34
2005,2402,Applied Microbiology and Biotechnology,2,KW,2025-12-03 12:22:34
2005,2405,Parasitology,2,KW,2025-12-03 12:22:34
2005,2502,Biomaterials,2,KW,2025-12-03 12:22:34
2005,2506,Metals and Alloys,2,KW,2025-12-03 12:22:34
2005,2608,Geometry and Topology,2,KW,2025-12-03 12:22:34
2005,2612,Numerical Analysis,2,KW,2025-12-03 12:22:34
2005,2703,Anesthesiology and Pain Medicine,2,KW,2025-12-03 12:22:34
2005,2707,Complementary and alternative medicine,2,KW,2025-12-03 12:22:34
2005,2708,Dermatology,2,KW,2025-12-03 12:22:34
2005,2724,Internal Medicine,2,KW,2025-12-03 12:22:34
2005,2738,Psychiatry and Mental health,2,KW,2025-12-03 12:22:34
2005,2747,Transplantation,2,KW,2025-12-03 12:22:34
2005,2809,Sensory Systems,2,KW,2025-12-03 12:22:34
2005,3003,Pharmaceutical Science,2,KW,2025-12-03 12:22:34
2005,3103,Astronomy and Astrophysics,2,KW,2025-12-03 12:22:34
2005,3106,Nuclear and High Energy Physics,2,KW,2025-12-03 12:22:34
2005,3312,Sociology and Political Science,2,KW,2025-12-03 12:22:34
2005,3315,Communication,2,KW,2025-12-03 12:22:34
2005,3506,Periodontics,2,KW,2025-12-03 12:22:34
2005,3604,Emergency Medical Services,2,KW,2025-12-03 12:22:34
2005,3616,Speech and Hearing,2,KW,2025-12-03 12:22:34
2005,1110,Plant Science,1,KW,2025-12-03 12:22:34
2005,1304,Biophysics,1,KW,2025-12-03 12:22:34
2005,1313,Molecular Medicine,1,KW,2025-12-03 12:22:34
2005,1405,Management of Technology and Innovation,1,KW,2025-12-03 12:22:34
2005,1407,Organizational Behavior and Human Resource Management,1,KW,2025-12-03 12:22:34
2005,1508,Process Chemistry and Technology,1,KW,2025-12-03 12:22:34
2005,1603,Electrochemistry,1,KW,2025-12-03 12:22:34
2005,1710,Information Systems,1,KW,2025-12-03 12:22:34
2005,1711,Signal Processing,1,KW,2025-12-03 12:22:34
2005,1804,"Statistics, Probability and Uncertainty",1,KW,2025-12-03 12:22:34
