year,id,name,works_count,country,fetch_date
2005,2303,Ecology,2,KY,2025-12-03 12:49:38
2005,2306,Global and Planetary Change,2,KY,2025-12-03 12:49:38
2005,2309,Nature and Landscape Conservation,2,KY,2025-12-03 12:49:38
2005,2740,Pulmonary and Respiratory Medicine,2,KY,2025-12-03 12:49:38
2005,2746,Surgery,2,KY,2025-12-03 12:49:38
2005,2703,Anesthesiology and Pain Medicine,1,KY,2025-12-03 12:49:38
2005,2705,Cardiology and Cardiovascular Medicine,1,KY,2025-12-03 12:49:38
2006,2303,Ecology,1,KY,2025-12-03 12:49:38
2006,2309,Nature and Landscape Conservation,1,KY,2025-12-03 12:49:38
2007,2309,Nature and Landscape Conservation,2,KY,2025-12-03 12:49:38
2007,2713,Epidemiology,2,KY,2025-12-03 12:49:38
2007,2725,Infectious Diseases,2,KY,2025-12-03 12:49:38
2007,1307,Cell Biology,1,KY,2025-12-03 12:49:38
2007,1312,Molecular Biology,1,KY,2025-12-03 12:49:38
2007,2204,Biomedical Engineering,1,KY,2025-12-03 12:49:38
2007,2306,Global and Planetary Change,1,KY,2025-12-03 12:49:38
2007,2706,Critical Care and Intensive Care Medicine,1,KY,2025-12-03 12:49:38
2007,2708,Dermatology,1,KY,2025-12-03 12:49:38
2007,2739,"Public Health, Environmental and Occupational Health",1,KY,2025-12-03 12:49:38
2007,2746,Surgery,1,KY,2025-12-03 12:49:38
2008,1312,Molecular Biology,6,KY,2025-12-03 12:49:38
2008,2303,Ecology,2,KY,2025-12-03 12:49:38
2008,2309,Nature and Landscape Conservation,2,KY,2025-12-03 12:49:38
2008,2739,"Public Health, Environmental and Occupational Health",2,KY,2025-12-03 12:49:38
2008,1103,Animal Science and Zoology,1,KY,2025-12-03 12:49:38
2008,1104,Aquatic Science,1,KY,2025-12-03 12:49:38
2008,1910,Oceanography,1,KY,2025-12-03 12:49:38
2008,2306,Global and Planetary Change,1,KY,2025-12-03 12:49:38
2008,2505,Materials Chemistry,1,KY,2025-12-03 12:49:38
2008,2613,Statistics and Probability,1,KY,2025-12-03 12:49:38
2008,2705,Cardiology and Cardiovascular Medicine,1,KY,2025-12-03 12:49:38
2008,2711,Emergency Medicine,1,KY,2025-12-03 12:49:38
2008,2712,"Endocrinology, Diabetes and Metabolism",1,KY,2025-12-03 12:49:38
2008,2735,"Pediatrics, Perinatology and Child Health",1,KY,2025-12-03 12:49:38
2008,2740,Pulmonary and Respiratory Medicine,1,KY,2025-12-03 12:49:38
2008,2746,Surgery,1,KY,2025-12-03 12:49:38
2008,3004,Pharmacology,1,KY,2025-12-03 12:49:38
2009,2746,Surgery,7,KY,2025-12-03 12:49:38
2009,2741,"Radiology, Nuclear Medicine and Imaging",4,KY,2025-12-03 12:49:38
2009,2713,Epidemiology,3,KY,2025-12-03 12:49:38
2009,2740,Pulmonary and Respiratory Medicine,3,KY,2025-12-03 12:49:38
2009,1312,Molecular Biology,2,KY,2025-12-03 12:49:38
2009,2306,Global and Planetary Change,2,KY,2025-12-03 12:49:38
2009,2309,Nature and Landscape Conservation,2,KY,2025-12-03 12:49:38
2009,2730,Oncology,2,KY,2025-12-03 12:49:38
2009,1105,"Ecology, Evolution, Behavior and Systematics",1,KY,2025-12-03 12:49:38
2009,1111,Soil Science,1,KY,2025-12-03 12:49:38
2009,1303,Biochemistry,1,KY,2025-12-03 12:49:38
2009,1702,Artificial Intelligence,1,KY,2025-12-03 12:49:38
