year,id,name,works_count,country,fetch_date
2005,2505,Materials Chemistry,37,KZ,2025-12-03 12:18:26
2005,2208,Electrical and Electronic Engineering,21,KZ,2025-12-03 12:18:26
2005,2002,Economics and Econometrics,18,KZ,2025-12-03 12:18:26
2005,2210,Mechanical Engineering,18,KZ,2025-12-03 12:18:26
2005,2204,Biomedical Engineering,17,KZ,2025-12-03 12:18:26
2005,3320,Political Science and International Relations,13,KZ,2025-12-03 12:18:26
2005,2202,Aerospace Engineering,9,KZ,2025-12-03 12:18:26
2005,3107,"Atomic and Molecular Physics, and Optics",9,KZ,2025-12-03 12:18:26
2005,2211,Mechanics of Materials,8,KZ,2025-12-03 12:18:26
2005,1604,Inorganic Chemistry,6,KZ,2025-12-03 12:18:26
2005,2003,Finance,6,KZ,2025-12-03 12:18:26
2005,2213,"Safety, Risk, Reliability and Quality",6,KZ,2025-12-03 12:18:26
2005,3304,Education,6,KZ,2025-12-03 12:18:26
2005,3312,Sociology and Political Science,6,KZ,2025-12-03 12:18:26
2005,1402,Accounting,5,KZ,2025-12-03 12:18:26
2005,1605,Organic Chemistry,5,KZ,2025-12-03 12:18:26
2005,1710,Information Systems,5,KZ,2025-12-03 12:18:26
2005,2507,Polymers and Plastics,5,KZ,2025-12-03 12:18:26
2005,2000,"General Economics, Econometrics and Finance",4,KZ,2025-12-03 12:18:26
2005,2504,"Electronic, Optical and Magnetic Materials",4,KZ,2025-12-03 12:18:26
2005,1606,Physical and Theoretical Chemistry,3,KZ,2025-12-03 12:18:26
2005,1908,Geophysics,3,KZ,2025-12-03 12:18:26
2005,2206,Computational Mechanics,3,KZ,2025-12-03 12:18:26
2005,2209,Industrial and Manufacturing Engineering,3,KZ,2025-12-03 12:18:26
2005,2212,Ocean Engineering,3,KZ,2025-12-03 12:18:26
2005,2503,Ceramics and Composites,3,KZ,2025-12-03 12:18:26
2005,3207,Social Psychology,3,KZ,2025-12-03 12:18:26
2005,1212,Religious studies,2,KZ,2025-12-03 12:18:26
