year,id,name,works_count,country,fetch_date
2005,2746,Surgery,101,LB,2025-12-01 18:54:48
2005,2208,Electrical and Electronic Engineering,87,LB,2025-12-01 18:54:48
2005,2740,Pulmonary and Respiratory Medicine,70,LB,2025-12-01 18:54:48
2005,1312,Molecular Biology,66,LB,2025-12-01 18:54:48
2005,1705,Computer Networks and Communications,59,LB,2025-12-01 18:54:48
2005,3312,Sociology and Political Science,58,LB,2025-12-01 18:54:48
2005,2713,Epidemiology,46,LB,2025-12-01 18:54:48
2005,2002,Economics and Econometrics,42,LB,2025-12-01 18:54:48
2005,2739,"Public Health, Environmental and Occupational Health",38,LB,2025-12-01 18:54:48
2005,1702,Artificial Intelligence,26,LB,2025-12-01 18:54:48
2005,2204,Biomedical Engineering,26,LB,2025-12-01 18:54:48
2005,2730,Oncology,24,LB,2025-12-01 18:54:48
2005,2705,Cardiology and Cardiovascular Medicine,22,LB,2025-12-01 18:54:48
2005,2737,Physiology,21,LB,2025-12-01 18:54:48
2005,2735,"Pediatrics, Perinatology and Child Health",19,LB,2025-12-01 18:54:48
2005,1311,Genetics,18,LB,2025-12-01 18:54:48
2005,2741,"Radiology, Nuclear Medicine and Imaging",17,LB,2025-12-01 18:54:48
2005,2745,Rheumatology,17,LB,2025-12-01 18:54:48
2005,3320,Political Science and International Relations,15,LB,2025-12-01 18:54:48
2005,1710,Information Systems,14,LB,2025-12-01 18:54:48
2005,2505,Materials Chemistry,14,LB,2025-12-01 18:54:48
2005,2703,Anesthesiology and Pain Medicine,14,LB,2025-12-01 18:54:48
2005,3600,General Health Professions,13,LB,2025-12-01 18:54:48
2005,2207,Control and Systems Engineering,12,LB,2025-12-01 18:54:48
2005,2734,Pathology and Forensic Medicine,12,LB,2025-12-01 18:54:48
2005,1110,Plant Science,10,LB,2025-12-01 18:54:48
2005,1708,Hardware and Architecture,10,LB,2025-12-01 18:54:48
2005,1711,Signal Processing,10,LB,2025-12-01 18:54:48
2005,2000,"General Economics, Econometrics and Finance",10,LB,2025-12-01 18:54:48
2005,2728,Neurology,10,LB,2025-12-01 18:54:48
2005,1707,Computer Vision and Pattern Recognition,8,LB,2025-12-01 18:54:48
2005,2403,Immunology,8,LB,2025-12-01 18:54:48
2005,2708,Dermatology,8,LB,2025-12-01 18:54:48
2005,2712,"Endocrinology, Diabetes and Metabolism",8,LB,2025-12-01 18:54:48
2005,2716,Genetics,8,LB,2025-12-01 18:54:48
2005,2720,Hematology,8,LB,2025-12-01 18:54:48
2005,1106,Food Science,7,LB,2025-12-01 18:54:48
2005,1204,Archeology,7,LB,2025-12-01 18:54:48
2005,2003,Finance,7,LB,2025-12-01 18:54:48
2005,2711,Emergency Medicine,7,LB,2025-12-01 18:54:48
2005,2715,Gastroenterology,7,LB,2025-12-01 18:54:48
2005,2916,Nutrition and Dietetics,7,LB,2025-12-01 18:54:48
2005,3107,"Atomic and Molecular Physics, and Optics",7,LB,2025-12-01 18:54:48
2005,1402,Accounting,6,LB,2025-12-01 18:54:48
2005,2725,Infectious Diseases,6,LB,2025-12-01 18:54:48
2005,2727,Nephrology,6,LB,2025-12-01 18:54:48
2005,2729,Obstetrics and Gynecology,6,LB,2025-12-01 18:54:48
2005,2804,Cellular and Molecular Neuroscience,6,LB,2025-12-01 18:54:48
2005,3318,Gender Studies,6,LB,2025-12-01 18:54:48
2005,1307,Cell Biology,5,LB,2025-12-01 18:54:48
2005,2507,Polymers and Plastics,5,LB,2025-12-01 18:54:48
2005,2721,Hepatology,5,LB,2025-12-01 18:54:48
2005,2731,Ophthalmology,5,LB,2025-12-01 18:54:48
2005,2738,Psychiatry and Mental health,5,LB,2025-12-01 18:54:48
2005,3203,Clinical Psychology,5,LB,2025-12-01 18:54:48
2005,1306,Cancer Research,4,LB,2025-12-01 18:54:48
2005,1605,Organic Chemistry,4,LB,2025-12-01 18:54:48
2005,1703,Computational Theory and Mathematics,4,LB,2025-12-01 18:54:48
2005,1712,Software,4,LB,2025-12-01 18:54:48
2005,1908,Geophysics,4,LB,2025-12-01 18:54:48
2005,2202,Aerospace Engineering,4,LB,2025-12-01 18:54:48
2005,2209,Industrial and Manufacturing Engineering,4,LB,2025-12-01 18:54:48
2005,2312,Water Science and Technology,4,LB,2025-12-01 18:54:48
2005,2504,"Electronic, Optical and Magnetic Materials",4,LB,2025-12-01 18:54:48
2005,2732,Orthopedics and Sports Medicine,4,LB,2025-12-01 18:54:48
2005,2736,Pharmacology,4,LB,2025-12-01 18:54:48
2005,2743,Reproductive Medicine,4,LB,2025-12-01 18:54:48
2005,1404,Management Information Systems,3,LB,2025-12-01 18:54:48
2005,1803,Management Science and Operations Research,3,LB,2025-12-01 18:54:48
2005,2203,Automotive Engineering,3,LB,2025-12-01 18:54:48
2005,2210,Mechanical Engineering,3,LB,2025-12-01 18:54:48
2005,2211,Mechanics of Materials,3,LB,2025-12-01 18:54:48
2005,2212,Ocean Engineering,3,LB,2025-12-01 18:54:48
2005,2306,Global and Planetary Change,3,LB,2025-12-01 18:54:48
2005,2613,Statistics and Probability,3,LB,2025-12-01 18:54:48
2005,2706,Critical Care and Intensive Care Medicine,3,LB,2025-12-01 18:54:48
2005,2717,Geriatrics and Gerontology,3,LB,2025-12-01 18:54:48
2005,2733,Otorhinolaryngology,3,LB,2025-12-01 18:54:48
2005,2742,Rehabilitation,3,LB,2025-12-01 18:54:48
2005,2807,Endocrine and Autonomic Systems,3,LB,2025-12-01 18:54:48
2005,3104,Condensed Matter Physics,3,LB,2025-12-01 18:54:48
2005,3322,Urban Studies,3,LB,2025-12-01 18:54:48
2005,1104,Aquatic Science,2,LB,2025-12-01 18:54:48
2005,1203,Language and Linguistics,2,LB,2025-12-01 18:54:48
2005,1406,Marketing,2,LB,2025-12-01 18:54:48
2005,1603,Electrochemistry,2,LB,2025-12-01 18:54:48
2005,2102,Energy Engineering and Power Technology,2,LB,2025-12-01 18:54:48
2005,2105,"Renewable Energy, Sustainability and the Environment",2,LB,2025-12-01 18:54:48
2005,2305,Environmental Engineering,2,LB,2025-12-01 18:54:48
2005,2508,"Surfaces, Coatings and Films",2,LB,2025-12-01 18:54:48
2005,2747,Transplantation,2,LB,2025-12-01 18:54:48
