subfield_id,subfield_name,title,doi,year,cited_by_count,id
2505,Materials Chemistry,Investigation of the properties of Al1−xCrxN coatings prepared by cathodic arc evaporation,https://doi.org/10.1016/j.surfcoat.2005.01.043,2005,389,https://openalex.org/W2091686787
2505,Materials Chemistry,Modern coatings in high performance cutting applications,https://doi.org/10.1016/j.ijrmhm.2005.11.005,2006,309,https://openalex.org/W1999559891
2505,Materials Chemistry,Thermal stability of Al–Cr–N hard coatings,https://doi.org/10.1016/j.scriptamat.2006.02.023,2006,257,https://openalex.org/W2056021386
1408,Strategy and Management,"Coopetition: a systematic review, synthesis, and future research directions",https://doi.org/10.1007/s11846-015-0168-6,2015,651,https://openalex.org/W2012821684
1408,Strategy and Management,Knowledge management in SMEs: a literature review,https://doi.org/10.1108/13673271211276173,2012,548,https://openalex.org/W2025001671
1408,Strategy and Management,Innovation in knowledge-intensive industries: The double-edged sword of coopetition,https://doi.org/10.1016/j.jbusres.2013.02.032,2013,507,https://openalex.org/W1966085693
2211,Mechanics of Materials,Investigation of the properties of Al1−xCrxN coatings prepared by cathodic arc evaporation,https://doi.org/10.1016/j.surfcoat.2005.01.043,2005,389,https://openalex.org/W2091686787
2211,Mechanics of Materials,Modern coatings in high performance cutting applications,https://doi.org/10.1016/j.ijrmhm.2005.11.005,2006,309,https://openalex.org/W1999559891
2211,Mechanics of Materials,Thermal stability of Al–Cr–N hard coatings,https://doi.org/10.1016/j.scriptamat.2006.02.023,2006,257,https://openalex.org/W2056021386
2208,Electrical and Electronic Engineering,Climate change and COP26: Are digital technologies and information management part of the problem or the solution? An editorial reflection and call to action,https://doi.org/10.1016/j.ijinfomgt.2021.102456,2021,640,https://openalex.org/W3214625971
2208,Electrical and Electronic Engineering,Sensemaking and Sustainable Practicing: Functional Affordances of Information Systems in Green Transformations1,https://doi.org/10.25300/misq/2013/37.4.13,2013,426,https://openalex.org/W1574834309
2208,Electrical and Electronic Engineering,Guideline for a Simplified Differential-Mode EMI Filter Design,https://doi.org/10.1109/tie.2009.2028293,2009,184,https://openalex.org/W2059123680
3312,Sociology and Political Science,Fuzzy-set qualitative comparative analysis (fsQCA) in entrepreneurship and innovation research – the rise of a method,https://doi.org/10.1007/s11365-017-0461-8,2017,617,https://openalex.org/W2732682163
3312,Sociology and Political Science,Sensemaking and Sustainable Practicing: Functional Affordances of Information Systems in Green Transformations1,https://doi.org/10.25300/misq/2013/37.4.13,2013,426,https://openalex.org/W1574834309
3312,Sociology and Political Science,Digital entrepreneurship: Innovative business models for the sharing economy,https://doi.org/10.1111/caim.12227,2017,331,https://openalex.org/W2623380270
2210,Mechanical Engineering,Filler features and their effects on wear and degree of conversion of particulate dental resin composites,https://doi.org/10.1016/j.biomaterials.2005.01.026,2005,341,https://openalex.org/W2054341554
2210,Mechanical Engineering,Academy of Dental Materials guidance—Resin composites: Part I—Mechanical properties,https://doi.org/10.1016/j.dental.2017.04.013,2017,335,https://openalex.org/W2621319643
2210,Mechanical Engineering,Virtual Reality,https://doi.org/10.1007/s12599-020-00658-9,2020,303,https://openalex.org/W4255044316
1404,Management Information Systems,Blockchains for Business Process Management - Challenges and Opportunities,https://doi.org/10.1145/3183367,2018,669,https://openalex.org/W2606010969
1404,Management Information Systems,"Data governance: A conceptual framework, structured review, and research agenda",https://doi.org/10.1016/j.ijinfomgt.2019.07.008,2019,504,https://openalex.org/W2968768709
1404,Management Information Systems,The Six Core Elements of Business Process Management,https://doi.org/10.1007/978-3-642-00416-2_5,2010,435,https://openalex.org/W1510377720
2002,Economics and Econometrics,Entrepreneurial orientation and the business performance of SMEs: a quantitative study from the Netherlands,https://doi.org/10.1007/s11846-011-0062-9,2011,558,https://openalex.org/W2013901905
2002,Economics and Econometrics,Pay for Performance in the Public Sector--Benefits and (Hidden) Costs,https://doi.org/10.1093/jopart/mup009,2009,494,https://openalex.org/W2119093417
2002,Economics and Econometrics,Implications of customer and entrepreneurial orientations for SME growth,https://doi.org/10.1108/00251741311309643,2013,259,https://openalex.org/W1998026397
2746,Surgery,Filler features and their effects on wear and degree of conversion of particulate dental resin composites,https://doi.org/10.1016/j.biomaterials.2005.01.026,2005,341,https://openalex.org/W2054341554
2746,Surgery,Academy of Dental Materials guidance—Resin composites: Part I—Mechanical properties,https://doi.org/10.1016/j.dental.2017.04.013,2017,335,https://openalex.org/W2621319643
2746,Surgery,Laboratory mechanical parameters of composite resins and their relation to fractures and wear in clinical trials—A systematic review,https://doi.org/10.1016/j.dental.2016.11.013,2016,182,https://openalex.org/W2565602652
1405,Management of Technology and Innovation,Entrepreneurial orientation and the business performance of SMEs: a quantitative study from the Netherlands,https://doi.org/10.1007/s11846-011-0062-9,2011,558,https://openalex.org/W2013901905
1405,Management of Technology and Innovation,Entrepreneurship research: mapping intellectual structures and research trends,https://doi.org/10.1007/s11846-017-0242-3,2017,327,https://openalex.org/W2624649296
1405,Management of Technology and Innovation,Ethics and entrepreneurship: A bibliometric study and literature review,https://doi.org/10.1016/j.jbusres.2019.02.050,2019,322,https://openalex.org/W2919810952
