year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,84,LK,2025-11-28 17:32:07
2005,2303,Ecology,56,LK,2025-11-28 17:32:07
2005,2739,"Public Health, Environmental and Occupational Health",52,LK,2025-11-28 17:32:07
2005,1312,Molecular Biology,49,LK,2025-11-28 17:32:07
2005,2208,Electrical and Electronic Engineering,39,LK,2025-11-28 17:32:07
2005,3312,Sociology and Political Science,34,LK,2025-11-28 17:32:07
2005,2002,Economics and Econometrics,33,LK,2025-11-28 17:32:07
2005,1105,"Ecology, Evolution, Behavior and Systematics",23,LK,2025-11-28 17:32:07
2005,1702,Artificial Intelligence,23,LK,2025-11-28 17:32:07
2005,2713,Epidemiology,19,LK,2025-11-28 17:32:07
2005,2306,Global and Planetary Change,18,LK,2025-11-28 17:32:07
2005,1106,Food Science,14,LK,2025-11-28 17:32:07
2005,2746,Surgery,14,LK,2025-11-28 17:32:07
2005,2212,Ocean Engineering,12,LK,2025-11-28 17:32:07
2005,2725,Infectious Diseases,12,LK,2025-11-28 17:32:07
2005,1109,Insect Science,11,LK,2025-11-28 17:32:07
2005,2309,Nature and Landscape Conservation,10,LK,2025-11-28 17:32:07
2005,1111,Soil Science,9,LK,2025-11-28 17:32:07
2005,2507,Polymers and Plastics,9,LK,2025-11-28 17:32:07
2005,1311,Genetics,8,LK,2025-11-28 17:32:07
2005,1705,Computer Networks and Communications,8,LK,2025-11-28 17:32:07
2005,2711,Emergency Medicine,8,LK,2025-11-28 17:32:07
2005,3404,Small Animals,8,LK,2025-11-28 17:32:07
2005,3600,General Health Professions,8,LK,2025-11-28 17:32:07
2005,1307,Cell Biology,7,LK,2025-11-28 17:32:07
2005,1910,Oceanography,7,LK,2025-11-28 17:32:07
2005,2105,"Renewable Energy, Sustainability and the Environment",7,LK,2025-11-28 17:32:07
2005,2502,Biomaterials,7,LK,2025-11-28 17:32:07
2005,2505,Materials Chemistry,7,LK,2025-11-28 17:32:07
2005,1102,Agronomy and Crop Science,6,LK,2025-11-28 17:32:07
2005,2304,Environmental Chemistry,6,LK,2025-11-28 17:32:07
2005,2308,"Management, Monitoring, Policy and Law",6,LK,2025-11-28 17:32:07
2005,2312,Water Science and Technology,6,LK,2025-11-28 17:32:07
2005,2730,Oncology,6,LK,2025-11-28 17:32:07
2005,2916,Nutrition and Dietetics,6,LK,2025-11-28 17:32:07
2005,3506,Periodontics,6,LK,2025-11-28 17:32:07
2005,1100,General Agricultural and Biological Sciences,5,LK,2025-11-28 17:32:07
2005,1104,Aquatic Science,5,LK,2025-11-28 17:32:07
2005,1306,Cancer Research,5,LK,2025-11-28 17:32:07
2005,1408,Strategy and Management,5,LK,2025-11-28 17:32:07
2005,1902,Atmospheric Science,5,LK,2025-11-28 17:32:07
2005,2207,Control and Systems Engineering,5,LK,2025-11-28 17:32:07
2005,2310,Pollution,5,LK,2025-11-28 17:32:07
2005,2405,Parasitology,5,LK,2025-11-28 17:32:07
2005,2707,Complementary and alternative medicine,5,LK,2025-11-28 17:32:07
2005,1103,Animal Science and Zoology,4,LK,2025-11-28 17:32:07
2005,1604,Inorganic Chemistry,4,LK,2025-11-28 17:32:07
2005,1710,Information Systems,4,LK,2025-11-28 17:32:07
2005,2000,"General Economics, Econometrics and Finance",4,LK,2025-11-28 17:32:07
2005,2305,Environmental Engineering,4,LK,2025-11-28 17:32:07
2005,2307,"Health, Toxicology and Mutagenesis",4,LK,2025-11-28 17:32:07
2005,2311,Industrial and Manufacturing Engineering,4,LK,2025-11-28 17:32:07
2005,2731,Ophthalmology,4,LK,2025-11-28 17:32:07
2005,3004,Pharmacology,4,LK,2025-11-28 17:32:07
2005,3207,Social Psychology,4,LK,2025-11-28 17:32:07
2005,1309,Developmental Biology,3,LK,2025-11-28 17:32:07
2005,1310,Endocrinology,3,LK,2025-11-28 17:32:07
2005,1703,Computational Theory and Mathematics,3,LK,2025-11-28 17:32:07
2005,1707,Computer Vision and Pattern Recognition,3,LK,2025-11-28 17:32:07
2005,2403,Immunology,3,LK,2025-11-28 17:32:07
2005,2504,"Electronic, Optical and Magnetic Materials",3,LK,2025-11-28 17:32:07
2005,2613,Statistics and Probability,3,LK,2025-11-28 17:32:07
2005,2736,Pharmacology,3,LK,2025-11-28 17:32:07
2005,2737,Physiology,3,LK,2025-11-28 17:32:07
2005,2745,Rheumatology,3,LK,2025-11-28 17:32:07
2005,3203,Clinical Psychology,3,LK,2025-11-28 17:32:07
2005,3313,Transportation,3,LK,2025-11-28 17:32:07
2005,3320,Political Science and International Relations,3,LK,2025-11-28 17:32:07
2005,3604,Emergency Medical Services,3,LK,2025-11-28 17:32:07
2005,1303,Biochemistry,2,LK,2025-11-28 17:32:07
2005,1305,Biotechnology,2,LK,2025-11-28 17:32:07
2005,1402,Accounting,2,LK,2025-11-28 17:32:07
2005,1502,Bioengineering,2,LK,2025-11-28 17:32:07
2005,1605,Organic Chemistry,2,LK,2025-11-28 17:32:07
2005,1709,Human-Computer Interaction,2,LK,2025-11-28 17:32:07
2005,1711,Signal Processing,2,LK,2025-11-28 17:32:07
2005,1803,Management Science and Operations Research,2,LK,2025-11-28 17:32:07
2005,1904,Earth-Surface Processes,2,LK,2025-11-28 17:32:07
2005,1908,Geophysics,2,LK,2025-11-28 17:32:07
2005,2003,Finance,2,LK,2025-11-28 17:32:07
2005,2202,Aerospace Engineering,2,LK,2025-11-28 17:32:07
2005,2204,Biomedical Engineering,2,LK,2025-11-28 17:32:07
2005,2214,Media Technology,2,LK,2025-11-28 17:32:07
2005,2703,Anesthesiology and Pain Medicine,2,LK,2025-11-28 17:32:07
2005,2705,Cardiology and Cardiovascular Medicine,2,LK,2025-11-28 17:32:07
2005,2712,"Endocrinology, Diabetes and Metabolism",2,LK,2025-11-28 17:32:07
2005,2714,Family Practice,2,LK,2025-11-28 17:32:07
2005,2721,Hepatology,2,LK,2025-11-28 17:32:07
2005,3305,"Geography, Planning and Development",2,LK,2025-11-28 17:32:07
2005,3308,Law,2,LK,2025-11-28 17:32:07
2005,3317,Demography,2,LK,2025-11-28 17:32:07
2005,3318,Gender Studies,2,LK,2025-11-28 17:32:07
2005,3322,Urban Studies,2,LK,2025-11-28 17:32:07
2005,3504,Oral Surgery,2,LK,2025-11-28 17:32:07
2005,1107,Forestry,1,LK,2025-11-28 17:32:07
2005,1404,Management Information Systems,1,LK,2025-11-28 17:32:07
2005,1406,Marketing,1,LK,2025-11-28 17:32:07
2005,1407,Organizational Behavior and Human Resource Management,1,LK,2025-11-28 17:32:07
2005,1603,Electrochemistry,1,LK,2025-11-28 17:32:07
2005,1708,Hardware and Architecture,1,LK,2025-11-28 17:32:07
2005,1800,General Decision Sciences,1,LK,2025-11-28 17:32:07
2005,1911,Paleontology,1,LK,2025-11-28 17:32:07
2005,2102,Energy Engineering and Power Technology,1,LK,2025-11-28 17:32:07
2005,2203,Automotive Engineering,1,LK,2025-11-28 17:32:07
2005,2209,Industrial and Manufacturing Engineering,1,LK,2025-11-28 17:32:07
2005,2210,Mechanical Engineering,1,LK,2025-11-28 17:32:07
2005,2213,"Safety, Risk, Reliability and Quality",1,LK,2025-11-28 17:32:07
2005,2215,Building and Construction,1,LK,2025-11-28 17:32:07
