year,id,name,works_count,country,fetch_date
2005,2725,Infectious Diseases,2,LR,2025-12-03 12:48:14
2005,2406,Virology,1,LR,2025-12-03 12:48:14
2005,2713,Epidemiology,1,LR,2025-12-03 12:48:14
2005,2721,Hepatology,1,LR,2025-12-03 12:48:14
2005,2735,"Pediatrics, Perinatology and Child Health",1,LR,2025-12-03 12:48:14
2005,2739,"Public Health, Environmental and Occupational Health",1,LR,2025-12-03 12:48:14
2005,3600,General Health Professions,1,LR,2025-12-03 12:48:14
2006,2002,Economics and Econometrics,2,LR,2025-12-03 12:48:14
2006,3312,Sociology and Political Science,2,LR,2025-12-03 12:48:14
2006,2403,Immunology,1,LR,2025-12-03 12:48:14
2006,2713,Epidemiology,1,LR,2025-12-03 12:48:14
2006,2725,Infectious Diseases,1,LR,2025-12-03 12:48:14
2006,2737,Physiology,1,LR,2025-12-03 12:48:14
2006,2739,"Public Health, Environmental and Occupational Health",1,LR,2025-12-03 12:48:14
2006,3202,Applied Psychology,1,LR,2025-12-03 12:48:14
2006,3207,Social Psychology,1,LR,2025-12-03 12:48:14
2006,3306,Health,1,LR,2025-12-03 12:48:14
2006,3311,Safety Research,1,LR,2025-12-03 12:48:14
2006,3318,Gender Studies,1,LR,2025-12-03 12:48:14
2006,3320,Political Science and International Relations,1,LR,2025-12-03 12:48:14
2007,2739,"Public Health, Environmental and Occupational Health",1,LR,2025-12-03 12:48:14
2007,3203,Clinical Psychology,1,LR,2025-12-03 12:48:14
2007,3306,Health,1,LR,2025-12-03 12:48:14
2007,3600,General Health Professions,1,LR,2025-12-03 12:48:14
2008,3600,General Health Professions,4,LR,2025-12-03 12:48:14
2008,2713,Epidemiology,2,LR,2025-12-03 12:48:14
2008,2721,Hepatology,2,LR,2025-12-03 12:48:14
2008,2725,Infectious Diseases,2,LR,2025-12-03 12:48:14
2008,2735,"Pediatrics, Perinatology and Child Health",2,LR,2025-12-03 12:48:14
2008,3311,Safety Research,2,LR,2025-12-03 12:48:14
2008,2002,Economics and Econometrics,1,LR,2025-12-03 12:48:14
2008,2003,Finance,1,LR,2025-12-03 12:48:14
2008,2204,Biomedical Engineering,1,LR,2025-12-03 12:48:14
2008,2403,Immunology,1,LR,2025-12-03 12:48:14
2008,2741,"Radiology, Nuclear Medicine and Imaging",1,LR,2025-12-03 12:48:14
2008,3207,Social Psychology,1,LR,2025-12-03 12:48:14
2008,3306,Health,1,LR,2025-12-03 12:48:14
2008,3318,Gender Studies,1,LR,2025-12-03 12:48:14
2009,3312,Sociology and Political Science,3,LR,2025-12-03 12:48:14
2009,2002,Economics and Econometrics,2,LR,2025-12-03 12:48:14
