subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,"Climate Change, Population Drift and Violent Conflict over Land Resources in Northeastern Nigeria",https://doi.org/10.1080/09709274.2008.11906084,2008,131,https://openalex.org/W2382743196
3312,Sociology and Political Science,Depression and Social Stigma Among MSM in Lesotho: Implications for HIV and Sexually Transmitted Infection Prevention,https://doi.org/10.1007/s10461-015-1094-y,2015,114,https://openalex.org/W2156871675
3312,Sociology and Political Science,"A cross‐sectional assessment of population demographics, HIV risks and human rights contexts among men who have sex with men in Lesotho",https://doi.org/10.1186/1758-2652-14-36,2011,100,https://openalex.org/W2167435357
3312,Sociology and Political Science,Quality of Life and the Concept of “Living Well” With HIV/AIDS in Sub‐Saharan Africa,https://doi.org/10.1111/j.1547-5069.2005.00023.x,2005,98,https://openalex.org/W2140590249
3312,Sociology and Political Science,"More than just talk: the framing of transactional sex and its implications for vulnerability to HIV in Lesotho, Madagascar and South Africa",https://doi.org/10.1186/1744-8603-7-34,2011,88,https://openalex.org/W2150858002
3312,Sociology and Political Science,Local Community Participation in Tourism Development: The Case of Katse Villages in Lesotho,https://doi.org/10.30958/ajt.6-2-4,2019,86,https://openalex.org/W2942597845
3312,Sociology and Political Science,HIV and AIDS Stigma Violates Human Rights in Five African Countries,https://doi.org/10.1191/0969733006ne865oa,2006,84,https://openalex.org/W1993314723
3312,Sociology and Political Science,"Exploring the Potential of Participatory Theatre to Reduce Stigma and Promote Health Equity for Lesbian, Gay, Bisexual, and Transgender (LGBT) People in Swaziland and Lesotho",https://doi.org/10.1177/1090198118760682,2018,68,https://openalex.org/W2794690947
3312,Sociology and Political Science,"Political corruption, party financing and democracy in Kenya",https://doi.org/10.1017/s0022278x08003224,2008,62,https://openalex.org/W2140751795
3312,Sociology and Political Science,"Climate Variability, Environment Change and Food Security Nexus in Nigeria",https://doi.org/10.1080/09709274.2009.11906172,2009,57,https://openalex.org/W1596192950
3304,Education,Examining artificial intelligence literacy among pre-service teachers for future classrooms,https://doi.org/10.1016/j.caeo.2024.100179,2024,106,https://openalex.org/W4394689253
3304,Education,Pedagogical Renewal for Quality Universal Primary Education: Overview of Trends in Sub-Saharan Africa,https://doi.org/10.1007/s11159-007-9066-8,2007,82,https://openalex.org/W2052070873
3304,Education,The Lesotho curriculum and assessment policy: Opportunities and threats,https://doi.org/10.15700/201503070025,2015,68,https://openalex.org/W2121619420
3304,Education,The Relationship Between Authoritarian Parenting and Aggressive Behavior of Adolescents in Nagari Bungo Tanjung,https://doi.org/10.55849/wp.v1i2.98,2022,60,https://openalex.org/W4293658468
3304,Education,Integrating technology in teaching and learning in universities in Lesotho: opportunities and challenges,https://doi.org/10.1007/s10639-019-10093-3,2020,53,https://openalex.org/W3005242020
3304,Education,Threats to inclusive education in Lesotho: An overview of policy and implementation challenges,https://doi.org/10.1080/18146627.2014.934989,2014,52,https://openalex.org/W2039172569
3304,Education,Access to curriculum for students with disabilities at higher education institutions: How does the National University of Lesotho fare?,https://doi.org/10.4102/ajod.v6i0.257,2017,50,https://openalex.org/W2607697390
3304,Education,Do in-service teachers accept artificial intelligence-driven technology? The mediating role of school support and resources,https://doi.org/10.1016/j.caeo.2024.100191,2024,48,https://openalex.org/W4398175004
3304,Education,Students’ perceptions on the use of LMS at a Lesotho university amidst the COVID-19 pandemic,https://doi.org/10.1080/14725843.2021.1898930,2021,46,https://openalex.org/W3139118922
