year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,8,LS,2025-12-01 19:10:25
2005,3308,Law,4,LS,2025-12-01 19:10:25
2005,2725,Infectious Diseases,3,LS,2025-12-01 19:10:25
2005,3314,Anthropology,3,LS,2025-12-01 19:10:25
2005,2739,"Public Health, Environmental and Occupational Health",2,LS,2025-12-01 19:10:25
2005,3304,Education,2,LS,2025-12-01 19:10:25
2005,3320,Political Science and International Relations,2,LS,2025-12-01 19:10:25
2005,3600,General Health Professions,2,LS,2025-12-01 19:10:25
2005,1111,Soil Science,1,LS,2025-12-01 19:10:25
2005,1208,Literature and Literary Theory,1,LS,2025-12-01 19:10:25
2005,1213,Visual Arts and Performing Arts,1,LS,2025-12-01 19:10:25
2005,1402,Accounting,1,LS,2025-12-01 19:10:25
2005,1408,Strategy and Management,1,LS,2025-12-01 19:10:25
2005,2002,Economics and Econometrics,1,LS,2025-12-01 19:10:25
2005,2212,Ocean Engineering,1,LS,2025-12-01 19:10:25
2005,2613,Statistics and Probability,1,LS,2025-12-01 19:10:25
2005,2711,Emergency Medicine,1,LS,2025-12-01 19:10:25
2005,3204,Developmental and Educational Psychology,1,LS,2025-12-01 19:10:25
2005,3205,Experimental and Cognitive Psychology,1,LS,2025-12-01 19:10:25
2005,3310,Linguistics and Language,1,LS,2025-12-01 19:10:25
2005,3318,Gender Studies,1,LS,2025-12-01 19:10:25
2006,3308,Law,3,LS,2025-12-01 19:10:25
2006,1111,Soil Science,2,LS,2025-12-01 19:10:25
2006,2002,Economics and Econometrics,2,LS,2025-12-01 19:10:25
2006,2308,"Management, Monitoring, Policy and Law",2,LS,2025-12-01 19:10:25
2006,3311,Safety Research,2,LS,2025-12-01 19:10:25
2006,3312,Sociology and Political Science,2,LS,2025-12-01 19:10:25
2006,3322,Urban Studies,2,LS,2025-12-01 19:10:25
2006,3600,General Health Professions,2,LS,2025-12-01 19:10:25
2006,1110,Plant Science,1,LS,2025-12-01 19:10:25
2006,2105,"Renewable Energy, Sustainability and the Environment",1,LS,2025-12-01 19:10:25
2006,2212,Ocean Engineering,1,LS,2025-12-01 19:10:25
2007,3312,Sociology and Political Science,4,LS,2025-12-01 19:10:25
2007,2725,Infectious Diseases,3,LS,2025-12-01 19:10:25
2007,3600,General Health Professions,3,LS,2025-12-01 19:10:25
2007,1110,Plant Science,2,LS,2025-12-01 19:10:25
2007,3320,Political Science and International Relations,2,LS,2025-12-01 19:10:25
2007,1312,Molecular Biology,1,LS,2025-12-01 19:10:25
2007,1402,Accounting,1,LS,2025-12-01 19:10:25
2007,1408,Strategy and Management,1,LS,2025-12-01 19:10:25
2007,1602,Analytical Chemistry,1,LS,2025-12-01 19:10:25
2007,1603,Electrochemistry,1,LS,2025-12-01 19:10:25
2007,2002,Economics and Econometrics,1,LS,2025-12-01 19:10:25
2007,2212,Ocean Engineering,1,LS,2025-12-01 19:10:25
2007,2704,Biochemistry,1,LS,2025-12-01 19:10:25
2007,2713,Epidemiology,1,LS,2025-12-01 19:10:25
2007,3207,Social Psychology,1,LS,2025-12-01 19:10:25
2007,3304,Education,1,LS,2025-12-01 19:10:25
2007,3308,Law,1,LS,2025-12-01 19:10:25
2007,3314,Anthropology,1,LS,2025-12-01 19:10:25
2007,3317,Demography,1,LS,2025-12-01 19:10:25
2008,3312,Sociology and Political Science,10,LS,2025-12-01 19:10:25
2008,3304,Education,9,LS,2025-12-01 19:10:25
2008,2002,Economics and Econometrics,6,LS,2025-12-01 19:10:25
2008,3308,Law,6,LS,2025-12-01 19:10:25
2008,1111,Soil Science,5,LS,2025-12-01 19:10:25
2008,3320,Political Science and International Relations,5,LS,2025-12-01 19:10:25
2008,1110,Plant Science,3,LS,2025-12-01 19:10:25
2008,3311,Safety Research,3,LS,2025-12-01 19:10:25
2008,3314,Anthropology,3,LS,2025-12-01 19:10:25
2008,3322,Urban Studies,3,LS,2025-12-01 19:10:25
2008,3600,General Health Professions,3,LS,2025-12-01 19:10:25
2008,2725,Infectious Diseases,2,LS,2025-12-01 19:10:25
2008,1100,General Agricultural and Biological Sciences,1,LS,2025-12-01 19:10:25
2008,1306,Cancer Research,1,LS,2025-12-01 19:10:25
2008,1405,Management of Technology and Innovation,1,LS,2025-12-01 19:10:25
2008,1408,Strategy and Management,1,LS,2025-12-01 19:10:25
2008,1710,Information Systems,1,LS,2025-12-01 19:10:25
2008,2000,"General Economics, Econometrics and Finance",1,LS,2025-12-01 19:10:25
2008,2308,"Management, Monitoring, Policy and Law",1,LS,2025-12-01 19:10:25
2008,2310,Pollution,1,LS,2025-12-01 19:10:25
2008,2613,Statistics and Probability,1,LS,2025-12-01 19:10:25
2008,2713,Epidemiology,1,LS,2025-12-01 19:10:25
2008,2916,Nutrition and Dietetics,1,LS,2025-12-01 19:10:25
2008,3204,Developmental and Educational Psychology,1,LS,2025-12-01 19:10:25
2009,3600,General Health Professions,9,LS,2025-12-01 19:10:25
2009,2725,Infectious Diseases,7,LS,2025-12-01 19:10:25
2009,3312,Sociology and Political Science,7,LS,2025-12-01 19:10:25
2009,3311,Safety Research,5,LS,2025-12-01 19:10:25
2009,2713,Epidemiology,4,LS,2025-12-01 19:10:25
2009,3304,Education,4,LS,2025-12-01 19:10:25
2009,1110,Plant Science,3,LS,2025-12-01 19:10:25
2009,2002,Economics and Econometrics,3,LS,2025-12-01 19:10:25
2009,1105,"Ecology, Evolution, Behavior and Systematics",2,LS,2025-12-01 19:10:25
2009,2406,Virology,2,LS,2025-12-01 19:10:25
2009,3303,Development,2,LS,2025-12-01 19:10:25
2009,3320,Political Science and International Relations,2,LS,2025-12-01 19:10:25
2009,1111,Soil Science,1,LS,2025-12-01 19:10:25
2009,1306,Cancer Research,1,LS,2025-12-01 19:10:25
2009,1407,Organizational Behavior and Human Resource Management,1,LS,2025-12-01 19:10:25
2009,1802,Information Systems and Management,1,LS,2025-12-01 19:10:25
2009,1803,Management Science and Operations Research,1,LS,2025-12-01 19:10:25
2009,2303,Ecology,1,LS,2025-12-01 19:10:25
2009,2306,Global and Planetary Change,1,LS,2025-12-01 19:10:25
2009,2613,Statistics and Probability,1,LS,2025-12-01 19:10:25
2009,2916,Nutrition and Dietetics,1,LS,2025-12-01 19:10:25
2009,3204,Developmental and Educational Psychology,1,LS,2025-12-01 19:10:25
2009,3207,Social Psychology,1,LS,2025-12-01 19:10:25
2009,3306,Health,1,LS,2025-12-01 19:10:25
2009,3308,Law,1,LS,2025-12-01 19:10:25
2009,3321,Public Administration,1,LS,2025-12-01 19:10:25
2009,3322,Urban Studies,1,LS,2025-12-01 19:10:25
2010,3312,Sociology and Political Science,16,LS,2025-12-01 19:10:25
2010,3304,Education,13,LS,2025-12-01 19:10:25
2010,3600,General Health Professions,6,LS,2025-12-01 19:10:25
2010,3311,Safety Research,5,LS,2025-12-01 19:10:25
2010,1110,Plant Science,4,LS,2025-12-01 19:10:25
2010,2002,Economics and Econometrics,4,LS,2025-12-01 19:10:25
2010,3320,Political Science and International Relations,4,LS,2025-12-01 19:10:25
2010,1111,Soil Science,2,LS,2025-12-01 19:10:25
2010,1212,Religious studies,2,LS,2025-12-01 19:10:25
2010,1306,Cancer Research,2,LS,2025-12-01 19:10:25
2010,1405,Management of Technology and Innovation,2,LS,2025-12-01 19:10:25
2010,2308,"Management, Monitoring, Policy and Law",2,LS,2025-12-01 19:10:25
2010,3203,Clinical Psychology,2,LS,2025-12-01 19:10:25
2010,3308,Law,2,LS,2025-12-01 19:10:25
2010,3314,Anthropology,2,LS,2025-12-01 19:10:25
2010,3318,Gender Studies,2,LS,2025-12-01 19:10:25
2010,1100,General Agricultural and Biological Sciences,1,LS,2025-12-01 19:10:25
2010,1102,Agronomy and Crop Science,1,LS,2025-12-01 19:10:25
2010,1105,"Ecology, Evolution, Behavior and Systematics",1,LS,2025-12-01 19:10:25
2010,1109,Insect Science,1,LS,2025-12-01 19:10:25
2010,1402,Accounting,1,LS,2025-12-01 19:10:25
2010,1407,Organizational Behavior and Human Resource Management,1,LS,2025-12-01 19:10:25
2010,1710,Information Systems,1,LS,2025-12-01 19:10:25
2010,1802,Information Systems and Management,1,LS,2025-12-01 19:10:25
2010,2000,"General Economics, Econometrics and Finance",1,LS,2025-12-01 19:10:25
2010,2003,Finance,1,LS,2025-12-01 19:10:25
2010,2214,Media Technology,1,LS,2025-12-01 19:10:25
2010,2306,Global and Planetary Change,1,LS,2025-12-01 19:10:25
2010,2310,Pollution,1,LS,2025-12-01 19:10:25
2010,2711,Emergency Medicine,1,LS,2025-12-01 19:10:25
2010,2713,Epidemiology,1,LS,2025-12-01 19:10:25
2010,2721,Hepatology,1,LS,2025-12-01 19:10:25
2010,2725,Infectious Diseases,1,LS,2025-12-01 19:10:25
2010,2916,Nutrition and Dietetics,1,LS,2025-12-01 19:10:25
2010,3204,Developmental and Educational Psychology,1,LS,2025-12-01 19:10:25
2010,3306,Health,1,LS,2025-12-01 19:10:25
2010,3310,Linguistics and Language,1,LS,2025-12-01 19:10:25
2010,3317,Demography,1,LS,2025-12-01 19:10:25
2010,3322,Urban Studies,1,LS,2025-12-01 19:10:25
2011,3304,Education,10,LS,2025-12-01 19:10:25
2011,2002,Economics and Econometrics,9,LS,2025-12-01 19:10:25
2011,3312,Sociology and Political Science,7,LS,2025-12-01 19:10:25
2011,3311,Safety Research,6,LS,2025-12-01 19:10:25
2011,3320,Political Science and International Relations,6,LS,2025-12-01 19:10:25
2011,3600,General Health Professions,5,LS,2025-12-01 19:10:25
2011,1110,Plant Science,4,LS,2025-12-01 19:10:25
2011,2735,"Pediatrics, Perinatology and Child Health",3,LS,2025-12-01 19:10:25
2011,3314,Anthropology,3,LS,2025-12-01 19:10:25
2011,3322,Urban Studies,3,LS,2025-12-01 19:10:25
2011,1109,Insect Science,2,LS,2025-12-01 19:10:25
2011,2725,Infectious Diseases,2,LS,2025-12-01 19:10:25
2011,3308,Law,2,LS,2025-12-01 19:10:25
2011,3604,Emergency Medical Services,2,LS,2025-12-01 19:10:25
2011,1100,General Agricultural and Biological Sciences,1,LS,2025-12-01 19:10:25
2011,1106,Food Science,1,LS,2025-12-01 19:10:25
2011,1305,Biotechnology,1,LS,2025-12-01 19:10:25
2011,1307,Cell Biology,1,LS,2025-12-01 19:10:25
2011,1405,Management of Technology and Innovation,1,LS,2025-12-01 19:10:25
2011,1408,Strategy and Management,1,LS,2025-12-01 19:10:25
2011,1706,Computer Science Applications,1,LS,2025-12-01 19:10:25
