subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,Monolithic perovskite/silicon tandem solar cell with &gt;29% efficiency by enhanced hole extraction,https://doi.org/10.1126/science.abd4016,2020,1783,https://openalex.org/W3112882062
2208,Electrical and Electronic Engineering,Conformal monolayer contacts with lossless interfaces for perovskite single junction and monolithic tandem solar cells,https://doi.org/10.1039/c9ee02268f,2019,988,https://openalex.org/W2978073789
2208,Electrical and Electronic Engineering,Electrochemical sensors based on conducting polymer—polypyrrole,https://doi.org/10.1016/j.electacta.2005.11.052,2006,815,https://openalex.org/W2007196223
3312,Sociology and Political Science,Contrasting Computational Models of Mate Preference Integration Across 45 Countries,https://doi.org/10.1038/s41598-019-52748-8,2019,1773,https://openalex.org/W2983201012
3312,Sociology and Political Science,The new life stage of emerging adulthood at ages 18–29 years: implications for mental health,https://doi.org/10.1016/s2215-0366(14)00080-7,2014,1546,https://openalex.org/W2123474987
3312,Sociology and Political Science,Preventing problematic internet use during the COVID-19 pandemic: Consensus guidance,https://doi.org/10.1016/j.comppsych.2020.152180,2020,799,https://openalex.org/W3025109728
2505,Materials Chemistry,Conformal monolayer contacts with lossless interfaces for perovskite single junction and monolithic tandem solar cells,https://doi.org/10.1039/c9ee02268f,2019,988,https://openalex.org/W2978073789
2505,Materials Chemistry,Generalized molybdenum oxide surface chemical state XPS determination via informed amorphous sample model,https://doi.org/10.1016/j.apsusc.2014.11.077,2014,510,https://openalex.org/W2042189655
2505,Materials Chemistry,Solid-State Lighting: Toward Superior Illumination,https://doi.org/10.1109/jproc.2005.853537,2005,473,https://openalex.org/W2168494197
2002,Economics and Econometrics,SELECTION OF RATIONAL DISPUTE RESOLUTION METHOD BY APPLYING NEW STEP‐WISE WEIGHT ASSESSMENT RATIO ANALYSIS (SWARA),https://doi.org/10.3846/jbem.2010.12,2010,1352,https://openalex.org/W2056258586
2002,Economics and Econometrics,Definition of treatment goals for moderate to severe psoriasis: a European consensus,https://doi.org/10.1007/s00403-010-1080-1,2010,854,https://openalex.org/W2152262899
2002,Economics and Econometrics,STATE OF ART SURVEYS OF OVERVIEWS ON MCDM/MADM METHODS,https://doi.org/10.3846/20294913.2014.892037,2014,806,https://openalex.org/W2142078435
2204,Biomedical Engineering,Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells,https://doi.org/10.1016/j.cell.2015.04.044,2015,3493,https://openalex.org/W2135937351
2204,Biomedical Engineering,Ultrafast laser processing of materials: from science to industry,https://doi.org/10.1038/lsa.2016.133,2016,1219,https://openalex.org/W2514605621
2204,Biomedical Engineering,PCI Strategies in Patients with Acute Myocardial Infarction and Cardiogenic Shock,https://doi.org/10.1056/nejmoa1710261,2017,1097,https://openalex.org/W2766152280
1312,Molecular Biology,Visualizing and interpreting cancer genomics data via the Xena platform,https://doi.org/10.1038/s41587-020-0546-8,2020,4287,https://openalex.org/W3028304854
1312,Molecular Biology,Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells,https://doi.org/10.1016/j.cell.2015.04.044,2015,3493,https://openalex.org/W2135937351
1312,Molecular Biology,Cas9–crRNA ribonucleoprotein complex mediates specific DNA cleavage for adaptive immunity in bacteria,https://doi.org/10.1073/pnas.1208507109,2012,2739,https://openalex.org/W2019670881
3107,"Atomic and Molecular Physics, and Optics",<i>Colloquium</i>: Artificial gauge potentials for neutral atoms,https://doi.org/10.1103/revmodphys.83.1523,2011,1905,https://openalex.org/W1834231020
3107,"Atomic and Molecular Physics, and Optics",Light-induced gauge fields for ultracold atoms,https://doi.org/10.1088/0034-4885/77/12/126401,2014,1135,https://openalex.org/W2160498162
3107,"Atomic and Molecular Physics, and Optics",High-frequency approximation for periodically driven quantum systems from a Floquet-space perspective,https://doi.org/10.1088/1367-2630/17/9/093039,2015,619,https://openalex.org/W1717027248
3320,Political Science and International Relations,PERCEPTION OF COMPETITIVENESS IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT: FACETS OF “SUSTAINABLE COMPETITIVENESS”,https://doi.org/10.3846/jbem.2010.17,2010,275,https://openalex.org/W2017901182
3320,Political Science and International Relations,“Contagious Accountability”,https://doi.org/10.1177/0093854816668218,2016,151,https://openalex.org/W2523124698
3320,Political Science and International Relations,THE EFFECTS OF DIRECTED PATROL AND SELF‐INITIATED ENFORCEMENT ON FIREARM VIOLENCE: A RANDOMIZED CONTROLLED STUDY OF HOT SPOT POLICING,https://doi.org/10.1111/1745-9125.12043,2014,144,https://openalex.org/W2105085708
3304,Education,Higher Education For Sustainability: A Global Perspective,https://doi.org/10.1016/j.geosus.2021.05.001,2021,506,https://openalex.org/W3163995701
3304,Education,Testing the 8-Syndrome Structure of the Child Behavior Checklist in 30 Societies,https://doi.org/10.1080/15374410701444363,2007,408,https://openalex.org/W2161499340
3304,Education,Behavioral and Emotional Problems Reported by Parents of Children Ages 6 to 16 in 31 Societies,https://doi.org/10.1177/10634266070150030101,2007,384,https://openalex.org/W1966892068
2210,Mechanical Engineering,"Tribological properties of lubricant additives of Fe, Cu and Co nanoparticles",https://doi.org/10.1016/j.triboint.2012.10.024,2012,443,https://openalex.org/W1977186676
2210,Mechanical Engineering,Modern trends in tungsten alloys electrodeposition with iron group metals,https://doi.org/10.3103/s1068375512060038,2012,226,https://openalex.org/W2112012478
2210,Mechanical Engineering,A study of advancement in application opportunities of aluminum metal matrix composites,https://doi.org/10.1016/j.matpr.2020.02.516,2020,209,https://openalex.org/W3012510814
