year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,244,LT,2025-12-03 12:17:46
2005,3107,"Atomic and Molecular Physics, and Optics",181,LT,2025-12-03 12:17:46
2005,2505,Materials Chemistry,133,LT,2025-12-03 12:17:46
2005,2204,Biomedical Engineering,100,LT,2025-12-03 12:17:46
2005,2002,Economics and Econometrics,89,LT,2025-12-03 12:17:46
2005,1312,Molecular Biology,77,LT,2025-12-03 12:17:46
2005,2210,Mechanical Engineering,67,LT,2025-12-03 12:17:46
2005,3320,Political Science and International Relations,60,LT,2025-12-03 12:17:46
2005,2211,Mechanics of Materials,52,LT,2025-12-03 12:17:46
2005,3104,Condensed Matter Physics,45,LT,2025-12-03 12:17:46
2005,3304,Education,39,LT,2025-12-03 12:17:46
2005,2504,"Electronic, Optical and Magnetic Materials",37,LT,2025-12-03 12:17:46
2005,3312,Sociology and Political Science,34,LT,2025-12-03 12:17:46
2005,1607,Spectroscopy,30,LT,2025-12-03 12:17:46
2005,2206,Computational Mechanics,28,LT,2025-12-03 12:17:46
2005,2205,Civil and Structural Engineering,25,LT,2025-12-03 12:17:46
2005,2507,Polymers and Plastics,22,LT,2025-12-03 12:17:46
2005,1408,Strategy and Management,20,LT,2025-12-03 12:17:46
2005,3106,Nuclear and High Energy Physics,18,LT,2025-12-03 12:17:46
2005,2209,Industrial and Manufacturing Engineering,17,LT,2025-12-03 12:17:46
2005,1605,Organic Chemistry,16,LT,2025-12-03 12:17:46
2005,1705,Computer Networks and Communications,16,LT,2025-12-03 12:17:46
2005,2207,Control and Systems Engineering,16,LT,2025-12-03 12:17:46
2005,2202,Aerospace Engineering,15,LT,2025-12-03 12:17:46
2005,2215,Building and Construction,15,LT,2025-12-03 12:17:46
2005,1110,Plant Science,14,LT,2025-12-03 12:17:46
2005,2212,Ocean Engineering,14,LT,2025-12-03 12:17:46
2005,1702,Artificial Intelligence,12,LT,2025-12-03 12:17:46
2005,2503,Ceramics and Composites,12,LT,2025-12-03 12:17:46
2005,1502,Bioengineering,11,LT,2025-12-03 12:17:46
2005,1604,Inorganic Chemistry,11,LT,2025-12-03 12:17:46
2005,1606,Physical and Theoretical Chemistry,11,LT,2025-12-03 12:17:46
2005,3108,Radiation,11,LT,2025-12-03 12:17:46
2005,3207,Social Psychology,11,LT,2025-12-03 12:17:46
2005,1311,Genetics,10,LT,2025-12-03 12:17:46
2005,1703,Computational Theory and Mathematics,10,LT,2025-12-03 12:17:46
2005,1305,Biotechnology,9,LT,2025-12-03 12:17:46
2005,1603,Electrochemistry,9,LT,2025-12-03 12:17:46
2005,1707,Computer Vision and Pattern Recognition,9,LT,2025-12-03 12:17:46
2005,2508,"Surfaces, Coatings and Films",9,LT,2025-12-03 12:17:46
2005,2741,"Radiology, Nuclear Medicine and Imaging",9,LT,2025-12-03 12:17:46
2005,3109,Statistical and Nonlinear Physics,9,LT,2025-12-03 12:17:46
2005,1803,Management Science and Operations Research,8,LT,2025-12-03 12:17:46
2005,2105,"Renewable Energy, Sustainability and the Environment",8,LT,2025-12-03 12:17:46
2005,2306,Global and Planetary Change,8,LT,2025-12-03 12:17:46
2005,2308,"Management, Monitoring, Policy and Law",8,LT,2025-12-03 12:17:46
2005,2805,Cognitive Neuroscience,8,LT,2025-12-03 12:17:46
2005,2213,"Safety, Risk, Reliability and Quality",7,LT,2025-12-03 12:17:46
2005,2740,Pulmonary and Respiratory Medicine,7,LT,2025-12-03 12:17:46
2005,1405,Management of Technology and Innovation,6,LT,2025-12-03 12:17:46
2005,1804,"Statistics, Probability and Uncertainty",6,LT,2025-12-03 12:17:46
2005,2203,Automotive Engineering,6,LT,2025-12-03 12:17:46
2005,2608,Geometry and Topology,6,LT,2025-12-03 12:17:46
2005,3614,Radiological and Ultrasound Technology,6,LT,2025-12-03 12:17:46
2005,2309,Nature and Landscape Conservation,5,LT,2025-12-03 12:17:46
2005,2500,General Materials Science,5,LT,2025-12-03 12:17:46
2005,2705,Cardiology and Cardiovascular Medicine,5,LT,2025-12-03 12:17:46
2005,2730,Oncology,5,LT,2025-12-03 12:17:46
2005,2746,Surgery,5,LT,2025-12-03 12:17:46
2005,2804,Cellular and Molecular Neuroscience,5,LT,2025-12-03 12:17:46
2005,3308,Law,5,LT,2025-12-03 12:17:46
2005,1106,Food Science,4,LT,2025-12-03 12:17:46
2005,1304,Biophysics,4,LT,2025-12-03 12:17:46
2005,1314,Physiology,4,LT,2025-12-03 12:17:46
2005,1402,Accounting,4,LT,2025-12-03 12:17:46
2005,1711,Signal Processing,4,LT,2025-12-03 12:17:46
2005,1902,Atmospheric Science,4,LT,2025-12-03 12:17:46
2005,2000,"General Economics, Econometrics and Finance",4,LT,2025-12-03 12:17:46
2005,2003,Finance,4,LT,2025-12-03 12:17:46
2005,2305,Environmental Engineering,4,LT,2025-12-03 12:17:46
2005,3103,Astronomy and Astrophysics,4,LT,2025-12-03 12:17:46
2005,3105,Instrumentation,4,LT,2025-12-03 12:17:46
2005,3305,"Geography, Planning and Development",4,LT,2025-12-03 12:17:46
2005,3600,General Health Professions,4,LT,2025-12-03 12:17:46
2005,1211,Philosophy,3,LT,2025-12-03 12:17:46
2005,1407,Organizational Behavior and Human Resource Management,3,LT,2025-12-03 12:17:46
2005,1602,Analytical Chemistry,3,LT,2025-12-03 12:17:46
2005,1708,Hardware and Architecture,3,LT,2025-12-03 12:17:46
2005,1710,Information Systems,3,LT,2025-12-03 12:17:46
2005,2310,Pollution,3,LT,2025-12-03 12:17:46
2005,2502,Biomaterials,3,LT,2025-12-03 12:17:46
2005,2604,Applied Mathematics,3,LT,2025-12-03 12:17:46
2005,2704,Biochemistry,3,LT,2025-12-03 12:17:46
2005,3300,General Social Sciences,3,LT,2025-12-03 12:17:46
2005,1100,General Agricultural and Biological Sciences,2,LT,2025-12-03 12:17:46
2005,1204,Archeology,2,LT,2025-12-03 12:17:46
2005,1207,History and Philosophy of Science,2,LT,2025-12-03 12:17:46
2005,1307,Cell Biology,2,LT,2025-12-03 12:17:46
2005,1308,Clinical Biochemistry,2,LT,2025-12-03 12:17:46
2005,1404,Management Information Systems,2,LT,2025-12-03 12:17:46
2005,1406,Marketing,2,LT,2025-12-03 12:17:46
2005,1908,Geophysics,2,LT,2025-12-03 12:17:46
2005,2100,General Energy,2,LT,2025-12-03 12:17:46
2005,2104,Nuclear Energy and Engineering,2,LT,2025-12-03 12:17:46
2005,2303,Ecology,2,LT,2025-12-03 12:17:46
2005,2311,Industrial and Manufacturing Engineering,2,LT,2025-12-03 12:17:46
2005,2611,Modeling and Simulation,2,LT,2025-12-03 12:17:46
2005,2712,"Endocrinology, Diabetes and Metabolism",2,LT,2025-12-03 12:17:46
2005,2716,Genetics,2,LT,2025-12-03 12:17:46
2005,2731,Ophthalmology,2,LT,2025-12-03 12:17:46
2005,2739,"Public Health, Environmental and Occupational Health",2,LT,2025-12-03 12:17:46
2005,2743,Reproductive Medicine,2,LT,2025-12-03 12:17:46
2005,2745,Rheumatology,2,LT,2025-12-03 12:17:46
2005,2809,Sensory Systems,2,LT,2025-12-03 12:17:46
2005,2916,Nutrition and Dietetics,2,LT,2025-12-03 12:17:46
2005,3005,Toxicology,2,LT,2025-12-03 12:17:46
2005,3203,Clinical Psychology,2,LT,2025-12-03 12:17:46
2005,3303,Development,2,LT,2025-12-03 12:17:46
2005,3311,Safety Research,2,LT,2025-12-03 12:17:46
2005,3313,Transportation,2,LT,2025-12-03 12:17:46
2005,3316,Cultural Studies,2,LT,2025-12-03 12:17:46
2005,3318,Gender Studies,2,LT,2025-12-03 12:17:46
2005,3616,Speech and Hearing,2,LT,2025-12-03 12:17:46
2005,1104,Aquatic Science,1,LT,2025-12-03 12:17:46
2005,1202,History,1,LT,2025-12-03 12:17:46
