subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,A Review of Indoor Localization Techniques and Wireless Technologies,https://doi.org/10.1007/s11277-021-08209-5,2021,373,https://openalex.org/W3131461523
2208,Electrical and Electronic Engineering,System modelling and online optimal management of MicroGrid using Mesh Adaptive Direct Search,https://doi.org/10.1016/j.ijepes.2009.11.003,2009,312,https://openalex.org/W2094046982
2208,Electrical and Electronic Engineering,Dynamic analysis and sizing optimization of a pumped hydroelectric storage-integrated hybrid PV/Wind system: A case study,https://doi.org/10.1016/j.enconman.2020.113744,2020,220,https://openalex.org/W3115570907
2208,Electrical and Electronic Engineering,Solar irradiance measurement instrumentation and power solar generation forecasting based on Artificial Neural Networks (ANN): A review of five years research trend,https://doi.org/10.1016/j.scitotenv.2020.136848,2020,204,https://openalex.org/W3002217632
2208,Electrical and Electronic Engineering,Electrochemical immunosensor array using a 96-well screen-printed microplate for aflatoxin B1 detection,https://doi.org/10.1016/j.bios.2006.06.029,2006,186,https://openalex.org/W2028077327
2208,Electrical and Electronic Engineering,"Plant-assisted remediation of hydrocarbons in water and soil: Application, mechanisms, challenges and opportunities",https://doi.org/10.1016/j.chemosphere.2020.125932,2020,183,https://openalex.org/W3000300875
2208,Electrical and Electronic Engineering,Coverage and Rate Analysis for Vertical Heterogeneous Networks (VHetNets),https://doi.org/10.1109/twc.2019.2938168,2019,147,https://openalex.org/W2973121355
2208,Electrical and Electronic Engineering,A Hybrid Local Search-Genetic Algorithm for Simultaneous Placement of DG Units and Shunt Capacitors in Radial Distribution Systems,https://doi.org/10.1109/access.2020.2981406,2020,146,https://openalex.org/W3011563809
2208,Electrical and Electronic Engineering,Experimental and simulation study of liquid coolant battery thermal management system for electric vehicles: A review,https://doi.org/10.1002/er.6268,2020,133,https://openalex.org/W3112161586
2208,Electrical and Electronic Engineering,Online management genetic algorithms of microgrid for residential application,https://doi.org/10.1016/j.enconman.2012.06.010,2012,126,https://openalex.org/W1979140622
1312,Molecular Biology,“Do We Know Jack” About JAK? A Closer Look at JAK/STAT Signaling Pathway,https://doi.org/10.3389/fonc.2018.00287,2018,371,https://openalex.org/W2886980930
1312,Molecular Biology,"A review on saponins from medicinal plants: chemistry, isolation, and determination",https://doi.org/10.15406/jnmr.2019.07.00199,2019,232,https://openalex.org/W3012402223
1312,Molecular Biology,Recent trends in cancer therapy: A review on the current state of gene delivery,https://doi.org/10.1016/j.lfs.2021.119087,2021,217,https://openalex.org/W3121446144
1312,Molecular Biology,"Andrographis paniculata (Burm. f.) Wall. ex Nees: An Updated Review of Phytochemistry, Antimicrobial Pharmacology, and Clinical Safety and Efficacy",https://doi.org/10.3390/life11040348,2021,213,https://openalex.org/W3152774184
1312,Molecular Biology,Electrochemical immunosensor array using a 96-well screen-printed microplate for aflatoxin B1 detection,https://doi.org/10.1016/j.bios.2006.06.029,2006,186,https://openalex.org/W2028077327
