subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,Towards K‐Ion and Na‐Ion Batteries as “Beyond Li‐Ion”,https://doi.org/10.1002/tcr.201700057,2018,919,https://openalex.org/W2789416411
2208,Electrical and Electronic Engineering,Duplication of the MECP2 Region Is a Frequent Cause of Severe Mental Retardation and Progressive Neurological Symptoms in Males,https://doi.org/10.1086/444549,2005,621,https://openalex.org/W1964159332
2208,Electrical and Electronic Engineering,Stock Market Prediction Using LSTM Recurrent Neural Network,https://doi.org/10.1016/j.procs.2020.03.049,2020,568,https://openalex.org/W3017229010
2208,Electrical and Electronic Engineering,Origin of structural degradation in Li-rich layered oxide cathode,https://doi.org/10.1038/s41586-022-04689-y,2022,548,https://openalex.org/W4281751308
2208,Electrical and Electronic Engineering,Prediction of solar energy guided by pearson correlation using machine learning,https://doi.org/10.1016/j.energy.2021.120109,2021,481,https://openalex.org/W3133181227
2208,Electrical and Electronic Engineering,Emerging Chemical Functionalization of g-C<sub>3</sub>N<sub>4</sub>: Covalent/Noncovalent Modifications and Applications,https://doi.org/10.1021/acsnano.0c06116,2020,458,https://openalex.org/W3092460107
2208,Electrical and Electronic Engineering,Performance analysis of MAPbI3 based perovskite solar cells employing diverse charge selective contacts: Simulation study,https://doi.org/10.1016/j.solener.2019.10.009,2019,440,https://openalex.org/W2982062156
2208,Electrical and Electronic Engineering,QuickPALM: 3D real-time photoactivation nanoscopy image processing in ImageJ,https://doi.org/10.1038/nmeth0510-339,2010,425,https://openalex.org/W2141083815
2208,Electrical and Electronic Engineering,Forecasting of demand using ARIMA model,https://doi.org/10.1177/1847979018808673,2018,413,https://openalex.org/W2898696889
2208,Electrical and Electronic Engineering,Enabling high energy lithium metal batteries via single-crystal Ni-rich cathode material co-doping strategy,https://doi.org/10.1038/s41467-022-30020-4,2022,382,https://openalex.org/W4225164169
2746,Surgery,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in young children in 2015: a systematic review and modelling study",https://doi.org/10.1016/s0140-6736(17)30938-8,2017,2276,https://openalex.org/W2727509207
2746,Surgery,Systemic Treatment with the Antidiabetic Drug Metformin Selectively Impairs p53-Deficient Tumor Cell Growth,https://doi.org/10.1158/0008-5472.can-06-4447,2007,914,https://openalex.org/W2123014930
2746,Surgery,Tepotinib in Non–Small-Cell Lung Cancer with <i>MET</i> Exon 14 Skipping Mutations,https://doi.org/10.1056/nejmoa2004407,2020,791,https://openalex.org/W3031018272
2746,Surgery,Pax3 and Pax7 have distinct and overlapping functions in adult muscle progenitor cells,https://doi.org/10.1083/jcb.200508044,2005,696,https://openalex.org/W2004602258
2746,Surgery,"Mesozoic and Cenozoic vertical movements in the Atlas system (Algeria, Morocco, Tunisia): An overview",https://doi.org/10.1016/j.tecto.2008.10.024,2008,473,https://openalex.org/W2110496782
2746,Surgery,Mutations of <i>β-Catenin</i> in Adrenocortical Tumors: Activation of the Wnt Signaling Pathway Is a Frequent Event in both Benign and Malignant Adrenocortical Tumors,https://doi.org/10.1158/0008-5472.can-05-0593,2005,450,https://openalex.org/W2157610967
2746,Surgery,The 2022 Update of IUIS Phenotypical Classification for Human Inborn Errors of Immunity,https://doi.org/10.1007/s10875-022-01352-z,2022,440,https://openalex.org/W4302278284
2746,Surgery,Constitutive Activation of PKA Catalytic Subunit in Adrenal Cushing's Syndrome,https://doi.org/10.1056/nejmoa1310359,2014,414,https://openalex.org/W2040816499
2746,Surgery,Transplantation of a multipotent cell population from human adipose tissue induces dystrophin expression in the immunocompetent mdx mouse,https://doi.org/10.1084/jem.20042224,2005,400,https://openalex.org/W2143516374
2746,Surgery,"Regenerative Capacity of Adipose Derived Stem Cells (ADSCs), Comparison with Mesenchymal Stem Cells (MSCs)",https://doi.org/10.3390/ijms20102523,2019,395,https://openalex.org/W2946284807
1110,Plant Science,Biological effects of essential oils – A review,https://doi.org/10.1016/j.fct.2007.09.106,2007,7399,https://openalex.org/W2122910156
1110,Plant Science,"Taxonomy, Physiology, and Natural Products of Actinobacteria",https://doi.org/10.1128/mmbr.00019-15,2016,2009,https://openalex.org/W2178324140
1110,Plant Science,Is soil carbon mostly root carbon? Mechanisms for a specific stabilisation,https://doi.org/10.1007/s11104-004-0907-y,2005,1750,https://openalex.org/W2060590119
1110,Plant Science,"Nitrogen uptake, assimilation and remobilization in plants: challenges for sustainable and productive agriculture",https://doi.org/10.1093/aob/mcq028,2010,1624,https://openalex.org/W2030825709
1110,Plant Science,Carbon flow in the rhizosphere: carbon trading at the soil–root interface,https://doi.org/10.1007/s11104-009-9925-0,2009,1605,https://openalex.org/W2112998801
1110,Plant Science,A chromosome-based draft sequence of the hexaploid bread wheat ( <i>Triticum aestivum</i> ) genome,https://doi.org/10.1126/science.1251788,2014,1596,https://openalex.org/W1990813498
1110,Plant Science,"A physical, genetic and functional sequence assembly of the barley genome",https://doi.org/10.1038/nature11543,2012,1465,https://openalex.org/W2118140755
1110,Plant Science,"Review on the toxicity, occurrence, metabolism, detoxification, regulations and intake of zearalenone: An oestrogenic mycotoxin",https://doi.org/10.1016/j.fct.2006.07.030,2006,1381,https://openalex.org/W2147203421
1110,Plant Science,The challenge of improving nitrogen use efficiency in crop plants: towards a more central role for genetic variability and quantitative genetics within integrated approaches,https://doi.org/10.1093/jxb/erm097,2007,1280,https://openalex.org/W2114185778
1110,Plant Science,Impacts and adaptation of European crop production systems to climate change,https://doi.org/10.1016/j.eja.2010.11.003,2010,1167,https://openalex.org/W2020083063
1312,Molecular Biology,Richness of human gut microbiome correlates with metabolic markers,https://doi.org/10.1038/nature12506,2013,4503,https://openalex.org/W2004549986
1312,Molecular Biology,Alterations of the human gut microbiome in liver cirrhosis,https://doi.org/10.1038/nature13568,2014,2140,https://openalex.org/W1964027278
1312,Molecular Biology,An integrated catalog of reference genes in the human gut microbiome,https://doi.org/10.1038/nbt.2942,2014,2098,https://openalex.org/W2097124003
1312,Molecular Biology,"Taxonomy, Physiology, and Natural Products of Actinobacteria",https://doi.org/10.1128/mmbr.00019-15,2016,2009,https://openalex.org/W2178324140
1312,Molecular Biology,The Intestinal Microbiota Modulates the Anticancer Immune Effects of Cyclophosphamide,https://doi.org/10.1126/science.1240537,2013,1928,https://openalex.org/W2059128083
1312,Molecular Biology,Dietary intervention impact on gut microbial gene richness,https://doi.org/10.1038/nature12480,2013,1764,https://openalex.org/W2083501377
1312,Molecular Biology,Inhibition of Macroautophagy Triggers Apoptosis,https://doi.org/10.1128/mcb.25.3.1025-1040.2005,2005,1593,https://openalex.org/W2167656141
1312,Molecular Biology,Ancient human genomes suggest three ancestral populations for present-day Europeans,https://doi.org/10.1038/nature13673,2014,1419,https://openalex.org/W2050967443
1312,Molecular Biology,Specificity and affinity of human Fcγ receptors and their polymorphic variants for human IgG subclasses,https://doi.org/10.1182/blood-2008-09-179754,2008,1396,https://openalex.org/W1991656907
1312,Molecular Biology,A mutation creating a potential illegitimate microRNA target site in the myostatin gene affects muscularity in sheep,https://doi.org/10.1038/ng1810,2006,1237,https://openalex.org/W2134406094
1702,Artificial Intelligence,Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),https://doi.org/10.1109/access.2018.2870052,2018,5069,https://openalex.org/W2891503716
1702,Artificial Intelligence,"A comprehensive survey on sentiment analysis: Approaches, challenges and trends",https://doi.org/10.1016/j.knosys.2021.107134,2021,806,https://openalex.org/W3163841364
1702,Artificial Intelligence,Deep learning approach for Network Intrusion Detection in Software Defined Networking,https://doi.org/10.1109/wincom.2016.7777224,2016,769,https://openalex.org/W2560162835
1702,Artificial Intelligence,Using Machine Learning Algorithms for Breast Cancer Risk Prediction and Diagnosis,https://doi.org/10.1016/j.procs.2016.04.224,2016,740,https://openalex.org/W2370924594
1702,Artificial Intelligence,Big healthcare data: preserving security and privacy,https://doi.org/10.1186/s40537-017-0110-7,2018,691,https://openalex.org/W2784070037
1702,Artificial Intelligence,FairAccess: a new Blockchain‐based access control framework for the Internet of Things,https://doi.org/10.1002/sec.1748,2016,662,https://openalex.org/W2588585573
1702,Artificial Intelligence,BACH: Grand challenge on breast cancer histology images,https://doi.org/10.1016/j.media.2019.05.010,2019,607,https://openalex.org/W2885824038
1702,Artificial Intelligence,Daily energy expenditure through the human life course,https://doi.org/10.1126/science.abe5017,2021,509,https://openalex.org/W3183815414
1702,Artificial Intelligence,"Environmental and ecological risk assessment of heavy metals in sediments of Nador lagoon, Morocco",https://doi.org/10.1016/j.ecolind.2014.09.034,2014,509,https://openalex.org/W2086499698
1702,Artificial Intelligence,Prediction of solar energy guided by pearson correlation using machine learning,https://doi.org/10.1016/j.energy.2021.120109,2021,481,https://openalex.org/W3133181227
2505,Materials Chemistry,"Thermodynamic characterization of metal dissolution and inhibitor adsorption processes in mild steel/2,5-bis(n-thienyl)-1,3,4-thiadiazoles/hydrochloric acid system",https://doi.org/10.1016/j.corsci.2005.05.034,2005,1000,https://openalex.org/W1980653386
2505,Materials Chemistry,"Classifications, properties, recent synthesis and applications of azo dyes",https://doi.org/10.1016/j.heliyon.2020.e03271,2020,861,https://openalex.org/W3003280505
2505,Materials Chemistry,Thermal degradation behaviors of polyethylene and polypropylene. Part I: Pyrolysis kinetics and mechanisms,https://doi.org/10.1016/j.enconman.2009.12.017,2010,655,https://openalex.org/W2031053572
2505,Materials Chemistry,"Biosynthesis, characterization and antimicrobial activity of copper oxide nanoparticles (CONPs) produced using brown alga extract (Bifurcaria bifurcata)",https://doi.org/10.1007/s13204-013-0233-x,2013,591,https://openalex.org/W2013796542
2505,Materials Chemistry,"XPS study of silver, nickel and bimetallic silver–nickel nanoparticles prepared by seed-mediated growth",https://doi.org/10.1016/j.apsusc.2012.05.095,2012,566,https://openalex.org/W2007675823
2505,Materials Chemistry,Charge transport and mobility engineering in two-dimensional transition metal chalcogenide semiconductors,https://doi.org/10.1039/c5cs00517e,2015,516,https://openalex.org/W2175116097
2505,Materials Chemistry,"Thermodynamic properties of 2,5-bis(4-methoxyphenyl)-1,3,4-oxadiazole as a corrosion inhibitor for mild steel in normal sulfuric acid medium",https://doi.org/10.1016/j.corsci.2005.08.019,2005,502,https://openalex.org/W2034013476
2505,Materials Chemistry,New developments in the InterPro database,https://doi.org/10.1093/nar/gkl841,2007,497,https://openalex.org/W2100990314
2505,Materials Chemistry,"Hydroxyapatite: A review of syntheses, structure and applications in heterogeneous catalysis",https://doi.org/10.1016/j.ccr.2017.06.009,2017,486,https://openalex.org/W2624729022
