year,id,name,works_count,country,fetch_date
2005,2306,Global and Planetary Change,16,MC,2025-12-01 19:07:47
2005,2746,Surgery,14,MC,2025-12-01 19:07:47
2005,1910,Oceanography,13,MC,2025-12-01 19:07:47
2005,2303,Ecology,13,MC,2025-12-01 19:07:47
2005,2705,Cardiology and Cardiovascular Medicine,10,MC,2025-12-01 19:07:47
2005,3614,Radiological and Ultrasound Technology,7,MC,2025-12-01 19:07:47
2005,2304,Environmental Chemistry,5,MC,2025-12-01 19:07:47
2005,2740,Pulmonary and Respiratory Medicine,5,MC,2025-12-01 19:07:47
2005,1902,Atmospheric Science,4,MC,2025-12-01 19:07:47
2005,2307,"Health, Toxicology and Mutagenesis",4,MC,2025-12-01 19:07:47
2005,1312,Molecular Biology,3,MC,2025-12-01 19:07:47
2005,2502,Biomaterials,3,MC,2025-12-01 19:07:47
2005,1604,Inorganic Chemistry,2,MC,2025-12-01 19:07:47
2005,2204,Biomedical Engineering,2,MC,2025-12-01 19:07:47
2005,2713,Epidemiology,2,MC,2025-12-01 19:07:47
2005,2729,Obstetrics and Gynecology,2,MC,2025-12-01 19:07:47
2005,3108,Radiation,2,MC,2025-12-01 19:07:47
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,MC,2025-12-01 19:07:47
2005,1110,Plant Science,1,MC,2025-12-01 19:07:47
2005,1305,Biotechnology,1,MC,2025-12-01 19:07:47
2005,1311,Genetics,1,MC,2025-12-01 19:07:47
2005,1904,Earth-Surface Processes,1,MC,2025-12-01 19:07:47
2005,1911,Paleontology,1,MC,2025-12-01 19:07:47
2005,2212,Ocean Engineering,1,MC,2025-12-01 19:07:47
2005,2213,"Safety, Risk, Reliability and Quality",1,MC,2025-12-01 19:07:47
2005,2309,Nature and Landscape Conservation,1,MC,2025-12-01 19:07:47
2005,2310,Pollution,1,MC,2025-12-01 19:07:47
2005,2311,Industrial and Manufacturing Engineering,1,MC,2025-12-01 19:07:47
2005,2725,Infectious Diseases,1,MC,2025-12-01 19:07:47
2005,2728,Neurology,1,MC,2025-12-01 19:07:47
2005,2739,"Public Health, Environmental and Occupational Health",1,MC,2025-12-01 19:07:47
2005,2743,Reproductive Medicine,1,MC,2025-12-01 19:07:47
2006,2306,Global and Planetary Change,25,MC,2025-12-01 19:07:47
2006,2303,Ecology,20,MC,2025-12-01 19:07:47
2006,1910,Oceanography,18,MC,2025-12-01 19:07:47
2006,2746,Surgery,10,MC,2025-12-01 19:07:47
2006,2740,Pulmonary and Respiratory Medicine,6,MC,2025-12-01 19:07:47
2006,2705,Cardiology and Cardiovascular Medicine,5,MC,2025-12-01 19:07:47
2006,3614,Radiological and Ultrasound Technology,5,MC,2025-12-01 19:07:47
2006,1902,Atmospheric Science,4,MC,2025-12-01 19:07:47
2006,1906,Geochemistry and Petrology,4,MC,2025-12-01 19:07:47
2006,2741,"Radiology, Nuclear Medicine and Imaging",4,MC,2025-12-01 19:07:47
2006,1104,Aquatic Science,3,MC,2025-12-01 19:07:47
2006,1305,Biotechnology,3,MC,2025-12-01 19:07:47
2006,1911,Paleontology,3,MC,2025-12-01 19:07:47
2006,2307,"Health, Toxicology and Mutagenesis",3,MC,2025-12-01 19:07:47
2006,3108,Radiation,3,MC,2025-12-01 19:07:47
2006,1105,"Ecology, Evolution, Behavior and Systematics",2,MC,2025-12-01 19:07:47
2006,1604,Inorganic Chemistry,2,MC,2025-12-01 19:07:47
2006,2309,Nature and Landscape Conservation,2,MC,2025-12-01 19:07:47
2006,2310,Pollution,2,MC,2025-12-01 19:07:47
2006,2502,Biomaterials,2,MC,2025-12-01 19:07:47
2006,2731,Ophthalmology,2,MC,2025-12-01 19:07:47
2006,1106,Food Science,1,MC,2025-12-01 19:07:47
2006,1311,Genetics,1,MC,2025-12-01 19:07:47
2006,1312,Molecular Biology,1,MC,2025-12-01 19:07:47
2006,2211,Mechanics of Materials,1,MC,2025-12-01 19:07:47
2006,2304,Environmental Chemistry,1,MC,2025-12-01 19:07:47
2006,2305,Environmental Engineering,1,MC,2025-12-01 19:07:47
2006,2308,"Management, Monitoring, Policy and Law",1,MC,2025-12-01 19:07:47
2006,2703,Anesthesiology and Pain Medicine,1,MC,2025-12-01 19:07:47
2006,2713,Epidemiology,1,MC,2025-12-01 19:07:47
2006,2725,Infectious Diseases,1,MC,2025-12-01 19:07:47
2006,2727,Nephrology,1,MC,2025-12-01 19:07:47
2006,2730,Oncology,1,MC,2025-12-01 19:07:47
2006,2734,Pathology and Forensic Medicine,1,MC,2025-12-01 19:07:47
2006,2748,Urology,1,MC,2025-12-01 19:07:47
2006,3004,Pharmacology,1,MC,2025-12-01 19:07:47
2007,2303,Ecology,14,MC,2025-12-01 19:07:47
2007,2746,Surgery,13,MC,2025-12-01 19:07:47
2007,1910,Oceanography,12,MC,2025-12-01 19:07:47
2007,2306,Global and Planetary Change,10,MC,2025-12-01 19:07:47
2007,2307,"Health, Toxicology and Mutagenesis",10,MC,2025-12-01 19:07:47
2007,2310,Pollution,8,MC,2025-12-01 19:07:47
2007,2705,Cardiology and Cardiovascular Medicine,6,MC,2025-12-01 19:07:47
2007,2713,Epidemiology,6,MC,2025-12-01 19:07:47
2007,2740,Pulmonary and Respiratory Medicine,6,MC,2025-12-01 19:07:47
2007,1105,"Ecology, Evolution, Behavior and Systematics",5,MC,2025-12-01 19:07:47
2007,1312,Molecular Biology,4,MC,2025-12-01 19:07:47
2007,1902,Atmospheric Science,3,MC,2025-12-01 19:07:47
2007,2304,Environmental Chemistry,3,MC,2025-12-01 19:07:47
2007,2734,Pathology and Forensic Medicine,3,MC,2025-12-01 19:07:47
2007,1305,Biotechnology,2,MC,2025-12-01 19:07:47
2007,2204,Biomedical Engineering,2,MC,2025-12-01 19:07:47
2007,2502,Biomaterials,2,MC,2025-12-01 19:07:47
2007,2715,Gastroenterology,2,MC,2025-12-01 19:07:47
2007,2725,Infectious Diseases,2,MC,2025-12-01 19:07:47
2007,2732,Orthopedics and Sports Medicine,2,MC,2025-12-01 19:07:47
2007,2737,Physiology,2,MC,2025-12-01 19:07:47
2007,3108,Radiation,2,MC,2025-12-01 19:07:47
2007,1104,Aquatic Science,1,MC,2025-12-01 19:07:47
2007,1106,Food Science,1,MC,2025-12-01 19:07:47
2007,1303,Biochemistry,1,MC,2025-12-01 19:07:47
2007,1306,Cancer Research,1,MC,2025-12-01 19:07:47
2007,1906,Geochemistry and Petrology,1,MC,2025-12-01 19:07:47
2007,2212,Ocean Engineering,1,MC,2025-12-01 19:07:47
