subfield_id,subfield_name,title,doi,year,cited_by_count,id
2002,Economics and Econometrics,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4779,https://openalex.org/W2953804067
2002,Economics and Econometrics,Rain and the Democratic Window of Opportunity,https://doi.org/10.3982/ecta8183,2011,427,https://openalex.org/W3022000320
2002,Economics and Econometrics,"The concept of sustainable regional development – institutional aspects, policies and prospects",https://doi.org/10.14254/2071-8330.2017/10-1/18,2017,174,https://openalex.org/W2777740306
2208,Electrical and Electronic Engineering,On the root mean square error (RMSE) calculation for parameter estimation of photovoltaic models: A novel exact analytical solution based on Lambert W function,https://doi.org/10.1016/j.enconman.2020.112716,2020,309,https://openalex.org/W3012113472
2208,Electrical and Electronic Engineering,Minimization of Torque Ripple and Copper Losses in Switched Reluctance Drive,https://doi.org/10.1109/tpel.2011.2158447,2011,295,https://openalex.org/W2094717004
2208,Electrical and Electronic Engineering,Rotating-Sliding-Line-Based Sliding-Mode Control for Single-Phase UPS Inverters,https://doi.org/10.1109/tie.2011.2159354,2011,191,https://openalex.org/W1988408374
3312,Sociology and Political Science,Rain and the Democratic Window of Opportunity,https://doi.org/10.3982/ecta8183,2011,427,https://openalex.org/W3022000320
3312,Sociology and Political Science,"The impact of digital transformation and digital marketing on the brand promotion, positioning and electronic business in Montenegro",https://doi.org/10.1016/j.techsoc.2020.101425,2020,257,https://openalex.org/W3092643736
3312,Sociology and Political Science,Determinants of Millennials' behavior in online shopping – Implications on consumers’ satisfaction and e-business development,https://doi.org/10.1016/j.techsoc.2021.101561,2021,119,https://openalex.org/W3136290375
1110,Plant Science,Natural and Modified (1→3)-β-D-Glucans in Health Promotion and Disease Alleviation,https://doi.org/10.1080/07388550500376166,2005,299,https://openalex.org/W2164052164
1110,Plant Science,Architecting an IoT-enabled platform for precision agriculture and ecological monitoring: A case study,https://doi.org/10.1016/j.compag.2017.06.008,2017,217,https://openalex.org/W2734663564
1110,Plant Science,Ethnobotanical study on traditional uses of wild medicinal plants in Prokletije Mountains (Montenegro),https://doi.org/10.1016/j.jep.2010.09.008,2010,214,https://openalex.org/W2048247853
1105,"Ecology, Evolution, Behavior and Systematics","Force Generation, Transmission, and Integration during Cell and Tissue Morphogenesis",https://doi.org/10.1146/annurev-cellbio-100109-104027,2011,601,https://openalex.org/W2121492835
1105,"Ecology, Evolution, Behavior and Systematics",Biological Invasions in Conservation Planning: A Global Systematic Review,https://doi.org/10.3389/fmars.2018.00178,2018,107,https://openalex.org/W2803170056
1105,"Ecology, Evolution, Behavior and Systematics","Order Trombidiformes Reuter, 1909. In: Zhang, Z.-Q. (Ed.) Animal biodiversity: An outline of higher-level classification and survey of taxonomic richness",https://doi.org/10.11646/zootaxa.3148.1.24,2011,98,https://openalex.org/W2923454807
2204,Biomedical Engineering,"Force Generation, Transmission, and Integration during Cell and Tissue Morphogenesis",https://doi.org/10.1146/annurev-cellbio-100109-104027,2011,601,https://openalex.org/W2121492835
2204,Biomedical Engineering,Compressive Sensing Based Separation of Nonstationary and Stationary Signals Overlapping in Time-Frequency,https://doi.org/10.1109/tsp.2013.2271752,2013,156,https://openalex.org/W2006961489
2204,Biomedical Engineering,Missing samples analysis in signals for applications to L-estimation and compressive sensing,https://doi.org/10.1016/j.sigpro.2013.07.002,2013,146,https://openalex.org/W191944555
2303,Ecology,DNA barcode reference libraries for the monitoring of aquatic biota in Europe: Gap-analysis and recommendations for future work,https://doi.org/10.1016/j.scitotenv.2019.04.247,2019,519,https://openalex.org/W2949259316
2303,Ecology,Management priorities for marine invasive species,https://doi.org/10.1016/j.scitotenv.2019.06.282,2019,198,https://openalex.org/W2951785677
2303,Ecology,The peatland map of Europe,https://doi.org/10.19189/map.2016.omb.264,2017,187,https://openalex.org/W2769181872
2207,Control and Systems Engineering,Minimization of Torque Ripple and Copper Losses in Switched Reluctance Drive,https://doi.org/10.1109/tpel.2011.2158447,2011,295,https://openalex.org/W2094717004
2207,Control and Systems Engineering,Targeted energy transfers in vibro-impact oscillators for seismic mitigation,https://doi.org/10.1007/s11071-006-9189-7,2007,231,https://openalex.org/W2037031881
2207,Control and Systems Engineering,Rotating-Sliding-Line-Based Sliding-Mode Control for Single-Phase UPS Inverters,https://doi.org/10.1109/tie.2011.2159354,2011,191,https://openalex.org/W1988408374
2306,Global and Planetary Change,Management priorities for marine invasive species,https://doi.org/10.1016/j.scitotenv.2019.06.282,2019,198,https://openalex.org/W2951785677
2306,Global and Planetary Change,Coralligenous and maërl habitats: predictive modelling to identify their spatial distributions across the Mediterranean Sea,https://doi.org/10.1038/srep05073,2014,156,https://openalex.org/W2043564672
2306,Global and Planetary Change,Tracking a mass mortality outbreak of pen shell Pinna nobilis populations: A collaborative effort of scientists and citizens,https://doi.org/10.1038/s41598-019-49808-4,2019,124,https://openalex.org/W2973960026
1312,Molecular Biology,DNA barcode reference libraries for the monitoring of aquatic biota in Europe: Gap-analysis and recommendations for future work,https://doi.org/10.1016/j.scitotenv.2019.04.247,2019,519,https://openalex.org/W2949259316
1312,Molecular Biology,High Molecular Size Humic Substances Enhance Phenylpropanoid Metabolism in Maize (Zea mays L.),https://doi.org/10.1007/s10886-010-9790-6,2010,209,https://openalex.org/W2076580959
1312,Molecular Biology,The Essentials of Marine Biotechnology,https://doi.org/10.3389/fmars.2021.629629,2021,178,https://openalex.org/W3127590788
