subfield_id,subfield_name,title,doi,year,cited_by_count,id
1105,"Ecology, Evolution, Behavior and Systematics",Accelerated Species Inventory on Madagascar Using Coalescent-Based Models of Species Delineation,https://doi.org/10.1093/sysbio/syp027,2009,731,https://openalex.org/W2139637265
1105,"Ecology, Evolution, Behavior and Systematics",Fungal diversity notes 111–252—taxonomic and phylogenetic contributions to fungal taxa,https://doi.org/10.1007/s13225-015-0346-5,2015,717,https://openalex.org/W2190700649
1105,"Ecology, Evolution, Behavior and Systematics",Extreme vulnerability of smallholder farmers to agricultural risks and climate change in Madagascar,https://doi.org/10.1098/rstb.2013.0089,2014,675,https://openalex.org/W2161541044
2739,"Public Health, Environmental and Occupational Health",Genome Microevolution of Chikungunya Viruses Causing the Indian Ocean Outbreak,https://doi.org/10.1371/journal.pmed.0030263,2006,1164,https://openalex.org/W2034377840
2739,"Public Health, Environmental and Occupational Health","Plague: Past, Present, and Future",https://doi.org/10.1371/journal.pmed.0050003,2008,536,https://openalex.org/W2008472051
2739,"Public Health, Environmental and Occupational Health",<i>Plasmodium vivax</i> clinical malaria is commonly observed in Duffy-negative Malagasy people,https://doi.org/10.1073/pnas.0912496107,2010,371,https://openalex.org/W2112395530
2306,Global and Planetary Change,Extinction vulnerability of tropical montane endemism from warming and upslope displacement: a preliminary appraisal for the highest massif in Madagascar,https://doi.org/10.1111/j.1365-2486.2008.01596.x,2008,373,https://openalex.org/W2000365653
2306,Global and Planetary Change,"Decomposition in tropical forests: a pan‐tropical study of the effects of litter type, litter placement and mesofaunal exclusion across a precipitation gradient",https://doi.org/10.1111/j.1365-2745.2009.01515.x,2009,368,https://openalex.org/W2108812620
2306,Global and Planetary Change,Combining global tree cover loss data with historical national forest cover maps to look at six decades of deforestation and forest fragmentation in Madagascar,https://doi.org/10.1016/j.biocon.2018.04.008,2018,361,https://openalex.org/W2952542446
2303,Ecology,The Impact of Conservation on the Status of the World’s Vertebrates,https://doi.org/10.1126/science.1194442,2010,1509,https://openalex.org/W2111760270
2303,Ecology,"The Status of the World's Land and Marine Mammals: Diversity, Threat, and Knowledge",https://doi.org/10.1126/science.1165115,2008,1501,https://openalex.org/W2057507880
2303,Ecology,Spatial filtering to reduce sampling bias can improve the performance of ecological niche models,https://doi.org/10.1016/j.ecolmodel.2013.12.012,2014,1312,https://openalex.org/W2081334206
1312,Molecular Biology,Accelerated Species Inventory on Madagascar Using Coalescent-Based Models of Species Delineation,https://doi.org/10.1093/sysbio/syp027,2009,731,https://openalex.org/W2139637265
1312,Molecular Biology,Fungal diversity notes 1–110: taxonomic and phylogenetic contributions to fungal species,https://doi.org/10.1007/s13225-015-0324-y,2015,449,https://openalex.org/W2028594530
1312,Molecular Biology,Multiple Antimicrobial Resistance in Plague: An Emerging Public Health Risk,https://doi.org/10.1371/journal.pone.0000309,2007,396,https://openalex.org/W1978346502
2725,Infectious Diseases,"Mycobacterium tuberculosis complex genetic diversity: mining the fourth international spoligotyping database (SpolDB4) for classification, population genetics and epidemiology",https://doi.org/10.1186/1471-2180-6-23,2006,1020,https://openalex.org/W2096162460
2725,Infectious Diseases,Methotrexate an Old Drug with New Tricks,https://doi.org/10.3390/ijms20205023,2019,414,https://openalex.org/W2979313800
2725,Infectious Diseases,Prioritising the role of community health workers in the COVID-19 response,https://doi.org/10.1136/bmjgh-2020-002550,2020,377,https://openalex.org/W3033554322
1110,Plant Science,Fungal diversity notes 111–252—taxonomic and phylogenetic contributions to fungal taxa,https://doi.org/10.1007/s13225-015-0346-5,2015,717,https://openalex.org/W2190700649
1110,Plant Science,Yersinia pestis genome sequencing identifies patterns of global phylogenetic diversity,https://doi.org/10.1038/ng.705,2010,561,https://openalex.org/W2066084832
1110,Plant Science,Whole plant extracts versus single compounds for the treatment of malaria: synergy and positive interactions,https://doi.org/10.1186/1475-2875-10-s1-s4,2011,532,https://openalex.org/W2146594405
3207,Social Psychology,The Importance of Taboos and Social Norms to Conservation in Madagascar,https://doi.org/10.1111/j.1523-1739.2008.00970.x,2008,257,https://openalex.org/W2046660830
3207,Social Psychology,Evidence for recent gene flow between north-eastern and south-eastern Madagascan poison frogs from a phylogeography of the Mantella cowani group,https://doi.org/10.1186/1742-9994-4-1,2007,219,https://openalex.org/W2101508701
3207,Social Psychology,A Vision for Global Biodiversity Monitoring With Citizen Science,https://doi.org/10.1016/bs.aecr.2018.06.003,2018,198,https://openalex.org/W2895127238
1311,Genetics,Spatial filtering to reduce sampling bias can improve the performance of ecological niche models,https://doi.org/10.1016/j.ecolmodel.2013.12.012,2014,1312,https://openalex.org/W2081334206
1311,Genetics,Accelerated Species Inventory on Madagascar Using Coalescent-Based Models of Species Delineation,https://doi.org/10.1093/sysbio/syp027,2009,731,https://openalex.org/W2139637265
1311,Genetics,Yersinia pestis genome sequencing identifies patterns of global phylogenetic diversity,https://doi.org/10.1038/ng.705,2010,561,https://openalex.org/W2066084832
2713,Epidemiology,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in young children in 2015: a systematic review and modelling study",https://doi.org/10.1016/s0140-6736(17)30938-8,2017,2264,https://openalex.org/W2727509207
2713,Epidemiology,"Mycobacterium tuberculosis complex genetic diversity: mining the fourth international spoligotyping database (SpolDB4) for classification, population genetics and epidemiology",https://doi.org/10.1186/1471-2180-6-23,2006,1020,https://openalex.org/W2096162460
2713,Epidemiology,Risk Factors for Severe Outcomes following 2009 Influenza A (H1N1) Infection: A Global Pooled Analysis,https://doi.org/10.1371/journal.pmed.1001053,2011,705,https://openalex.org/W2104040437
