subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,Digital Ethnography: Principles and Practice,,2015,1078,https://openalex.org/W2272619614
3312,Sociology and Political Science,Preventing problematic internet use during the COVID-19 pandemic: Consensus guidance,https://doi.org/10.1016/j.comppsych.2020.152180,2020,799,https://openalex.org/W3025109728
3312,Sociology and Political Science,Beyond GDP: Measuring and achieving global genuine progress,https://doi.org/10.1016/j.ecolecon.2013.04.019,2013,732,https://openalex.org/W2140904828
2002,Economics and Econometrics,Key principles for the improved conduct of health technology assessments for resource allocation decisions,https://doi.org/10.1017/s0266462308080343,2008,480,https://openalex.org/W2140326213
2002,Economics and Econometrics,National identity predicts public health support during a global pandemic,https://doi.org/10.1038/s41467-021-27668-9,2022,261,https://openalex.org/W4225690429
2002,Economics and Econometrics,Product innovation and firm performance in transition economies: A multi-stage estimation approach,https://doi.org/10.1016/j.techfore.2018.12.010,2018,249,https://openalex.org/W2904571575
2208,Electrical and Electronic Engineering,A review of Internet of Things for smart home: Challenges and solutions,https://doi.org/10.1016/j.jclepro.2016.10.006,2016,1346,https://openalex.org/W2529556398
2208,Electrical and Electronic Engineering,Status and prospects of Al2O3-based surface passivation schemes for silicon solar cells,https://doi.org/10.1116/1.4728205,2012,764,https://openalex.org/W2070687134
2208,Electrical and Electronic Engineering,Ultralow surface recombination of c-Si substrates passivated by plasma-assisted atomic layer deposited Al2O3,https://doi.org/10.1063/1.2240736,2006,703,https://openalex.org/W2004423132
1702,Artificial Intelligence,A Survey of Deep Active Learning,https://doi.org/10.1145/3472291,2021,922,https://openalex.org/W3205626500
1702,Artificial Intelligence,OP-ELM: Optimally Pruned Extreme Learning Machine,https://doi.org/10.1109/tnn.2009.2036259,2009,757,https://openalex.org/W2130378394
1702,Artificial Intelligence,An extensive experimental comparison of methods for multi-label learning,https://doi.org/10.1016/j.patcog.2012.03.004,2012,720,https://openalex.org/W2145827727
3320,Political Science and International Relations,"Expressive Political Behaviour: Foundations, Scope and Implications",https://doi.org/10.1017/s0007123411000020,2011,320,https://openalex.org/W2132774477
3320,Political Science and International Relations,"“Geography of Opportunity”: Poverty, Place, and Educational Outcomes",https://doi.org/10.3102/0013189x08326409,2008,246,https://openalex.org/W2086179770
3320,Political Science and International Relations,Capacity building: Facilitating citizen participation in local governance,https://doi.org/10.1111/j.1467-8500.2005.00465a.x,2005,169,https://openalex.org/W2034258480
1710,Information Systems,Accounting and Auditing at the Time of Blockchain Technology: A Research Agenda,https://doi.org/10.1111/auar.12286,2019,399,https://openalex.org/W2932432602
1710,Information Systems,Blockchain solutions for big data challenges: A literature review,https://doi.org/10.1109/eurocon.2017.8011213,2017,377,https://openalex.org/W2749029156
1710,Information Systems,Economics of Blockchain,https://doi.org/10.2139/ssrn.2744751,2016,292,https://openalex.org/W2295894398
1312,Molecular Biology,Clinical Relevance of Biomarkers of Oxidative Stress,https://doi.org/10.1089/ars.2015.6317,2015,831,https://openalex.org/W2139131794
1312,Molecular Biology,Clinical practice guideline on diagnosis and treatment of hyponatraemia,https://doi.org/10.1530/eje-13-1020,2014,764,https://openalex.org/W4294554863
1312,Molecular Biology,An extensive experimental comparison of methods for multi-label learning,https://doi.org/10.1016/j.patcog.2012.03.004,2012,720,https://openalex.org/W2145827727
1705,Computer Networks and Communications,A review of Internet of Things for smart home: Challenges and solutions,https://doi.org/10.1016/j.jclepro.2016.10.006,2016,1346,https://openalex.org/W2529556398
1705,Computer Networks and Communications,Sparse Signal Processing for Grant-Free Massive Connectivity: A Future Paradigm for Random Access Protocols in the Internet of Things,https://doi.org/10.1109/msp.2018.2844952,2018,490,https://openalex.org/W2890736047
1705,Computer Networks and Communications,Blockchain solutions for big data challenges: A literature review,https://doi.org/10.1109/eurocon.2017.8011213,2017,377,https://openalex.org/W2749029156
3600,General Health Professions,"JOB SATISFACTION, A LITERATURE REVIEW",,2011,782,https://openalex.org/W2133346135
3600,General Health Professions,Key principles for the improved conduct of health technology assessments for resource allocation decisions,https://doi.org/10.1017/s0266462308080343,2008,480,https://openalex.org/W2140326213
3600,General Health Professions,Are quality improvement collaboratives effective? A systematic review,https://doi.org/10.1136/bmjqs-2017-006926,2017,413,https://openalex.org/W2766809004
3304,Education,"“Geography of Opportunity”: Poverty, Place, and Educational Outcomes",https://doi.org/10.3102/0013189x08326409,2008,246,https://openalex.org/W2086179770
3304,Education,"The context of Islamic entrepreneurship and business: concept, principles and perspectives",https://doi.org/10.1504/ijbg.2015.071906,2015,181,https://openalex.org/W2182275863
3304,Education,INTERNET ADDICTION: A REVIEW OF THE FIRST TWENTY YEARS,https://doi.org/10.24869/psyd.2017.260,2017,180,https://openalex.org/W2755206989
