subfield_id,subfield_name,title,doi,year,cited_by_count,id
1110,Plant Science,Mechanisms of plant defense against insect herbivores,https://doi.org/10.4161/psb.21663,2012,1920,https://openalex.org/W2064237100
1110,Plant Science,Nutritional quality and health benefits of chickpea (<i>Cicer arietinum</i>L.): a review,https://doi.org/10.1017/s0007114512000797,2012,925,https://openalex.org/W2046743796
1110,Plant Science,Transgenic approaches for abiotic stress tolerance in plants: retrospect and prospects,https://doi.org/10.1007/s00299-007-0474-9,2007,602,https://openalex.org/W2018568620
2739,"Public Health, Environmental and Occupational Health",A Research Agenda to Underpin Malaria Eradication,https://doi.org/10.1371/journal.pmed.1000406,2011,658,https://openalex.org/W2111179758
2739,"Public Health, Environmental and Occupational Health",Perioperative patient outcomes in the African Surgical Outcomes Study: a 7-day prospective observational cohort study,https://doi.org/10.1016/s0140-6736(18)30001-1,2018,549,https://openalex.org/W2782431511
2739,"Public Health, Environmental and Occupational Health",Analysis of Plasmodium falciparum diversity in natural infections by deep sequencing,https://doi.org/10.1038/nature11174,2012,519,https://openalex.org/W2135697415
1312,Molecular Biology,"Elafibranor, an Agonist of the Peroxisome Proliferator−Activated Receptor−α and −δ, Induces Resolution of Nonalcoholic Steatohepatitis Without Fibrosis Worsening",https://doi.org/10.1053/j.gastro.2016.01.038,2016,976,https://openalex.org/W2253420963
1312,Molecular Biology,Transgenic approaches for abiotic stress tolerance in plants: retrospect and prospects,https://doi.org/10.1007/s00299-007-0474-9,2007,602,https://openalex.org/W2018568620
1312,Molecular Biology,Protein interaction mapping: A<i>Drosophila</i>case study,https://doi.org/10.1101/gr.2659105,2005,564,https://openalex.org/W2133548874
2725,Infectious Diseases,"Burden and aetiology of diarrhoeal disease in infants and young children in developing countries (the Global Enteric Multicenter Study, GEMS): a prospective, case-control study",https://doi.org/10.1016/s0140-6736(13)60844-2,2013,3467,https://openalex.org/W2114053580
2725,Infectious Diseases,"Efficacy and effectiveness of an rVSV-vectored vaccine in preventing Ebola virus disease: final results from the Guinea ring vaccination, open-label, cluster-randomised trial (Ebola Ça Suffit!)",https://doi.org/10.1016/s0140-6736(16)32621-6,2016,1036,https://openalex.org/W2564361602
2725,Infectious Diseases,Use of quantitative molecular diagnostic methods to identify causes of diarrhoea in children: a reanalysis of the GEMS case-control study,https://doi.org/10.1016/s0140-6736(16)31529-x,2016,843,https://openalex.org/W2521607002
