subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,O mundo dos bens: para uma antropologia do consumo,https://doi.org/10.1590/s1415-65552005000200015,2005,572,https://openalex.org/W2082505743
3312,Sociology and Political Science,Social Capital and Entrepreneurship: A Schema and Research Agenda,https://doi.org/10.1111/etap.12042,2013,446,https://openalex.org/W1969608248
3312,Sociology and Political Science,An Experimental Investigation of Sexual Discrimination in Hiring in the English Labor Market,https://doi.org/10.2202/1538-0637.1416,2006,194,https://openalex.org/W1974363987
1312,Molecular Biology,Antimicrobial Peptides for Therapeutic Applications: A Review,https://doi.org/10.3390/molecules171012276,2012,465,https://openalex.org/W2054148289
1312,Molecular Biology,Strength Training with Blood Flow Restriction Diminishes Myostatin Gene Expression,https://doi.org/10.1249/mss.0b013e318233b4bc,2011,437,https://openalex.org/W2087337686
1312,Molecular Biology,The tiger genome and comparative analysis with lion and snow leopard genomes,https://doi.org/10.1038/ncomms3433,2013,318,https://openalex.org/W2154096947
2308,"Management, Monitoring, Policy and Law",The origins and spread of domestic horses from the Western Eurasian steppes,https://doi.org/10.1038/s41586-021-04018-9,2021,337,https://openalex.org/W3206272465
2308,"Management, Monitoring, Policy and Law",Satellite observed widespread decline in Mongolian grasslands largely due to overgrazing,https://doi.org/10.1111/gcb.12365,2013,302,https://openalex.org/W2126603215
2308,"Management, Monitoring, Policy and Law",Whole-genome sequencing of 128 camels across Asia reveals origin and migration of domestic Bactrian camels,https://doi.org/10.1038/s42003-019-0734-6,2020,281,https://openalex.org/W2999771817
2210,Mechanical Engineering,Incremental and Radical Innovation: Design Research vs. Technology and Meaning Change,https://doi.org/10.1162/desi_a_00250,2013,731,https://openalex.org/W2017908192
2210,Mechanical Engineering,"Cobalt in hard metals and cobalt sulfate, gallium arsenide, indium phosphide and vanadium pentoxide",,2006,191,https://openalex.org/W2605544379
2210,Mechanical Engineering,H<sub>2</sub>O<sub>2</sub>/periodate (IO<sub>4</sub><sup>−</sup>): a novel advanced oxidation technology for the degradation of refractory organic pollutants,https://doi.org/10.1039/c9ew00147f,2019,73,https://openalex.org/W2929821748
2002,Economics and Econometrics,The state of hypertension care in 44 low-income and middle-income countries: a cross-sectional study of nationally representative individual-level data from 1·1 million adults,https://doi.org/10.1016/s0140-6736(19)30955-9,2019,800,https://openalex.org/W2962471769
2002,Economics and Econometrics,Assessment of total cardiovascular risk using WHO/ISH risk prediction charts in three low and middle income countries in Asia,https://doi.org/10.1186/1471-2458-13-539,2013,125,https://openalex.org/W2030788814
2002,Economics and Econometrics,Investments in Pharmaceuticals Before and After TRIPS,https://doi.org/10.3386/w15468,2009,113,https://openalex.org/W2033350049
2303,Ecology,A communal catalogue reveals Earth’s multiscale microbial diversity,https://doi.org/10.1038/nature24621,2017,2629,https://openalex.org/W2766358903
2303,Ecology,Worldwide evidence of a unimodal relationship between productivity and plant species richness,https://doi.org/10.1126/science.aab3916,2015,469,https://openalex.org/W2135612642
2303,Ecology,Climate change reduces extent of temperate drylands and intensifies drought in deep soils,https://doi.org/10.1038/ncomms14196,2017,364,https://openalex.org/W2585496189
2713,Epidemiology,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in young children in 2015: a systematic review and modelling study",https://doi.org/10.1016/s0140-6736(17)30938-8,2017,2264,https://openalex.org/W2727509207
2713,Epidemiology,"Global, regional, and national disease burden estimates of acute lower respiratory infections due to respiratory syncytial virus in children younger than 5 years in 2019: a systematic analysis",https://doi.org/10.1016/s0140-6736(22)00478-0,2022,1494,https://openalex.org/W4281385327
2713,Epidemiology,A distinct lineage of influenza A virus from bats,https://doi.org/10.1073/pnas.1116200109,2012,1100,https://openalex.org/W2069831575
1702,Artificial Intelligence,Tectonic models for accretion of the Central Asian Orogenic Belt,https://doi.org/10.1144/0016-76492006-022,2006,3233,https://openalex.org/W2003323528
1702,Artificial Intelligence,Accretionary growth and crust formation in the Central Asian Orogenic Belt and comparison with the Arabian-Nubian shield,https://doi.org/10.1130/2007.1200(11),2007,558,https://openalex.org/W2394687692
1702,Artificial Intelligence,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2023.emnlp-main,2023,501,https://openalex.org/W2606555609
2208,Electrical and Electronic Engineering,A new strategy to realize high comprehensive energy storage properties in lead-free bulk ceramics,https://doi.org/10.1039/c9tc02088h,2019,228,https://openalex.org/W2947359326
2208,Electrical and Electronic Engineering,"Cobalt in hard metals and cobalt sulfate, gallium arsenide, indium phosphide and vanadium pentoxide",,2006,191,https://openalex.org/W2605544379
2208,Electrical and Electronic Engineering,Biomass chitosan derived cobalt/nitrogen doped carbon nanotubes for the electrocatalytic oxygen reduction reaction,https://doi.org/10.1039/c7ta11258k,2018,142,https://openalex.org/W2788708889
2505,Materials Chemistry,Antibacterial activity and characteristics of silver nanoparticles biosynthesized from Carduus crispus,https://doi.org/10.1038/s41598-021-00520-2,2021,335,https://openalex.org/W3164614845
2505,Materials Chemistry,A new strategy to realize high comprehensive energy storage properties in lead-free bulk ceramics,https://doi.org/10.1039/c9tc02088h,2019,228,https://openalex.org/W2947359326
2505,Materials Chemistry,Preparation and thermal properties of fire resistant metakaolin-based geopolymer-type coatings,https://doi.org/10.1016/j.jnoncrysol.2010.09.063,2010,219,https://openalex.org/W2049503993
