year,id,name,works_count,country,fetch_date
2005,1702,Artificial Intelligence,30,MO,2025-12-01 18:55:37
2005,2207,Control and Systems Engineering,30,MO,2025-12-01 18:55:37
2005,2208,Electrical and Electronic Engineering,29,MO,2025-12-01 18:55:37
2005,1707,Computer Vision and Pattern Recognition,28,MO,2025-12-01 18:55:37
2005,2204,Biomedical Engineering,23,MO,2025-12-01 18:55:37
2005,1705,Computer Networks and Communications,17,MO,2025-12-01 18:55:37
2005,1710,Information Systems,17,MO,2025-12-01 18:55:37
2005,2002,Economics and Econometrics,16,MO,2025-12-01 18:55:37
2005,3312,Sociology and Political Science,16,MO,2025-12-01 18:55:37
2005,2210,Mechanical Engineering,11,MO,2025-12-01 18:55:37
2005,1312,Molecular Biology,9,MO,2025-12-01 18:55:37
2005,1803,Management Science and Operations Research,8,MO,2025-12-01 18:55:37
2005,1712,Software,7,MO,2025-12-01 18:55:37
2005,2505,Materials Chemistry,7,MO,2025-12-01 18:55:37
2005,1404,Management Information Systems,6,MO,2025-12-01 18:55:37
2005,2202,Aerospace Engineering,6,MO,2025-12-01 18:55:37
2005,1402,Accounting,5,MO,2025-12-01 18:55:37
2005,1703,Computational Theory and Mathematics,5,MO,2025-12-01 18:55:37
2005,2707,Complementary and alternative medicine,5,MO,2025-12-01 18:55:37
2005,1605,Organic Chemistry,4,MO,2025-12-01 18:55:37
2005,1704,Computer Graphics and Computer-Aided Design,4,MO,2025-12-01 18:55:37
2005,1106,Food Science,3,MO,2025-12-01 18:55:37
2005,1407,Organizational Behavior and Human Resource Management,3,MO,2025-12-01 18:55:37
2005,1507,Fluid Flow and Transfer Processes,3,MO,2025-12-01 18:55:37
2005,1711,Signal Processing,3,MO,2025-12-01 18:55:37
2005,2003,Finance,3,MO,2025-12-01 18:55:37
2005,2203,Automotive Engineering,3,MO,2025-12-01 18:55:37
2005,3004,Pharmacology,3,MO,2025-12-01 18:55:37
2005,3107,"Atomic and Molecular Physics, and Optics",3,MO,2025-12-01 18:55:37
2005,3320,Political Science and International Relations,3,MO,2025-12-01 18:55:37
2005,1110,Plant Science,2,MO,2025-12-01 18:55:37
2005,1313,Molecular Medicine,2,MO,2025-12-01 18:55:37
2005,1406,Marketing,2,MO,2025-12-01 18:55:37
2005,1602,Analytical Chemistry,2,MO,2025-12-01 18:55:37
2005,1607,Spectroscopy,2,MO,2025-12-01 18:55:37
2005,2206,Computational Mechanics,2,MO,2025-12-01 18:55:37
2005,2308,"Management, Monitoring, Policy and Law",2,MO,2025-12-01 18:55:37
2005,2705,Cardiology and Cardiovascular Medicine,2,MO,2025-12-01 18:55:37
2005,2736,Pharmacology,2,MO,2025-12-01 18:55:37
2005,3313,Transportation,2,MO,2025-12-01 18:55:37
2005,1408,Strategy and Management,1,MO,2025-12-01 18:55:37
2005,1409,"Tourism, Leisure and Hospitality Management",1,MO,2025-12-01 18:55:37
2005,1606,Physical and Theoretical Chemistry,1,MO,2025-12-01 18:55:37
2005,1708,Hardware and Architecture,1,MO,2025-12-01 18:55:37
2005,1709,Human-Computer Interaction,1,MO,2025-12-01 18:55:37
2005,1802,Information Systems and Management,1,MO,2025-12-01 18:55:37
2005,2000,"General Economics, Econometrics and Finance",1,MO,2025-12-01 18:55:37
2005,2205,Civil and Structural Engineering,1,MO,2025-12-01 18:55:37
2005,2211,Mechanics of Materials,1,MO,2025-12-01 18:55:37
2005,2212,Ocean Engineering,1,MO,2025-12-01 18:55:37
2005,2213,"Safety, Risk, Reliability and Quality",1,MO,2025-12-01 18:55:37
2005,2214,Media Technology,1,MO,2025-12-01 18:55:37
2005,2504,"Electronic, Optical and Magnetic Materials",1,MO,2025-12-01 18:55:37
2005,2506,Metals and Alloys,1,MO,2025-12-01 18:55:37
2005,2602,Algebra and Number Theory,1,MO,2025-12-01 18:55:37
2005,2610,Mathematical Physics,1,MO,2025-12-01 18:55:37
2005,2611,Modeling and Simulation,1,MO,2025-12-01 18:55:37
2005,2613,Statistics and Probability,1,MO,2025-12-01 18:55:37
2005,2739,"Public Health, Environmental and Occupational Health",1,MO,2025-12-01 18:55:37
