year,id,name,works_count,country,fetch_date
2005,2746,Surgery,11,MQ,2025-12-03 12:45:42
2005,1105,"Ecology, Evolution, Behavior and Systematics",10,MQ,2025-12-03 12:45:42
2005,2734,Pathology and Forensic Medicine,7,MQ,2025-12-03 12:45:42
2005,3312,Sociology and Political Science,7,MQ,2025-12-03 12:45:42
2005,2403,Immunology,5,MQ,2025-12-03 12:45:42
2005,2713,Epidemiology,5,MQ,2025-12-03 12:45:42
2005,2725,Infectious Diseases,5,MQ,2025-12-03 12:45:42
2005,1311,Genetics,4,MQ,2025-12-03 12:45:42
2005,1312,Molecular Biology,3,MQ,2025-12-03 12:45:42
2005,2745,Rheumatology,3,MQ,2025-12-03 12:45:42
2005,1102,Agronomy and Crop Science,2,MQ,2025-12-03 12:45:42
2005,1110,Plant Science,2,MQ,2025-12-03 12:45:42
2005,1212,Religious studies,2,MQ,2025-12-03 12:45:42
2005,2406,Virology,2,MQ,2025-12-03 12:45:42
2005,2739,"Public Health, Environmental and Occupational Health",2,MQ,2025-12-03 12:45:42
2005,2742,Rehabilitation,2,MQ,2025-12-03 12:45:42
2005,3314,Anthropology,2,MQ,2025-12-03 12:45:42
2005,1109,Insect Science,1,MQ,2025-12-03 12:45:42
2005,1111,Soil Science,1,MQ,2025-12-03 12:45:42
2005,2504,"Electronic, Optical and Magnetic Materials",1,MQ,2025-12-03 12:45:42
2005,2702,Anatomy,1,MQ,2025-12-03 12:45:42
2005,2705,Cardiology and Cardiovascular Medicine,1,MQ,2025-12-03 12:45:42
2005,2711,Emergency Medicine,1,MQ,2025-12-03 12:45:42
2005,2726,Microbiology,1,MQ,2025-12-03 12:45:42
2005,2731,Ophthalmology,1,MQ,2025-12-03 12:45:42
2005,2732,Orthopedics and Sports Medicine,1,MQ,2025-12-03 12:45:42
2005,2740,Pulmonary and Respiratory Medicine,1,MQ,2025-12-03 12:45:42
2005,3316,Cultural Studies,1,MQ,2025-12-03 12:45:42
2005,3320,Political Science and International Relations,1,MQ,2025-12-03 12:45:42
2005,3322,Urban Studies,1,MQ,2025-12-03 12:45:42
2006,2746,Surgery,6,MQ,2025-12-03 12:45:42
2006,2739,"Public Health, Environmental and Occupational Health",5,MQ,2025-12-03 12:45:42
2006,1105,"Ecology, Evolution, Behavior and Systematics",4,MQ,2025-12-03 12:45:42
2006,2734,Pathology and Forensic Medicine,4,MQ,2025-12-03 12:45:42
2006,1110,Plant Science,3,MQ,2025-12-03 12:45:42
2006,2403,Immunology,2,MQ,2025-12-03 12:45:42
2006,2713,Epidemiology,2,MQ,2025-12-03 12:45:42
2006,2725,Infectious Diseases,2,MQ,2025-12-03 12:45:42
2006,2745,Rheumatology,2,MQ,2025-12-03 12:45:42
2006,3312,Sociology and Political Science,2,MQ,2025-12-03 12:45:42
2006,1109,Insect Science,1,MQ,2025-12-03 12:45:42
2006,1111,Soil Science,1,MQ,2025-12-03 12:45:42
2006,1310,Endocrinology,1,MQ,2025-12-03 12:45:42
2006,1311,Genetics,1,MQ,2025-12-03 12:45:42
2006,2304,Environmental Chemistry,1,MQ,2025-12-03 12:45:42
2006,2703,Anesthesiology and Pain Medicine,1,MQ,2025-12-03 12:45:42
2006,2705,Cardiology and Cardiovascular Medicine,1,MQ,2025-12-03 12:45:42
2006,2708,Dermatology,1,MQ,2025-12-03 12:45:42
2006,2731,Ophthalmology,1,MQ,2025-12-03 12:45:42
2006,2732,Orthopedics and Sports Medicine,1,MQ,2025-12-03 12:45:42
2006,2740,Pulmonary and Respiratory Medicine,1,MQ,2025-12-03 12:45:42
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,MQ,2025-12-03 12:45:42
2006,2916,Nutrition and Dietetics,1,MQ,2025-12-03 12:45:42
2006,3317,Demography,1,MQ,2025-12-03 12:45:42
2006,3611,Pharmacy,1,MQ,2025-12-03 12:45:42
2007,3312,Sociology and Political Science,8,MQ,2025-12-03 12:45:42
2007,1105,"Ecology, Evolution, Behavior and Systematics",5,MQ,2025-12-03 12:45:42
2007,2728,Neurology,3,MQ,2025-12-03 12:45:42
2007,2746,Surgery,3,MQ,2025-12-03 12:45:42
2007,1110,Plant Science,2,MQ,2025-12-03 12:45:42
2007,2304,Environmental Chemistry,2,MQ,2025-12-03 12:45:42
2007,2403,Immunology,2,MQ,2025-12-03 12:45:42
2007,2713,Epidemiology,2,MQ,2025-12-03 12:45:42
2007,2734,Pathology and Forensic Medicine,2,MQ,2025-12-03 12:45:42
2007,2739,"Public Health, Environmental and Occupational Health",2,MQ,2025-12-03 12:45:42
2007,2740,Pulmonary and Respiratory Medicine,2,MQ,2025-12-03 12:45:42
2007,3322,Urban Studies,2,MQ,2025-12-03 12:45:42
2007,1100,General Agricultural and Biological Sciences,1,MQ,2025-12-03 12:45:42
2007,1106,Food Science,1,MQ,2025-12-03 12:45:42
2007,1107,Forestry,1,MQ,2025-12-03 12:45:42
2007,1111,Soil Science,1,MQ,2025-12-03 12:45:42
2007,1208,Literature and Literary Theory,1,MQ,2025-12-03 12:45:42
2007,1212,Religious studies,1,MQ,2025-12-03 12:45:42
2007,1312,Molecular Biology,1,MQ,2025-12-03 12:45:42
2007,2000,"General Economics, Econometrics and Finance",1,MQ,2025-12-03 12:45:42
2007,2204,Biomedical Engineering,1,MQ,2025-12-03 12:45:42
2007,2212,Ocean Engineering,1,MQ,2025-12-03 12:45:42
2007,2308,"Management, Monitoring, Policy and Law",1,MQ,2025-12-03 12:45:42
2007,2405,Parasitology,1,MQ,2025-12-03 12:45:42
2007,2705,Cardiology and Cardiovascular Medicine,1,MQ,2025-12-03 12:45:42
2007,2725,Infectious Diseases,1,MQ,2025-12-03 12:45:42
2007,2745,Rheumatology,1,MQ,2025-12-03 12:45:42
