year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,5,MR,2025-12-01 19:12:08
2005,2303,Ecology,4,MR,2025-12-01 19:12:08
2005,2306,Global and Planetary Change,3,MR,2025-12-01 19:12:08
2005,1104,Aquatic Science,2,MR,2025-12-01 19:12:08
2005,1105,"Ecology, Evolution, Behavior and Systematics",2,MR,2025-12-01 19:12:08
2005,2725,Infectious Diseases,2,MR,2025-12-01 19:12:08
2005,2739,"Public Health, Environmental and Occupational Health",2,MR,2025-12-01 19:12:08
2005,1102,Agronomy and Crop Science,1,MR,2025-12-01 19:12:08
2005,1111,Soil Science,1,MR,2025-12-01 19:12:08
2005,1307,Cell Biology,1,MR,2025-12-01 19:12:08
2005,1311,Genetics,1,MR,2025-12-01 19:12:08
2005,1312,Molecular Biology,1,MR,2025-12-01 19:12:08
2005,1908,Geophysics,1,MR,2025-12-01 19:12:08
2005,2002,Economics and Econometrics,1,MR,2025-12-01 19:12:08
2005,2305,Environmental Engineering,1,MR,2025-12-01 19:12:08
2005,2309,Nature and Landscape Conservation,1,MR,2025-12-01 19:12:08
2005,2711,Emergency Medicine,1,MR,2025-12-01 19:12:08
2005,2717,Geriatrics and Gerontology,1,MR,2025-12-01 19:12:08
2005,2746,Surgery,1,MR,2025-12-01 19:12:08
2006,1105,"Ecology, Evolution, Behavior and Systematics",4,MR,2025-12-01 19:12:08
2006,2303,Ecology,3,MR,2025-12-01 19:12:08
2006,2725,Infectious Diseases,2,MR,2025-12-01 19:12:08
2006,2739,"Public Health, Environmental and Occupational Health",2,MR,2025-12-01 19:12:08
2006,2746,Surgery,2,MR,2025-12-01 19:12:08
2006,1104,Aquatic Science,1,MR,2025-12-01 19:12:08
2006,1109,Insect Science,1,MR,2025-12-01 19:12:08
2006,1110,Plant Science,1,MR,2025-12-01 19:12:08
2006,1311,Genetics,1,MR,2025-12-01 19:12:08
2006,1312,Molecular Biology,1,MR,2025-12-01 19:12:08
2006,1605,Organic Chemistry,1,MR,2025-12-01 19:12:08
2006,2306,Global and Planetary Change,1,MR,2025-12-01 19:12:08
2006,2711,Emergency Medicine,1,MR,2025-12-01 19:12:08
2006,2735,"Pediatrics, Perinatology and Child Health",1,MR,2025-12-01 19:12:08
2006,2738,Psychiatry and Mental health,1,MR,2025-12-01 19:12:08
2006,2741,"Radiology, Nuclear Medicine and Imaging",1,MR,2025-12-01 19:12:08
2006,2916,Nutrition and Dietetics,1,MR,2025-12-01 19:12:08
2007,2303,Ecology,4,MR,2025-12-01 19:12:08
2007,2306,Global and Planetary Change,4,MR,2025-12-01 19:12:08
2007,1104,Aquatic Science,3,MR,2025-12-01 19:12:08
2007,1110,Plant Science,3,MR,2025-12-01 19:12:08
2007,2725,Infectious Diseases,3,MR,2025-12-01 19:12:08
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,MR,2025-12-01 19:12:08
2007,1307,Cell Biology,1,MR,2025-12-01 19:12:08
2007,1311,Genetics,1,MR,2025-12-01 19:12:08
2007,1904,Earth-Surface Processes,1,MR,2025-12-01 19:12:08
2007,2212,Ocean Engineering,1,MR,2025-12-01 19:12:08
2007,2403,Immunology,1,MR,2025-12-01 19:12:08
2007,2713,Epidemiology,1,MR,2025-12-01 19:12:08
2007,2739,"Public Health, Environmental and Occupational Health",1,MR,2025-12-01 19:12:08
2007,3306,Health,1,MR,2025-12-01 19:12:08
2007,3312,Sociology and Political Science,1,MR,2025-12-01 19:12:08
2008,1105,"Ecology, Evolution, Behavior and Systematics",2,MR,2025-12-01 19:12:08
2008,1110,Plant Science,2,MR,2025-12-01 19:12:08
2008,2208,Electrical and Electronic Engineering,2,MR,2025-12-01 19:12:08
2008,2306,Global and Planetary Change,2,MR,2025-12-01 19:12:08
2008,1107,Forestry,1,MR,2025-12-01 19:12:08
2008,1311,Genetics,1,MR,2025-12-01 19:12:08
2008,1705,Computer Networks and Communications,1,MR,2025-12-01 19:12:08
2008,2206,Computational Mechanics,1,MR,2025-12-01 19:12:08
2008,2213,"Safety, Risk, Reliability and Quality",1,MR,2025-12-01 19:12:08
2008,2303,Ecology,1,MR,2025-12-01 19:12:08
2008,2309,Nature and Landscape Conservation,1,MR,2025-12-01 19:12:08
2008,2916,Nutrition and Dietetics,1,MR,2025-12-01 19:12:08
2008,3107,"Atomic and Molecular Physics, and Optics",1,MR,2025-12-01 19:12:08
2009,2713,Epidemiology,4,MR,2025-12-01 19:12:08
2009,1105,"Ecology, Evolution, Behavior and Systematics",3,MR,2025-12-01 19:12:08
2009,2306,Global and Planetary Change,3,MR,2025-12-01 19:12:08
2009,1110,Plant Science,2,MR,2025-12-01 19:12:08
2009,2303,Ecology,2,MR,2025-12-01 19:12:08
2009,2405,Parasitology,2,MR,2025-12-01 19:12:08
2009,2721,Hepatology,2,MR,2025-12-01 19:12:08
2009,2739,"Public Health, Environmental and Occupational Health",2,MR,2025-12-01 19:12:08
2009,1102,Agronomy and Crop Science,1,MR,2025-12-01 19:12:08
2009,1106,Food Science,1,MR,2025-12-01 19:12:08
2009,1107,Forestry,1,MR,2025-12-01 19:12:08
2009,1405,Management of Technology and Innovation,1,MR,2025-12-01 19:12:08
