subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,"Systematic Review of the Effects of Shared Decision-Making on Patient Satisfaction, Treatment Adherence and Health Status",https://doi.org/10.1159/000126073,2008,1067,https://openalex.org/W2127753873
3312,Sociology and Political Science,Economic Vulnerability and Resilience: Concepts and Measurements,https://doi.org/10.1080/13600810903089893,2009,795,https://openalex.org/W2099193292
3312,Sociology and Political Science,"Framework for Managing the COVID-19 Infodemic: Methods and Results of an Online, Crowdsourced WHO Technical Consultation",https://doi.org/10.2196/19659,2020,545,https://openalex.org/W3036730291
3312,Sociology and Political Science,Will climate mitigation ambitions lead to carbon neutrality? An analysis of the local-level plans of 327 cities in the EU,https://doi.org/10.1016/j.rser.2020.110253,2020,425,https://openalex.org/W3080426015
3312,Sociology and Political Science,A critical evaluation of importance–performance analysis,https://doi.org/10.1016/j.tourman.2012.07.007,2012,325,https://openalex.org/W2754773284
3312,Sociology and Political Science,European guideline for the management of scabies,https://doi.org/10.1111/jdv.14351,2017,312,https://openalex.org/W2713213633
3312,Sociology and Political Science,"How corporate reputation, quality, and value influence online loyalty",https://doi.org/10.1016/j.jbusres.2009.04.030,2009,307,https://openalex.org/W2017381167
3312,Sociology and Political Science,Strategies to improve response rates to web surveys: A literature review,https://doi.org/10.1016/j.ijnurstu.2021.104058,2021,292,https://openalex.org/W3187942470
3312,Sociology and Political Science,The Tourism Industry: An Overview,https://doi.org/10.1007/978-3-319-49849-2_1,2017,238,https://openalex.org/W2758206015
3312,Sociology and Political Science,Nursing competencies for spiritual care,https://doi.org/10.1111/j.1365-2702.2006.01643.x,2006,222,https://openalex.org/W2111799808
3600,General Health Professions,The STROBE guidelines,https://doi.org/10.4103/sja.sja_543_18,2019,3193,https://openalex.org/W2915365125
3600,General Health Professions,The European Centre for Disease Prevention and Control (ECDC) pilot point prevalence survey of healthcare-associated infections and antimicrobial use,https://doi.org/10.2807/ese.17.46.20316-en,2012,771,https://openalex.org/W1796131488
3600,General Health Professions,Antimicrobial consumption and resistance in adult hospital inpatients in 53 countries: results of an internet-based global point prevalence survey,https://doi.org/10.1016/s2214-109x(18)30186-4,2018,636,https://openalex.org/W2800091294
3600,General Health Professions,Gender differences in health habits and in motivation for a healthy lifestyle among Swedish university students,https://doi.org/10.1111/j.1442-2018.2005.00227.x,2005,331,https://openalex.org/W2037923061
3600,General Health Professions,Prevalence of Severe Obesity among Primary School Children in 21 European Countries,https://doi.org/10.1159/000500436,2019,310,https://openalex.org/W2941687566
3600,General Health Professions,Effect of using reporting guidelines during peer review on quality of final manuscripts submitted to a biomedical journal: masked randomised trial,https://doi.org/10.1136/bmj.d6783,2011,286,https://openalex.org/W2143427958
3600,General Health Professions,"Continuity in general practice as predictor of mortality, acute hospitalisation, and use of out-of-hours care: a registry-based observational study in Norway",https://doi.org/10.3399/bjgp.2021.0340,2021,280,https://openalex.org/W3195296969
3600,General Health Professions,The Cambridge Handbook of Social Representations,https://doi.org/10.1017/cbo9781107323650,2015,223,https://openalex.org/W1829184384
3600,General Health Professions,Determinants of costs of care for patients with Alzheimer's disease,https://doi.org/10.1002/gps.1489,2006,220,https://openalex.org/W1967500465
3600,General Health Professions,Towards an equitable digital public health era: promoting equity through a health literacy perspective,https://doi.org/10.1093/eurpub/ckz166,2019,210,https://openalex.org/W2986947224
2739,"Public Health, Environmental and Occupational Health","Worldwide trends in underweight and obesity from 1990 to 2022: a pooled analysis of 3663 population-representative studies with 222 million children, adolescents, and adults",https://doi.org/10.1016/s0140-6736(23)02750-2,2024,1397,https://openalex.org/W4392304105
2739,"Public Health, Environmental and Occupational Health",Self‐selection and bias in a large prospective pregnancy cohort in Norway,https://doi.org/10.1111/j.1365-3016.2009.01062.x,2009,819,https://openalex.org/W2095462918
2739,"Public Health, Environmental and Occupational Health",ECCO Guidelines on Therapeutics in Ulcerative Colitis: Surgical Treatment,https://doi.org/10.1093/ecco-jcc/jjab177,2021,489,https://openalex.org/W3206229337
2739,"Public Health, Environmental and Occupational Health",The CONSORT statement,https://doi.org/10.4103/sja.sja_559_18,2019,396,https://openalex.org/W2915079824
2739,"Public Health, Environmental and Occupational Health",Med Diet 4.0: the Mediterranean diet with four sustainable benefits,https://doi.org/10.1017/s1368980016003177,2016,372,https://openalex.org/W2562535875
2739,"Public Health, Environmental and Occupational Health","Variations in accelerometry measured physical activity and sedentary time across Europe – harmonized analyses of 47,497 children and adolescents",https://doi.org/10.1186/s12966-020-00930-x,2020,368,https://openalex.org/W3011560794
2739,"Public Health, Environmental and Occupational Health",Barriers and Motivators of Physical Activity Participation in Middle-Aged and Older Adults—A Systematic Review,https://doi.org/10.1123/japa.2018-0343,2019,347,https://openalex.org/W2947291963
2739,"Public Health, Environmental and Occupational Health",Leishmaniasis,https://doi.org/10.1016/j.jinf.2014.07.016,2014,325,https://openalex.org/W4255943186
2739,"Public Health, Environmental and Occupational Health",Updating the Mediterranean Diet Pyramid towards Sustainability: Focus on Environmental Concerns,https://doi.org/10.3390/ijerph17238758,2020,324,https://openalex.org/W3107308276
2739,"Public Health, Environmental and Occupational Health",Prevalence of Severe Obesity among Primary School Children in 21 European Countries,https://doi.org/10.1159/000500436,2019,310,https://openalex.org/W2941687566
2746,Surgery,European Position Paper on Rhinosinusitis and Nasal Polyps 2020,https://doi.org/10.4193/rhin20.600,2020,5319,https://openalex.org/W2993259418
2746,Surgery,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4782,https://openalex.org/W2953804067
2746,Surgery,Effects of Bariatric Surgery on Mortality in Swedish Obese Subjects,https://doi.org/10.1056/nejmoa066254,2007,4547,https://openalex.org/W2104183837
2746,Surgery,"ECCO-ESGAR Guideline for Diagnostic Assessment in IBD Part 1: Initial diagnosis, monitoring of known IBD, detection of complications",https://doi.org/10.1093/ecco-jcc/jjy113,2018,1671,https://openalex.org/W2888061430
2746,Surgery,ECCO Guidelines on Therapeutics in Crohn's Disease: Medical Treatment,https://doi.org/10.1093/ecco-jcc/jjz180,2019,1263,https://openalex.org/W4211167126
2746,Surgery,ECCO Guidelines on Therapeutics in Crohn’s Disease: Surgical Treatment,https://doi.org/10.1093/ecco-jcc/jjz187,2019,1080,https://openalex.org/W2984128211
2746,Surgery,ECCO Guidelines on Therapeutics in Ulcerative Colitis: Medical Treatment,https://doi.org/10.1093/ecco-jcc/jjab178,2021,858,https://openalex.org/W4210258765
2746,Surgery,Five-Year Outcomes after PCI or CABG for Left Main Coronary Disease,https://doi.org/10.1056/nejmoa1909406,2019,741,https://openalex.org/W2975990972
2746,Surgery,Bilateral versus Single Internal-Thoracic-Artery Grafts at 10 Years,https://doi.org/10.1056/nejmoa1808783,2019,443,https://openalex.org/W2914774176
2746,Surgery,ECCO-ESGAR Guideline for Diagnostic Assessment in IBD Part 2: IBD scores and general principles and technical aspects,https://doi.org/10.1093/ecco-jcc/jjy114,2018,418,https://openalex.org/W2891495287
2713,Epidemiology,"ECCO-ESGAR Guideline for Diagnostic Assessment in IBD Part 1: Initial diagnosis, monitoring of known IBD, detection of complications",https://doi.org/10.1093/ecco-jcc/jjy113,2018,1671,https://openalex.org/W2888061430
2713,Epidemiology,ECCO Guidelines on Therapeutics in Crohn's Disease: Medical Treatment,https://doi.org/10.1093/ecco-jcc/jjz180,2019,1263,https://openalex.org/W4211167126
2713,Epidemiology,ECCO Guidelines on Therapeutics in Crohn’s Disease: Surgical Treatment,https://doi.org/10.1093/ecco-jcc/jjz187,2019,1080,https://openalex.org/W2984128211
2713,Epidemiology,ECCO Guidelines on Therapeutics in Ulcerative Colitis: Medical Treatment,https://doi.org/10.1093/ecco-jcc/jjab178,2021,858,https://openalex.org/W4210258765
2713,Epidemiology,Towards tuberculosis elimination: an action framework for low-incidence countries,https://doi.org/10.1183/09031936.00214014,2015,749,https://openalex.org/W2109182328
2713,Epidemiology,Epidemic of carbapenem-resistant Klebsiella pneumoniae in Europe is driven by nosocomial spread,https://doi.org/10.1038/s41564-019-0492-8,2019,746,https://openalex.org/W2965957986
2713,Epidemiology,Self-medication with Antimicrobial Drugs in Europe,https://doi.org/10.3201/eid1203.050992,2006,588,https://openalex.org/W2111190588
2713,Epidemiology,ECCO Guidelines on Therapeutics in Ulcerative Colitis: Surgical Treatment,https://doi.org/10.1093/ecco-jcc/jjab177,2021,489,https://openalex.org/W3206229337
2713,Epidemiology,ECCO-ESGAR Guideline for Diagnostic Assessment in IBD Part 2: IBD scores and general principles and technical aspects,https://doi.org/10.1093/ecco-jcc/jjy114,2018,418,https://openalex.org/W2891495287
2713,Epidemiology,"ECCO Guidelines on the Prevention, Diagnosis, and Management of Infections in Inflammatory Bowel Disease",https://doi.org/10.1093/ecco-jcc/jjab052,2021,395,https://openalex.org/W3137785750
3304,Education,Sustainable Development Goals and sustainability teaching at universities: Falling behind or getting ahead of the pack?,https://doi.org/10.1016/j.jclepro.2019.05.309,2019,713,https://openalex.org/W2947399006
3304,Education,The future we want,https://doi.org/10.1108/ijshe-03-2014-0036,2015,634,https://openalex.org/W1585438009
3304,Education,Education and Training Policy,https://doi.org/10.1787/19901496,2009,327,https://openalex.org/W4231454964
3304,Education,Do girls and boys perceive themselves as equally engaged in school? The results of an international study from 12 countries,https://doi.org/10.1016/j.jsp.2011.07.004,2011,304,https://openalex.org/W2034006394
3304,Education,Understanding and measuring student engagement in school: The results of an international study from 12 countries.,https://doi.org/10.1037/spq0000057,2014,266,https://openalex.org/W1980451078
3304,Education,A framework for the implementation of the Sustainable Development Goals in university programmes,https://doi.org/10.1016/j.jclepro.2021.126915,2021,229,https://openalex.org/W3150130516
3304,Education,Climate change education for universities: A conceptual framework from an international study,https://doi.org/10.1016/j.jclepro.2019.04.053,2019,212,https://openalex.org/W2939133290
3304,Education,Handling climate change education at universities: an overview,https://doi.org/10.1186/s12302-021-00552-5,2021,183,https://openalex.org/W3203336513
3304,Education,The Acceptance of Learning Management Systems and Video Conferencing Technologies: Lessons Learned from COVID-19,https://doi.org/10.1007/s10758-021-09561-y,2021,160,https://openalex.org/W3195755470
3304,Education,Digital Learning Resources and Ubiquitous Technologies in Education,https://doi.org/10.1007/s10758-016-9287-7,2016,152,https://openalex.org/W2416712945
