subfield_id,subfield_name,title,doi,year,cited_by_count,id
1110,Plant Science,Medicinal plants: Traditions of yesterday and drugs of tomorrow,https://doi.org/10.1016/j.mam.2005.07.008,2005,2273,https://openalex.org/W1965565026
1110,Plant Science,Phenolics as potential antioxidant therapeutic agents: Mechanism and actions,https://doi.org/10.1016/j.mrfmmm.2005.03.023,2005,1476,https://openalex.org/W2001795223
1110,Plant Science,Fungal diversity notes 111–252—taxonomic and phylogenetic contributions to fungal taxa,https://doi.org/10.1007/s13225-015-0346-5,2015,717,https://openalex.org/W2190700649
2208,Electrical and Electronic Engineering,"Tellurene: its physical properties, scalable nanomanufacturing, and device applications",https://doi.org/10.1039/c8cs00598b,2018,290,https://openalex.org/W2885487088
2208,Electrical and Electronic Engineering,Generation expansion planning optimisation with renewable energy integration: A review,https://doi.org/10.1016/j.rser.2016.11.120,2016,267,https://openalex.org/W2558804746
2208,Electrical and Electronic Engineering,A hybrid method for forecasting the energy output of photovoltaic systems,https://doi.org/10.1016/j.enconman.2015.02.052,2015,157,https://openalex.org/W2000779101
1312,Molecular Biology,Genome-wide association study in individuals of South Asian ancestry identifies six new type 2 diabetes susceptibility loci,https://doi.org/10.1038/ng.921,2011,538,https://openalex.org/W1989970381
1312,Molecular Biology,Epigenome-wide association of DNA methylation markers in peripheral blood from Indian Asians and Europeans with incident type 2 diabetes: a nested case-control study,https://doi.org/10.1016/s2213-8587(15)00127-8,2015,526,https://openalex.org/W1808248494
1312,Molecular Biology,Fungal diversity notes 367–490: taxonomic and phylogenetic contributions to fungal taxa,https://doi.org/10.1007/s13225-016-0373-x,2016,494,https://openalex.org/W4211036915
3312,Sociology and Political Science,Consumers acceptance of artificially intelligent (AI) device use in service delivery,https://doi.org/10.1016/j.ijinfomgt.2019.03.008,2019,1035,https://openalex.org/W2947308709
3312,Sociology and Political Science,The role of transport infrastructure in international tourism development: A gravity model approach,https://doi.org/10.1016/j.tourman.2007.09.005,2007,631,https://openalex.org/W2082170866
3312,Sociology and Political Science,Residents’ attitudes to tourism: a longitudinal study of 140 articles from 1984 to 2010,https://doi.org/10.1080/09669582.2012.673621,2012,416,https://openalex.org/W1977430153
2002,Economics and Econometrics,The role of transport infrastructure in international tourism development: A gravity model approach,https://doi.org/10.1016/j.tourman.2007.09.005,2007,631,https://openalex.org/W2082170866
2002,Economics and Econometrics,The CO 2 emissions-income nexus: Evidence from rich countries,https://doi.org/10.1016/j.enpol.2010.11.050,2011,423,https://openalex.org/W2013688776
2002,Economics and Econometrics,Transport infrastructure and tourism development,https://doi.org/10.1016/j.annals.2007.05.010,2007,411,https://openalex.org/W2046375376
1705,Computer Networks and Communications,"On big data, artificial intelligence and smart cities",https://doi.org/10.1016/j.cities.2019.01.032,2019,1033,https://openalex.org/W2912275277
1705,Computer Networks and Communications,A Wireless Sensor Network Air Pollution Monitoring System,https://doi.org/10.5121/ijwmn.2010.2203,2010,301,https://openalex.org/W2005844032
1705,Computer Networks and Communications,A Taxonomy of Network Threats and the Effect of Current Datasets on Intrusion Detection Systems,https://doi.org/10.1109/access.2020.3000179,2020,212,https://openalex.org/W3033213260
1702,Artificial Intelligence,Consumers acceptance of artificially intelligent (AI) device use in service delivery,https://doi.org/10.1016/j.ijinfomgt.2019.03.008,2019,1035,https://openalex.org/W2947308709
1702,Artificial Intelligence,Daily energy expenditure through the human life course,https://doi.org/10.1126/science.abe5017,2021,507,https://openalex.org/W3183815414
1702,Artificial Intelligence,Multi-criteria GIS-based modelling technique for identifying potential solar farm sites: A case study in Mauritius,https://doi.org/10.1016/j.renene.2018.08.105,2018,231,https://openalex.org/W2889595953
1710,Information Systems,Exploring the Internet of Things (IoT) in Education: A Review,https://doi.org/10.1007/978-981-13-3338-5_23,2019,113,https://openalex.org/W2908151518
1710,Information Systems,Cognitive load management in mobile learning systems: principles and theories,https://doi.org/10.1007/s40692-020-00173-6,2020,95,https://openalex.org/W3048546900
1710,Information Systems,"Augmented reality, the future of contextual mobile learning",https://doi.org/10.1108/itse-07-2015-0017,2016,95,https://openalex.org/W2475209639
2303,Ecology,Coral bleaching: the role of the host,https://doi.org/10.1016/j.tree.2008.09.005,2008,572,https://openalex.org/W2069226066
2303,Ecology,How Life History Influences Population Dynamics in Fluctuating Environments,https://doi.org/10.1086/673497,2013,224,https://openalex.org/W2127402692
2303,Ecology,"Ethnopharmacology, Phytochemistry, and Global Distribution of Mangroves―A Comprehensive Review",https://doi.org/10.3390/md17040231,2019,178,https://openalex.org/W2940394258
1106,Food Science,Essential Oils as Natural Sources of Fragrance Compounds for Cosmetics and Cosmeceuticals,https://doi.org/10.3390/molecules26030666,2021,550,https://openalex.org/W3124865939
1106,Food Science,"Chemistry, bioactivities, mode of action and industrial applications of essential oils",https://doi.org/10.1016/j.tifs.2020.04.025,2020,304,https://openalex.org/W3021593568
1106,Food Science,A systematic review on black pepper <i>(Piper nigrum</i> L.): from folk uses to pharmacological applications,https://doi.org/10.1080/10408398.2019.1565489,2019,288,https://openalex.org/W2913190706
